timestamp,x,y,z
82473848451,0.8125,-0.0625,0.3125
82473863592,0.5,-0.125,0.25
82473888492,0.625,-0.125,0.1875
82473908594,1.25,-0.0625,-0.125
82473923567,1.25,-0.125,0.125
82473947297,0.8125,-0.125,0.125
82473968765,0.6875,-0.1875,0.125
82474013652,1.5,-0.0625,0.125
82474024269,1.375,-0.25,0.0625
82474030227,0.4375,-0.0625,0.25
82474045097,0,-0.1875,0.1875
82474070275,0.5,-0.1875,0.125
82474099297,0.9375,-0.125,0.1875
82474125902,1.0625,-0.125,0.125
82474143509,1,0,0
82474150522,0.9375,0.0625,0.0625
82474164043,0.3125,-0.125,0.375
82474186551,0.125,-0.375,0.375
82474210501,0.625,-0.125,-0.0625
82474224859,1.0625,0.0625,0.125
82474248207,1,-0.0625,0.375
82474270592,1,-0.3125,0.5625
82474285096,1.1875,-0.625,0
82474308097,2.0625,-0.3125,0.8125
82474330778,5,1.3125,1.1875
82474344959,3.9375,1.5625,3.8125
82474368137,1.0625,1.125,8.4375
82474398147,-0.0625,-0.625,14.375
82474411575,2.0625,-2.5,22.75
82474428013,8.3125,-4.375,30.625
82474450535,12.375,-8.5625,40.625
82474471559,14.75,-15.125,52.1875
82474488004,16.1875,-21.25,64.3125
82474510539,15.75,-27.5,75.5625
82474531749,16,-34.75,87.4375
82474548057,19.5,-42,99.5625
82474570764,24.9375,-47.3125,111.688
82474591804,27.75,-53.4375,123.875
82474608101,27.4375,-58.375,135.438
82474630810,29.5625,-64.125,144.562
82474659163,31.5625,-69.8125,153.5
82474668189,36.125,-74.4375,161.188
82474690770,45.4375,-80.875,167.438
82474711704,51.5,-86.9375,176.5
82474727635,50.6875,-91.125,186.062
82474750571,48.75,-96.5,191.562
82474771774,47.875,-101.938,195
82474788237,45.625,-107.438,199.938
82474810636,49.375,-112.312,201.375
82474831672,48.4375,-116.25,201.5
82474847428,39.0625,-117.75,200.938
82474870616,28.375,-123.438,201
82474891794,27.3125,-128.5,197.625
82474907391,28.8125,-135.438,191.75
82474930495,34.5625,-139.562,188.125
82474951796,41.1875,-138.562,177.562
82474967420,32.4375,-142.688,168.438
82474990545,19.0625,-145.562,157.5
82475011618,12.125,-147.438,144.375
82475027356,7.5625,-148.438,128.375
82475050472,5.5,-147.875,117.125
82475073032,3.5,-145.562,101.062
82475087372,-5.0625,-143.938,86.375
82475116567,-11.125,-140.75,76.8125
82475132966,-15.9375,-133.438,65.625
82475155535,-21.75,-124.312,54.375
82475176738,-26.0625,-116.25,41.5625
82475193112,-33.1875,-106.75,29.9375
82475215768,-29.5,-95,20.75
82475236687,-26.75,-82.8125,9.375
82475252420,-0.0625,-12.3125,7.375
82475275565,-12.25,49.375,3.875
82475296712,20.375,44.5,-4.6875
82475312394,27.9375,-0.0625,-2.875
82475335660,-6.625,-23.5,1.8125
82475356821,-11.3125,-10.8125,-2.25
82475380518,14.625,8.125,-7.375
82475395646,9.625,7.375,-8.6875
82475416704,-2.8125,-1.6875,-3.6875
82475433040,-0.6875,-3,1.875
82475455505,2.875,1.9375,0.625
82475476537,0.5625,5.375,0.625
82475492990,-0.5625,6.875,0.9375
82475515532,-0.4375,7.6875,-0.4375
82475538095,1.125,9.8125,-1.25
82475553274,3.0625,11.625,-0.8125
82475575560,1.3125,14.75,-3.875
82475598050,2.625,17.75,-10.125
82475612493,4.9375,21.5,-19
82475635662,5.0625,25.8125,-26.375
82475658042,3.25,32.4375,-32.3125
82475686698,5.375,43.125,-39.25
82475695585,3.875,55.5625,-46.4375
82475718115,0.4375,68.25,-54.875
82475739287,0.75,79.625,-64.625
82475755606,-0.1875,89.125,-73.625
82475778048,-2.8125,97.9375,-83.6875
82475799355,-4.75,105.5,-98.3125
82475815572,-12.0625,111.562,-111.75
82475838100,-22.125,116.75,-121
82475859340,-23.4375,122.625,-134.938
82475883115,-25.125,129.375,-145.312
82475898068,-28,132.25,-157.25
82475919111,-29.9375,131.188,-166.188
82475935627,-25.5625,131.75,-173.5
82475958023,-28.5,134.625,-184.125
82475979338,-33.8125,136.375,-197.375
82475995621,-48.75,137.812,-203
82476018007,-54.9375,139.25,-204.625
82476039295,-46.75,137,-209.562
82476055595,-50.25,135.75,-217.438
82476084370,-59.5,135.5,-222.625
82476099351,-73.875,134.938,-225.75
82476115634,-83.5625,134.625,-225.688
82476138059,-94.375,133.812,-222.188
82476159325,-96.4375,132.125,-217.25
82476175698,-91.5,131.562,-214.438
82476198143,-86.4375,129.188,-214
82476219111,-90.9375,122.562,-210.5
82476235576,-90.4375,116.438,-199.688
82476258259,-78.4375,109.812,-185
82476279369,-65.5625,97.1875,-164.188
82476295005,-62.6875,77.875,-138.75
82476318031,-61.125,55.75,-106.688
82476339107,-56.0625,33.875,-74.25
82476354890,-47.9375,14.875,-45.5
82476378043,-34.0625,-0.5625,-22.6875
82476406836,-21.375,-10.6875,-6.0625
82476414873,-12,-17.3125,6.875
82476438214,-8.375,-20.1875,13.5625
82476460517,-12.4375,-20.1875,14.625
82476475551,-16.875,-17.8125,14.1875
82476498091,-16.1875,-14.1875,12.4375
82476520769,-14.125,-10.5625,11.5
82476541673,-15.875,-9.625,10.625
82476564336,-18.625,-9.6875,10.875
82476580628,-20.9375,-10.0625,10.5625
82476601584,-22.0625,-11.5625,11.1875
82476618074,-15.375,-14.25,11.9375
82476640727,-4.625,-15.8125,12.25
82476661734,8.1875,-16,11.1875
82476677975,17.5,-15.0625,8.875
82476700609,19.25,-13.6875,7.75
82476721589,13.3125,-12.625,7.0625
82476738131,6.75,-11.875,6
82476760490,4.1875,-9.125,5.0625
82476781785,0.5625,-6.0625,3.75
82476798076,-2.1875,-3.4375,1.625
82476828067,0.125,-1.4375,0.875
82476835073,5.5625,-0.9375,-0.1875
82476858043,9.1875,-1.25,-1.25
82476880625,11,-1.125,-2.625
82476886047,12,-0.875,-2.75
82476902557,13.375,-1.25,-1.75
82476923549,15.5,-1.9375,-0.9375
82476946022,15.125,-1.875,-0.875
82476962530,12.75,-1.5,-0.4375
82476983675,9.1875,-1.75,1.0625
82477005929,7.0625,-2.25,1.8125
82477022356,7.625,-2.1875,2.75
82477043385,7.75,-1.9375,2.5
82477065888,6.8125,-1.4375,2.375
82477088540,4,-1,2.625
82477111207,3.25,-1.25,3.25
82477126133,2.375,-1.375,3.875
82477148471,1.5,-1.75,3.6875
82477163357,-1.0625,-1.25,3.9375
82477185936,-4.0625,-0.8125,3
82477202321,-4.375,-0.3125,1.9375
82477223409,-1.1875,0.25,1.0625
82477246119,-0.125,0.25,0.6875
82477262378,-1.75,-0.25,0.875
82477283481,-3.125,-0.5625,0.8125
82477305986,-3.625,-0.5,0.9375
82477322321,-1.6875,-0.5,0.6875
82477343403,1.375,-0.5,0.5
82477368749,2.6875,0,0.4375
82477382313,2.4375,0.25,0.4375
82477406380,1.1875,-0.125,0.625
82477425936,-0.8125,-0.3125,0.5
82477448427,0.9375,-0.5,0.75
82477463359,3.8125,-0.5,0.6875
82477485958,3.625,-0.75,0.5
82477503809,2.0625,-1.0625,-0.1875
82477523598,3.4375,-0.625,-0.5
82477545925,3.625,0.1875,-0.5
82477563781,2.125,0.6875,-0.375
82477583472,0.5,1.1875,0.0625
82477605999,0.5625,0.875,0.1875
82477631481,1,0.875,0.0625
82477643417,1.4375,0.9375,-0.375
82477665823,0.875,1.25,-0.5
82477683755,0.8125,1.375,-0.875
82477703496,1.6875,1.25,-1.5
82477725919,3.1875,1.125,-1.8125
82477751336,3.3125,0.5625,-2.0625
82477763466,5,0.1875,-2.125
82477785883,5.875,0,-1.8125
82477803778,5.8125,0.0625,-1.75
82477830879,5.25,-0.0625,-1.1875
82477845931,4.8125,0.125,-1.5625
82477863831,3.625,0.125,-1.1875
82477883336,2.4375,-0.3125,-0.6875
82477906171,1.9375,-0.25,-0.0625
82477923785,-1.625,-0.75,1.3125
82477943443,-1.125,-0.9375,1.1875
82477965896,0.125,0,1.4375
82477984137,-0.6875,-0.3125,1.4375
82478003364,-3,-0.8125,1.8125
