timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
116807017056,-1,-2,0,-1,-1,0,-3,-1
116807017056,0,0,-1,1,0,-2,-1,-1
116807017848,-2,2,0,-1,-2,-2,-1,-1
116807017848,-5,-25,-4,-3,-1,-1,-1,-1
116807019749,0,-1,0,1,-3,-2,0,-1
116807019749,-17,-6,-4,-1,-1,0,-2,-3
116807020533,-2,-5,-1,-2,-1,-1,-2,-1
116807020533,-2,5,1,1,0,-1,-1,-3
116807027077,7,1,-1,-2,0,-1,0,5
116807027077,0,-4,1,-2,-3,-1,0,1
116807033386,0,0,-3,1,-2,-3,-1,-1
116807033386,1,-16,-4,-3,1,1,-1,-7
116807048418,-4,-2,-3,-1,0,-1,0,14
116807048418,-3,3,-1,1,-1,-1,0,-5
116807057264,-1,-6,-2,-1,-1,-2,-1,0
116807057264,-2,1,-1,0,-1,-1,-2,-6
116807064938,2,1,-3,-2,-3,0,-2,-2
116807064938,1,-6,-3,-3,-1,-3,-3,0
116807087546,8,14,5,0,0,2,3,1
116807087546,-4,3,0,-2,-1,-3,-2,5
116807088901,-3,-3,-2,0,0,-1,-1,-5
116807088901,3,7,0,-2,-1,1,-1,-1
116807134133,1,-5,-1,1,-1,-1,-1,1
116807134133,-1,-7,0,-2,1,-2,-1,-2
116807134877,-1,-1,-1,0,-2,-2,-2,-3
116807134877,0,1,0,-3,-2,-1,-2,-3
116807135725,4,8,-1,-2,-2,-1,-1,0
116807135725,-2,1,-1,-1,-3,-1,-1,-1
116807138876,1,-1,0,-1,0,-2,-1,0
116807138876,1,-2,-3,1,1,-2,-2,0
116807145671,-2,-3,-2,-1,0,-1,-1,-1
116807145671,3,4,-2,0,0,0,-3,-6
116807153192,-4,-1,-1,-3,-1,0,0,5
116807153192,-2,-4,-2,-2,-2,-2,-3,-3
116807162170,-8,-7,-5,-4,-1,-2,-2,-2
116807162170,-3,-4,0,0,-1,-3,-2,-2
116807175683,4,9,0,1,1,-1,-2,-2
116807175683,-2,1,1,-3,-4,-1,0,1
116807184642,1,-3,0,-1,-1,-2,-1,-1
116807184642,2,14,-2,-1,-1,-3,-4,-5
116807207035,-15,-13,-3,-2,-4,-4,-2,-3
116807207035,2,2,-2,-1,0,0,-1,-3
116807208654,-2,2,1,1,2,4,-1,-1
116807208654,3,5,0,-6,-2,-2,2,2
116807221347,2,-1,-2,0,0,0,0,0
116807221347,-1,-3,-5,1,-3,-4,-1,2
116807228204,1,16,2,2,-1,-3,-2,-3
116807228204,-3,-7,0,5,0,3,1,2
116807244565,7,3,3,-2,-1,1,0,-1
116807244565,-3,-5,-1,-10,0,2,3,-2
116807246235,-2,0,-1,9,-4,-9,-2,-2
116807246235,-4,-7,-6,-8,-4,-6,-5,-2
116807267203,-2,0,4,30,4,2,0,0
116807267203,1,3,-3,-40,-3,-8,-2,-2
116807268682,-2,-2,-6,-12,-8,5,-1,1
116807268682,10,-19,3,5,4,7,3,3
116807280923,4,3,3,45,-1,-3,-2,1
116807280923,-2,0,1,-46,1,5,-4,-2
116807289787,0,-4,-6,28,-6,-7,-2,2
116807289787,-2,-1,0,-22,1,7,-1,-2
116807304637,-4,-3,-4,29,-5,-11,-3,-7
116807304637,2,-4,0,2,2,4,1,29
116807306235,0,-2,1,-20,1,-7,-2,-14
116807306235,-5,2,-1,3,2,6,-1,0
116807327227,-1,-2,0,-18,-1,6,1,3
