timestamp,x,y,z
116815635686,0.4375,0.0625,0.1875
116815659413,-0.6875,0.125,0.5625
116815682015,-2.4375,-0.125,0
116815703383,-2.3125,0.4375,-0.1875
116815719558,-0.375,0.5,0
116815740875,0.1875,-0.1875,0.6875
116815764559,-0.5625,-0.6875,0.9375
116815809544,-0.0625,-0.625,1
116815817855,0.5,-0.6875,0.6875
116815824387,1.75,-0.5,0.5
116815840192,1.75,-0.75,0.25
116815861515,0.5,-0.9375,0.6875
116815875879,-0.6875,-1.4375,0.75
116815899417,0.25,-1.5,0.75
116815945833,2,-1.375,0.9375
116815946650,1.6875,-1.5625,1.0625
116815959629,0.5625,-1.625,0.9375
116815982148,1.6875,-1.4375,0.8125
116815997170,2.0625,-0.9375,0.875
116816020261,1.75,-0.9375,0.5625
116816041316,1.875,-0.6875,0.75
116816057171,2.0625,-0.625,0.8125
116816087755,2.625,-0.5,0.9375
116816102756,2.9375,-0.8125,1.375
116816123847,3.375,-2.0625,2.3125
116816140301,1.9375,-3.3125,3.9375
116816162837,2.875,-4.125,6.6875
116816183817,6.75,-5.6875,11.3125
116816200253,6.5625,-8.875,21.75
116816222796,6.375,-13.8125,34.6875
116816243814,8.6875,-19.25,47.3125
116816260247,12.75,-24.375,60.875
116816288843,12.75,-25.4375,76.25
116816303601,5.0625,-25.9375,95.8125
116816320316,-5.125,-31.375,114.375
116816342846,-7.8125,-37.9375,130.312
116816363809,-2.8125,-43.875,148.062
116816380286,14.5,-48.875,161.625
116816402868,30.4375,-54.6875,174
116816423803,38.1875,-61.625,187.75
116816440284,42.25,-65.6875,196.938
116816462776,47.375,-67.375,204.688
116816483852,50.625,-69.3125,211.5
116816500255,49.5625,-69.375,216.062
116816522768,40.6875,-70.5625,217.5
116816543831,33.375,-68.75,218.25
116816560251,31.9375,-68.0625,215
116816582564,28.375,-69.5625,208.375
116816603903,22.8125,-68.4375,198.375
116816620290,21.3125,-64.25,180.625
116816642748,20.1875,-64.1875,162.312
116816663855,20.375,-62,138.375
116816680243,21,-56.0625,110.875
116816702749,17.4375,-43.5,75.4375
116816723805,15,-35.875,38.6875
116816740254,15,-29.3125,3.875
116816762825,7.5,-24.875,-24.75
116816783916,-1.75,-17.0625,-59.6875
116816800235,-15.8125,-12.25,-97.875
116816822799,-30.75,-6.6875,-118.812
116816843858,-34.125,-1.875,-125
116816859606,-37.125,-0.375,-103.75
116816882752,-62.625,-21.8125,-16.6875
116816903864,64.0625,12.75,76.3125
116816927802,20.5,-5.125,72.875
116816948828,-36.375,-28.125,74.125
116816965212,30.9375,-18.4375,117.062
116816987800,14.75,-17,110.938
116817008852,8.8125,-13.25,99.5
116817025285,28.125,-4.0625,93
116817047748,18.8125,-1.625,81.3125
116817068834,7.5625,2.125,54.5
116817085287,9.4375,9.625,26.0625
116817107751,10.125,14.4375,1.5625
116817130316,1.5,16.375,-28.8125
116817145763,-9.4375,18.25,-64.8125
116817167811,-14.9375,21.5,-97.4375
116817188866,-19.5,20.4375,-117.875
116817205315,-18.6875,20.5625,-132.125
116817227747,-7.8125,19.875,-138.812
116817248888,-1,11.6875,-127.125
116817272792,-25.3125,0.3125,-87.9375
116817287795,-28.1875,-3.5,34.0625
116817308838,43.0625,23.375,58.5
116817332799,-13.6875,11.3125,16.125
116817347757,-23.375,3.9375,4.25
116817368885,33.375,17.1875,21.0625
116817384599,25.9375,19.625,6.625
116817407737,7.125,22.0625,-17.5
116817428901,17.0625,30.3125,-33.1875
116817444604,14.125,34.375,-47.0625
116817467827,-5.5625,38.4375,-71.5625
116817488822,-20.9375,45.875,-96.375
116817504610,-23.125,54.875,-117.562
116817535308,-18.5625,63,-134.188
116817550301,-13.9375,67.625,-149.875
116817564659,-9.5,71.0625,-166.562
116817587774,-10.8125,73.4375,-187.188
116817610291,-18.75,73.9375,-199
116817631342,-30.5,73.9375,-205.375
116817647762,-45.375,75.4375,-207.562
116817670248,-51.1875,77.6875,-213.125
116817698914,-49.875,80.5,-216.438
116817707828,-46.4375,82.125,-209.25
116817730276,-59.875,79.875,-199.25
116817751291,-69.4375,76.5625,-187.375
116817767748,-79.3125,74.0625,-173.375
116817790284,-83.125,70.375,-158.375
116817811364,-69.375,65.75,-144.5
116817827738,-50.75,57.5625,-131.25
116817850294,-34.75,48.1875,-116.625
