timestamp,roll,pitch,yaw
116850690694,-1.53616,-1.35351,-1.86344
116850721244,-1.53665,-1.34461,-1.85175
116850729446,-1.53962,-1.3327,-1.8315
116850751929,-1.54537,-1.31667,-1.80826
116850773280,-1.56191,-1.29406,-1.77977
116850788295,-1.58938,-1.26315,-1.74486
116850811931,-1.61326,-1.22669,-1.71453
116850850999,-1.6307,-1.18308,-1.68983
116850853495,-1.6449,-1.13216,-1.66949
116850872607,-1.65821,-1.07496,-1.64906
116850893883,-1.67067,-1.01107,-1.62943
116850908256,-1.68057,-0.941465,-1.61086
116850931855,-1.68688,-0.865109,-1.5942
116850978233,-1.69134,-0.784208,-1.57934
116850978999,-1.69487,-0.697996,-1.56471
116850999351,-1.69696,-0.607428,-1.55001
116851013727,-1.69555,-0.513472,-1.53521
116851028769,-1.68965,-0.418776,-1.52051
116851052599,-1.68286,-0.325045,-1.50448
116851073746,-1.6783,-0.230776,-1.48842
116851089651,-1.67668,-0.13925,-1.47085
116851112713,-1.67387,-0.0529175,-1.45127
116851134012,-1.66421,0.0258296,-1.43119
116851156511,-1.65226,0.0922771,-1.41117
116851172657,-1.63985,0.144584,-1.39168
116851193915,-1.62867,0.183043,-1.37185
116851209587,-1.62261,0.202003,-1.35207
116851232701,-1.62147,0.206327,-1.33524
116851255274,-1.62421,0.198399,-1.32363
116851269598,-1.62912,0.180701,-1.31529
116851292727,-1.63509,0.149037,-1.30704
116851315259,-1.64346,0.10348,-1.29915
116851329503,-1.652,0.0552477,-1.29082
116851352620,-1.66308,0.00962925,-1.28396
116851375221,-1.68952,-0.0172636,-1.27893
116851396211,-1.6808,-0.00434385,-1.29052
116851412651,-1.67146,0.0198773,-1.29428
116851435163,-1.67589,0.0310099,-1.28817
116851456202,-1.66135,0.0551133,-1.28672
116851472666,-1.65743,0.0885955,-1.28365
116851495169,-1.66442,0.115811,-1.27831
116851516254,-1.66234,0.143399,-1.27501
116851538713,-1.65765,0.171477,-1.27178
116851555225,-1.65663,0.195165,-1.269
116851576239,-1.65849,0.213107,-1.26761
116851592663,-1.66038,0.223865,-1.26525
116851615142,-1.66346,0.227493,-1.26283
116851636205,-1.66789,0.225008,-1.26135
116851652728,-1.67124,0.216385,-1.26168
116851675197,-1.67245,0.198381,-1.2644
116851696220,-1.67201,0.170746,-1.26945
116851712653,-1.67208,0.133619,-1.27699
116851734977,-1.67158,0.0842531,-1.28463
116851756221,-1.67651,0.0237715,-1.29021
116851772682,-1.69005,-0.032368,-1.29788
116851795200,-1.72808,-0.0446924,-1.30708
116851816225,-1.72159,-0.0153752,-1.32736
116851832677,-1.71937,0.0182022,-1.33559
116851855145,-1.73013,0.0185282,-1.33593
116851876242,-1.71929,0.0173188,-1.34225
116851892648,-1.70325,0.0282182,-1.34855
116851915175,-1.7017,0.0330922,-1.35126
116851936205,-1.7041,0.0284304,-1.35494
116851960194,-1.70124,0.0194748,-1.36097
116851981247,-1.69446,0.00301216,-1.36893
116851997667,-1.68816,-0.02614,-1.37855
