timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117304786227,-2,2,-1,-4,-1,-1,-1,0
117304786227,1,-1,0,-3,-2,-2,-1,-3
117304786834,-1,-2,0,0,-2,-2,-1,-2
117304786834,-2,-1,1,-1,-1,-2,-2,-1
117304787672,0,0,0,1,0,-1,-2,-2
117304787672,-1,0,1,-2,-2,-1,0,-2
117304788522,0,0,-2,-2,0,-2,-1,1
117304788522,0,0,-1,-2,-2,-1,-1,-2
117304799177,-6,-2,-2,-1,-3,-1,0,-4
117304799177,-1,-2,-1,-2,-2,0,-1,0
117304807786,0,1,1,5,-1,-1,-3,-1
117304807786,0,-1,0,6,1,-1,0,1
117304815567,-1,-5,-6,-24,-8,-9,-2,-2
117304815567,-4,-1,-2,-5,3,4,1,0
117304829083,-3,-1,-3,8,4,3,1,-1
117304829083,-3,-2,-4,-9,-5,8,2,0
117304840562,0,-2,2,11,1,-10,-4,-1
117304840562,0,-2,-2,-26,-4,-4,-4,-2
117304844191,1,-2,0,22,4,-3,1,-1
117304844191,-2,-1,-1,-17,-1,-3,-3,-3
117304859182,-1,-1,-1,18,-3,-8,-1,1
117304859182,1,2,-2,-13,1,8,-1,2
117304867659,-1,-1,-4,-11,-4,3,0,-1
117304867659,-2,0,1,19,0,-2,0,-2
117304907360,-1,0,1,-3,-4,-2,1,-9
117304907360,2,0,-2,-20,-4,-6,-3,3
117304908166,1,0,0,2,4,5,0,2
117304908166,-1,-2,-1,-3,1,6,3,0
117304909036,0,-1,0,26,2,-6,-1,0
117304909036,-1,-1,-3,-2,-2,-3,-8,-3
117304912094,-1,-3,0,-14,-5,-8,-1,-2
117304912094,-4,2,1,22,4,-4,-5,-2
117304918946,2,-2,-1,-23,2,12,2,5
117304918946,-3,-1,-1,-8,-3,2,6,-2
117304926449,0,-2,-4,-7,-3,-4,0,1
117304926449,-5,-2,-3,15,-7,-1,-4,-9
117304935394,4,-1,-4,-4,-5,-19,-4,6
117304935394,5,2,2,9,5,10,2,5
117304948944,-19,-4,0,0,1,10,-2,-34
117304948944,30,4,2,-11,-2,-20,2,46
117304958591,-9,-1,-1,1,4,13,5,2
117304958591,-7,11,-1,-3,-1,-3,-10,0
117304963866,4,-8,-2,8,1,8,5,4
117304963866,-12,-3,0,-9,-2,-8,-3,-27
117304978900,-2,0,0,-5,-2,1,-5,-2
117304978900,-6,1,0,9,-1,0,0,7
117304986389,0,5,1,1,1,4,12,-59
117304986389,5,0,-4,-9,-5,-4,6,50
117304995422,-19,-7,-3,-6,-7,-9,-15,58
117304995422,-4,7,0,2,-4,-17,-3,-19
117305008876,11,2,-1,-2,-1,-3,-11,13
117305008876,-4,-5,2,-8,4,17,12,-15
117305017849,-28,-2,1,9,9,1,-18,-74
117305017849,25,7,-1,0,1,-1,20,38
117305023900,-11,-1,0,2,-3,10,-3,51
117305023900,-21,4,-1,-5,-6,-16,-3,-11
117305038882,1,4,-5,-7,-6,31,10,-26
117305038882,-23,-13,-1,-2,-2,-30,-14,-57
117305046408,23,5,6,1,-4,-10,0,78
117305046408,-5,-7,-4,-4,-1,5,-8,-30
117305055423,18,0,-1,-1,-9,6,-2,0
117305055423,-31,-10,-4,-7,-3,-1,-4,-63
117305068909,11,4,0,-2,0,-40,-7,28
117305068909,4,-2,-1,-4,0,30,9,-34
117305077842,-10,-5,-6,-2,2,-4,-1,29
117305077842,-3,-13,4,4,8,26,14,25
117305083881,-5,1,-3,-3,0,45,-12,5
117305083881,2,5,-5,-7,-16,-72,-40,5
117305098942,-13,-3,-10,-8,-10,-3,11,-32
117305098942,-5,-4,-3,-1,0,-13,-1,-68
117305106411,7,-16,2,7,7,20,3,-5
117305106411,11,-1,3,2,15,34,12,-13
117305115368,-3,1,0,0,-6,-30,-6,4
117305115368,1,-2,-4,-8,-6,-4,-2,9
117305128949,-3,5,3,-5,4,5,14,0
117305128949,-9,-1,-7,3,3,5,-4,19
117305137919,2,-1,1,-8,-4,-7,-27,-45
117305137919,29,3,-6,-7,-12,19,20,79
117305143934,-13,-1,-1,2,5,-22,-14,-73
117305143934,4,-9,-1,1,-2,-8,-6,0
117305158917,10,-7,7,3,3,-20,36,4
117305158917,24,-3,4,4,3,4,-21,70
117305166437,-22,-8,-6,1,-9,-2,8,-11
117305166437,-6,-1,1,3,0,20,-18,-6
117305175417,12,6,1,-2,2,51,9,-36
117305175417,26,7,8,2,2,-17,-20,26
117305188994,-28,1,-1,3,9,-12,18,-34
117305188994,4,18,4,-2,1,-16,1,68
117305197877,0,-14,-3,6,-1,14,2,10
117305197877,-15,0,-2,2,-16,-25,-27,-75
117305203927,17,2,-6,-1,5,12,9,42
117305203927,4,5,1,6,3,-10,-2,-7
117305218880,11,0,9,-10,1,3,14,40
117305218880,-14,-18,-10,1,8,21,-8,-21
117305226388,2,-3,-4,-6,-27,-44,-24,-16
117305226388,-5,-6,4,-12,4,20,-3,-48
117305235419,8,7,-2,-11,0,-16,11,31
117305235419,-9,3,2,1,3,19,4,-13
117305248950,-2,-3,-3,11,-7,-16,8,-17
117305248950,-2,-7,-1,-5,-5,-6,-3,11
117305257905,-10,3,-3,-3,2,-1,-5,-25
117305257905,1,3,-9,-43,10,1,-1,29
117305295279,-11,-1,1,31,-9,19,10,-26
117305295279,-2,-1,1,-11,1,-8,11,-16
117305301397,-5,-4,-12,3,-6,-4,-24,-42
