timestamp,x,y,z
117323391420,-0.3125,-0.375,0.375
117323406554,-0.9375,-0.5,-0.25
117323430243,0.8125,0.125,-0.6875
117323451525,2.0625,0,-0.1875
117323466656,-0.1875,-0.5,0.0625
117323490295,-1.3125,-0.625,0.1875
117323512775,-0.25,-0.5,0.3125
117323566783,0.5625,-0.3125,0
117323567592,0.75,-0.25,0.1875
117323583083,0.8125,-0.0625,0.4375
117323587332,0.6875,-0.3125,0.1875
117323610918,0.375,-0.5625,0.375
117323632417,0.5625,-0.3125,0.1875
117323647327,0.375,-0.4375,0.5625
117323684000,0.875,-0.25,0.375
117323694002,1.1875,-0.3125,0.375
117323707830,0.9375,-0.875,0.625
117323728895,0.25,-1.8125,1.3125
117323752043,-0.3125,-2.625,2.625
117323767839,3.125,-3.6875,4.125
117323788897,5.875,-5.75,8.875
117323812096,5.3125,-7.25,15.1875
117323827858,2.4375,-9.3125,22.9375
117323848895,1.6875,-12.125,29.75
117323872063,-7.0625,-15.375,42
117323887848,-8.5,-20.8125,58.125
117323910370,-8.8125,-27.375,74.25
117323932053,-12.0625,-36.5,86.8125
117323947870,-7.375,-46,100.562
117323968907,6.1875,-54.625,114.812
117323992075,18.8125,-62.75,130.312
117324007848,24.8125,-69.5,146.312
117324028933,24.6875,-78.375,162.5
117324051365,23.875,-87.75,177.562
117324067801,29.0625,-95.125,192.75
117324088861,38.125,-100.062,204.312
117324111416,47.9375,-104.875,212
117324127860,53,-106.125,218.188
117324148955,44.625,-108.938,224.688
117324171369,38.3125,-115.875,230.062
117324187861,31.5625,-123.438,235.688
117324210325,26.75,-127.75,239.938
117324231380,28,-133.688,243.25
117324247872,29.4375,-139.062,241.75
117324268870,27.4375,-140.688,237.562
117324291421,22.8125,-140.938,230.438
117324307829,13.3125,-143.5,213.5
117324330349,6.0625,-142.062,191.938
117324351394,5.9375,-138.25,171.812
117324367788,9.5,-132.438,152.562
117324390326,5.25,-124.25,124.125
117324411384,1.4375,-113.875,101.312
117324427851,-0.6875,-99.9375,78
117324450313,-4.4375,-84.6875,54.5
117324471401,1,-68.625,34.75
117324487837,2.3125,-49.8125,19.25
117324510350,-3.125,-28.125,3.875
