timestamp,x,y,z
85955833006,0.3125,-0.5625,0.3125
85955847320,0.4375,-0.5625,0.3125
85955876528,1.125,-0.5625,0.4375
85955892938,1.3125,-0.5,0.3125
85955914019,1.5625,-0.4375,0.625
85955930519,1,-0.375,1.125
85955952998,0.125,-0.375,1.4375
85955967465,0,-0.4375,1.375
85955990501,0.625,-0.5,1.0625
85956013936,2,-0.6875,1.3125
85956027387,5.0625,-1.0625,2.3125
85956050441,7.625,-1.375,4.6875
85956072990,13.4375,-0.0625,8.1875
85956094029,18.5625,0.375,13.5
85956110457,20.375,1.625,21.75
85956133015,12.0625,5.875,34.3125
85956154115,-2,9.5,52.375
85956170482,-13.6875,8.1875,70.8125
85956193431,-26.9375,4.75,95.25
85956214364,-40.9375,3.0625,121.5
85956230526,-52.6875,3.375,152.375
85956260585,-58.0625,1.8125,185.812
85956274347,-53.125,-2.75,218.938
85956290561,-34.25,-4.75,248.375
85956295957,-6.9375,-3.8125,275.562
85956318545,7.625,0.625,298.75
85956340943,17.1875,5.625,314.188
85956356043,10.9375,6.6875,324.5
85956378602,10.25,5.1875,326.188
85956400977,6.5,1.375,324.625
85956415924,3.125,-3.25,326.438
85956438474,2.9375,-6.4375,328.688
85956460876,1.5,-11.5625,329.188
85956475926,6.125,-23.25,323
85956498375,14.4375,-33.875,312.875
85956520860,17.25,-40.6875,295.562
85956535869,3.6875,-39.25,267.562
85956558389,-13.75,-41.25,237.812
85956580844,-18.125,-44.625,212.625
85956595841,-13.75,-43.5,179.312
85956618346,-7.375,-41.125,143.938
85956640887,-16.6875,-36.0625,102.875
85956655857,-32.5,-25.4375,54.375
85956678352,-28.4375,-5.875,7.1875
85956709731,-7.5625,30.4375,-49.625
85956715866,22.5,68.8125,-112.938
85956738411,51.6875,87.9375,-186.562
85956760950,43,95.8125,-275.812
85956775927,17.75,93.125,-388.688
85956798434,-17.5625,41.0625,-308.625
85956820863,-37.375,-14.8125,-94.4375
85956835857,-55.3125,-50.1875,113.75
85956858346,-18.125,-70.1875,196.188
85956880848,-13,-87.625,209.25
85956896117,-1.375,-95.3125,183.438
85956918564,15.5,-79.125,176.562
85956940875,6.25,-73.125,175
85956955999,-15.9375,-70.1875,163
85956978589,-25.8125,-63.3125,136.125
85957001040,-26.125,-55.0625,114.062
85957023391,-16.4375,-41.3125,86.4375
85957038596,-13.1875,-25.75,40.5625
85957061055,-5.3125,-2.3125,-7.4375
85957075998,14.5,36.4375,-58.3125
85957098450,33.5625,76.6875,-108.688
85957120960,35.9375,96.9375,-174
85957135982,17.6875,104.438,-240.312
85957158523,-6.375,124.312,-343.188
85957181087,-25.9375,122.125,-349.312
85957198845,-60.625,71,-273.562
85957218601,-34.4375,8.4375,-32.5625
85957240917,-23.875,-14.75,100.5
85957257294,3.25,-27.25,146.375
85957278581,7.0625,-54.6875,132.812
85957302389,18.8125,-56.125,83.375
85957317341,40.4375,-40.9375,42
85957338611,47.75,-38.8125,7.1875
85957360983,33.0625,-47.6875,-29.5
85957377393,5.75,-53.375,-70.75
85957398655,-13.375,-50.1875,-117.812
85957423868,-13.125,-43.3125,-164.188
85957437385,-2.375,-37.125,-199.375
85957458603,8.375,-32.1875,-217.5
85957481044,23.9375,-27.375,-227.125
85957498907,43.25,-27.625,-239.375
85957518612,42.125,-26.875,-243.312
85957541138,32.75,-29.125,-244
85957558885,25.9375,-29.5,-243.312
85957581360,16.125,-29.0625,-245.938
85957601023,-2.625,-23.0625,-240.875
85957618903,-14.3125,-15.5625,-233.688
85957638536,-18.8125,-4.9375,-230.812
85957660899,-15,0.1875,-239.188
85957678830,-9.75,-0.6875,-237.375
85957698426,-6.25,2.625,-221.188
85957721156,-9.125,6.3125,-203.812
85957738816,-24.3125,4.5,-189.75
85957758370,-39.875,3.375,-169.562
85957780867,-35.25,6.25,-153.188
85957798919,-29.6875,11.625,-136
85957821314,-29.875,15.6875,-119.438
85957841096,-38.375,16.875,-104.75
85957858811,-51.9375,16.625,-91.625
85957878397,-56.4375,15.6875,-81.5625
85957901000,-53.9375,14.8125,-72.3125
85957918809,-48.125,13.375,-63.4375
85957938570,-42.75,10.875,-55.6875
85957960955,-39.375,6.3125,-47.1875
85957978890,-34.4375,2.5,-40.125
85957998395,-25.125,-3.375,-31.25
85958020878,-12.25,-8.375,-23.8125
85958038806,0.1875,-14.4375,-16.0625
85958058341,8.5625,-19.25,-9.8125
85958080999,13.9375,-22.5625,-2.5
85958098798,16,-26.5,2.8125
85958118452,14.5,-27.625,8.4375
85958140896,15.5625,-20.75,10.5
85958163625,8.375,-12.6875,9
85958179812,-12.5625,4.5,-0.6875
85958200904,-27.4375,15.8125,-7.25
85958218856,-35.4375,11.875,-9.75
