timestamp,roll,pitch,yaw
116950410405,-1.47527,-1.26384,-2.73837
116950425443,-1.47731,-1.26427,-2.73345
116950456561,-1.47957,-1.26478,-2.72904
116950471579,-1.48267,-1.26522,-2.72518
116950486571,-1.48753,-1.2651,-2.72049
116950507825,-1.49116,-1.26442,-2.71669
116950531872,-1.49404,-1.26366,-2.71359
116950570664,-1.49727,-1.2622,-2.71005
116950571492,-1.50243,-1.25995,-2.70694
116950583480,-1.51149,-1.25548,-2.70455
116950607214,-1.52328,-1.24731,-2.70404
116950622224,-1.53749,-1.23481,-2.70312
116950643575,-1.55395,-1.21569,-2.70106
116950659462,-1.57201,-1.18951,-2.698
116950695188,-1.58924,-1.15662,-2.69211
116950705336,-1.6066,-1.11924,-2.685
116950719154,-1.62224,-1.07317,-2.68111
116950748760,-1.6358,-1.01783,-2.67815
116950762974,-1.64796,-0.953072,-2.67416
116950779266,-1.65552,-0.879554,-2.67059
116950800243,-1.66206,-0.797829,-2.66686
116950822702,-1.66532,-0.70955,-2.66228
116950840674,-1.66624,-0.615145,-2.65743
116950860169,-1.6647,-0.517694,-2.65195
116950882754,-1.66264,-0.418555,-2.64543
116950900683,-1.66288,-0.31778,-2.63691
116950920231,-1.66286,-0.216853,-2.62663
116950942761,-1.66182,-0.116969,-2.61591
116950960690,-1.66286,-0.0176872,-2.60281
116950980436,-1.66172,0.0781306,-2.58785
116951002816,-1.66017,0.171666,-2.5698
116951020923,-1.65594,0.260715,-2.54845
116951040276,-1.64949,0.342323,-2.52396
116951063009,-1.63845,0.415302,-2.49746
116951080868,-1.62355,0.478161,-2.47076
116951100267,-1.61027,0.52991,-2.44542
116951122923,-1.60008,0.571348,-2.42263
116951140860,-1.5907,0.601188,-2.40364
116951160253,-1.5825,0.620939,-2.39057
116951182969,-1.57227,0.632908,-2.38589
116951200689,-1.55957,0.638092,-2.39177
116951220337,-1.54733,0.634601,-2.40839
116951242744,-1.53983,0.617867,-2.43484
116951260673,-1.54475,0.577843,-2.46921
116951280304,-1.55706,0.519691,-2.50017
116951302840,-1.58241,0.448149,-2.51922
116951320728,-1.61806,0.389961,-2.52564
116951341707,-1.62455,0.375198,-2.52033
