timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83451567078,-5,-7,-1,-2,-3,-1,-3,-7
83451567078,0,-7,-3,0,-1,0,-2,5
83451582744,5,-4,-1,0,0,0,1,0
83451582744,-7,4,0,0,0,0,0,4
83451583579,2,2,-3,0,-1,-1,-1,-1
83451583579,4,1,-2,-1,-1,2,1,-8
83451597074,-3,0,-3,-4,-2,-2,-2,-2
83451597074,6,2,-3,1,0,0,-2,5
83451597886,-4,-8,-3,-2,1,0,0,-5
83451597886,7,4,0,0,1,0,-3,4
83451620292,-18,-13,0,-1,1,2,-1,-2
83451620292,6,3,0,0,-1,-2,-2,-1
83451621117,4,-1,1,0,-1,-2,-1,4
83451621117,-3,24,-1,-2,-1,-2,-1,-3
83451642789,11,-7,1,1,1,-1,0,-5
83451642789,3,9,-2,-1,0,-2,-1,1
83451643566,-17,20,0,0,0,-1,-4,2
83451643566,-6,-4,1,-1,-2,-1,-1,-8
83451657078,0,1,-2,0,-3,-2,-3,1
83451657078,16,8,-3,-2,-1,-2,0,0
83451657886,5,1,-1,-1,-3,-1,1,1
83451657886,-4,-9,-3,0,0,-3,-2,-2
83451680320,-4,9,0,0,-2,-2,-1,-10
83451680320,-6,-2,-2,0,-1,1,0,3
83451681080,12,-7,-3,-2,-2,-1,0,1
83451681080,-4,-2,2,-2,-1,0,-1,-4
83451702785,7,9,0,-1,0,-3,-1,-3
83451702785,-11,-6,1,-1,-1,-1,-1,1
83451703588,1,-6,-5,-4,-2,-3,-2,-2
83451703588,-1,-5,0,1,-2,-1,-1,-6
83451717144,13,-21,-3,-3,-1,0,0,6
83451717144,0,0,0,0,-1,0,0,-2
83451717923,-2,-4,0,0,0,-1,1,-1
83451717923,-9,-15,-4,-2,-2,-2,-3,-17
83451740267,-6,4,1,0,-1,-1,-1,2
83451740267,-4,7,-1,0,0,-1,-1,-2
83451741064,6,-17,-1,0,0,-2,-1,-16
83451741064,-4,0,-4,-3,-1,-2,0,14
83451762786,-3,-1,-2,-2,-3,-2,0,-3
83451762786,-16,-7,1,-1,0,-1,-2,-5
83451763581,1,10,4,0,1,-1,-3,2
83451763581,-3,-4,-2,-2,-1,0,-1,1
83451777077,4,0,0,0,-1,-3,-2,-3
83451777077,8,-5,-4,-1,-3,0,0,2
83451777865,-5,-5,-2,0,-1,-1,-1,4
83451777865,2,25,0,0,0,0,1,-1
83451800300,-4,-7,-1,-1,0,0,-1,-3
83451800300,0,-25,-4,-2,-2,-2,-1,-1
83451801065,-14,3,0,-1,0,-1,0,-19
83451801065,2,1,0,0,0,-3,0,1
83451822825,3,12,-3,-3,-2,-1,0,-1
83451822825,0,10,5,0,0,0,0,0
83451824433,10,-6,-1,-2,-3,-2,-2,6
83451824433,7,-26,-2,1,-1,-2,-1,-11
83451836411,-2,4,1,0,0,-1,3,4
83451836411,-6,8,-1,0,-2,0,-1,-2
83451845356,-4,-8,-3,-3,-2,-2,-3,5
83451845356,-5,-4,0,-1,-2,0,-1,-2
83451860289,21,2,-1,0,-1,-1,0,3
83451860289,-1,8,-1,-4,-1,-2,-1,1
83451861923,1,5,0,0,-1,0,2,3
83451861923,-5,-5,-4,-2,-2,-3,-1,7
83451882814,-7,28,1,-1,-1,-1,-4,-5
83451882814,6,-26,-6,-4,-2,-2,-2,-1
83451884345,-17,-21,-4,-1,0,-1,-2,25
83451884345,7,6,3,1,-1,1,1,-9
83451896464,-12,-5,-4,-2,-1,-1,-1,-1
83451896464,0,5,-2,0,0,0,-1,1
83451905477,4,-4,-3,-2,0,0,-1,3
83451905477,1,-2,0,-1,1,-1,-3,2
83451920317,-3,-13,-3,0,-1,0,-2,0
83451920317,-1,3,1,-2,-1,0,0,-5
83451921933,7,-2,-2,-2,-2,0,-1,-14
83451921933,1,3,2,-1,-2,-1,0,8
83451942801,-6,-13,-1,-2,-1,-2,-3,-7
83451942801,-7,-4,-2,0,0,0,0,2
83451944393,6,12,2,1,1,-1,0,-6
83451944393,-11,-1,-3,0,-1,0,0,0
83451965303,-4,-7,-2,-1,-3,-2,-1,1
83451965303,5,23,-1,-3,-3,-2,-2,7
83451966914,-2,-15,-1,1,0,-1,0,-3
83451966914,-1,-5,-2,-3,-1,0,-3,-2
83451980281,-2,-3,0,-1,1,-1,0,1
83451980281,-12,5,-3,-3,-2,-1,-2,-4
83451981898,16,12,2,1,-1,0,-3,17
83451981898,-2,-2,-2,-4,-1,-2,0,-7
83452010268,2,-1,-1,-1,0,1,0,0
83452010268,6,-7,0,0,1,-2,1,-4
83452012796,-11,-1,0,-1,-1,0,-2,0
83452012796,10,-9,-3,-2,0,1,-1,-8
83452016375,1,8,0,0,-1,-1,-1,4
83452016375,2,-7,0,0,-2,-1,-2,-1
83452025429,-7,-1,-1,0,0,-1,0,-4
83452025429,0,6,-1,2,0,0,-1,1
83452040280,-16,-6,-4,-3,-3,-2,-2,-10
83452040280,-5,7,0,1,-1,0,1,1
83452041906,0,3,-1,-2,-1,-2,0,-4
83452041906,-8,-2,-1,-1,0,-1,0,1
83452062862,3,3,-1,-2,0,-1,-3,-1
83452062862,-7,-3,-1,-1,-3,-2,0,1
83452064364,-6,-7,-1,-2,0,0,-1,-7
83452064364,0,22,-1,-2,-1,-1,-1,1
83452076451,-10,-2,-3,0,-3,-2,-2,-1
83452076451,5,-3,-3,-2,-1,0,-1,-2
83452085486,-8,-15,-4,-2,-1,-2,-1,-3
83452085486,-2,-1,1,-1,0,-3,-2,2
83452100306,1,-9,1,1,-1,-2,-2,9
83452100306,1,-4,2,0,-1,0,-3,-9
83452101956,-1,5,-1,-2,-2,1,0,0
83452101956,-3,-7,-2,-1,-2,0,-2,-1
83452122773,-9,3,-3,-1,-1,-1,-2,-10
83452122773,-1,-8,-1,-2,-2,-2,0,8
83452124367,4,7,-1,-1,0,1,0,-2
83452124367,7,-14,-1,-1,0,-1,-1,2
83452136433,6,28,6,4,1,-1,1,-2
83452136433,7,0,-1,0,2,0,1,-2
83452145402,-3,1,-1,0,-2,-3,0,-3
83452145402,3,-1,-1,-1,-3,-2,0,1
83452160259,4,1,-2,0,-3,-1,-1,-2
83452160259,-1,5,-1,-1,-1,-2,-2,-3
83452161853,2,-22,-4,-2,-1,1,1,1
83452161853,-5,-1,1,2,0,-1,-2,-2
83452182786,-8,-16,-5,-6,-4,-3,-1,-2
83452182786,5,-4,-3,-1,0,-1,-1,0
83452184446,-15,-1,-2,-2,-2,-1,-2,-2
83452184446,-1,-8,-1,0,-2,-2,0,-3
83452196494,2,-11,-4,-1,0,0,0,1
83452196494,8,-3,-1,0,1,1,-1,-1
83452205406,-4,4,-1,1,-2,-1,-1,-2
83452205406,-22,-12,-7,-4,-1,-2,-2,-6
83452220257,11,11,5,-3,-1,0,0,1
83452220257,-1,-2,-1,0,0,0,-1,0
83452221867,11,7,2,-4,-3,-2,-2,1
83452221867,-6,4,10,10,1,1,0,1
83452242811,0,-11,-16,-4,-3,-1,0,-1
83452242811,4,-1,-16,-9,-3,-3,0,0
83452244415,-2,11,9,-3,-3,-2,-1,-1
83452244415,6,8,-7,-1,0,-2,-1,0
83452256419,0,-5,11,8,-3,-2,-3,-2
83452256419,1,3,7,7,0,1,0,-1
83452265487,4,5,-6,-9,-1,-1,-1,-1
83452265487,1,-3,-2,-9,-1,-1,0,-1
83452287766,9,0,4,7,-1,0,3,4
83452287766,-9,3,-3,1,-1,1,2,0
83452289373,28,-6,2,6,1,1,-4,1
83452289373,-6,-9,4,-8,-3,-3,0,-2
83452302838,-6,9,-3,11,3,-10,-6,-3
83452302838,-20,0,9,7,5,1,-1,-1
83452304444,6,-17,-1,0,-3,-2,0,0
83452304444,7,2,-3,-23,-4,8,2,0
83452325274,-1,-2,2,0,1,4,2,-3
83452325274,-3,-2,-2,14,-1,-5,-4,-4
83452326874,-9,5,-2,13,7,3,1,-2
83452326874,2,10,6,27,-5,-3,-1,3
83452339625,-2,-12,-10,-20,0,-1,1,-1
83452339625,3,0,0,-6,-4,-2,-4,-1
83452346403,-8,1,-6,-5,2,11,3,-4
83452346403,-14,-6,-5,18,-1,-5,-3,-2
83452362715,3,1,3,9,1,5,-10,-3
83452362715,2,-3,-1,-19,-22,-10,-1,0
83452364375,-3,7,-3,-1,-1,-27,4,-3
83452364375,0,0,-2,3,-4,8,-1,-2
83452385278,-8,-17,-3,-14,1,2,1,0
83452385278,0,1,-2,-4,6,9,2,2
83452386899,3,8,2,1,-2,7,-8,-7
83452386899,-15,-11,-5,-12,-6,-11,0,-3
83452399709,-9,-2,-10,-17,-10,-6,-1,3
83452399709,18,9,1,5,5,11,7,4
83452406401,-9,-12,-10,-10,-5,-6,-7,5
83452406401,4,3,3,-3,3,-3,-7,3
83452422782,19,5,3,4,-6,-9,-7,-7
83452422782,1,-13,-7,-6,-6,-2,-2,-8
83452424432,-52,-2,4,2,8,11,4,-16
