timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
59454933381,-2,-1,0,1,0,-1,-1,-2
59454933381,-2,-2,-1,-2,0,-1,-2,-1
59454934081,-1,-1,-2,-1,-2,1,0,0
59454934081,0,-1,-1,-2,-2,-2,-3,-2
59454955852,-1,-1,-2,0,-2,-2,-1,1
59454955852,-2,0,0,-1,-1,-1,-3,0
59454956600,0,-1,0,-1,1,1,-2,-2
59454956600,0,-2,-1,-3,-2,-2,-1,0
59454978987,-1,-1,-1,1,-1,-2,0,-2
59454978987,1,-1,-1,-1,-4,-2,1,2
59454979807,1,0,-3,0,1,0,-1,1
59454979807,-4,-1,-1,-1,1,-2,0,-3
59454992626,0,-2,-2,-1,-1,-1,0,-1
59454992626,-2,0,-2,-1,0,1,-2,0
59455001003,-2,-1,1,0,0,-1,0,-1
59455001003,-1,-2,0,-1,0,0,0,-1
59455015734,-1,-3,0,-2,-2,-1,-1,-2
59455015734,-1,-3,-1,-2,1,-1,0,-1
59455016543,-2,0,-1,0,-1,-2,-2,0
59455016543,-1,0,0,-1,-2,-1,-2,-1
59455039033,-2,0,0,0,0,1,0,0
59455039033,1,0,-2,-1,-1,0,-3,0
59455039801,-1,-2,0,-2,-1,-1,0,-1
59455039801,0,-2,-1,2,-2,0,0,0
59455052657,-2,0,0,-2,-3,-2,0,0
59455052657,-2,0,-1,-1,1,0,-1,-2
59455060828,1,-1,-3,-1,-1,0,0,-1
59455060828,-1,-1,-2,-1,1,0,-2,0
59455076029,0,0,-2,-1,-2,0,-3,-2
59455076029,-1,-3,0,-3,-2,-1,1,0
59455076675,-2,1,0,1,-2,-2,-1,-2
59455076675,-2,-1,-2,-1,-1,0,-1,-2
59455099248,-2,-3,-2,-1,-1,-1,-2,0
59455099248,-2,-2,0,0,0,0,-1,-1
59455099812,-1,2,-1,-1,-2,-3,-2,-2
59455099812,0,-2,-2,-3,-1,-2,-1,0
