timestamp,x,y,z
59454940367,3.875,-0.125,0.1875
59454962679,3.125,0.125,-0.125
59454980650,2.3125,0.25,-0.5
59455001672,2.125,0.375,-0.6875
59455022692,2.1875,0.4375,-0.75
59455040623,2.6875,0.375,-0.75
59455061649,2.9375,0.4375,-0.5625
59455082759,1.875,0.375,0
59455100739,0.75,0,0
59455127787,0.875,0.125,-0.5625
59455142752,2.25,0.4375,-0.8125
59455160657,1.3125,0.375,-0.75
59455181675,-0.75,0.1875,-0.5
59455202758,-0.875,0.25,0.125
59455220597,1.0625,0.3125,0.1875
59455241627,1.9375,0.4375,0.1875
59455262681,0.9375,0.5,0.4375
59455280600,-1.25,0.4375,0.75
59455303147,-2.5625,0.25,1
59455322695,-1.4375,0.3125,0.8125
59455340629,0.5,0.5,0.5625
59455363157,0.3125,0.5,0.5
59455382718,-1,0.4375,0.25
59455400642,-1.5,0.375,0.125
59455423178,-0.6875,0.1875,-0.3125
59455442716,0.375,0.3125,-0.6875
59455460614,0.625,0.1875,-0.8125
59455483103,0.375,0.0625,-1
59455502744,0.6875,-0.3125,-1.125
59455520669,0.6875,-0.5,-1.125
59455543134,0.1875,-0.75,-1.125
59455562697,-0.375,-0.625,-1.125
59455580606,-0.8125,-0.375,-1.0625
59455603134,-0.5625,-0.1875,-1.0625
59455622701,-0.5625,-0.25,-1.25
59455640629,-1.0625,-0.3125,-1.375
59455662356,-1.75,-0.5,-1.3125
59455683365,-1.6875,-0.4375,-1.375
59455699840,-0.375,-0.4375,-1.4375
59455722329,1.1875,-0.125,-1.375
59455743376,-0.125,-0.25,-1
59455759859,-2.0625,-0.5,-1.0625
59455782364,-1.5625,-0.1875,-1.1875
59455803400,-0.375,-0.3125,-1
59455819863,-0.4375,-0.5,-0.9375
59455842417,-1.25,-0.6875,-0.5
59455863371,-0.6875,-0.6875,-0.125
59455879849,0.375,-0.8125,0
59455902352,0.3125,-0.9375,0
59455923375,-0.5625,-1.125,0.1875
59455939820,-1.125,-0.9375,0.375
59455962424,-1.4375,-1.125,0.4375
59455983375,-0.5625,-1.0625,0.1875
59455999818,0.25,-1,0.0625
59456022358,0,-0.875,-0.0625
59456043378,-0.8125,-0.9375,-0.375
59456059814,-1.25,-0.6875,-0.4375
59456088383,-0.625,-0.4375,-0.6875
59456103405,-0.25,-0.4375,-0.8125
59456119889,-0.375,-0.3125,-0.75
59456142352,-0.875,-0.25,-0.6875
59456163382,-1.1875,-0.125,-0.5625
59456179949,-1.3125,0,-0.1875
59456202326,-1.25,0,-0.1875
59456223434,-1.1875,0.1875,-0.25
59456239776,-1.0625,0.4375,-0.3125
59456262396,-1.4375,0.4375,-0.5
59456284818,-1.4375,0.6875,-0.625
59456299824,-1.1875,0.625,-0.5
59456322328,-1.125,0.4375,-0.5
59456344813,-0.875,0.3125,-0.4375
59456359852,-0.375,0.4375,-0.625
59456382373,-1.25,0.4375,-0.4375
59456404863,-2,0.1875,-0.5625
59456425879,-0.875,0.4375,-1.125
59456442993,0.5,0.4375,-1.0625
59456464795,-0.25,0.125,-1.0625
59456479196,-1.625,-0.375,-0.8125
59456502333,-1.5625,-0.5,-0.75
59456524880,0.25,-0.25,-0.8125
59456539132,1.1875,-0.125,-1
59456562362,0.4375,-0.1875,-0.875
59456584817,-1.4375,-0.25,-0.5625
59456599170,-2,-0.5625,-0.375
59456622355,-1.0625,-0.5625,-0.5625
59456644864,0.6875,-0.375,-0.6875
59456659168,0.9375,-0.5,-0.5625
59456682363,0.3125,-0.5,-0.5
59456704878,-0.375,-0.4375,-0.375
59456719198,-0.1875,-0.375,-0.25
59456742367,0,-0.375,-0.3125
59456764788,-0.1875,-0.5625,-0.3125
59456794860,0.0625,-0.625,-0.25
59456802350,-0.0625,-0.5625,-0.5
59456824865,0.5,-0.5625,-0.5625
59456845877,0.3125,-0.3125,-0.75
59456869799,-0.9375,-0.375,-0.625
59456884789,-2.125,-0.9375,-0.25
59456905859,-4.9375,-1.5,0.9375
59456922385,-8.875,-1.25,3.875
59456944860,-11.9375,-0.5625,7.125
59456965855,-12.3125,-0.625,13.25
59456981677,-8.625,-0.9375,21.75
59457004797,-9.375,-3.1875,32.75
59457025862,-18.3125,-5.4375,44.4375
59457041635,-25.8125,-8.5625,60.8125
59457064852,-24.875,-10.6875,77.375
59457085885,-19.75,-12.75,97.75
59457101636,-15.25,-15.5625,115.125
59457124831,-16.75,-19.25,138.312
59457145846,-19.75,-26.375,160.438
59457161623,-12.4375,-34.25,184.562
59457184862,12.875,-38.9375,206.875
59457207393,36.375,-41.4375,227.25
59457221646,48.375,-44.4375,249.938
59457244811,47.9375,-48.5625,274.312
59457267370,54.875,-49.375,295.312
59457281616,56.25,-52.5,314
59457304809,67.0625,-56.3125,322.688
59457327334,72.0625,-56.0625,328.188
59457348387,77.5625,-56,333.438
59457364815,80.625,-55.625,334.312
59457387360,76.375,-55.75,334.375
59457416236,78.625,-56.25,330.25
59457426341,74.125,-54.6875,321.188
59457447342,72.75,-57.875,315.875
59457468367,74.0625,-56.0625,307.125
59457484838,79.25,-53.4375,290.562
59457507363,79.5,-51.0625,273.188
59457528387,80,-46.1875,259.5
59457546142,78,-43.25,245.5
59457567075,69.5,-39.9375,230.062
59457588383,66.125,-35.4375,214.5
59457604839,60.25,-28.75,198.5
59457627370,52.125,-26.125,179.25
59457648378,56.625,-27.5625,161.562
59457664857,50.1875,-37.5625,156.375
59457687370,49.5,-19.875,132.812
59457715852,45.875,-24.1875,120.812
59457732405,32.0625,-29.8125,111.438
59457747357,26.625,-26.375,104
59457768404,22.3125,-19.5625,94.625
59457784829,15.5,-12.6875,84.0625
59457807367,11.875,-6.0625,68
59457829823,16.4375,-3.875,57.875
59457852352,8.5625,-4,36.875
59457867356,8.625,3.25,14.8125
59457888328,18,18.4375,-19.875
59457904598,37.75,40.375,-69.9375
59457927363,52.375,62.375,-142.125
59457948388,45.5625,78.4375,-250.875
59457964120,16.9375,87.125,-374.062
59457987353,-33.6875,90.5,-445.938
59458008397,-97.8125,52.375,-496.5
59458024801,-162.25,29.5,-366.125
59458047358,-13.5625,11.875,-177.625
59458068422,41.75,-13,-64.375
59458101261,126.375,-7.4375,22.3125
59458107435,100.812,-5.8125,109.562
59458129779,34,2.75,76
59458144156,-14.9375,11.9375,31.8125
59458167383,-32.6875,13.4375,9.9375
59458189778,-43.375,10.375,-3.3125
59458204106,-43.0625,7.75,-8.1875
59458233374,-11.25,9.125,-11.75
59458257354,24.8125,5.75,-13.25
59458270827,39.1875,0.875,-11.5625
59458287349,33.75,-2.8125,-9.25
59458325457,21,-5,-5.375
59458330838,10.9375,-5.625,-0.5625
59458347356,10.0625,-6.3125,4.9375
59458370360,13,-5.5625,8.75
59458390903,16.8125,-5.125,14.625
59458407380,16.0625,-6.5625,21.625
59458429779,12.25,-10.6875,29.5
59458450893,9,-12.4375,38
59458467398,7.375,-14.375,48.5
59458491298,9.25,-16.875,60
59458512369,10.0625,-18.8125,69.25
59458534782,6,-20.875,77.6875
59458549754,6.75,-23.5625,86.9375
59458570886,5.625,-25.0625,93.625
59458594813,5.9375,-25.1875,99.8125
59458609806,5.0625,-25.75,104.688
59458630822,4.6875,-24.5625,106.062
59458647355,4.5625,-24.75,106.812
59458669814,4.5,-25.625,103.375
59458690851,-2.625,-24.1875,95.1875
59458707347,-11.8125,-20.75,85.5
59458737356,-19,-18.25,77.625
59458750839,-28.875,-15.6875,66.1875
59458767365,-39,-15.3125,50.0625
59458789585,-45.9375,-16.5,33.625
59458810832,-57.4375,-18,13.3125
59458827353,-66.25,-18.8125,-9.9375
59458849781,-79.25,-17.625,-32.625
59458870821,-84.875,-16,-51.5625
59458886601,-99.5625,-11.625,-77.625
59458909835,-112.75,-5.6875,-104.812
59458938430,-120.938,3.4375,-134.562
59458946662,-133.438,11.1875,-169.125
59458969807,-138.75,19.625,-195.75
59458990862,-128.875,38.4375,-222.438
59459006611,-123.625,55.3125,-248.375
59459029818,-112.312,76.6875,-275.938
59459050824,-98.875,92.75,-309.25
59459073314,-104,94.5,-337.938
59459089821,-114.688,93.0625,-338.938
59459112323,-102.75,95.375,-344.562
59459126628,-93.0625,93.875,-352.562
59459164809,-88.875,97.3125,-360.188
59459172313,-77.125,98.9375,-367.438
59459186593,-66.375,95.9375,-370.5
59459209740,-52.5,90.5,-368.312
59459232311,-49.1875,81.4375,-372.25
59459253394,-61.5625,74.625,-373.375
59459269804,-70.1875,78.8125,-364.5
59459292364,-61.625,85.25,-352.312
59459313432,-39.8125,81.5,-345.812
59459329807,-25.375,74,-344.062
59459352387,19.25,72.5,-327.812
59459373354,61.9375,76.9375,-296.562
59459389819,56.9375,69.3125,-244.938
59459412371,-10.5,46.875,-194.562
59459433387,-93.25,26.3125,-137.062
59459449792,-144,13.5,-83.125
59459472361,-142.25,8.875,-50.8125
59459493418,-113.562,9.875,-24.3125
59459509820,-76.9375,10.125,-6.5
59459532360,-39.3125,6.625,5.1875
59459570340,-12.5625,1.1875,10.9375
59459572765,0.375,-3.9375,13.3125
59459592274,2.4375,-6.875,14.875
59459613381,0.5625,-8.0625,15.6875
59459629887,2.4375,-7.6875,16
59459652973,8.3125,-6.3125,16.375
59459673344,13.25,-5.5625,18.6875
59459689839,10.4375,-5.8125,23.4375
59459712364,0,-8.5625,29.375
59459733375,-10.1875,-12.5625,36.875
59459749132,-13.9375,-16.5,44.25
59459773775,-9.5625,-20.5,51.875
59459793373,-2.3125,-25.75,57.75
59459809142,7.0625,-30.875,62.25
59459832358,17.875,-35,65.4375
59459860891,27.75,-38.375,67.75
59459869203,31.375,-39.8125,68.0625
59459892369,28.9375,-39.6875,65.125
59459913380,34.25,-37.9375,60.125
59459929128,44.375,-34.6875,54.1875
59459952361,51.5625,-30.6875,48.875
59459973404,51,-27.375,43.4375
59459989064,42.375,-24.625,36.5
59460012333,31.3125,-21.375,29.1875
59460034812,20.5,-16.75,22.3125
59460049161,13.0625,-11.5,15.875
59460072355,11.5,-6.375,8.6875
59460094801,12.625,-2.0625,1
59460109163,12.125,0.9375,-5.6875
59460132355,11,1.25,-10.4375
59460154817,13.5,-0.375,-15.1875
59460175857,20.75,0.4375,-19.25
59460192327,23.625,4.375,-19.3125
59460214798,13.5625,7.8125,-16.4375
59460236565,-2.8125,7,-14.4375
59460238187,-10.875,5.25,-13.6875
59460257780,-6.3125,4.9375,-12.625
59460280275,3.0625,5.6875,-11.5
59460298194,6.5,5.125,-10.125
59460317815,3.0625,4,-8.75
59460340498,-2.3125,3.4375,-7.125
59460356727,-4.0625,2.875,-5.5
59460380638,-2.25,2.4375,-4.5625
59460403205,0.25,2.125,-4.125
59460416669,1.25,2,-4
59460437773,0.1875,1.9375,-3.0625
59460460296,-3.125,1.75,-1.875
59460478100,-6.625,1.3125,-1.5625
59460497777,-7.5625,1.25,-1.5
59460520260,-5.25,1.3125,-2.0625
59460536669,-1.625,1.3125,-3.1875
59460557786,-1.375,0.8125,-3.4375
59460580207,-1.0625,0,-2.75
59460596676,-1.5625,-0.5,-2
59460617801,-2.1875,-0.8125,-2.375
59460640163,-0.875,-1,-2.875
59460656632,1.375,-0.8125,-3.4375
59460680735,3.3125,-1.1875,-3.6875
59460700231,4.6875,-1.875,-4.25
59460716720,8.375,-2.1875,-4.9375
59460737790,12.75,-1.8125,-4.5625
59460760198,13.1875,-1.9375,-3.375
59460776713,8.8125,-2.3125,-1.75
59460797913,2.125,-2.1875,-0.25
59460820411,-2.8125,-1.875,0.5625
59460836717,-3.5625,-1.4375,0.8125
59460857776,-1.4375,-0.6875,0.1875
59460883202,0.3125,0,-0.5
59460896696,0.625,0.4375,-0.8125
59460917903,-0.1875,0.4375,-0.6875
59460940278,-1.3125,0.25,-0.5
59460956670,-0.6875,-0.0625,-1
59460977746,2.0625,0,-1.4375
59461000262,4.1875,0.0625,-1.375
59461018068,4.0625,-0.1875,-1.5
59461037884,1.8125,-0.125,-1
59461060283,0.5625,-0.25,-0.75
59461078059,0.5625,-0.1875,-0.75
59461097910,0.9375,-0.0625,-0.75
59461120381,1.375,0.4375,-0.6875
59461138280,1.125,0.5625,-0.5
59461157748,-0.25,0.4375,-0.5625
59461180216,-0.5625,0.375,-0.625
59461198166,-0.1875,0.4375,-0.625
59461217843,0.25,0.25,-0.6875
59461240419,0.1875,0.375,-0.75
59461258167,0.1875,0.4375,-0.5
59461277763,-0.1875,0.4375,-0.4375
