timestamp,x,y,z
59614744021,2.4375,0,-0.75
59614759019,3.4375,0.1875,-0.625
59614781527,3.25,0.0625,-0.4375
59614795818,1.9375,-0.1875,0.0625
59614819000,1.625,-0.125,0.5625
59614841462,2.125,-0.0625,0.75
59614855878,1.8125,0.25,0.5625
59614879093,1.9375,0.625,0.75
59614901594,1.4375,0.9375,1.0625
59614915885,0.9375,1.1875,1.9375
59614939276,-0.875,1.4375,2.625
59614969530,-3.4375,1.3125,3.0625
59614982536,-4.5625,1.75,3.5
59614998978,-4.5,1.625,3.5
59615021500,-2.8125,1.8125,3.1875
59615042615,-1.8125,2.0625,2.9375
59615059004,-3.0625,1.8125,2.8125
59615089016,-3.875,1.8125,2.1875
59615102988,-3.5625,1.8125,1.875
59615120600,-2.75,1.625,1.6875
59615141591,-2.6875,1.3125,1.3125
59615162551,-3.3125,1,0.9375
59615179067,-3.75,0.8125,0.5625
59615201612,-3.25,0.8125,0.0625
59615224093,-2.9375,0.625,-0.1875
59615239106,-3,0.375,-0.25
59615261577,-2.375,0,-0.1875
59615282551,-1.625,-0.25,-0.3125
59615299043,-0.3125,-0.25,-0.5625
59615321505,1.375,0.0625,-0.8125
59615342589,1.3125,0.3125,-0.5625
59615358985,0.1875,0.1875,-0.625
59615381532,1.0625,0.5,-1
59615404004,2.8125,1.0625,-0.75
59615418952,2,1,-0.5
59615441508,0.0625,1,-0.3125
59615447038,-0.375,1,-0.125
59615469440,0.5,0.9375,-0.5
59615484645,0.625,1.0625,-0.9375
59615507053,0.625,1.0625,-1.3125
59615529485,0.375,0.9375,-1.4375
59615544476,0.375,0.5625,-1.4375
59615574573,1.1875,0.375,-1.5625
59615589556,1.75,0.1875,-1.4375
59615604436,1,0.0625,-1.4375
59615626862,0.5625,-0.0625,-1.4375
59615649596,0.5625,0,-1
59615664642,0.3125,-0.0625,-0.9375
59615687076,0.1875,-0.125,-0.875
59615726700,-0.25,0,-0.75
59615728958,-0.0625,-0.0625,-0.75
59615747094,0.3125,-0.1875,-0.5
59615769476,0.4375,-0.3125,0.0625
59615784559,-0.125,-0.375,0.125
59615807144,-0.75,-0.375,0.125
59615829369,-1.0625,0.3125,0.0625
59615844643,-0.3125,0.4375,0.125
59615866999,-0.0625,0.1875,0.1875
59615889397,-0.5,0.0625,0.0625
59615904604,-1.1875,-0.125,-0.125
59615929963,-0.6875,-0.1875,-0.5625
59615949690,0.625,-0.125,-0.5
59615964571,0.625,-0.3125,-0.0625
59615987144,-1,-0.5625,-0.0625
59616009387,-1.6875,-0.375,-0.4375
59616027454,-0.8125,0,-0.5625
59616047045,-0.125,-0.1875,-0.4375
59616077832,0.375,-0.625,-0.3125
59616085835,0.25,-0.8125,0.1875
59616107089,0.1875,-0.6875,0.1875
59616132436,-0.125,-0.4375,0.125
