timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
59658258137,-6,-22,-2,-2,-2,-3,-1,-1
59658258137,0,6,-1,0,0,-1,0,-7
59658273035,-4,-12,-3,-3,-1,-1,1,2
59658273035,-3,-1,1,-1,-2,0,-1,-4
59658274610,0,3,-2,-1,-1,1,-1,-3
59658274610,5,2,1,-1,-2,-1,-2,4
59658295454,-6,0,-5,-2,-1,-3,0,-3
59658295454,1,-5,-1,0,0,-2,-1,-1
59658297033,-1,-2,-2,-2,-1,0,-1,1
59658297033,-3,-1,-1,-1,1,-2,-1,-4
59658309803,-1,3,0,0,0,0,0,8
59658309803,-1,-4,-5,-2,0,-1,-1,-8
59658316695,-11,5,2,0,-2,-1,0,-3
59658316695,-1,1,-3,-2,-3,0,0,4
59658332976,-2,2,0,2,-1,-1,0,-3
59658332976,-2,-5,-2,-2,-2,-1,-3,4
59658334606,2,-4,-1,2,-1,-1,0,1
59658334606,4,8,-1,-2,0,-1,-1,-2
59658355462,-1,3,0,-1,-1,0,-2,-1
59658355462,-2,-3,-1,0,-1,-2,-1,-1
59658356992,15,4,-2,-2,-1,-3,-1,-1
59658356992,-1,-2,-2,-1,0,-1,-1,-3
59658369858,8,3,-1,-1,0,-1,-3,-2
59658369858,-5,-2,-1,0,0,-2,0,-5
59658376615,-3,0,-2,0,-3,-2,-2,0
59658376615,-3,-5,-2,-1,-3,-2,-2,-1
59658393175,1,11,-1,-2,0,-2,-3,-3
59658393175,-8,-1,-3,1,1,0,-2,-12
59658394607,-1,-3,-3,-2,-2,-2,-1,6
59658394607,-2,-2,-2,-3,-2,0,-2,-1
59658423193,-1,1,-1,0,-2,-2,-1,-2
59658423193,15,13,0,-2,-3,-2,-1,3
59658424636,-1,-7,-3,-2,0,-1,1,0
59658424636,10,10,3,2,-1,-1,0,2
59658429872,-3,-4,-1,-1,0,-2,0,-4
59658429872,3,1,-2,-3,-1,-1,-3,6
59658436732,8,-1,0,-2,-1,-1,-3,-1
