timestamp,x,y,z
59938389921,0.0625,-0.5625,0.3125
59938412449,-1.3125,-0.8125,1
59938433505,-2.0625,-1.375,1.4375
59938449266,-2.375,-1.6875,1.6875
59938472412,-1.5625,-1.625,1.6875
59938494930,0,-1.375,1.625
59938509931,-0.3125,-1.3125,1.75
59938532461,-1.625,-1.4375,1.5625
59938554967,-2.3125,-1.375,1.3125
59938569948,-0.9375,-1.1875,1
59938592373,-1.1875,-0.4375,0.6875
59938614939,-2.875,-0.5625,0.75
59938629304,-2.8125,-0.4375,0.9375
59938652504,-1.75,0.0625,0.75
59938674996,-0.9375,0.25,0.25
59938689262,-0.625,0.5625,0
59938712378,0,1.1875,-0.4375
59938734845,-0.25,1.5625,-0.75
59938749307,-0.5,1.8125,-1.125
59938772398,0.375,1.875,-1.4375
59938794903,0.9375,1.875,-1.6875
59938809290,0.9375,1.6875,-1.9375
59938832491,1.1875,1.625,-2.125
59938854995,1.625,1.375,-1.875
59938869252,1.875,1.1875,-1.75
59938892439,1.4375,0.9375,-1.4375
59938914956,0.4375,0.6875,-0.9375
59938929323,-0.75,0.375,-0.8125
59938952510,-1.4375,0.1875,-1
59938975051,-1.25,0.0625,-1.125
59938996270,-0.625,-0.0625,-1.0625
59939013352,-0.1875,-0.3125,-0.625
59939034965,-0.125,-0.5625,0
59939055994,-0.625,-0.875,0.75
59939072425,-1.8125,-1.125,1.3125
59939094997,-2.8125,-1.125,1.4375
59939116242,-2.9375,-1,1.3125
59939132416,-2.25,-1,1.125
59939154976,-1.5,-1.0625,0.9375
59939176123,-1.25,-1.1875,0.625
59939192475,-1.25,-1.375,0.5
59939214974,-0.6875,-1.3125,0
59939236155,-0.1875,-1.125,-0.1875
59939252493,-0.6875,-0.75,-0.25
59939274978,-1.9375,-0.625,-0.1875
59939296119,-1.875,-0.4375,-1.125
59939312417,-0.1875,0.125,-1.5
59939334945,0.6875,0.3125,-1.9375
59939356224,-0.125,0.4375,-1.8125
59939372424,-0.875,0.1875,-1.375
59939394942,0.1875,0.3125,-1.0625
59939417449,1.4375,0.5,-1.0625
59939432420,0.9375,0.6875,-0.9375
59939454990,-0.3125,0.8125,-0.6875
59939477390,-1.0625,1,-0.3125
59939492438,-1.1875,0.75,0.25
59939514896,-0.625,0.5625,0.125
59939537462,-0.125,0.4375,0.0625
59939551753,0.5,0.625,0.0625
59939574920,0.625,0.6875,0.0625
59939597349,0.4375,0.4375,0.3125
59939619971,0.375,0.125,0.5
59939635020,0.4375,0,0.5625
59939657430,0.625,-0.1875,0.375
59939671773,1,-0.1875,0.375
59939694893,0.8125,-0.1875,0.5
59939717483,0.3125,-0.4375,0.6875
59939731796,0.0625,-0.8125,0.6875
59939754989,0.1875,-0.875,0.625
59939760568,0.625,-0.8125,0.25
59939783040,0.75,-0.5625,0
59939799266,0.5625,-0.375,-0.25
59939823323,-0.125,-0.375,-0.4375
59939843127,-0.6875,-0.25,-0.5
59939859334,-0.875,-0.0625,-0.625
59939880353,-0.1875,0.0625,-0.75
59939903010,0.3125,-0.0625,-0.75
59939919319,0,-0.125,-0.75
59939940498,-0.1875,-0.125,-0.6875
59939962830,0.0625,-0.125,-0.6875
59939979321,0.5,-0.125,-0.6875
59940000381,0.9375,-0.3125,-0.6875
59940022893,1.625,-0.8125,-0.4375
59940039340,1.8125,-1.6875,0.25
59940060532,0.4375,-2.625,2
59940083035,0.4375,-3.625,3.25
59940099306,4.5,-4.125,4.8125
59940120472,9.125,-5.25,9.875
59940145837,9.125,-7.5,17.9375
59940165569,6.625,-10.9375,30.125
59940180478,3.8125,-16.75,46.375
59940202843,3.0625,-22,64.9375
59940225369,0.125,-29.6875,90.5
59940240542,-9.625,-41.125,119.188
59940270381,-1.9375,-52.375,146.062
59940285458,7.6875,-60.75,181.625
59940300603,27.6875,-64.1875,211
59940322989,35.3125,-68.5,238.625
59940348294,31.875,-73.875,260.125
59940360408,25.25,-79.75,278
59940383071,34.875,-87.4375,292
59940405430,49.5,-90.3125,304.062
59940420547,49.6875,-90.3125,312.625
59940450536,39.8125,-92.4375,315.312
59940474074,33.875,-98.9375,312.312
59940480324,35.9375,-102.188,306.312
59940502817,41.125,-99.375,289.875
59940525333,39.0625,-96.9375,264
59940547926,35,-92.0625,241.438
59940562843,32,-90.875,212.375
59940585443,27.875,-85.6875,176.25
59940600337,22.1875,-78.875,136.562
59940622848,10.5625,-71.375,92.1875
59940645351,-6.875,-63.0625,40.6875
59940660426,-22.1875,-52.375,1.5
59940682840,-25,-36.625,-27.3125
59940705391,-30.875,-18.25,-56.1875
59940720457,-31.1875,-0.875,-81.25
59940750315,-23,7.1875,-112.25
59940765556,-10.0625,14.25,-145.375
59940780467,-5,20.75,-175.625
59940802863,-1.0625,28.3125,-218.25
59940825419,-28.625,20.25,-277.188
59940843261,-54.4375,4.25,-288.938
59940863037,-111.25,-8.4375,-285.5
59940885359,-50.6875,22.3125,-28.375
59940900299,25.6875,35.3125,132.438
59940922833,-65,-11,-24.25
59940953546,30,-35.5,-7.625
59940969083,-5,20.75,-175.625
59940982803,32.875,-34.125,88.5
59941005382,19.75,-35.4375,106.312
59941021795,32.875,-27.6875,130.688
59941045740,54.5,-18.75,147.562
59941060777,56.875,-8.875,160.25
59941081784,49,-2.6875,161.938
59941102887,41.8125,-1.75,152.312
59941120760,32.9375,-4,137.75
59941158109,34.4375,0.4375,121.688
59941162947,31.1875,2.4375,96.1875
59941180821,19.9375,-1.875,68.9375
59941201841,7.5625,-8.875,43.875
59941222828,-5.9375,-12.1875,16.4375
59941253723,-5.3125,-10,-6.8125
59941261898,-8.9375,-9.1875,-42.625
59941283018,-18.5625,-7.6875,-77.9375
59941300766,-23.1875,-5,-111.438
59941323309,-11.9375,2.1875,-149.188
59941360018,5.125,11.25,-196.125
59941362239,12.3125,13.25,-242.312
59941383256,-15.5,7.125,-296.25
59941403064,-76.25,-7.3125,-339.125
59941425510,-234.562,-19.1875,-214.125
59941443236,105.625,29.6875,157
59941462986,34.4375,15.6875,80.4375
59941480739,-101.188,-13.75,-14.1875
59941503233,-39.875,-25,0.9375
59941522930,42.5625,-18.5,10.875
59941540758,26.75,-26.25,-2.3125
59941563249,-5.3125,-23,-26.4375
59941582810,0.75,-12.125,-35.875
59941600832,4.3125,-3.0625,-48.25
59941623196,2.0625,10.25,-65.5
59941642869,0.75,23.875,-87.3125
59941660785,-2.375,33.375,-109.062
59941683278,-13.375,41.4375,-131.625
59941702815,-29.0625,50.25,-150.938
59941720735,-37.6875,58.5,-165.312
59941743303,-33.75,63.625,-178.125
59941765778,-36.6875,66.6875,-186.562
59941780716,-48.75,70.75,-189.375
59941802465,-62.875,76.5625,-184.625
59941823052,-72.875,82.75,-178.25
59941840738,-85.8125,84.6875,-173.625
59941863341,-87.6875,82.8125,-168
59941882991,-84.0625,78.125,-169.062
59941900785,-75.375,74.0625,-164.75
59941923205,-63.5,70.75,-156.438
59941943703,-55.1875,65.4375,-151.625
59941966071,-51.4375,59.5625,-144.375
59941989965,-38.5625,54.25,-137.062
59942004885,-23.4375,48.375,-128.188
59942020721,-2.625,44.875,-121.125
59942042390,-0.0625,38.75,-110.562
59942063442,-4.5,33.5,-97.5
59942086186,-17.1875,29.75,-82.5625
59942102461,-26.75,27,-74.5625
59942123492,-32.875,26.125,-59.6875
59942139256,-35.125,23.8125,-47.375
59942162401,-34.9375,19.1875,-33.625
59942183401,-35.9375,12.8125,-23.1875
59942214866,-33,6.25,-12.375
59942222169,-26.25,-0.9375,-2.625
59942244845,-14.9375,-7.4375,5.8125
59942259250,-5.625,-12.5,13.625
59942289997,-1.25,-15.9375,19.6875
59942304924,1.5625,-18.75,25.5625
59942333564,0,-24.0625,28.625
59942342367,-5.6875,-27.5,25.3125
59942364861,5.625,-18,18.75
59942386469,8.6875,-7.875,15
59942402383,-2.125,-1.9375,14
59942424917,-6.1875,1.1875,17.0625
59942446064,-5.4375,1,19.125
59942462422,-0.5,-4.5,21
59942492383,12.625,-9.1875,19.3125
59942505932,32.6875,-10.5,16.4375
59942522261,48.5625,-9.625,13.4375
59942544904,49.25,-8,14.125
59942566211,39.1875,-6.625,12.4375
59942582464,26.25,-4.1875,8.5
59942604929,17,-1.25,3.8125
59942626101,4.5,1.4375,0.6875
59942642423,-6.375,3.5,-2.875
59942664839,-14.75,4.4375,-5.875
59942679265,-14.9375,4.3125,-6.5
59942702394,-12.375,3.8125,-5.125
59942724929,-11.0625,2.6875,-3
59942753513,-9.5625,0.75,-1.125
59942762356,-7,-0.625,-0.0625
59942784968,-2.6875,-1.5625,1.0625
59942805995,2.4375,-2.125,2
59942823006,6.3125,-2.375,2.625
59942844968,8,-2.3125,2.75
59942866009,6.875,-2.25,2.125
