timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
60062317745,-5,-5,-3,-1,0,1,-1,-2
60062317745,6,6,1,-6,-1,-3,-4,1
60062318604,-5,-2,0,0,-1,-1,-1,-1
60062318604,7,4,-1,-3,1,-2,-1,0
60062332119,-1,-9,-2,-1,-1,-2,-1,-1
60062332119,0,2,0,-1,-1,-1,0,-1
60062340367,-2,-2,-3,-2,-1,-2,0,0
60062340367,-1,2,-1,-4,-3,-2,-1,-1
60062355247,0,2,-1,-2,-1,-2,-2,-1
60062355247,-3,-17,-2,0,1,-1,0,-1
60062356126,-7,-21,0,6,1,-1,-1,-1
60062356126,5,-1,-5,0,-2,0,0,-1
60062378508,7,1,3,-2,0,1,-1,0
60062378508,1,1,-2,2,-2,-2,0,-1
60062379329,-2,6,2,-2,2,0,-1,0
60062379329,-2,-4,-1,4,-1,-1,-3,-1
60062400985,-5,-4,-2,0,-3,-2,-2,-2
60062400985,1,9,1,-2,-1,0,-1,-1
60062401797,5,3,0,-1,-1,-1,-1,-2
60062401797,-4,0,-1,0,0,-1,-2,0
60062415339,0,1,1,0,-1,0,0,0
60062415339,1,4,-1,-3,-2,-2,0,-2
60062415995,2,3,-2,-2,-1,-2,-1,0
60062415995,-4,-4,-1,-4,0,-2,-2,-1
60062438536,-2,2,1,3,0,-2,-1,0
60062438536,-3,-3,-3,-1,-2,-2,-1,-1
60062439393,-12,-4,-4,-8,-3,-1,-3,-2
60062439393,-4,2,-1,-1,-1,-1,0,-3
60062452234,-6,-12,-1,-2,-1,-1,-1,0
60062452234,0,8,0,3,-2,-1,-2,-3
60062460473,1,2,0,-4,-3,0,-1,-1
60062460473,1,-1,-4,-2,-2,0,-1,1
60062475596,-1,0,0,-3,-1,1,-3,-3
60062475596,0,-5,-4,0,-1,0,1,1
60062476187,-1,7,5,8,2,0,-1,2
60062476187,7,3,-1,-4,0,-2,-3,-1
60062498500,0,-2,-2,-3,-4,-1,0,-1
60062498500,-2,-3,-1,0,0,-2,-2,0
60062499358,1,-2,-2,5,0,-1,1,0
60062499358,0,-4,-1,0,0,-1,0,-1
60062512173,-1,2,1,-2,0,-1,-1,1
60062512173,-1,-3,-2,-2,-2,-1,-2,-1
60062520509,0,-1,-1,-1,-2,-2,-3,-2
60062520509,-5,-3,2,-2,-1,-1,-3,-4
60062535393,-1,-1,-5,2,-1,-3,0,-1
