timestamp,roll,pitch,yaw
60121696502,-1.57392,-1.26688,-0.569563
60121710912,-1.57126,-1.26825,-0.572683
60121740091,-1.56907,-1.26944,-0.575651
60121756490,-1.56703,-1.27061,-0.578996
60121770831,-1.56552,-1.27156,-0.581667
60121794027,-1.5633,-1.2725,-0.584476
60121816536,-1.56036,-1.27326,-0.587214
60121837603,-1.5576,-1.27429,-0.59005
60121854045,-1.55519,-1.27548,-0.593137
60121876485,-1.55367,-1.27628,-0.594989
60121905066,-1.55327,-1.27729,-0.596266
60121914027,-1.55287,-1.27784,-0.596912
60121936526,-1.55197,-1.27847,-0.597556
60121957560,-1.55199,-1.27895,-0.597511
60121974030,-1.55208,-1.27919,-0.596538
60121996543,-1.55125,-1.27952,-0.596237
60122017592,-1.5513,-1.27974,-0.59595
60122034033,-1.5513,-1.27974,-0.59595
60122056512,-1.55333,-1.27882,-0.593896
60122077624,-1.55464,-1.27819,-0.592584
60122108997,-1.55524,-1.27736,-0.591193
60122116505,-1.55488,-1.27632,-0.590742
60122137564,-1.55603,-1.27591,-0.589494
60122154089,-1.55681,-1.27535,-0.588018
60122176488,-1.55758,-1.27496,-0.586762
60122199089,-1.55871,-1.27462,-0.585542
60122214072,-1.55948,-1.27431,-0.584307
60122219423,-1.5606,-1.27425,-0.583503
60122241904,-1.56101,-1.27381,-0.582221
60122264427,-1.56162,-1.27382,-0.581229
60122279424,-1.56238,-1.2736,-0.580197
60122312317,-1.56238,-1.27333,-0.579791
60122324409,-1.56309,-1.27324,-0.57947
60122339428,-1.56414,-1.27311,-0.578989
60122361918,-1.56594,-1.27329,-0.578107
60122384386,-1.56704,-1.27353,-0.577359
60122399399,-1.56649,-1.27329,-0.577444
60122421899,-1.56649,-1.27329,-0.577444
60122444427,-1.56774,-1.27369,-0.57726
60122459401,-1.56991,-1.27373,-0.57602
60122481943,-1.57046,-1.27401,-0.575758
60122516059,-1.57086,-1.27472,-0.57593
60122520836,-1.57071,-1.27509,-0.575988
60122541874,-1.57147,-1.27538,-0.575393
60122564422,-1.57127,-1.2752,-0.575516
60122579399,-1.57127,-1.2752,-0.575516
60122601956,-1.57127,-1.2752,-0.575516
60122624424,-1.57147,-1.27538,-0.575393
60122639490,-1.57198,-1.27529,-0.575404
60122661946,-1.57339,-1.27523,-0.574961
60122684432,-1.57516,-1.27484,-0.573955
60122699419,-1.57657,-1.27449,-0.573111
60122721909,-1.57798,-1.27414,-0.572271
60122744380,-1.57979,-1.27425,-0.571382
60122760915,-1.58494,-1.27357,-0.568655
60122781943,-1.59341,-1.2731,-0.563767
60122813213,-1.59649,-1.27354,-0.560416
60122819404,-1.59776,-1.2734,-0.557038
60122841883,-1.59285,-1.2726,-0.558682
60122864532,-1.58453,-1.27303,-0.564246
60122880868,-1.57443,-1.27301,-0.570313
60122901861,-1.57051,-1.27371,-0.574842
60122924441,-1.57212,-1.27442,-0.576797
60122940870,-1.57853,-1.2745,-0.576865
60122961927,-1.57924,-1.27342,-0.577579
60122984447,-1.57636,-1.27301,-0.576112
60123000904,-1.57718,-1.27472,-0.570258
60123021857,-1.58113,-1.27686,-0.563394
60123044431,-1.58803,-1.27904,-0.555767
60123060857,-1.59586,-1.28054,-0.548888
60123081953,-1.60015,-1.28158,-0.546055
60123104427,-1.6044,-1.28182,-0.542418
60123122405,-1.60836,-1.28226,-0.538636
60123141902,-1.60817,-1.28216,-0.536883
60123164407,-1.60553,-1.28235,-0.537647
60123180858,-1.6044,-1.28226,-0.53844
60123201867,-1.60168,-1.2816,-0.543009
60123224405,-1.59996,-1.28119,-0.545494
60123242370,-1.59819,-1.28102,-0.547288
60123261937,-1.59749,-1.28129,-0.547811
60123284426,-1.5963,-1.28155,-0.548121
60123302360,-1.59623,-1.28172,-0.547441
60123332354,-1.59662,-1.28136,-0.546377
60123347358,-1.59741,-1.2814,-0.545542
60123362320,-1.59869,-1.28115,-0.544518
60123381905,-1.59925,-1.2814,-0.544428
60123404340,-1.60124,-1.28146,-0.542094
60123422359,-1.60123,-1.28118,-0.541691
60123441932,-1.60268,-1.28097,-0.540554
60123464398,-1.60268,-1.28097,-0.540554
60123482344,-1.60246,-1.28089,-0.540895
60123501886,-1.60106,-1.28019,-0.541434
60123527358,-1.60079,-1.27979,-0.541596
60123542348,-1.60006,-1.27857,-0.541428
60123561902,-1.59972,-1.27654,-0.540926
60123584413,-1.59896,-1.27344,-0.539437
60123602353,-1.59709,-1.26804,-0.536845
60123621883,-1.59569,-1.26061,-0.535078
60123644387,-1.59692,-1.24883,-0.53198
60123662353,-1.60326,-1.23149,-0.524232
60123681954,-1.61269,-1.20717,-0.512886
60123704406,-1.62597,-1.17338,-0.494162
60123722340,-1.64034,-1.13213,-0.469562
60123741936,-1.65607,-1.08162,-0.444385
60123764413,-1.66248,-1.02216,-0.423121
60123782359,-1.67074,-0.950836,-0.402638
60123803368,-1.67995,-0.870592,-0.379892
60123824398,-1.68811,-0.781261,-0.355852
60123842352,-1.69059,-0.686523,-0.33222
60123863376,-1.68538,-0.586071,-0.309855
60123884368,-1.67326,-0.481448,-0.288276
60123902376,-1.66185,-0.375078,-0.268453
60123923392,-1.65172,-0.270515,-0.246544
60123944500,-1.63874,-0.168621,-0.224462
60123962349,-1.62405,-0.0698381,-0.203096
60123983347,-1.61149,0.0210188,-0.180512
60124004381,-1.59845,0.10264,-0.158035
60124022348,-1.58391,0.175664,-0.136609
60124052363,-1.56931,0.237984,-0.11664
60124064472,-1.55779,0.289697,-0.0989004
60124082408,-1.54908,0.32834,-0.0826075
60124103421,-1.5425,0.347363,-0.0695482
60124124421,-1.53945,0.353317,-0.0597447
60124142372,-1.5423,0.348164,-0.0525889
60124164977,-1.55029,0.333416,-0.048032
60124184404,-1.558,0.308613,-0.0449294
60124202359,-1.5621,0.271509,-0.0431641
60124224839,-1.56474,0.225081,-0.0434493
60124244468,-1.56353,0.170117,-0.0452955
60124262363,-1.55949,0.102781,-0.0449735
60124284810,-1.56442,0.0106724,-0.0433018
60124304442,-1.62048,-0.0391499,-0.0495549
60124322345,-1.60783,-0.0152325,-0.0714772
60124344809,-1.6339,0.0174007,-0.0729374
60124364387,-1.63549,0.00611868,-0.0618699
60124382971,-1.61817,0.0116682,-0.0543332
60124403998,-1.60494,0.0381406,-0.0420999
60124424396,-1.60159,0.0738757,-0.0251546
60124456540,-1.59737,0.109894,-0.0104542
60124464041,-1.58805,0.146364,0.00132817
60124485054,-1.57659,0.181812,0.010312
60124501514,-1.5666,0.213409,0.0165978
60124524024,-1.56152,0.238025,0.0198831
60124545139,-1.56209,0.254462,0.0205091
60124561496,-1.5663,0.261392,0.0183522
60124583993,-1.57117,0.259953,0.012753
60124605085,-1.57642,0.248458,0.00389975
60124621536,-1.58398,0.224938,-0.00714042
60124658258,-1.5945,0.190328,-0.0187409
60124665018,-1.60393,0.146464,-0.0322934
60124681477,-1.60706,0.0920433,-0.0453161
60124704005,-1.6058,0.0253049,-0.054324
60124725066,-1.61378,-0.0603889,-0.0642722
60124741510,-1.68405,-0.0974186,-0.0563722
60124764025,-1.6635,-0.0506844,-0.0820386
60124785078,-1.6746,-0.00296151,-0.0902876
60124800886,-1.69093,-0.00427496,-0.0796646
60124824018,-1.67587,-0.0112654,-0.0760093
60124845025,-1.66418,-0.00522969,-0.0693303
60124861478,-1.65384,-0.000630252,-0.0588136
60124883989,-1.65237,0.00149879,-0.0500855
60124905063,-1.65583,0.00209654,-0.0441543
60124920838,-1.65558,0.00151496,-0.0417099
60124944000,-1.65298,-0.00224804,-0.0420693
60124965097,-1.65266,-0.0134876,-0.0444596
60124980850,-1.65884,-0.0314659,-0.0491704
60125003997,-1.66773,-0.0536819,-0.0567916
60125025081,-1.67498,-0.0783444,-0.0674667
60125040859,-1.68009,-0.106333,-0.0799136
60125064029,-1.68575,-0.139942,-0.0941577
60125085014,-1.69262,-0.178228,-0.109866
60125100856,-1.70152,-0.221297,-0.127608
60125123992,-1.70978,-0.268826,-0.147091
60125146560,-1.71937,-0.319491,-0.166029
60125160862,-1.72828,-0.373082,-0.184265
60125183989,-1.73363,-0.428548,-0.20281
60125206556,-1.73662,-0.485416,-0.222794
60125227618,-1.74182,-0.543883,-0.24378
60125244007,-1.74683,-0.603483,-0.265862
60125266504,-1.7475,-0.664358,-0.288063
60125287555,-1.74328,-0.72574,-0.312323
60125304014,-1.73337,-0.785113,-0.340027
60125326485,-1.72192,-0.842681,-0.370264
60125347595,-1.71263,-0.899501,-0.401502
60125364044,-1.70507,-0.954232,-0.433463
60125386514,-1.6944,-1.0074,-0.468276
60125407525,-1.67758,-1.05972,-0.507156
60125423991,-1.65165,-1.11093,-0.54983
60125446480,-1.61771,-1.16052,-0.596555
60125467549,-1.57515,-1.20763,-0.648869
60125483984,-1.52246,-1.25085,-0.709486
60125506526,-1.46315,-1.28861,-0.777316
60125527584,-1.40209,-1.32199,-0.849877
60125551482,-1.34303,-1.34799,-0.921261
60125566526,-1.29354,-1.36751,-0.983273
60125587578,-1.26084,-1.38061,-1.02577
60125604015,-1.24947,-1.38977,-1.04526
60125627990,-1.25883,-1.39493,-1.03985
60125647540,-1.28487,-1.39661,-1.01462
60125664036,-1.32347,-1.39586,-0.97561
60125693989,-1.36992,-1.39235,-0.927676
60125707531,-1.41969,-1.38621,-0.87616
60125723939,-1.4679,-1.37783,-0.825173
60125746522,-1.51321,-1.36744,-0.778812
60125767556,-1.55857,-1.35545,-0.736815
60125791526,-1.59336,-1.34252,-0.703348
60125806541,-1.61251,-1.33287,-0.684688
60125827541,-1.61527,-1.32799,-0.678339
