timestamp,roll,pitch,yaw
59910617529,-1.62849,-1.27938,-0.766113
59910640078,-1.62849,-1.27938,-0.766113
59910661136,-1.62818,-1.27897,-0.765371
59910677609,-1.62932,-1.27937,-0.764297
59910700075,-1.62991,-1.27944,-0.763086
59910721144,-1.63004,-1.27936,-0.762691
59910737521,-1.63004,-1.27936,-0.762691
59910760074,-1.62931,-1.27943,-0.762811
59910781134,-1.629,-1.27931,-0.762536
59910797536,-1.62934,-1.27995,-0.761881
59910820047,-1.62911,-1.28044,-0.762251
59910841079,-1.62887,-1.28063,-0.762157
59910857576,-1.62835,-1.28123,-0.762533
59910880077,-1.62752,-1.28183,-0.763614
59910901048,-1.62768,-1.28198,-0.763497
59910917547,-1.62768,-1.28198,-0.763497
59910940067,-1.62684,-1.28181,-0.764155
59910962551,-1.62657,-1.28196,-0.76495
59910977530,-1.62615,-1.28197,-0.765863
59911000063,-1.62631,-1.28223,-0.766727
59911022570,-1.62616,-1.28161,-0.766885
59911037530,-1.62719,-1.28143,-0.766756
59911060082,-1.62774,-1.28106,-0.766656
59911082536,-1.62774,-1.28106,-0.766656
59911097578,-1.62774,-1.28106,-0.766656
59911120066,-1.6279,-1.28103,-0.767051
59911142535,-1.62879,-1.28082,-0.766343
59911156878,-1.62879,-1.28082,-0.766343
59911180028,-1.62921,-1.28081,-0.765431
59911202570,-1.62965,-1.28103,-0.764799
59911216885,-1.62965,-1.28103,-0.764799
59911240054,-1.62965,-1.28103,-0.764799
59911262570,-1.62965,-1.28103,-0.764799
59911276876,-1.6298,-1.28118,-0.764681
59911300046,-1.63073,-1.28113,-0.764066
59911322567,-1.63073,-1.28113,-0.764066
59911336902,-1.63073,-1.28113,-0.764066
59911360049,-1.63089,-1.28127,-0.763948
59911382472,-1.63089,-1.28127,-0.763948
59911396986,-1.63073,-1.28113,-0.764066
59911420075,-1.63019,-1.2815,-0.764162
59911442524,-1.63038,-1.28228,-0.764091
59911463572,-1.63047,-1.2824,-0.763103
59911487567,-1.63098,-1.28331,-0.763309
59911502524,-1.63088,-1.28343,-0.762815
59911523585,-1.63135,-1.28388,-0.76246
59911540039,-1.63199,-1.28411,-0.761324
59911562568,-1.63199,-1.28411,-0.761324
59911583610,-1.63199,-1.28411,-0.761324
59911600030,-1.63199,-1.28411,-0.761324
59911622562,-1.63201,-1.28403,-0.761134
59911643640,-1.63273,-1.28404,-0.761198
59911660115,-1.63273,-1.28404,-0.761198
59911682616,-1.63273,-1.28404,-0.761198
59911703759,-1.63273,-1.28404,-0.761198
59911727591,-1.63273,-1.28404,-0.761198
59911742582,-1.63273,-1.28404,-0.761198
59911763813,-1.63215,-1.28378,-0.761249
59911780073,-1.63215,-1.28378,-0.761249
59911802574,-1.6333,-1.28359,-0.760912
59911823852,-1.63386,-1.28345,-0.761098
59911840121,-1.6337,-1.2833,-0.761217
59911870133,-1.6337,-1.2833,-0.761217
59911883563,-1.6337,-1.2833,-0.761217
59911900148,-1.63312,-1.28304,-0.761268
59911922621,-1.63312,-1.28304,-0.761268
59911945131,-1.63312,-1.28304,-0.761268
59911967606,-1.63312,-1.28304,-0.761268
59911982628,-1.6331,-1.28311,-0.761457
59912005097,-1.63248,-1.28281,-0.762402
59912026882,-1.63229,-1.28262,-0.763414
59912042620,-1.63183,-1.28247,-0.764238
