timestamp,x,y,z
83701683530,1.375,-0.125,-0.4375
83701699978,1.75,-0.125,-0.875
83701722522,2.1875,0.125,-0.6875
83701743505,2.375,0.0625,-0.375
83701759971,2.375,-0.0625,0.0625
83701782533,2,0.125,0.125
83701803550,1.5625,0.25,0.125
83701819955,1.25,0.375,0.125
83701842936,0.875,0.4375,0.0625
83701856788,0.375,0.3125,0
83701879991,0.4375,0,-0.125
83701902451,1,-0.1875,-0.3125
83701916813,1.625,-0.1875,-0.4375
83701940004,2,-0.3125,-0.375
83701962498,2.1875,-0.5,-0.125
83701976811,2.625,-0.5625,0
83701999941,3.125,-0.5,0.125
83702022475,1.8125,-0.5625,0.3125
83702043532,0,-0.875,0.375
83702059977,0.25,-1,0.0625
83702082464,2.375,-0.875,0.0625
83702103491,3.4375,-1.3125,0.375
83702120617,3.375,-1.9375,0.4375
83702149924,4.0625,-2.1875,0.1875
83702163513,6.6875,-2.125,-0.375
83702179997,9.75,-2.3125,-0.375
83702202481,12.1875,-3,0.4375
83702223753,14.4375,-4.125,1.125
83702239986,16,-5.375,1.6875
83702262484,23.9375,-5.125,2.375
83702283666,31.3125,-5.75,2
83702299429,39.75,-6.0625,4.1875
83702322514,42.9375,-6.1875,5.125
83702343466,40.75,-5.8125,8.375
83702359254,38.0625,-6.375,10.375
83702382515,39.4375,-7.8125,12.1875
83702403565,44.5625,-9.125,13.75
83702419352,51.875,-11.375,15.125
83702465485,61.5625,-15.9375,18.4375
83702467912,73.875,-22,24.75
83702479323,92.375,-31,33.6875
83702502422,116.812,-43.9375,48
83702524730,133.938,-57.0625,69.25
83702545996,143.25,-64.5,94.5
83702562558,146.25,-65.875,122.938
83702585052,154.438,-68.75,154.875
83702606303,151.875,-68.5,196.5
83702622584,151.375,-70.875,239.938
83702644947,175.188,-70.375,270.375
83702665982,186,-58.9375,299.438
83702682479,176.938,-39.1875,327.75
83702704961,173,-20,351
83702725998,174.25,-5.5,366.562
83702742515,178.438,6.375,359.75
83702764971,174.875,25.625,352.562
83702786094,180.062,43.125,342.25
83702802457,172,60.625,318
83702824967,146.688,78.125,288.812
83702846270,123.062,97.3125,257.812
83702868780,99,108.375,227.312
83702885031,83.9375,114.75,197.625
83702906078,80.3125,118.812,159.312
83702922443,68.1875,117.25,116.688
83702944953,44.375,108.562,67.4375
83702966031,21.5625,103,13.5
83702982489,-4.25,91.75,-42.6875
83703004907,-28.25,76.6875,-100.062
83703026178,-47.375,56.4375,-164.75
83703042444,-66.4375,41.3125,-228.312
83703064966,-72.8125,37.3125,-289.938
83703086244,-66.5,44.625,-354.312
83703102542,-75.6875,42,-411.75
83703125053,-95.875,32.5625,-466.812
83703146274,-113.625,38.3125,-521.75
83703161886,-128.312,56.9375,-553.938
