timestamp,roll,pitch,yaw
86219987973,-1.43787,-1.23691,-2.16616
86220004471,-1.43761,-1.237,-2.16628
86220026969,-1.43761,-1.237,-2.16628
86220048011,-1.4376,-1.23676,-2.16582
86220064427,-1.43761,-1.237,-2.16628
86220086994,-1.4376,-1.23676,-2.16582
86220109429,-1.43824,-1.23702,-2.16622
86220130497,-1.43824,-1.23702,-2.16622
86220146937,-1.43824,-1.23702,-2.16622
86220176951,-1.43777,-1.23675,-2.16628
86220184447,-1.43761,-1.23702,-2.16715
86220206985,-1.43818,-1.23678,-2.16765
86220229492,-1.4392,-1.2368,-2.16751
86220243870,-1.43874,-1.23653,-2.16756
86220266940,-1.43874,-1.23653,-2.16756
86220289464,-1.43916,-1.2362,-2.16745
86220303765,-1.43981,-1.236,-2.1681
86220326907,-1.43997,-1.23575,-2.1681
86220349480,-1.44021,-1.23577,-2.16814
86220363824,-1.44022,-1.23601,-2.16859
86220386996,-1.44024,-1.23567,-2.16799
86220409483,-1.44024,-1.23567,-2.16799
86220423843,-1.44024,-1.23567,-2.16799
86220446974,-1.44024,-1.23567,-2.16799
86220469466,-1.44024,-1.23567,-2.16799
86220483854,-1.44051,-1.23559,-2.16787
86220506894,-1.44005,-1.23556,-2.16838
86220529584,-1.44005,-1.23556,-2.16838
86220550757,-1.44005,-1.23556,-2.16838
86220566982,-1.44005,-1.23556,-2.16838
86220589549,-1.44039,-1.23517,-2.16724
86220610568,-1.44076,-1.23525,-2.167
86220626972,-1.44088,-1.23508,-2.16628
86220649585,-1.44074,-1.23499,-2.16567
86220670759,-1.43992,-1.23509,-2.16599
86220694493,-1.4391,-1.23518,-2.16631
86220709505,-1.43808,-1.2347,-2.16612
86220732460,-1.43782,-1.23476,-2.16594
86220746998,-1.43621,-1.23463,-2.16598
86220769493,-1.43397,-1.23435,-2.16692
86220790625,-1.4321,-1.23369,-2.16729
86220806950,-1.43144,-1.23329,-2.16544
86220837010,-1.43479,-1.23033,-2.16362
86220850574,-1.44557,-1.22108,-2.15977
86220866348,-1.46125,-1.20017,-2.1564
86220889470,-1.47952,-1.1695,-2.15164
86220910529,-1.50187,-1.12828,-2.14026
86220926306,-1.5132,-1.07384,-2.13425
86220949411,-1.51444,-1.00365,-2.13199
86220970442,-1.50885,-0.919514,-2.13298
86220986314,-1.4961,-0.822135,-2.13763
86221009499,-1.4805,-0.711658,-2.14541
86221031912,-1.46211,-0.591491,-2.1542
86221046374,-1.43868,-0.465721,-2.16233
86221069556,-1.41261,-0.336211,-2.16911
86221091976,-1.38565,-0.203768,-2.17524
86221106328,-1.35714,-0.0716612,-2.18161
86221129471,-1.32899,0.0565674,-2.18686
86221151944,-1.30455,0.17972,-2.19005
86221172988,-1.28274,0.29668,-2.19165
86221189441,-1.26252,0.405834,-2.19323
86221211988,-1.24318,0.506962,-2.19458
86221232986,-1.22772,0.598783,-2.19492
86221249472,-1.22138,0.678636,-2.19493
86221271944,-1.22034,0.746584,-2.19433
86221293002,-1.22434,0.80125,-2.19524
86221309477,-1.23457,0.841564,-2.19791
86221331934,-1.26545,0.867408,-2.21326
86221353010,-1.30769,0.880615,-2.23097
86221370749,-1.35305,0.880169,-2.24121
86221391912,-1.40917,0.864858,-2.25083
86221413028,-1.46431,0.834642,-2.25494
86221429481,-1.51273,0.787348,-2.24956
86221451956,-1.54319,0.719664,-2.22169
86221472988,-1.55538,0.630782,-2.17641
86221489494,-1.54651,0.519775,-2.10605
86221511931,-1.53727,0.385597,-2.02322
86221532987,-1.53255,0.228517,-1.92538
86221549432,-1.54896,0.0501154,-1.8166
86221571993,-1.56944,-0.136935,-1.70854
86221593092,-1.51522,-0.291592,-1.6162
86221609450,-1.3909,-0.366825,-1.53461
86221631934,-1.28717,-0.396893,-1.46289
86221653015,-1.27635,-0.394988,-1.39735
86221669504,-1.34823,-0.358298,-1.33157
86221691927,-1.39921,-0.302156,-1.28103
86221713016,-1.39474,-0.237124,-1.23855
86221728819,-1.34398,-0.168839,-1.20522
86221751960,-1.27264,-0.0914797,-1.17707
86221773018,-1.19718,-0.00826502,-1.14949
86221788749,-1.13208,0.0755331,-1.11995
86221811940,-1.07472,0.154845,-1.08835
86221832995,-1.01267,0.229077,-1.05774
86221848811,-0.944879,0.301278,-1.02991
86221871956,-0.879792,0.372442,-1.00604
86221893011,-0.826298,0.442886,-0.990503
86221908832,-0.792807,0.511369,-0.983237
86221931925,-0.779041,0.574876,-0.983353
86221952989,-0.775799,0.629835,-0.991289
86221968821,-0.775389,0.673338,-1.01228
86221991936,-0.777907,0.704147,-1.05249
86222014443,-0.793555,0.718177,-1.11507
86222028744,-0.835043,0.710747,-1.20107
86222051986,-0.905792,0.675506,-1.30552
86222074433,-0.994381,0.611924,-1.42348
86222088783,-1.08357,0.521125,-1.5462
86222111761,-1.16231,0.405561,-1.66778
86222134478,-1.22613,0.269004,-1.78602
86222155516,-1.28007,0.113059,-1.90183
86222171975,-1.32518,-0.0684858,-2.02051
86222194418,-1.34785,-0.258811,-2.13192
86222215920,-1.37218,-0.421577,-2.23434
86222231932,-1.3989,-0.505007,-2.29602
86222261945,-1.42325,-0.564585,-2.33107
86222275482,-1.4521,-0.58274,-2.32605
86222291923,-1.4559,-0.560611,-2.3002
86222314464,-1.42867,-0.538923,-2.28372
86222335488,-1.41447,-0.506109,-2.27232
86222351901,-1.4111,-0.483063,-2.26683
86222374422,-1.41575,-0.463735,-2.26386
86222395518,-1.42569,-0.445579,-2.26184
86222411967,-1.4352,-0.43429,-2.25907
86222434916,-1.43831,-0.429034,-2.25546
86222455512,-1.4345,-0.431707,-2.25142
86222471963,-1.42996,-0.44156,-2.24797
86222494447,-1.42827,-0.455673,-2.24432
86222515484,-1.4263,-0.473853,-2.23914
86222531956,-1.42144,-0.496953,-2.2326
86222554534,-1.41234,-0.525132,-2.22384
86222575473,-1.40244,-0.558629,-2.21189
86222592748,-1.39382,-0.597159,-2.19743
86222614433,-1.38845,-0.638533,-2.18122
86222636974,-1.38487,-0.683128,-2.16415
86222659462,-1.38369,-0.729939,-2.14662
86222674396,-1.38302,-0.778833,-2.12953
86222695519,-1.38167,-0.828624,-2.11289
86222711322,-1.38024,-0.878003,-2.09749
86222734471,-1.38084,-0.926323,-2.08415
86222755458,-1.38103,-0.973322,-2.07265
86222771245,-1.38083,-1.01932,-2.06241
86222794444,-1.3843,-1.06292,-2.0504
86222815572,-1.38986,-1.10312,-2.03947
86222831721,-1.39434,-1.13934,-2.03196
86222854478,-1.40079,-1.17175,-2.02981
86222875483,-1.41318,-1.19965,-2.03182
86222891304,-1.42805,-1.22291,-2.0378
86222921962,-1.44214,-1.24158,-2.04716
86222936967,-1.44314,-1.25436,-2.07
86222951287,-1.43218,-1.26096,-2.11174
86222974439,-1.44711,-1.26093,-2.13667
86222996931,-1.46002,-1.24739,-2.15652
86223011502,-1.4628,-1.23556,-2.16444
86223034438,-1.45843,-1.22974,-2.16088
86223056970,-1.44791,-1.22718,-2.15397
86223077982,-1.43353,-1.22784,-2.14851
86223094414,-1.42616,-1.22898,-2.14136
86223116780,-1.42704,-1.22905,-2.13291
86223138011,-1.43172,-1.22841,-2.12376
86223154417,-1.43793,-1.22814,-2.11553
86223176943,-1.44076,-1.22876,-2.11134
86223197990,-1.43802,-1.23038,-2.11339
86223214427,-1.43448,-1.2324,-2.11896
86223236954,-1.43445,-1.23446,-2.1247
86223251286,-1.43673,-1.23488,-2.1287
86223274449,-1.439,-1.2343,-2.13089
86223279775,-1.43877,-1.23325,-2.13279
86223302332,-1.43826,-1.23239,-2.13312
86223318787,-1.43849,-1.23195,-2.132
86223347326,-1.43727,-1.23219,-2.1316
86223362328,-1.43565,-1.23254,-2.13144
86223378792,-1.43359,-1.23287,-2.13064
86223399816,-1.43334,-1.23333,-2.12897
86223422356,-1.43509,-1.23377,-2.12557
86223440219,-1.43702,-1.23443,-2.1219
86223459854,-1.43906,-1.2348,-2.11781
86223490489,-1.44038,-1.23523,-2.11393
86223498785,-1.44042,-1.23599,-2.11122
86223519821,-1.44029,-1.23675,-2.10788
86223542347,-1.43895,-1.23731,-2.10543
86223558797,-1.43767,-1.23791,-2.1024
86223579805,-1.43756,-1.2386,-2.09839
86223602264,-1.43851,-1.24012,-2.09358
86223618792,-1.43853,-1.24124,-2.08865
86223639812,-1.4393,-1.24254,-2.08278
86223665258,-1.43997,-1.24403,-2.07723
86223678857,-1.44064,-1.24549,-2.07147
86223699843,-1.44087,-1.2473,-2.06571
86223722334,-1.43947,-1.24907,-2.06098
86223738798,-1.43809,-1.25099,-2.05586
86223759803,-1.43601,-1.25287,-2.05106
86223785242,-1.43456,-1.25476,-2.04562
86223798754,-1.43388,-1.25736,-2.04066
86223819803,-1.43463,-1.25988,-2.03548
86223842357,-1.43596,-1.26192,-2.02978
86223860231,-1.43871,-1.26434,-2.02483
86223879837,-1.44121,-1.26621,-2.01996
86223902334,-1.44295,-1.26791,-2.01718
86223920270,-1.44554,-1.26908,-2.01348
86223939759,-1.44787,-1.2704,-2.01133
86223962353,-1.4505,-1.27113,-2.00937
86223980321,-1.45295,-1.27109,-2.00795
86223999786,-1.45646,-1.2711,-2.00621
86224022340,-1.45946,-1.27072,-2.00438
86224040229,-1.46201,-1.27042,-2.0026
86224059849,-1.46422,-1.27049,-2.00156
86224082363,-1.46554,-1.27007,-2.00021
86224100238,-1.4674,-1.26995,-1.99883
86224119843,-1.46974,-1.2703,-1.99767
86224142283,-1.47168,-1.27027,-1.99629
86224160262,-1.47349,-1.27059,-1.99625
86224179818,-1.47457,-1.27024,-1.99554
86224202363,-1.47691,-1.27031,-1.99438
86224220263,-1.47843,-1.27015,-1.99475
86224239819,-1.47981,-1.26981,-1.99538
86224262325,-1.48146,-1.26966,-1.99564
86224280240,-1.48185,-1.26947,-1.997
86224299819,-1.48337,-1.26914,-1.99809
86224322378,-1.48528,-1.26902,-1.99954
86224340277,-1.48586,-1.26877,-2.00124
86224359873,-1.48572,-1.26869,-2.00333
86224382337,-1.48439,-1.26837,-2.00683
86224400257,-1.48417,-1.26829,-2.00961
86224419761,-1.48525,-1.26791,-2.0112
86224442369,-1.48644,-1.26765,-2.01226
86224462078,-1.48665,-1.26707,-2.01409
86224481299,-1.48685,-1.26675,-2.01589
