timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83651689459,-3,-1,-1,-2,-2,0,-3,0
83651689459,0,-1,1,1,0,0,-1,-4
83651690184,-4,-2,-1,-1,-2,-1,1,-1
83651690184,-3,0,-1,-1,-1,-1,-1,-21
83651703761,-2,-3,-4,-1,-2,-2,1,3
83651703761,-7,0,1,1,0,-1,-2,-5
83651704428,7,0,-1,0,-1,0,0,2
83651704428,-1,-2,-2,1,-1,-1,-3,3
83651726184,8,-1,-2,-3,0,-1,0,10
83651726184,-4,-1,0,-1,0,-1,-1,-3
83651726988,-4,-1,0,-2,-1,-1,0,-6
83651726988,-1,-2,-2,1,-1,-1,-2,11
83651749386,-2,7,1,-3,-1,-1,0,-6
83651749386,4,-5,-3,-2,-1,-1,-1,6
83651750163,0,1,0,0,-1,0,-2,-3
83651750163,-1,-1,0,-1,-1,-1,0,-1
83651763732,-8,-3,0,0,-3,0,-1,-4
83651763732,1,-1,1,0,-1,0,0,3
83651764457,-6,-3,-1,0,0,-3,-2,-5
83651764457,3,-1,-1,-2,0,-1,0,4
83651786180,-8,-3,0,1,-1,-1,-4,-21
83651786180,-4,-1,1,-2,-2,-1,1,-6
83651786954,-2,0,1,0,-1,0,0,3
83651786954,4,-1,-4,-3,-2,-2,0,4
83651809431,1,-3,0,0,-2,0,0,10
83651809431,-3,-1,-1,-1,-1,0,-3,-5
83651810169,3,1,-2,0,-1,-1,-1,-6
83651810169,-4,-4,0,-2,-1,0,-2,2
83651823728,1,-1,-3,0,-1,0,-1,1
83651823728,-2,1,-2,0,0,-1,-3,-3
83651824414,0,-1,1,-1,-2,1,1,3
83651824414,3,1,-2,-2,-1,-2,-2,-4
83651846205,-6,-4,-1,-2,-1,1,0,10
83651846205,-3,-2,0,-1,0,0,-1,-8
83651847005,-6,-2,-2,-3,1,-2,-2,1
83651847005,17,0,0,-3,-2,-1,0,8
83651869401,-4,-1,-2,0,1,-1,2,2
83651869401,-4,1,-3,0,-1,0,-3,-6
83651870175,-3,0,-1,-1,1,0,0,0
83651870175,-5,-2,-2,-1,-2,-1,-2,-5
83651883066,3,3,0,0,-1,-3,-3,-3
83651883066,2,-2,-1,-2,-2,-1,3,8
83651891215,2,-1,-1,-2,-2,-2,-1,-5
83651891215,-6,-1,0,-1,-1,-1,0,5
83651906192,1,-5,-4,-3,-2,-1,1,1
83651906192,-1,-3,-2,0,-1,1,-2,-6
83651906997,2,-1,-2,0,-1,-2,0,-2
83651906997,4,-1,-3,-2,-2,-1,-3,-12
83651929417,0,2,1,-1,0,1,0,10
83651929417,-1,-1,-1,0,-1,-3,0,-5
83651930201,5,-2,-3,-1,-2,0,-1,7
83651930201,-4,-4,-1,1,-2,-1,-2,-6
83651943079,3,-3,-2,0,-2,0,3,-1
83651943079,2,0,-1,-2,0,-1,-3,0
83651951186,-17,-1,-1,-1,-1,-1,-5,-24
83651951186,-7,0,-1,1,1,-1,-1,-2
83651966212,3,0,-4,-1,-1,-1,-2,0
83651966212,-2,0,0,-1,-2,-2,-2,-4
83651967089,-2,-2,-2,-1,-2,-3,-2,2
83651967089,-2,0,-1,-2,-1,1,0,-4
83651989357,-4,-1,-1,0,0,-3,-1,-3
83651989357,0,-3,-2,-3,-1,-1,-2,1
83651990135,2,-1,-3,-2,-1,0,2,8
83651990135,-4,0,-2,-1,-1,-1,-1,-1
83652003074,4,0,0,-2,-2,0,-2,-1
83652003074,0,-2,-1,-1,-1,0,0,1
83652011200,2,0,0,0,-2,-1,-1,1
83652011200,-3,-2,-1,-1,-1,1,-2,-3
83652026175,-1,-1,1,-1,-2,0,-4,-5
83652026175,-2,-1,-3,-1,-2,0,2,0
83652027008,0,-2,-1,0,0,-2,-3,-5
83652027008,-2,0,1,0,-1,-1,0,4
83652049385,-4,-2,-1,0,0,-2,-4,-5
83652049385,-1,-1,1,1,-1,-1,-2,1
83652050169,2,0,-2,0,-3,-1,0,3
83652050169,-3,0,2,1,1,0,-1,0
83652063071,-2,-3,0,4,-2,-2,-1,-2
83652063071,0,-3,-9,-21,-5,-3,1,4
83652071218,-1,-2,-7,6,1,-2,0,-3
83652071218,-4,-2,3,7,-1,-3,-1,-3
83652086203,-2,0,1,-1,-3,-6,1,-2
83652086203,-2,0,5,13,3,6,-3,-2
83652087034,2,-1,-4,-20,-4,-4,1,5
83652087034,-1,-2,-10,-9,-6,0,2,-1
83652109130,2,-1,10,2,1,3,0,0
83652109130,-1,0,1,5,-1,-5,-4,-3
83652109988,-2,-2,5,2,0,8,0,-1
83652109988,-2,-2,0,4,2,-3,1,1
83652123016,-1,0,-5,-3,-1,-5,-2,1
83652123016,-3,-5,-4,-8,-4,-2,-1,-2
83652131283,0,3,4,10,-3,-8,-7,-6
83652131283,-2,0,3,-5,-1,1,0,-5
83652146178,15,8,-12,-2,6,7,4,32
83652146178,-1,-27,12,13,-3,-2,-4,8
83652146994,-5,-2,-2,3,-1,-1,0,-11
83652146994,2,-2,-2,-2,-6,1,-1,5
83652168734,-4,1,-6,-7,4,-8,-2,-12
83652168734,6,9,8,-3,-1,15,5,4
83652169426,14,0,-21,8,-6,-20,-18,8
83652169426,-31,-10,-2,3,4,1,-3,-7
83652183019,5,4,5,-1,0,-2,0,4
83652183019,7,3,-6,-1,-3,-2,6,2
83652198748,1,24,9,-15,-10,9,6,-12
83652198748,8,-8,-12,-7,3,2,4,18
83652206184,-14,-8,4,5,-3,17,-1,-10
83652206184,10,4,-10,-4,-6,-26,-16,23
83652206970,1,7,12,-6,4,-8,10,16
83652206970,16,11,-9,-2,1,18,3,-14
83652228699,-11,-1,6,-1,-3,2,-4,-8
83652228699,-9,-2,3,6,5,6,1,-16
83652229469,-11,-12,-7,-3,-1,2,3,-5
83652229469,-2,1,6,5,-11,-33,-10,0
83652251925,9,-6,3,0,7,7,6,-4
83652251925,-9,5,0,2,-3,8,11,-7
83652252717,30,1,1,-1,2,3,-8,18
83652252717,-70,8,-1,-2,7,8,-3,-15
83652281853,-31,-14,-6,-1,-10,-30,-4,-19
83652281853,-6,-6,-4,-1,3,-4,2,-8
83652282715,-3,-4,7,-3,-8,5,-1,-10
83652282715,3,-7,-5,-2,1,-7,-1,30
83652288729,8,3,-6,-3,-4,1,-17,-9
83652288729,-4,1,-3,-2,14,28,16,9
83652289456,-1,-5,0,5,2,-42,-24,9
83652289456,11,-5,4,1,-1,12,4,-6
83652311864,-7,-2,-7,-5,-7,3,16,-7
83652311864,12,-2,-3,5,8,-3,2,-2
83652312708,-3,1,-4,0,4,19,2,1
83652312708,16,0,-4,-7,2,-3,-15,-6
83652326235,1,-1,-10,-2,-6,-24,13,11
83652326235,-13,-2,-2,-23,-22,5,-13,-30
83652327006,-14,-12,-1,4,-10,-26,-27,-15
83652327006,7,-1,-3,5,8,20,14,1
83652348767,11,9,2,0,12,43,7,-1
83652348767,-6,13,-2,0,5,-21,7,-37
83652349516,1,-5,1,-9,-8,0,10,12
83652349516,8,-3,-1,-8,-15,-26,-3,-17
83652372083,1,-6,5,4,11,-11,-18,-6
83652372083,-3,1,-2,0,-12,-5,-15,10
83652372807,3,0,-4,2,6,46,9,-10
83652372807,-4,-3,-3,-8,-13,-53,-5,9
83652386505,-1,5,-8,-1,15,51,-21,-6
83652386505,-6,-3,-1,2,12,-21,-10,-4
83652386999,21,-2,-4,-8,-19,23,20,18
83652386999,3,0,6,-9,-2,-23,0,23
83652408975,-10,-5,-6,10,-10,19,2,-6
83652408975,1,-3,9,8,-2,-21,-9,2
83652409524,-12,-3,-2,-15,5,-8,3,-8
83652409524,12,6,3,27,17,1,-2,-12
83652431987,4,-2,2,-14,-36,-21,-7,8
83652431987,0,-7,-8,-8,1,57,-8,-2
83652432773,-9,-2,-4,-5,-24,-91,15,-9
83652432773,4,1,2,-15,24,79,-8,-5
83652446366,2,-1,0,0,-2,-33,12,18
83652446366,7,22,-2,-18,-9,29,20,13
83652447011,-6,-6,7,60,47,5,-19,0
83652447011,-1,-4,-10,-13,-20,-17,-20,-6
83652476995,-1,-2,5,22,6,8,-4,-11
83652476995,-2,-2,-4,-17,-9,-41,0,-7
83652477747,-4,1,-3,3,2,16,5,12
83652477747,0,-1,2,21,5,10,7,-19
83652491979,3,-2,-7,-24,-3,14,8,17
83652491979,3,-2,0,-3,-9,-29,1,18
83652492795,-3,-3,-4,-4,4,30,-3,-9
83652492795,-1,-3,4,-3,-14,-9,-2,-5
83652506196,3,3,3,-10,-16,-20,-4,-19
83652506196,-6,-8,-4,12,16,1,3,24
83652507044,1,-6,-2,-16,-7,10,0,3
