timestamp,x,y,z
83594006502,0.949707,-0.275879,-0.0214844
83594015564,0.937988,-0.276367,-0.0107422
83594037901,0.932617,-0.28125,-0.00683594
83594058936,0.936523,-0.27832,-0.000976562
83594075486,0.942383,-0.265137,0.00195312
83594097964,0.952637,-0.25,-0.00927734
83594120481,0.962891,-0.234863,-0.00488281
83594135535,0.965332,-0.231934,-0.0161133
83594158009,0.975586,-0.23584,-0.0131836
83594178973,0.958496,-0.234863,-0.0107422
83594202980,0.945312,-0.208008,-0.0117188
83594218012,0.941895,-0.197754,-0.00927734
83594239245,0.941406,-0.207031,-0.0117188
83594255487,0.95166,-0.223633,-0.0136719
83594277961,0.955078,-0.243164,-0.0131836
83594299069,0.968262,-0.262207,-0.00878906
83594315463,0.94873,-0.25,0.0283203
83594337992,0.953613,-0.250488,0.0556641
83594359033,0.971191,-0.345215,0.0634766
83594374813,0.974121,-0.42041,0.09375
83594405535,0.977051,-0.444336,0.0585938
83594419029,0.991699,-0.554688,0.0410156
83594434816,0.974121,-0.639648,-0.027832
83594457939,0.914551,-0.731934,-0.0830078
83594480496,0.871582,-0.81543,-0.0830078
83594494819,0.833008,-1.02393,-0.118164
83594517980,0.739258,-1.20459,-0.162598
83594540542,0.69043,-1.32227,-0.176758
83594554899,0.660645,-1.40967,-0.19873
83594578066,0.600586,-1.46777,-0.206055
83594600588,0.522949,-1.51514,-0.220703
83594621777,0.442871,-1.54688,-0.255859
83594638070,0.347168,-1.5874,-0.246582
83594660517,0.257324,-1.56348,-0.240723
83594681778,0.185059,-1.5127,-0.219727
83594698070,0.171875,-1.43457,-0.189941
83594720503,0.189453,-1.29834,-0.130859
83594741515,0.221191,-1.12158,-0.123047
83594757989,0.337402,-0.922363,-0.0585938
83594781941,0.386719,-0.856445,-0.00683594
83594801553,0.380859,-0.766113,0.0332031
83594818001,0.395996,-0.636719,0.117676
83594840530,0.415039,-0.549805,0.188477
83594861735,0.419922,-0.473145,0.276855
83594877980,0.381836,-0.368652,0.339355
83594900544,0.30957,-0.251465,0.362793
83594923085,0.229004,-0.228516,0.348145
83594938056,0.20459,-0.294922,0.296875
83594960622,0.199219,-0.337891,0.239746
83594981611,0.206055,-0.394531,0.181152
83594998035,0.202637,-0.473633,0.163086
83595020472,0.147461,-0.525391,0.101562
83595041731,0.12793,-0.557617,0.0761719
83595057980,0.124512,-0.689941,0.0517578
83595080491,0.0161133,-0.862305,0.0458984
83595101532,-0.141602,-1.01611,0.0532227
83595118082,-0.255371,-1.146,0.113281
83595140591,-0.252441,-1.39551,0.0517578
83595161770,-0.304688,-1.7876,0.0810547
83595177360,0.124023,-1.82178,-0.273438
83595200526,0.368164,-2.54053,-0.519531
83595221525,0.963867,-2.2749,-0.70166
