timestamp,roll,pitch,yaw
83594006502,-1.53408,-1.33452,-2.64671
83594015564,-1.54237,-1.33064,-2.63789
83594037901,-1.54978,-1.32672,-2.62865
83594058936,-1.55472,-1.32356,-2.61963
83594075486,-1.55702,-1.3213,-2.61155
83594097964,-1.55918,-1.31975,-2.60275
83594120481,-1.56036,-1.31853,-2.59617
83594135535,-1.56399,-1.31729,-2.58795
83594158009,-1.56854,-1.31539,-2.57908
83594178973,-1.57188,-1.31352,-2.57011
83594202980,-1.57503,-1.31219,-2.56078
83594218012,-1.57773,-1.31068,-2.55237
83594239245,-1.58153,-1.30853,-2.5433
83594255487,-1.58676,-1.30679,-2.535
83594277961,-1.58995,-1.30506,-2.52873
83594299069,-1.59261,-1.30392,-2.52374
83594315463,-1.59465,-1.30264,-2.51858
83594337992,-1.59854,-1.29901,-2.51195
83594359033,-1.60559,-1.29022,-2.50123
83594374813,-1.60792,-1.27705,-2.48909
83594405535,-1.61305,-1.25761,-2.46636
83594419029,-1.61818,-1.23022,-2.43723
83594434816,-1.62701,-1.19348,-2.39687
83594457939,-1.63322,-1.15276,-2.35773
83594480496,-1.63869,-1.10278,-2.32111
83594494819,-1.64498,-1.03931,-2.28269
83594517980,-1.64781,-0.964126,-2.24308
83594540542,-1.63833,-0.879244,-2.2012
83594554899,-1.62034,-0.78545,-2.15579
83594578066,-1.59327,-0.682313,-2.10833
83594600588,-1.56277,-0.571371,-2.05631
83594621777,-1.52931,-0.454331,-2.00018
83594638070,-1.49005,-0.332965,-1.94049
83594660517,-1.44489,-0.210735,-1.87847
83594681778,-1.39222,-0.0904337,-1.81294
83594698070,-1.33148,0.0247168,-1.74515
83594720503,-1.26271,0.132323,-1.67523
83594741515,-1.18794,0.229312,-1.60402
83594757989,-1.1098,0.314168,-1.53257
83594781941,-1.03239,0.386462,-1.46222
83594801553,-0.959162,0.445066,-1.39577
83594818001,-0.8921,0.493867,-1.33674
83594840530,-0.833564,0.536721,-1.28869
83594861735,-0.782684,0.575105,-1.25276
83594877980,-0.740964,0.611626,-1.23107
83594900544,-0.712213,0.63646,-1.22269
83594923085,-0.704897,0.660222,-1.23008
83594938056,-0.720141,0.688054,-1.2553
83594960622,-0.751913,0.711119,-1.29872
83594981611,-0.800578,0.726559,-1.36264
83594998035,-0.86365,0.731759,-1.4473
83595020472,-0.938827,0.723188,-1.55227
83595041731,-1.02471,0.695845,-1.67292
83595057980,-1.11862,0.643351,-1.80434
83595080491,-1.20905,0.562949,-1.93823
83595101532,-1.28684,0.453462,-2.06947
83595118082,-1.34816,0.316104,-2.1906
83595140591,-1.39855,0.154752,-2.30129
83595161770,-1.44315,-0.031493,-2.40252
83595177360,-1.49642,-0.224622,-2.49797
