timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81989884019,-1,-2,0,-1,-1,-1,0,-2
81989884019,-1,-1,-3,-1,-2,-1,0,-2
81989892193,1,-2,-1,0,-2,-2,-1,0
81989892193,-2,-2,-1,-1,-2,0,-2,-1
81989907815,0,1,-2,-1,-1,-1,-1,-1
81989907815,-2,-2,1,0,-2,-2,-1,-2
81989908682,2,-2,-1,-1,0,1,-1,-1
81989908682,-1,-2,-1,-2,1,-1,-1,-1
81989930315,-2,-1,-2,-1,-2,-1,0,-1
81989930315,-1,-1,-1,-1,-2,-3,-1,-3
81989931941,-1,-1,-2,-1,-2,0,-1,0
81989931941,-2,-1,-1,-1,-2,-1,-1,-1
81989944020,0,-1,-1,-3,-1,0,-2,-1
81989944020,-1,-1,-1,-1,2,0,-2,-1
81989953007,-1,-1,0,-2,-2,-2,-1,-2
81989953007,0,-2,0,0,-1,-1,0,-1
81989967821,-1,-1,-1,0,-2,-2,-1,-1
81989967821,-2,0,-1,-1,-1,-1,1,1
81989969429,-2,0,-1,-2,0,-2,0,-1
81989969429,-1,0,0,-1,-2,-2,-1,0
81989990394,-1,-1,0,-2,-2,-2,-2,1
81989990394,0,-1,-3,-1,-3,0,-1,-1
81989991973,-1,-2,0,0,-2,-2,0,-1
81989991973,-1,0,-1,-2,1,-1,0,-2
81990003962,-1,-1,-2,1,2,-1,-2,-2
81990003962,-1,-2,-1,-2,-1,-1,-1,-1
81990013458,-1,-1,-1,0,1,-1,-2,-1
81990013458,-1,0,-2,-2,-1,-3,0,-1
81990027854,-2,1,1,-1,-1,-1,-2,0
81990027854,0,-1,-2,-2,1,-1,-1,-1
81990029549,0,-1,-2,0,-1,-1,-2,-2
81990029549,-1,-1,-1,0,-1,0,0,-2
81990050375,-1,-1,-1,-1,-2,-1,0,-2
81990050375,0,1,0,-2,-1,0,-2,1
81990052012,-1,-2,0,0,-2,0,-1,-1
81990052012,-1,-2,-3,0,-1,-1,-2,0
81990064095,-1,-3,-1,-1,-2,-1,-2,-4
81990064095,0,-1,0,0,-1,0,-3,-2
81990073087,-2,-1,-1,-1,-1,-1,-1,0
81990073087,-1,-2,0,-1,-1,-1,1,-3
81990087930,-1,-1,-3,-1,-2,0,0,-1
81990087930,-2,-2,-1,-1,-2,-3,0,-1
81990089515,-1,-1,0,-1,-1,0,-2,-1
81990089515,1,-1,0,0,-1,-2,-2,-1
81990110556,-3,0,-1,-2,-2,0,0,1
81990110556,-2,-2,0,-3,-1,-1,-2,-2
81990111986,-2,-2,-2,-2,0,-2,-2,-1
81990111986,-2,-1,-1,-1,-1,-2,1,0
81990124235,0,-1,-2,-1,0,-2,-1,-1
81990124235,-1,-2,-1,0,-1,0,0,0
81990133105,-2,0,0,0,-1,-1,0,0
81990133105,-3,0,-1,-2,-1,-1,-1,-2
81990147224,0,-1,-1,-1,-2,-4,-2,-2
81990147224,-2,-1,0,0,-2,0,-2,0
81990154032,0,-1,-2,-1,-2,-1,0,-1
81990154032,0,-3,-2,-1,-1,1,-3,1
81990170429,0,-1,-1,0,-2,-1,-2,-1
81990170429,0,-3,-2,-1,1,-1,0,0
81990171964,0,-1,0,1,-4,0,0,0
81990171964,-1,-1,0,-2,-1,-1,1,0
81990192824,1,-2,-2,-1,0,0,-1,-2
81990192824,0,-1,0,-1,1,-2,-3,-1
81990194459,-2,-1,-2,0,0,0,-3,-2
81990194459,0,-1,-2,-1,0,-1,0,-1
81990207824,-4,-2,-1,0,0,-2,0,0
81990207824,-2,-1,0,-1,-3,-1,0,-2
81990209366,-1,-2,0,0,0,-2,-1,-2
81990209366,-2,0,-2,0,-1,0,-1,1
81990230372,-1,-2,-4,-1,0,0,-2,-1
81990230372,-1,0,-1,-2,-2,0,-1,0
81990231980,-1,0,0,0,-2,-1,-1,-1
81990231980,0,-1,-3,-3,-2,-1,-2,-2
81990252878,-1,1,0,-1,-1,-2,-1,0
81990252878,0,-2,-3,0,-3,-2,0,-2
81990254398,0,1,0,-1,-1,-1,-1,0
81990254398,-2,-2,-4,-9,-2,-1,-2,-1
81990267863,-1,-1,0,13,-1,-1,-1,0
81990267863,-1,0,-2,9,3,0,-1,-1
81990269486,-4,-2,0,4,0,-2,-3,-3
81990269486,1,-1,-1,-23,-12,-2,-1,-1
81990290390,-3,-2,-2,-11,-3,-3,-1,-1
81990290390,0,1,-1,-6,-4,-4,0,0
81990291963,0,-3,-3,9,5,0,0,0
81990291963,-3,-2,2,3,9,0,-1,-2
81990312884,-1,1,1,-9,-3,5,1,1
81990312884,-2,-1,-3,44,-8,-3,-3,-2
81990314492,0,-1,-2,-4,-1,3,0,-1
81990314492,-1,-1,1,11,15,1,-1,-2
81990327244,1,0,-1,-1,0,-4,0,-1
81990327244,0,-1,3,-15,-8,2,-2,-1
81990334022,0,-2,-3,-5,-4,-7,-2,-2
81990334022,-3,0,-2,-6,-2,2,0,-3
81990350355,0,1,1,10,1,5,2,0
81990350355,-2,-4,-4,-15,5,-12,-3,-3
81990351982,-2,-1,2,-22,-25,-2,-7,-5
81990351982,0,1,3,-15,2,-4,0,3
81990372837,-2,-3,-2,15,-6,-5,-5,-3
81990372837,-2,1,2,-3,17,16,7,2
81990374401,3,2,2,57,7,-5,-5,3
81990374401,-2,-3,-2,-38,-5,0,-3,-5
81990386506,-4,-4,-2,-14,-5,-7,-3,-3
81990386506,2,0,2,9,9,6,-3,0
81990395548,-3,-1,0,-8,-12,-4,0,0
81990395548,-9,-1,1,36,1,6,-8,-55
81990410448,10,1,-2,-11,7,-6,0,44
81990410448,-2,-2,-1,-33,-6,-10,-10,-6
81990412012,-4,-1,0,10,11,2,2,-11
81990412012,6,-2,-6,1,-16,-2,1,16
81990432865,-4,-3,-1,-10,4,13,6,-5
81990432865,1,2,-1,8,9,5,-1,0
81990434546,-2,-2,-4,-7,-6,-11,-9,-4
81990434546,-1,-4,-3,11,-5,-6,6,10
81990446536,-3,1,2,-2,4,3,4,-8
81990446536,3,-2,-2,-8,-4,-9,3,14
81990455498,-2,-1,-4,-7,7,10,0,-10
81990455498,-5,-19,-3,-2,-6,-3,5,6
81990470341,0,-1,-2,-6,0,-4,-5,-8
81990470341,-2,1,0,-9,-7,-7,-11,-16
81990471925,4,-1,2,18,7,2,11,13
81990471925,0,3,-3,8,1,-1,4,-1
81990492881,-7,-3,-5,-14,-12,7,-8,-12
81990492881,-1,-3,-2,-27,-2,-9,7,-1
81990494493,-3,2,-3,-18,5,4,-3,-10
81990494493,5,3,0,14,-3,-14,-6,13
81990506541,-3,0,-1,2,-4,-2,-3,-9
81990506541,-3,-2,-5,20,-2,5,3,1
81990515501,-2,-1,-1,-33,-7,13,3,10
81990515501,-2,1,-2,8,7,4,-5,0
81990530414,-1,-2,-5,8,-1,-17,-4,-3
81990530414,-3,-1,-2,10,-1,9,-2,0
81990531961,0,-2,-1,-7,-3,-4,2,2
81990531961,-4,-2,2,0,5,18,-1,-1
81990552917,1,2,0,9,-9,-32,-10,3
81990552917,1,-1,-2,-6,-10,3,7,0
81990554516,2,-1,0,-4,2,8,-1,0
81990554516,1,4,2,-2,-2,-11,-9,-17
81990566486,-5,-3,1,25,11,38,8,7
81990566486,-3,-1,-6,-7,-15,-54,-21,-6
81990575484,1,-4,-6,-12,-13,-12,8,7
81990575484,4,4,5,10,18,28,11,5
81990590365,-2,-1,0,0,-3,-4,4,-6
81990590365,-1,-1,4,15,5,16,-1,-5
81990591987,-2,0,-2,6,-1,-18,-16,-4
81990591987,0,-2,-5,-19,-9,-4,-1,8
81990612836,-1,2,2,0,1,18,9,-4
81990612836,-2,-4,-5,-19,-8,-13,-1,2
81990614455,-2,0,1,-3,4,7,2,-3
81990614455,-5,-4,-6,-3,-13,-6,-12,-8
81990626515,0,-1,-6,-20,-14,-40,-8,-4
81990626515,3,2,3,19,14,33,-9,4
81990635538,3,0,5,5,6,-5,5,9
81990635538,-1,0,-2,3,8,-5,5,2
81990650371,-1,7,-1,-18,-8,11,-4,-31
81990650371,-5,-21,-8,0,-38,-35,4,21
81990651985,-2,0,1,11,17,36,-1,-8
81990651985,2,3,5,-15,2,-6,3,7
81990672882,0,-1,-3,-20,-8,-3,-5,-8
81990672882,-1,4,2,-32,14,26,9,3
81990674462,-5,-5,-11,-10,-21,-27,1,-8
81990674462,-2,-6,-2,0,-15,-33,-7,-2
81990686545,1,-1,2,-11,19,25,-2,5
81990686545,0,2,3,35,12,19,-4,-2
81990695501,-2,-3,0,1,0,-8,0,7
81990695501,1,2,-1,11,-9,-15,-3,-8
81990717861,1,-1,0,-9,-6,46,6,4
81990717861,-4,1,5,15,9,-52,-8,-21
81990719474,1,1,-3,-6,3,12,2,6
81990719474,-1,-1,-4,4,6,6,2,-2
81990732850,1,-2,1,-11,-11,-22,-11,-3
81990732850,10,-3,-2,15,2,5,14,3
81990734476,1,7,4,5,10,18,-24,-15
