timestamp,x,y,z
59409597585,0,-0.125,0.25
59409620063,0.75,0.125,0.0625
59409641131,0.625,0.25,-0.0625
59409657568,1.0625,0.25,-0.375
59409687623,0.6875,0.0625,-0.375
59409701139,0.125,0.0625,-0.3125
59409717588,0.625,0.125,-0.0625
59409740100,1.0625,0.125,0
59409761290,0.8125,0.1875,0.0625
59409777587,0.3125,0.25,-0.125
59409800151,0.1875,0.25,0
59409821264,0.125,0.0625,0.1875
59409837569,-0.125,0.0625,0.4375
59409860103,0,0.0625,0.3125
59409898907,-0.0625,0.25,0.125
59409903618,-0.125,0.375,0
59409920069,-0.25,0.375,-0.0625
59409950112,0,0.375,-0.125
59409956941,0.375,0.25,-0.3125
59409980123,-0.125,0.1875,0
59410002637,-0.5625,-0.0625,0.25
59410017120,-0.6875,0.125,0.5
59410040140,0.125,0.1875,0.0625
59410062682,-0.25,0.375,0.4375
59410076994,-1.125,0.125,0.5
59410100149,-0.875,0.1875,0.125
59410122594,0.125,0.5,-0.3125
59410137011,0.25,0.1875,-0.125
59410160191,-0.1875,0.0625,0
59410182623,-0.25,-0.1875,0.1875
59410196906,0.25,-0.0625,-0.0625
59410220122,0.75,0.0625,-0.25
59410242574,1.4375,0.25,-0.125
59410256928,0.6875,0.25,0.3125
59410280046,0.0625,-0.0625,0.375
59410302599,0.5,-0.1875,0.0625
59410316911,1.25,0.0625,-0.3125
59410340046,1.1875,0.1875,-0.375
59410362590,1.3125,0.25,-0.375
59410383706,1.4375,0.125,-0.3125
59410400116,1,-0.0625,-0.3125
59410422569,0.875,-0.0625,-0.375
59410451239,1.4375,0,-0.5
59410460163,1.625,0.0625,-0.5
59410482651,1.4375,0.0625,-0.3125
59410503691,1.125,0,0.0625
59410520110,0.9375,-0.125,0.125
59410542642,0.4375,-0.1875,0.125
59410563874,0.375,0,0.0625
59410580138,0.5625,0.25,-0.0625
59410602670,0.4375,0.1875,0.0625
59410623768,0.5,-0.0625,0.1875
59410640131,0.5625,-0.1875,0.25
59410670124,0.6875,0.0625,-0.0625
59410683940,0.4375,0.1875,-0.1875
59410700781,0.1875,0.25,-0.1875
59410730200,0.0625,0.1875,0
59410743722,0.625,0,0
59410760155,1.25,0.0625,-0.0625
59410782618,0.8125,0.3125,0.125
59410805192,-0.9375,-0.0625,0.25
59410820153,-1.0625,-0.0625,-0.3125
59410842599,0.25,0.1875,-0.25
59410865205,1.375,0,0
59410880146,1.125,0.125,0.0625
59410902567,0.1875,0.0625,0.25
59410932678,0.25,-0.0625,0.0625
59410939496,1.375,-0.0625,-0.125
59410962584,2.3125,-0.0625,-0.125
59410985152,2.125,0.1875,0.1875
59411006204,1.25,-0.0625,0.375
59411023084,1.5,-0.0625,0.25
59411045091,2.3125,0.1875,-0.125
59411059392,2.0625,0.125,-0.3125
59411082571,2.8125,0.125,-0.375
59411105139,3.6875,-0.1875,-0.4375
59411119486,4.3125,-0.5625,-1.0625
59411142654,6.125,-1.0625,-1.25
59411165191,7.5625,-1.0625,-1.4375
59411187595,7.1875,-0.75,-1.625
59411202554,4.375,-0.125,-2.3125
59411225140,2.5,0.75,-2.5625
59411239412,5.1875,2.6875,-2.3125
59411262666,11,3.3125,1.125
59411285171,14.0625,4.1875,6.75
59411306384,13.625,4.9375,15.3125
59411322653,10.6875,4.125,26.375
59411345107,9.4375,1.5,38.6875
59411366141,7.4375,0.625,53.1875
59411382644,8.9375,-0.3125,70.875
59411405119,5.375,-1.1875,90.5625
59411426244,0.4375,-2.25,111.875
59411442610,-9.25,-5.4375,134.125
59411465079,-16.875,-10,154.688
59411486192,-13,-14,176.438
59411508942,0.125,-17.8125,196.938
59411525084,16.125,-20.3125,216.438
59411546399,34.1875,-20.625,236.188
59411561949,45.9375,-22.875,251.188
59411585144,48.25,-24.9375,264.375
59411605856,50.8125,-23.5625,277.938
59411637568,56.0625,-24.5,287.812
59411645037,64.9375,-26.5625,296.75
59411666040,70.4375,-25.875,304.875
59411697991,75.5,-22.9375,308.375
59411706512,73.6875,-21,308.375
59411727588,75.0625,-22.5625,307.438
59411741881,74.75,-24.25,304
59411765125,75.25,-25.6875,304
59411787431,75.5,-25,302.812
59411801899,71.5625,-24.125,294.375
59411840045,69.0625,-24,286.312
59411847545,70.6875,-25.4375,278.562
59411868654,76.625,-25.625,265.375
59411885053,74.625,-25,251
59411907583,65.1875,-23.3125,236.312
59411928632,60,-22.1875,226
59411945077,64.75,-24.625,212.938
59411967569,63.75,-29.75,198
59411988632,50.0625,-24.0625,186.375
59412005066,46.25,-20.9375,174.312
59412027555,58.625,-28.0625,160.188
59412048645,41,-31.1875,152.312
59412065014,40.8125,-24.0625,130.188
59412101788,31.875,-28.5,118.25
59412116062,27.3125,-26.125,104.125
59412125062,17.6875,-23,88.0625
59412147650,13,-19.125,75
59412168683,10.375,-13.3125,62.375
59412185119,4.375,-9.625,42.625
59412207497,11.0625,-5.8125,22.3125
59412245636,22.875,0.0625,-6.4375
59412248035,44.0625,9,-32.5625
59412267635,57.1875,19.5,-73.875
59412288566,60.125,32.75,-134.812
59412305000,38.5,35.1875,-232.375
59412327408,-8.875,37,-323.562
59412348629,-54.3125,43.3125,-371.062
59412365067,-57.6875,30.875,-347.875
59412387984,-57.4375,24.875,-265.062
59412408624,3.125,17.5,-171.125
59412424364,52.375,6.375,-82.1875
59412447607,83.6875,9.25,-13.375
59412471552,72,4.3125,44.75
59412492574,32.3125,-1.6875,71.25
59412507549,17.4375,0.6875,74.5
59412528859,21.75,0.9375,61.8125
59412544396,16.875,-3.4375,37.25
59412575066,9.9375,-6.375,16.0625
59412596215,4.5,-6.4375,1.875
59412604387,0.625,-4.5,-5.625
59412627546,1.25,-3.125,-9.125
59412648640,7.125,-1.8125,-10.8125
59412672518,12.875,2.1875,-11.5
59412693605,11.9375,5.1875,-10.3125
59412710108,4.75,6.125,-6.4375
59412725032,-2.625,6.25,-1.625
59412755053,-6.625,5.1875,5.75
59412770183,-4,4.125,12.5625
59412798570,-2.0625,2.8125,18.75
59412807577,-4.4375,2.625,27.0625
59412830071,-5.8125,1.875,35.875
59412851371,-6,1.8125,41.5625
59412876575,-6.5625,0.625,49.4375
59412890016,-6.3125,-1.6875,57.1875
59412911243,-9,-3.5625,60.0625
59412933601,-12.25,-4.6875,65
59412950051,-16.5,-7.25,75.0625
59412971151,-21.875,-9.75,79.75
59412987513,-26.5,-8.5625,78.125
59413010031,-24.75,-9.875,86.6875
59413031208,-20.5,-15.5625,94.1875
59413047624,-16.25,-16.5625,92.25
59413052867,-12.375,-14.375,90.9375
59413078375,-9.5,-13.875,97
59413099453,-12.8125,-13.375,98.3125
59413113162,-23.75,-12.5625,89.125
59413135639,-34.375,-10.875,78.6875
59413158019,-31.25,-9.8125,70.3125
59413172927,-32.75,-13.125,58.375
59413195678,-52.5625,-18.5,36.5625
59413226824,-77.75,-19.875,9.75
59413232974,-88.25,-14.8125,-14.75
59413255492,-97.375,-10,-37.5625
59413278076,-105.812,-3.9375,-57
59413300714,-107.188,5.0625,-78.125
59413315713,-104.5,14.5625,-101.125
59413338162,-111.062,22.875,-120.188
59413377473,-120.812,31.625,-142
59413379845,-120.625,41.875,-162.188
59413398048,-110.625,50.25,-179.938
59413413267,-103.562,56.5,-201.562
59413438804,-108.938,58,-223
59413458154,-116.062,60.75,-236
59413473142,-113.438,67.75,-249.688
59413495431,-104.5,74.5625,-268.438
59413517942,-101.375,78,-283.375
59413533007,-101.438,84.75,-293.562
59413555389,-96.75,92.25,-301.25
59413580955,-91.6875,93.125,-309.812
59413593136,-90.625,88,-320.188
59413615441,-81.25,86.1875,-324.438
59413637938,-70.25,82.875,-333.438
59413655843,-62.125,74.3125,-346.062
59413675478,-56.625,61.9375,-353.688
59413706917,-52.25,45.6875,-347.875
59413713020,-35.875,34.4375,-351.375
59413735544,-17,29.3125,-353.062
59413760856,-1.0625,38.3125,-355.625
59413780464,33.5625,48.125,-350.938
59413795467,89.5,51.4375,-330.188
59413818184,128.438,45.9375,-299.625
59413833189,130.188,41.6875,-258.625
59413855558,82.875,30.125,-214
59413878009,-17.375,9.3125,-168.438
59413892979,-154.562,13.75,-110.062
59413915682,-251.5,30.9375,-31.625
59413938013,-282.5,20.125,-12.5
59413952918,-205.938,7.5625,7.4375
59413983183,-171.625,0.9375,20.125
59413998100,-43.0625,3.3125,9.625
59414012911,60.75,7.75,18.9375
59414035488,62,9.75,12.375
59414059465,30.25,8.125,13.3125
59414074344,11.9375,3.875,13.75
59414095573,7.125,0,15.5
59414118217,13,-4.5,16.375
59414132919,21.0625,-7.125,17.3125
59414155566,22.9375,-9.0625,19.375
59414181497,16.5,-13.125,21.5
59414193180,8.6875,-17,22.625
59414215437,7.125,-18,23.9375
59414237912,8.625,-21.8125,27.5625
59414261946,15.5,-25.625,27
