timestamp,x,y,z
82142390496,0.931152,-0.266602,-0.0136719
82142412964,0.928223,-0.272461,-0.0117188
82142434014,0.930176,-0.275391,-0.0141602
82142450519,0.935547,-0.27832,-0.0102539
82142472998,0.937988,-0.279785,-0.0141602
82142494025,0.938477,-0.278809,-0.019043
82142510483,0.933594,-0.27832,-0.0136719
82142533089,0.935547,-0.279785,-0.0102539
82142554364,0.936523,-0.277832,-0.0185547
82142578005,0.927246,-0.286133,-0.0185547
82142593041,0.931152,-0.289062,-0.0141602
82142614026,0.931152,-0.300781,-0.0180664
82142630486,0.934082,-0.296387,-0.0102539
82142652972,0.935547,-0.304199,-0.00146484
82142674103,0.938965,-0.311035,0.00585938
82142690522,0.927734,-0.3125,0.00488281
82142712949,0.935059,-0.326172,0.00390625
82142734010,0.94043,-0.344727,-0.000976562
82142750493,0.936035,-0.381836,0.00390625
82142773003,0.930176,-0.383789,0.0151367
82142795509,0.931641,-0.395996,0.0151367
82142810542,0.92627,-0.423828,0.0200195
82142833097,0.936523,-0.457031,0.0112305
82142855585,0.942871,-0.474121,0.0249023
82142876550,0.92627,-0.51123,0.0390625
82142893006,0.95166,-0.563477,0.0405273
82142915516,0.970215,-0.629883,0.0219727
82142936635,0.958008,-0.689453,0.0234375
82142953078,0.94043,-0.752441,0.0356445
82142975550,0.929199,-0.791016,0.0444336
82142996531,0.956055,-0.833496,0.0708008
82143013001,0.967285,-0.823242,0.0673828
82143035521,0.993164,-0.87793,0.0224609
82143057413,0.996582,-1.00391,-0.0224609
82143072975,0.991699,-1.11182,-0.0717773
82143095501,0.972168,-1.14014,-0.0908203
82143116561,0.939941,-1.13232,-0.116699
82143133009,0.887207,-1.20557,-0.114258
82143155534,0.831543,-1.25781,-0.110352
82143176566,0.774414,-1.25635,-0.154297
82143192996,0.609375,-1.24023,-0.0639648
82143215408,0.430664,-1.30762,-0.0820312
82143236575,0.303711,-1.20361,-0.0253906
82143253019,0.186523,-1.13232,0.0273438
82143275482,0.0732422,-1.05713,0.0541992
82143296545,-0.0605469,-0.904785,0.0664062
82143313001,-0.186035,-0.705566,0.09375
82143335535,-0.269531,-0.720215,0.103516
82143356513,-0.321289,-0.637207,0.128418
82143374348,-0.37207,-0.523926,0.154785
82143395518,-0.423828,-0.361816,0.178223
82143416558,-0.541016,-0.246094,0.204102
82143433007,-0.5,-0.244629,0.423828
82143455592,-0.747559,-0.223145,0.015625
82143476564,-0.253906,-0.191406,0.492676
82143492343,-0.213379,-0.0859375,-0.0478516
82143515462,-1.21191,-0.0488281,0.103516
82143536526,-0.623047,0.0683594,0.169922
82143552313,-0.684082,0.109863,0.268066
82143575464,-0.736328,0.104004,0.283203
82143596582,-0.79834,0.150391,0.32959
82143613717,-0.847168,0.226562,0.361816
82143635469,-0.883301,0.279297,0.404297
82143656522,-0.924316,0.299805,0.48877
82143672295,-0.993652,0.384277,0.536621
82143695512,-1.08691,0.523438,0.589355
82143717991,-1.20068,0.633301,0.640625
82143732324,-1.42139,0.568848,0.75
82143755439,-1.66357,0.253906,0.80127
82143778007,-1.84863,-0.276855,0.500488
82143792361,-1.38574,-0.572266,0.493164
82143815510,0.10791,-0.202148,0.666992
82143837959,1.23096,-0.710449,-0.163086
82143859091,0.810059,-0.438477,0.0112305
82143875522,0.163086,-0.611328,-0.135742
82143905455,-0.266602,-0.310547,-0.118652
82143919002,-0.537109,-0.398438,0.0249023
82143935463,-0.730469,-0.548828,0.225586
82143957995,-0.743164,-0.590332,0.299805
82143979007,-0.702148,-0.574219,0.267578
82143995478,-0.669922,-0.499023,0.226562
82144018010,-0.616699,-0.435059,0.225098
82144039022,-0.537598,-0.449219,0.219727
82144055467,-0.459961,-0.493652,0.272461
82144079437,-0.407715,-0.570801,0.282227
82144099071,-0.391113,-0.581055,0.270996
82144115491,-0.379883,-0.529785,0.236816
82144137999,-0.337402,-0.571289,0.227539
82144159059,-0.302246,-0.71582,0.195312
82144175469,-0.252441,-0.802734,0.140137
82144197974,-0.136719,-0.799316,0.12207
82144220483,-0.03125,-0.876465,0.112793
82144235488,0.0473633,-0.944336,0.116211
82144257958,0.140137,-0.969727,0.097168
82144279037,0.270508,-0.968262,0.0571289
82144295445,0.369141,-0.987793,0.0219727
82144318028,0.438965,-1.02197,0.0366211
82144338987,0.514648,-1.07666,0.0400391
82144355475,0.606934,-1.11914,0.0463867
82144377992,0.732422,-1.15283,0.0405273
82144399074,0.86377,-1.14746,0.0185547
82144414831,1.02783,-1.07812,-0.0175781
82144437992,1.14648,-1.02295,-0.00878906
82144458992,1.15283,-0.933105,0.0366211
82144474816,1.24268,-0.765137,0.065918
82144497967,1.28906,-0.564941,0.0961914
82144519027,1.29639,-0.382812,0.125488
82144534831,1.28613,-0.285156,0.144531
82144557992,1.25342,-0.281738,0.132812
82144579037,1.20508,-0.37207,0.105957
82144594850,1.16943,-0.46875,0.0717773
82144618037,1.13135,-0.519531,0.0415039
82144640507,1.08496,-0.506348,0.0180664
82144654815,1.0293,-0.45459,-0.0161133
82144677989,0.991211,-0.399414,-0.0395508
82144700534,0.946777,-0.365234,-0.0463867
82144714853,0.928711,-0.356445,-0.0722656
82144737987,0.916992,-0.395996,-0.0898438
82144760520,0.90918,-0.400879,-0.097168
82144781548,0.908203,-0.370117,-0.0986328
82144797982,0.912109,-0.336426,-0.0756836
82144820469,0.904785,-0.310059,-0.0649414
82144841573,0.902832,-0.287109,-0.0458984
82144858017,0.920898,-0.263184,-0.043457
82144880494,0.933105,-0.237305,-0.0239258
82144901544,0.964844,-0.227051,-0.0322266
82144917956,0.974609,-0.224121,-0.0361328
82144940492,0.97998,-0.225586,-0.0522461
82144961526,1.00488,-0.222168,-0.0302734
82144978003,1.03516,-0.224121,0.0283203
82145000478,1.02881,-0.198242,0.0947266
82145021569,0.993652,-0.177734,0.109375
82145037950,0.973145,-0.171875,0.0683594
82145060512,0.990234,-0.132812,0
82145081519,1.00098,-0.147949,-0.0478516
82145098008,0.968262,-0.188477,-0.078125
82145120468,0.959961,-0.23584,-0.111328
82145141563,0.950684,-0.204102,-0.147461
82145158022,0.972656,-0.218262,-0.146484
82145180479,0.971191,-0.197754,-0.0927734
82145201529,0.974609,-0.158691,-0.0317383
82145217970,0.955566,-0.081543,-0.00732422
82145240458,0.924805,-0.015625,-0.0410156
82145261549,0.95459,-0.0664062,-0.0454102
82145277980,0.966797,-0.161133,-0.0390625
82145300506,0.958496,-0.183594,-0.0375977
82145321565,0.961914,-0.179688,-0.0380859
82145337986,0.970703,-0.231445,-0.0244141
82145360475,0.965332,-0.282227,-0.0151367
82145381605,0.958008,-0.25,-0.0224609
82145397333,0.958496,-0.173828,-0.0454102
82145420474,0.966797,-0.121094,-0.0629883
82145441553,0.958984,-0.147949,-0.0419922
82145457296,0.933105,-0.163574,-0.0424805
82145480428,0.945312,-0.17041,-0.0371094
82145501522,0.952637,-0.175781,-0.0258789
82145518045,0.963379,-0.159668,-0.0185547
82145540388,0.950684,-0.154297,-0.0234375
82145563031,0.944336,-0.164062,-0.0341797
82145578011,0.950684,-0.166504,-0.0541992
82145600473,0.955566,-0.189941,-0.065918
82145623011,0.962402,-0.209473,-0.0708008
82145637991,0.95166,-0.223633,-0.0639648
82145660416,0.943848,-0.208496,-0.0498047
82145683021,0.937988,-0.188965,-0.0375977
82145697335,0.944336,-0.184082,-0.0297852
82145720493,0.961914,-0.180176,-0.0390625
82145743033,0.968262,-0.182617,-0.0327148
82145757344,0.963867,-0.183105,-0.0351562
82145780507,0.971191,-0.177246,-0.0385742
82145802966,0.946777,-0.175293,-0.0361328
82145817415,0.952637,-0.180664,-0.0366211
82145840273,0.950684,-0.182129,-0.0371094
82145862963,0.948242,-0.187012,-0.0361328
82145877312,0.939453,-0.1875,-0.0375977
82145900486,0.942383,-0.19873,-0.0405273
82145922986,0.954102,-0.208008,-0.0385742
82145937342,0.95752,-0.214355,-0.0419922
82145960466,0.965332,-0.229004,-0.043457
82145982972,0.96582,-0.241211,-0.0454102
82145997352,0.964844,-0.230469,-0.0317383
82146021968,0.955566,-0.21875,-0.0229492
82146043445,0.948242,-0.195312,-0.0253906
82146064066,0.945801,-0.185547,-0.0239258
82146080535,0.939453,-0.180176,-0.0283203
82146103012,0.937988,-0.172363,-0.027832
82146124026,0.931152,-0.175293,-0.0424805
82146140460,0.940918,-0.167969,-0.050293
82146162966,0.93457,-0.161621,-0.0576172
82146184069,0.9375,-0.161621,-0.0605469
82146200447,0.936035,-0.160645,-0.059082
82146222941,0.945312,-0.175781,-0.0561523
82146243982,0.955078,-0.197754,-0.0561523
82146260483,0.970703,-0.209473,-0.0605469
82146289068,0.998047,-0.223145,-0.0488281
