timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81769506384,-1,2,-3,-2,-3,-4,-2,-1
81769506384,-3,-4,-2,-3,-1,-1,-2,-2
81769507948,-2,-5,-1,-3,-3,0,-2,-1
81769507948,-1,-1,0,2,0,-1,-1,0
81769528816,1,-1,0,1,0,-1,-1,0
81769528816,-3,-4,-1,-2,-3,-2,-2,0
81769530413,0,-5,0,-3,1,-3,-1,-1
81769530413,-2,-1,-2,-2,-2,-2,-1,-1
81769551322,-1,-2,0,8,-1,-1,-1,-2
81769551322,-2,0,-2,-9,-4,-1,-1,1
81769552898,-1,3,-1,5,0,2,-1,-2
81769552898,-2,-22,-4,-4,-2,-1,0,-2
81769565701,-5,-2,-3,-11,1,-1,0,-2
81769565701,16,4,2,21,3,1,-1,1
81769572401,0,-1,0,6,1,-1,-2,1
81769572401,-4,-1,-6,2,-8,-6,-4,-3
81769588805,1,0,0,-9,-1,-1,-1,-1
81769588805,4,-7,-3,5,-2,-1,-1,-1
81769590402,-6,8,0,5,4,-1,-1,0
81769590402,-1,3,1,0,2,0,-1,-3
81769611358,1,-3,-2,-7,-4,-2,0,-1
81769611358,-4,0,-1,1,2,-1,1,-1
81769612976,3,-2,-3,-4,-6,-1,-1,-5
81769612976,-5,0,0,-5,-1,0,-2,0
81769625787,-3,-1,0,-2,-2,-2,-4,-3
81769625787,-4,-1,-2,-4,-1,-1,-3,-1
81769632616,2,-2,-3,-4,-2,0,0,0
81769632616,-3,-2,-1,-6,-2,0,-1,-1
81769649030,2,0,0,14,1,0,-1,-2
81769649030,-4,-2,-2,-5,-2,-1,-1,-2
81769650383,-4,-4,-3,-6,-4,-3,-2,0
81769650383,2,4,0,6,2,1,0,0
81769671541,-2,-2,-1,1,1,-1,-1,0
81769671541,-5,-2,-1,-7,-2,-2,-1,-1
81769673023,-3,11,-3,-11,-5,-1,-1,-2
81769673023,0,1,0,1,-1,-2,-1,-2
81769685766,3,0,1,-1,-2,0,0,1
81769685766,-6,-3,0,-5,-2,0,0,-2
81769692481,1,-1,0,12,2,0,-2,-1
81769692481,-1,2,0,4,3,0,1,-1
81769709088,-1,-2,-4,3,-4,-2,-2,-3
81769709088,-2,3,0,-4,1,1,-3,0
81769710428,0,-5,0,11,3,-3,0,-1
81769710428,-2,-2,-2,-26,-3,-1,-2,0
81769731541,-3,-4,-1,9,1,-1,0,1
81769731541,-1,-1,-4,3,-3,-2,-1,0
81769732952,2,-3,-2,-8,-4,-1,-1,-2
81769732952,3,4,-2,4,0,-2,-2,-2
81769745688,-8,-4,-3,-4,-1,-2,-2,-3
81769745688,-4,-3,-2,-7,-2,-2,-2,-1
81769752514,-1,-3,-1,4,1,-1,-2,-1
81769752514,1,1,0,5,-1,0,-2,-1
81769768874,9,-6,-3,-12,-2,0,0,0
81769768874,-1,6,1,3,-1,-2,1,1
81769770481,-3,-3,-3,20,0,-4,-4,-4
81769770481,-5,-7,-3,-16,-5,-1,0,-2
81769791336,2,2,0,3,-3,-2,0,1
81769791336,2,-4,-1,17,5,1,0,-2
81769792966,-2,-1,-6,-54,-11,-4,-2,-3
81769792966,-1,3,-1,3,1,-1,0,-1
81769805655,-5,-1,0,1,1,1,-1,-1
81769805655,-1,-1,-3,2,-4,-2,0,-1
81769812468,-4,-1,-2,-14,-5,1,-1,1
81769812468,2,-1,1,10,1,1,-1,0
81769828759,-6,-2,-2,-10,-2,-2,-2,-1
81769828759,-5,-15,-3,5,1,-2,-2,-1
81769830424,2,0,0,4,1,0,1,0
81769830424,-5,-3,0,-4,0,0,-1,0
81769851324,16,4,3,7,1,-1,-1,-1
81769851324,-1,5,-1,-8,-3,0,-3,0
81769852937,-1,-1,1,3,0,0,-1,-1
81769852937,-1,-2,1,5,-1,-1,0,-2
81769865697,-9,0,-3,-3,-1,0,-1,-3
81769865697,3,1,-2,2,0,-4,0,-2
81769872455,2,-1,0,-5,-1,1,-1,-2
81769872455,-2,-5,-3,-6,-1,-1,0,-1
81769889064,-1,3,-1,-5,-2,0,-2,-1
81769889064,-2,-3,-1,-14,-4,-1,0,-2
81769890522,-4,-5,-2,12,2,-1,-1,0
81769890522,-1,2,-2,17,1,-1,-2,-2
81769911402,-4,-3,-1,-10,-3,-1,0,-1
81769911402,-3,-20,-3,3,-2,-2,1,-2
81769913033,0,3,-1,5,0,-3,-1,-1
81769913033,-3,-1,-2,-2,-2,-1,-2,0
81769925178,-4,-5,-1,-6,0,-3,0,3
81769925178,-2,5,1,-5,-1,1,-2,-1
81769934036,-1,-2,0,12,-1,-2,-1,-2
81769934036,-1,-3,-4,-22,-9,-3,-2,-2
81769948830,-3,0,0,2,0,0,-1,-2
81769948830,0,4,0,-5,1,0,-1,0
81769950409,-2,-3,1,8,2,0,0,0
81769950409,0,1,-1,-2,0,1,0,-1
81769979085,11,3,0,5,-1,-2,0,-1
81769979085,2,0,-4,-9,-3,-3,-2,-3
81769980506,-15,1,0,-5,1,0,0,1
81769980506,-3,-1,-1,13,1,-1,-1,-1
81769985089,-2,-1,-3,-16,-2,0,-2,-1
81769985089,-1,2,1,3,0,1,-1,0
81770001493,4,-16,-3,-15,-3,0,0,-1
81770001493,-3,1,-2,1,-2,-1,0,-2
81770008831,-6,0,-1,-1,-1,0,0,0
81770008831,-2,-5,-2,2,-2,-2,0,-1
81770010458,2,7,-1,5,1,-1,-2,-3
81770010458,0,-3,1,-3,0,0,-1,-1
81770031262,-2,-5,-2,4,-2,0,-1,-1
81770031262,-2,3,-2,-9,-4,-1,-2,0
81770034734,2,-1,0,1,-2,-2,-1,0
81770034734,1,-1,0,-7,0,-1,0,0
81770044993,-2,2,1,-3,1,-1,-1,-2
81770044993,-1,2,-1,9,-2,-1,-2,-2
81770053996,-1,0,-3,1,1,-1,0,0
81770053996,0,1,-1,13,3,-2,-1,-1
81770068926,-4,-3,0,-7,-3,-2,-2,0
81770068926,-5,-1,-3,-11,-2,-1,-1,-2
81770070490,2,-22,-1,2,-1,0,-2,-1
81770070490,-1,1,1,4,2,0,-1,-1
81770091497,-4,-2,-3,-22,-4,-3,-1,-1
81770091497,-5,-4,-1,4,0,-2,-2,-3
81770093012,-3,5,0,-7,0,-3,-2,-2
81770093012,-3,-3,-1,-7,-4,-3,-3,-1
81770105242,0,-2,0,13,0,0,-1,-2
81770105242,1,1,0,3,-2,0,-1,0
81770114020,-2,2,-3,-14,-2,0,0,-3
81770114020,1,-1,-1,6,-1,1,1,-1
81770129071,-1,-2,-2,-3,1,-1,-1,-2
81770129071,-16,5,1,0,0,0,1,0
81770130551,-1,3,1,12,1,-1,0,1
81770130551,-1,-3,-1,-31,-4,-1,-3,1
81770151587,-1,-3,0,39,5,0,-2,-2
81770151587,4,-1,-1,-23,-6,0,-1,0
81770153003,0,2,-2,-13,-3,-2,0,-2
81770153003,-6,-20,-4,-3,3,-1,0,-2
81770165224,-1,0,0,4,0,0,1,1
81770165224,1,-1,2,2,-1,-1,1,0
81770174088,-4,0,-3,-8,2,-2,-2,-2
81770174088,2,5,-1,-2,-17,-3,-3,-2
81770188407,0,0,-1,-9,-1,1,1,0
81770188407,2,-2,0,14,4,-1,0,-1
81770195138,0,0,-1,1,0,1,-1,1
81770195138,1,6,-2,-9,1,-2,-2,-2
81770211501,-7,-3,-2,14,-3,-1,-1,1
81770211501,12,8,2,-5,3,0,-1,0
81770212969,-1,-1,1,1,7,-4,-3,-1
81770212969,4,10,-2,-3,-8,-4,1,-1
81770225206,-7,9,1,5,3,7,-1,1
81770225206,-3,-4,-3,-5,-6,-10,-6,0
81770234106,-1,-2,-2,7,-5,1,2,-2
81770234106,4,1,3,6,6,-6,0,3
81770248260,3,-2,-3,-2,0,1,0,-2
81770248260,3,-1,-3,-12,-6,10,2,-3
81770255018,-2,3,2,-5,-4,-6,-2,-1
81770255018,-5,0,3,37,7,2,-1,-4
81770271590,-4,-10,-10,-26,-2,-9,-5,-7
81770271590,-4,-6,-3,-12,14,4,1,-6
81770273020,-3,-1,-5,-15,-49,-7,-5,-8
81770273020,-3,-1,-4,-3,-2,-7,-3,-5
81770285040,-1,-22,1,8,-4,-5,-12,-1
81770285040,4,3,2,2,12,7,17,-1
81770293983,-2,1,-1,-35,8,19,0,3
81770293983,1,0,0,-4,4,3,5,1
81770308165,2,1,1,20,-5,3,-4,-4
81770308165,-2,1,-4,-4,-11,-12,-6,0
81770314990,-5,-9,-1,23,13,-9,-7,0
81770314990,4,3,0,-13,-8,0,0,1
81770331339,-6,-1,-4,-11,-11,-12,-6,-4
81770331339,-1,15,1,8,2,2,1,-1
81770332935,1,1,0,2,8,13,6,7
81770332935,7,3,-2,7,10,-5,-10,3
81770361485,-1,6,-1,-13,-1,2,18,-38
81770361485,9,1,0,-1,-12,-20,-7,40
81770362981,1,1,0,7,7,15,7,3
81770362981,-3,-6,-1,-8,-4,-29,-4,1
81770368245,5,6,3,34,-4,2,-4,-4
81770368245,-10,-9,-4,-17,2,8,-4,-16
81770374985,-4,-4,-6,-28,0,-9,-23,-10
81770374985,-5,-8,-2,8,7,48,20,-1
81770391497,0,4,-1,-20,-8,-4,15,9
81770391497,2,-7,1,41,12,-3,7,2
81770393005,5,4,-2,-22,-23,-23,-14,0
81770393005,-4,1,-1,-8,1,-20,-9,-12
81770414184,4,4,0,5,-6,5,-9,8
81770414184,-3,-6,0,5,4,-5,8,-9
81770415608,3,3,4,23,9,-11,-6,2
81770415608,-5,-3,0,-1,-24,33,7,0
81770428438,5,-5,0,2,30,25,12,12
81770428438,-21,5,-1,-22,-22,-6,-20,-14
81770435111,-5,-3,-2,30,-2,-15,-13,-18
81770435111,9,-1,-4,-14,9,-33,0,33
