timestamp,x,y,z
59357480332,-0.5625,-0.1875,0.25
59357502848,-0.375,-0.1875,0.0625
59357524567,-0.375,-0.25,0.0625
59357540314,-0.4375,-0.125,-0.125
59357562817,-0.3125,-0.1875,0.0625
59357583934,-0.1875,-0.25,0
59357600355,-0.1875,-0.1875,0
59357622941,0,0,-0.0625
59357645443,0.0625,-0.125,0
59357667866,-0.6875,0,-0.0625
59357682864,-0.875,-0.1875,0.125
59357703953,-0.375,-0.25,0.375
59357720359,-0.4375,-0.3125,0.3125
59357742855,-0.25,-0.25,-0.125
59357765316,0.3125,0,-0.1875
59357780367,-0.125,0,0.3125
59357802832,-1.375,-0.4375,0.25
59357825352,-1.125,-0.125,-0.3125
59357840337,0.4375,0.4375,-0.5625
59357862862,0.1875,0.3125,-0.4375
59357885494,-0.5625,-0.0625,-0.0625
59357899750,-0.625,-0.3125,0.4375
59357922952,-0.375,-0.0625,0.625
59357952925,-0.6875,-0.125,0.25
59357959748,-0.8125,0.0625,0.25
59357982835,-0.625,0,0.25
59358005389,-0.4375,-0.25,0.25
59358019696,-0.3125,-0.5,0.125
59358042862,-0.1875,-0.25,-0.125
59358081701,-0.125,0.0625,-0.25
59358086344,-0.3125,0.25,-0.0625
59358102812,0,0.125,0.0625
59358125316,-0.0625,-0.4375,0.0625
59358139699,-0.1875,-0.4375,0.0625
59358162798,0,-0.3125,0.125
59358185362,0.8125,-0.125,0.1875
59358199693,1.125,0,0.25
59358222894,0.875,-0.125,0.3125
59358245396,-0.3125,-0.375,0.3125
59358266393,-0.625,-0.375,0.4375
59358282872,0,-0.25,0.5625
59358305359,0.25,-0.0625,0.375
59358326438,0.125,0,0.125
59358350359,-0.375,-0.125,0.1875
59358365403,-0.5,-0.0625,0.125
59358386404,-0.125,-0.25,0.1875
59358402835,0.625,-0.3125,-0.0625
59358425357,0.6875,-0.1875,-0.125
59358446376,0.4375,-0.0625,-0.1875
59358462833,0.125,-0.0625,0
59358485435,0.0625,0,0.1875
59358506384,-0.3125,-0.0625,0.3125
59358522869,-0.5,-0.1875,0
59358559587,-0.5625,-0.3125,-0.125
59358566401,0.25,0,-0.25
59358582858,0.8125,-0.0625,0.3125
59358605369,-0.375,-0.375,0.375
59358626428,-1.4375,-0.1875,-0.25
59358643408,-0.125,0.25,-0.875
59358665360,0.375,0.25,-0.5
59358687858,-0.0625,-0.0625,-0.125
59358702896,0.1875,-0.25,0.5
59358725362,0,-0.3125,0.4375
59358747864,-0.3125,-0.25,0.1875
59358768880,-0.375,0,0.0625
59358785366,-0.375,0.125,0.1875
59358807857,-0.3125,0,0.3125
59358822861,0.0625,-0.4375,0.3125
59358845347,0.125,-0.3125,-0.125
59358867886,0.25,-0.1875,-0.4375
59358888902,0.125,-0.0625,-0.4375
59358920361,0.875,-0.3125,-0.4375
59358927853,1.375,-0.4375,-0.1875
59358942206,0.5,-0.4375,0
59358965354,-0.4375,-0.6875,-0.4375
59358987822,0.0625,-0.625,-1.1875
59359003141,3.125,0.1875,-1
59359025350,4.625,-0.0625,-0.3125
59359047811,3.625,-0.75,0.0625
59359062193,0.875,-1,0.8125
59359085381,-0.125,-1.125,1.3125
59359113846,0.1875,-1.3125,1.125
59359122210,1.25,-0.9375,0.8125
59359145404,1.125,-0.875,0.5625
59359150740,-0.1875,-1.4375,0.25
59359173205,-2,-2.1875,0.3125
59359197191,-3.875,-2.9375,1.875
59359210702,-5,-3.4375,3.9375
59359233195,-10.125,-3.3125,9
59359255708,-14.875,-3.4375,17.4375
59359270761,-21.3125,-4.125,29.6875
59359293166,-23.625,-7.0625,44.6875
59359315704,-22.8125,-10.875,63.1875
59359330720,-21.125,-14.25,83.6875
59359353242,-13.4375,-16.8125,104.375
59359375711,-5.4375,-21,127.75
59359398264,5.6875,-23.375,153.25
59359413175,17.9375,-28.75,182
