timestamp,x,y,z
83995533703,2.4375,-0.625,-0.125
83995556127,2.75,-0.4375,0.1875
83995570491,3.6875,-0.375,-0.0625
83995593678,4.3125,-0.1875,-0.125
83995616125,5.125,-0.5,-0.6875
83995630405,5.4375,-0.75,-0.75
83995653782,5.3125,-0.5,-0.625
83995676242,5,-0.5,-0.5
83995690570,5.6875,-0.625,-1.375
83995713616,6.125,-0.375,-1.6875
83995736292,6.4375,-0.375,-1.6875
83995750587,5.75,-0.5,-1.4375
83995773760,5.5,-0.3125,-1.375
83995796196,5.25,-0.1875,-1.5
83995817239,4.625,-0.25,-1.8125
83995833711,3.25,-0.125,-1.5625
83995856161,2.0625,0.0625,-1.25
83995877225,0.6875,0.1875,-0.9375
83995893738,-0.0625,0.0625,-0.6875
83995916168,0.4375,0.1875,-1.0625
83995938788,0.8125,0.4375,-1.1875
83995953783,0.125,0.4375,-1.125
83995976212,-0.1875,0.375,-1.3125
83995997493,-0.6875,0.25,-1.375
83996013950,-1.375,-0.125,-1.5625
83996036280,-1.8125,-0.875,-1.9375
83996057465,-1.1875,-1.1875,-2.0625
83996073797,-1,-1.8125,-1.625
83996096241,-2.8125,-3.1875,-0.8125
83996117457,-3.3125,-2.3125,0.5625
83996133887,0.8125,-1.375,0.8125
83996156236,4.1875,-2.75,2.1875
83996177518,6.6875,-5.6875,3.6875
83996193764,9,-6.0625,5.9375
83996216201,10,-5.875,8.1875
83996238790,9.4375,-6.25,10.25
83996253827,5.9375,-7.375,13.3125
83996276247,1.4375,-8.5,17.6875
83996298754,-0.125,-9.8125,22.375
83996313075,-2.0625,-9.9375,28.625
83996336247,-3.8125,-9.375,33.9375
83996358813,-9.5,-12.5,42.4375
83996379826,-15.1875,-16.5625,52.625
83996396254,-17.9375,-21.3125,62.4375
83996418696,-11.4375,-25.75,74.125
83996439937,-4.1875,-30.125,85.5
83996456229,3.1875,-34.5,95.4375
83996478796,8.1875,-40.5,106.375
83996499949,8.125,-50.5,121.062
83996516213,9,-58.125,135.5
83996538785,20.5,-61.4375,146.812
83996559779,27.6875,-67.3125,161.312
83996576247,25,-75.8125,178.312
83996598817,26.5,-86.375,190.688
83996619762,33.875,-94.5,207.625
83996636238,42.6875,-102.938,223.75
83996658779,41,-113.562,233.312
83996679886,39.1875,-122.312,240.125
83996696241,42.1875,-136.188,245
83996718770,40.375,-147.312,252
83996741163,40.0625,-156.688,250.875
83996756171,34.125,-167.562,245.75
83996778625,29.8125,-173.188,239.625
83996799731,23.125,-177.25,230.375
83996816204,15.0625,-178,209.188
83996838721,9.1875,-180.562,184.688
83996859738,6.875,-177.312,161.312
83996876286,-0.875,-171.938,141.75
83996898726,-20.375,-165.875,116.5
83996919869,-39.125,-159.625,94.875
83996936222,-43.5,-148.812,73.125
83996966229,-33.5625,-135.562,55
83996979920,-36.875,-121.438,34.3125
83996995532,-45.0625,-111.812,18.4375
83997019128,-24.125,-79.4375,4.125
83997039833,-30.6875,32.75,-3.5625
83997055626,27.5625,55.375,-8.9375
83997078753,46.0625,10.6875,-4.9375
83997099939,-15.375,-26.4375,1
83997115559,-10.0625,-17.5,-0.625
83997138814,25.8125,7.3125,-8.5625
83997161223,7.6875,8.8125,-8.8125
83997175507,1.625,5.4375,-3.5
83997198687,5,7.0625,0.25
83997221206,7.3125,10.4375,1.375
83997236290,6.625,16.5625,1.25
83997258768,8.0625,25.1875,1.0625
83997281223,15.5625,35.1875,-4.4375
83997302274,19.375,41.25,-16
83997318805,16.3125,50.4375,-35.125
83997341242,4.9375,66.875,-57.9375
83997362478,0.9375,93.625,-95.625
83997378784,0.75,121.562,-141.188
83997402683,7.875,140.812,-163.75
83997422506,14.25,155.312,-185.938
83997438809,11.5,159.875,-215.312
83997461171,0,156,-237
83997482470,-5.3125,150.188,-243.062
83997498715,-2.1875,144.062,-251.625
83997521176,-5.1875,138.875,-253.25
83997542464,-28.4375,132.75,-259.875
83997558726,-65.4375,125.688,-270.062
83997581220,-88.0625,122.875,-272.688
83997602240,-93.0625,126.062,-251
83997618824,-84.25,120.5,-226
83997641217,-29.9375,121.75,-210.375
83997662360,-6.1875,118.25,-214
83997669284,-29.5625,114.312,-217.25
83997684232,-63.5625,104.5,-197.938
83997706844,-82.5625,93.5625,-173.875
83997729134,-69,86.375,-160.875
83997744288,-44.125,80.625,-151.75
83997769403,-29.375,74.5,-138.25
83997789166,-23.4375,64.4375,-124.25
83997804107,-18.375,52.125,-112.25
