timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82426115884,2,3,-1,-1,-1,-1,-2,-2
82426115884,-1,0,-2,-2,-1,-1,-2,-2
82426116759,-1,0,-3,-2,0,0,-2,-1
82426116759,-2,-3,-1,-2,0,1,-1,0
82426120142,0,2,-1,0,0,0,0,0
82426120142,-1,-1,-1,0,0,-1,0,-3
82426121731,-10,-3,-3,-1,-1,-2,-2,3
82426121731,12,6,1,-1,-2,-1,-2,0
82426134468,1,-3,-2,-1,1,-1,0,-1
82426134468,-2,-1,-1,-2,-1,0,0,-2
82426142415,1,-2,-2,-3,-2,-1,-1,-1
82426142415,1,0,-1,0,-1,-2,2,-1
82426148795,-2,12,-2,-1,0,0,-2,-5
82426148795,-6,-22,-1,-3,-4,-3,-1,5
82426163730,3,4,2,-1,-2,-1,-1,-1
82426163730,-3,-2,-2,-1,-1,-1,-1,-2
82426172408,-3,0,0,1,-1,1,0,-1
82426172408,-4,-25,-4,-3,-1,0,-1,-2
82426187424,-1,-2,-1,-2,-2,-2,-3,-3
82426187424,-7,-3,-2,0,-1,-2,0,-4
82426194563,2,-7,1,-1,-1,-1,0,1
82426194563,-2,12,1,2,-1,-1,-2,-1
82426208559,2,-4,-2,-1,0,0,-1,-4
82426208559,0,-2,-4,-1,-3,-1,-1,-3
82426249497,-2,-3,-3,-3,0,-1,-1,-1
82426249497,1,0,0,0,0,-1,-2,0
82426250285,-2,-3,1,-1,-1,-1,-1,-2
82426250285,1,0,-3,-2,-1,2,0,-1
82426251110,-3,-2,0,0,0,0,-1,-2
82426251110,-1,1,-1,-1,0,-1,-2,0
82426253557,0,0,-2,-2,-2,-2,-1,-1
82426253557,-1,0,0,0,1,0,-1,-2
82426262555,-2,0,-1,-2,-2,-1,-2,0
82426262555,0,13,1,-3,-2,0,-1,-1
82426268605,-2,-7,1,-1,-1,-2,-1,-2
82426268605,-2,0,-1,1,-1,-3,-3,-1
82426277535,0,1,0,-2,0,-1,-2,-1
82426277535,0,1,1,0,1,1,0,-1
82426291103,-2,2,-1,10,-1,0,-1,0
82426291103,-2,-1,-1,-6,-2,-2,-1,-1
82426300057,0,-1,0,-1,-1,-2,-1,-1
82426300057,-2,-4,-1,14,0,-2,-2,-1
82426329973,-2,0,-2,-9,-2,-1,-1,0
82426329973,-1,-3,-1,3,1,0,0,-2
82426331549,-2,1,0,5,-1,0,0,-2
82426331549,-14,-7,-2,-20,-5,-3,-1,-4
82426336776,1,1,-1,-4,1,-2,-1,0
82426336776,-3,0,-3,-7,-2,-2,-2,-1
82426343597,4,1,2,9,3,0,-1,0
82426343597,-1,-6,0,-1,-2,0,-2,-1
82426359950,-2,-1,-2,1,-2,-2,-2,-3
82426359950,1,-2,-4,-15,-2,-2,-1,0
82426361573,-4,-2,-4,-2,-2,-1,1,-1
82426361573,2,-3,-4,6,0,-1,-1,0
82426382407,1,0,-1,-4,-2,0,-1,0
82426382407,2,8,-1,0,0,-1,-1,1
82426383997,-2,-12,-3,-10,-3,-2,-1,0
82426383997,3,2,0,10,-1,-3,1,-1
82426396821,-1,0,-3,-8,-3,-1,-1,-3
82426396821,-2,1,1,0,0,-2,-2,-1
82426403618,-1,1,-2,-16,-3,-4,-3,-2
82426403618,0,-3,-4,0,2,1,-1,-2
82426419994,-1,-5,-3,-19,-2,-1,0,0
82426419994,-1,-5,-1,8,-4,-2,-2,-2
82426421533,0,-1,-2,3,2,-3,-1,-2
82426421533,-1,-3,-1,-1,-4,-2,-2,-1
82426442415,-2,0,0,5,-1,-4,-1,-1
82426442415,-1,-1,0,-8,2,0,0,0
82426444039,-2,2,-3,8,3,7,0,0
82426444039,0,0,-1,5,2,-2,-1,0
82426456130,-1,-1,0,-16,-2,-3,-2,-3
82426456130,-1,-1,0,-2,-5,-5,1,-2
82426465102,-2,2,-2,-1,-1,6,0,-2
82426465102,-4,-25,-3,15,0,-5,-2,-3
82426487479,-2,-1,-2,7,-1,-8,-4,9
82426487479,-2,-3,0,-4,-1,0,-2,-2
82426489053,1,0,-2,14,-3,2,2,-3
82426489053,2,8,-4,-12,-5,3,0,0
82426502392,-6,-3,-2,8,2,2,0,-2
82426502392,-1,-7,-3,1,0,-2,-1,-2
82426504033,0,1,1,-11,-5,-6,-6,4
82426504033,-1,2,1,-14,2,0,-1,-4
82426524963,-4,-4,0,-10,-1,4,2,-5
82426524963,1,2,0,8,-1,-2,-1,0
82426526621,16,2,1,-2,-5,-7,-2,-3
82426526621,-1,1,0,6,-1,4,-2,-2
82426539966,-5,5,-2,-6,3,-10,-4,-9
82426539966,3,6,0,10,-1,1,3,9
82426541572,-4,-1,-4,-5,-6,-3,-3,-2
82426541572,-3,-2,-2,-9,-2,-8,3,-1
