timestamp,x,y,z,w
59637850694,0.405273,0.58252,0.250488,-0.658508
59637859695,0.405151,0.58252,0.250732,-0.658508
59637882204,0.405151,0.58252,0.250732,-0.658508
59637902487,0.405151,0.58252,0.250732,-0.658508
59637918869,0.405151,0.58252,0.250732,-0.658508
59637941192,0.404968,0.582642,0.25061,-0.658569
59637962435,0.404602,0.582764,0.250488,-0.658691
59637978838,0.404602,0.582764,0.250488,-0.658691
59638001401,0.404602,0.582764,0.250488,-0.658752
59638022639,0.404602,0.582764,0.250488,-0.658752
59638038914,0.404663,0.582764,0.250427,-0.658691
59638061387,0.404541,0.582886,0.250305,-0.658691
59638082470,0.404297,0.583008,0.250061,-0.658875
59638098921,0.404053,0.58313,0.249756,-0.658997
59638121510,0.403748,0.583313,0.24939,-0.65918
59638143886,0.403625,0.583435,0.249146,-0.659241
59638158869,0.403625,0.583435,0.249146,-0.659241
59638181412,0.403625,0.583435,0.249146,-0.659241
59638203857,0.403625,0.583435,0.249146,-0.659241
59638218906,0.403503,0.583496,0.24884,-0.659363
59638241491,0.403442,0.583557,0.248596,-0.659424
59638263981,0.403442,0.583557,0.248596,-0.659424
59638278959,0.403442,0.583557,0.248657,-0.659424
59638301442,0.403381,0.583557,0.248657,-0.659424
59638324015,0.403381,0.583557,0.248657,-0.659424
59638338263,0.403381,0.583557,0.248657,-0.659424
59638361437,0.403259,0.583557,0.248596,-0.659546
59638383891,0.403198,0.583557,0.248596,-0.659546
59638398265,0.403198,0.583557,0.248657,-0.659546
59638421454,0.403198,0.583557,0.248657,-0.659546
59638443968,0.403198,0.583618,0.248596,-0.659546
59638458299,0.403198,0.583618,0.248596,-0.659546
59638481539,0.403198,0.583618,0.248657,-0.659546
59638503886,0.403198,0.583618,0.248657,-0.659546
59638518285,0.403381,0.583435,0.248657,-0.659546
59638541448,0.403381,0.583435,0.248657,-0.659546
59638563983,0.403381,0.583435,0.248657,-0.659546
59638578321,0.403381,0.583435,0.248657,-0.659546
59638601429,0.403381,0.583496,0.248657,-0.659546
59638623971,0.403442,0.583496,0.248657,-0.659485
59638645134,0.403442,0.583496,0.248657,-0.659485
59638661408,0.403442,0.583496,0.248657,-0.659485
59638683908,0.403198,0.583557,0.248413,-0.659668
59638705171,0.402954,0.583679,0.248291,-0.65979
59638721401,0.402954,0.583679,0.248291,-0.65979
59638743947,0.402954,0.583679,0.248291,-0.659729
59638764900,0.402954,0.583679,0.248291,-0.659729
59638781415,0.402954,0.583679,0.248291,-0.65979
59638803932,0.402649,0.583801,0.248108,-0.659912
59638824993,0.402405,0.583923,0.248047,-0.659912
59638841501,0.402405,0.583923,0.248108,-0.659912
59638864008,0.402527,0.583862,0.24823,-0.659851
59638885173,0.402527,0.583862,0.24823,-0.659851
59638901409,0.4021,0.583923,0.248169,-0.660095
59638924006,0.4021,0.583862,0.248169,-0.660095
59638944977,0.4021,0.583862,0.24823,-0.660095
59638961379,0.4021,0.583862,0.248169,-0.660156
59638983888,0.4021,0.583801,0.247864,-0.660339
59639005029,0.402039,0.583679,0.24762,-0.660583
59639021405,0.402039,0.583679,0.247559,-0.660583
59639043906,0.402405,0.583435,0.247131,-0.660706
59639065016,0.402405,0.583252,0.245911,-0.661377
59639081448,0.402039,0.583191,0.24408,-0.662292
59639103953,0.401611,0.583069,0.242188,-0.66333
59639126462,0.402283,0.58252,0.240112,-0.664185
59639141465,0.40387,0.581665,0.237488,-0.664917
59639163956,0.405884,0.580627,0.233521,-0.666016
59639186469,0.408569,0.579346,0.227844,-0.667419
59639200768,0.411926,0.577942,0.220581,-0.669006
59639223902,0.416748,0.576111,0.212036,-0.67041
59639246470,0.423706,0.573608,0.202148,-0.671204
59639267667,0.432983,0.570435,0.190674,-0.671387
59639283858,0.443481,0.56665,0.177429,-0.671387
59639306491,0.454041,0.562317,0.161743,-0.671875
59639327498,0.463684,0.558044,0.144409,-0.672852
59639343932,0.473389,0.553589,0.125549,-0.673523
59639366475,0.483643,0.548767,0.105469,-0.673645
59639387718,0.494019,0.543579,0.0836182,-0.673401
