timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
59568400349,-13,-23,-2,-3,-1,-2,0,-2
59568400349,-2,-2,-2,-1,-2,-1,-2,-1
59568415612,2,4,-2,-3,-1,-1,0,0
59568415612,-4,2,-2,-3,0,0,-2,0
59568422814,0,7,-2,0,-1,-1,0,0
59568422814,-7,-2,-4,-4,-4,-3,-3,-3
59568437732,8,10,3,2,-1,-1,0,-1
59568437732,-3,-6,-3,-1,0,-3,1,-2
59568438497,12,2,0,-2,-2,-1,-1,-1
59568438497,1,4,4,-2,-1,0,0,0
59568452035,2,3,-2,1,0,0,-1,0
59568452035,1,0,-4,-2,-2,-2,-1,-1
59568460321,-2,0,-1,0,0,-1,0,-1
59568460321,-2,-1,-3,-1,0,0,-1,-1
59568475203,-12,-17,-4,1,0,-1,-3,-4
59568475203,4,13,4,1,0,1,0,-2
59568475955,-8,-9,-2,-2,-1,-1,-1,-2
59568475955,0,2,-2,-6,-4,0,1,0
59568497678,-3,-6,-2,0,-1,-2,-1,-2
59568497678,-3,-2,0,0,-1,-1,-1,0
59568498644,2,11,1,1,0,-2,-2,-3
59568498644,-4,-7,-2,-2,-2,-2,-2,0
59568512681,-2,-4,-3,-1,-2,0,1,-2
59568512681,3,-3,-1,0,1,1,0,0
59568513525,4,9,-1,-2,-2,-2,-1,-2
59568513525,8,-6,-2,-1,0,-1,-1,2
59568535214,1,4,4,0,0,-1,0,-1
59568535214,-2,-7,0,-1,0,0,0,0
59568536006,-12,-5,-1,-2,-1,-2,-1,-3
59568536006,3,14,-2,0,0,-1,0,-2
59568557769,-2,-2,0,1,-2,-2,0,1
59568557769,-1,0,-1,-1,-3,-4,-2,-2
59568558536,1,-1,-1,-2,-1,-1,-2,1
59568558536,-5,0,0,0,0,0,-1,-3
59568572346,-5,-3,-1,-1,1,0,-2,-1
59568572346,-5,-1,0,-2,-3,-1,-2,-1
59568580321,2,1,0,3,-1,-1,1,0
59568580321,-3,-4,1,0,0,1,-2,-2
59568595301,0,-5,-3,-2,-1,-2,0,0
59568595301,-15,-2,-1,0,0,-1,-1,-1
59568596086,6,6,0,-2,-1,0,0,1
59568596086,-2,2,1,2,-1,0,0,0
59568625950,8,12,-1,-5,0,-1,0,1
59568625950,0,-16,-5,-1,0,-1,-2,-1
