timestamp,x,y,z
59568401041,-0.625,-0.0625,0.5625
59568423683,-0.5,-0.25,0.5
59568444618,0.25,-0.3125,0.1875
59568461006,0.9375,-0.0625,0.75
59568482145,0.875,0,0.625
59568504641,-0.0625,-0.25,1
59568519633,-0.125,-0.125,1.0625
59568542130,0.3125,-0.125,0.875
59568564620,1.1875,-0.4375,0.6875
59568581165,2.0625,-0.625,0.5
59568602084,2.3125,-0.75,0.6875
59568627603,2,-0.3125,0.5625
59568641079,0.8125,-0.25,0.75
59568662143,-0.75,-0.5625,0.75
59568684665,-0.75,-0.4375,0.1875
59568701030,0.25,0.1875,0.1875
59568722148,-0.5625,0.3125,0.375
59568744668,-2.6875,0.625,-0.125
59568761003,-2.4375,0.4375,0.3125
59568789648,-1.6875,0.25,0.8125
59568804633,0.5,0.0625,0.875
59568828612,-0.0625,-0.375,1.1875
59568842226,-0.5625,0.0625,1.0625
59568864932,-1.5625,0.4375,0.9375
59568881111,-2.1875,0.3125,0.9375
59568902226,-1.75,-0.0625,1
59568924734,-1.125,-0.3125,1.5
59568941084,-0.0625,-0.1875,1.375
59568962187,0.125,-0.1875,1.3125
59568984944,-0.5625,-0.25,1.25
59569003507,-0.5625,-0.375,0.9375
59569022443,-1.0625,-0.5,0.875
59569044639,-0.25,-0.25,0.5625
59569062546,0.375,-0.1875,0.375
59569082365,0.8125,0.0625,0.3125
59569104831,0.4375,0.125,0.375
59569122543,-0.4375,-0.0625,0.5625
59569142402,-1.1875,-0.1875,0.5625
59569164861,-1.1875,-0.125,0.5625
59569182694,0.125,-0.0625,0.5625
59569202162,0.4375,0,0.5
59569232331,0.625,-0.1875,0.4375
59569242552,0.5,-0.0625,0.5
59569262318,-0.375,-0.25,0.3125
59569284681,-0.25,-0.375,0.0625
59569302528,1.3125,-0.1875,-0.3125
59569329990,1.75,-0.1875,0.125
59569344842,-0.125,-0.375,0.4375
59569362581,-2,-0.3125,0.4375
59569382382,-2,0,-0.0625
59569404754,-1.9375,0.25,0.125
59569422568,-1.4375,0.3125,-0.3125
59569442364,-1.8125,0.4375,0.0625
59569464818,-1.8125,0.4375,0.0625
59569482526,-1.1875,0,0.3125
59569502213,0,-0.125,0.375
59569532342,0.9375,0.1875,0.0625
59569542648,0.4375,0.4375,0
59569562346,-0.6875,0.0625,0
59569584650,-1.1875,0.125,-0.3125
59569602531,-1,0,-0.1875
59569623687,0.3125,0.0625,-0.3125
59569644861,1,0.125,-0.1875
59569662606,-0.5,0.125,-0.125
59569683638,-0.6875,-0.0625,-0.125
59569704767,-0.375,0.0625,-0.125
59569722543,-0.5,-0.0625,-0.1875
59569743712,-0.3125,0,-0.25
59569764825,0.3125,0.1875,-0.1875
59569782654,1.25,0.125,-0.1875
59569803575,0.6875,-0.125,-0.0625
59569824888,-0.3125,-0.25,-0.1875
59569842611,-0.6875,-0.1875,-0.375
59569863629,-1.9375,-0.375,-0.125
59569884921,-0.625,-0.25,-0.4375
59569902628,-1.375,-0.5,-0.125
59569923667,-1.5625,-0.6875,1.5
59569944837,-5.6875,-0.6875,4.625
59569962595,-12.625,-2.25,8.6875
59569985100,-15.5625,-2.75,13.5625
59570004629,-16.0625,-3.5625,23.125
59570022672,-16.0625,-6.125,33.9375
59570045091,-20.5625,-10.9375,48.25
59570064848,-19.875,-15.6875,61.1875
59570082620,-14.625,-21.0625,75.4375
59570105121,-8,-26.5625,90.1875
59570124901,-2.5625,-32.125,102.125
59570142633,2.5625,-35.9375,116.375
59570165088,9,-40.875,127.25
59570184885,18.6875,-46.25,135.688
59570202597,25.5625,-52.0625,145.125
59570225056,32.875,-57.125,155.812
59570252186,37.75,-62.5,165.688
59570268674,42.125,-68.0625,174.312
59570285119,45,-77.375,183.625
59570304621,48.4375,-87.875,185.812
59570322608,53.25,-93.3125,190.625
59570344256,50.625,-98.1875,192
59570365332,46.6875,-105.25,194.062
59570381813,38.8125,-111.562,194.5
59570404247,38.375,-118.062,193.438
59570425549,32.625,-124.688,191.562
59570441830,28.125,-130.938,192.25
59570464374,25.6875,-134.938,189
59570485465,22.5625,-137.125,178.562
59570501828,16.8125,-142.438,167.625
59570524333,14.9375,-143.5,153.812
59570545495,12.3125,-143.312,141.312
59570569317,16.75,-135.188,125.875
59570584371,17.375,-128.438,113.625
59570605308,11.625,-124.562,97.5625
59570621773,5.6875,-118.688,83
59570644332,-1.3125,-114.062,72.1875
59570665293,-2.375,-104.688,62
59570681138,-1.6875,-95.9375,50.5625
59570704279,-4.8125,-90.9375,35
59570725284,-5.9375,-86.9375,26.0625
59570741103,-4.9375,-78.5,19.625
59570764257,-6.0625,-67,9.1875
59570785407,-7.5,-57.8125,2.25
59570809254,-13.3125,-55.0625,0.0625
59570824295,-16.1875,-53.875,-2
59570845333,-13.125,-50.625,-2.5
59570861059,-11.25,-42.8125,-4.9375
59570884331,-26.625,-13.25,1.25
59570908229,-2.25,26.8125,-1.5
59570921182,15.4375,25.625,-6.3125
59570944283,-0.1875,-3.3125,-4.625
59570974242,-14.25,-13.25,-0.375
59570981094,0,-0.875,-1.0625
59571004278,9,11.4375,-3.125
59571026791,1.125,10.5,-2.125
59571041148,0.9375,9.1875,0.125
59571064297,3.0625,10.625,0.875
59571086795,1.8125,13.4375,0.5
59571107872,4.5625,20.0625,-0.75
59571124345,3.625,24.625,-1.8125
59571146838,4,30.8125,-4.6875
59571175295,8.5,38.6875,-9.4375
59571184219,13.0625,45.8125,-15
59571206759,10.75,53.1875,-20.5
59571227783,6.5,60.375,-27.125
59571244231,5.1875,67.9375,-32
59571274269,7.5625,76.25,-32.8125
59571287799,12.75,84.5,-35.25
59571304258,17.0625,91.1875,-40.375
59571326719,16.375,93.875,-50.8125
59571347798,11.625,94.1875,-60
59571364289,6.5,94.8125,-65.8125
59571386715,8.75,95.8125,-71.6875
59571407751,6.125,96.5,-77.125
59571424223,5.1875,97.25,-82.1875
59571446689,0.375,97,-89.1875
59571467774,-2.3125,97.25,-97.1875
59571484216,-5.875,97.625,-108.812
59571506740,-13.8125,95.6875,-115.938
59571527790,-18.5625,93.4375,-123.125
59571544214,-19.375,90.1875,-129.562
59571566751,-20.75,86.5625,-139.125
59571587754,-21.4375,83.6875,-149.125
59571604264,-22.3125,81.8125,-160.938
59571626714,-23.25,80.0625,-166.5
59571647810,-20.6875,77.5625,-172.75
59571663574,-23.1875,71.5625,-180.5
59571686756,-28.75,68.3125,-184.062
59571707785,-32,67.875,-188.688
59571730289,-36.875,67.75,-189.438
59571746708,-44.3125,69.6875,-192.188
59571767748,-43.5625,71.5625,-189.938
59571783610,-43,74.9375,-187.312
59571806776,-52.3125,79,-183.5
59571827791,-68.8125,83.0625,-174.875
59571843584,-78.5625,82.8125,-171.062
59571866738,-70.875,79.3125,-172.312
59571889287,-34.5,75.9375,-173.375
59571910239,-3.4375,71.5625,-170.562
59571926700,-5.5,63,-158.75
59571949186,-32.125,55.1875,-139.438
59571970304,-44.75,46.9375,-112.188
59571986752,-41,31.5625,-84.4375
59572009228,-31,13.25,-59.3125
59572030270,-13.375,-0.375,-34.75
59572046727,7.25,-10.4375,-19.0625
59572069252,37.125,-17.1875,-10.125
59572097854,43.4375,-20.4375,4.875
59572106737,26.125,-20.9375,13.0625
59572129241,6.375,-17.9375,19.6875
59572150374,-9.375,-11,21.3125
59572166741,-21.4375,-2.125,15.9375
59572189218,-24.75,-0.5625,14.25
59572210252,-14.125,-3.6875,11.5
59572232821,1,-5.75,8.5625
59572249250,19.75,-4.1875,4.6875
59572270315,33.9375,-2.3125,1.25
59572286741,33.5625,-1.875,-0.125
59572309184,29.5625,-2,-1.8125
59572330393,25,-1.9375,-2.375
59572346762,21.0625,-1.5625,-3.0625
59572369216,12.6875,-0.5625,-3.875
