timestamp,roll,pitch,yaw
59568401041,-1.62384,-1.32648,0.459633
59568423683,-1.62384,-1.32648,0.459633
59568444618,-1.62384,-1.32648,0.459633
59568461006,-1.62384,-1.32648,0.459633
59568482145,-1.62384,-1.32648,0.459633
59568504641,-1.6247,-1.32633,0.460415
59568519633,-1.62444,-1.32582,0.460152
59568542130,-1.62401,-1.32589,0.459762
59568564620,-1.62461,-1.32622,0.460572
59568581165,-1.62385,-1.32585,0.460793
59568602084,-1.62494,-1.32557,0.462632
59568627603,-1.62362,-1.32516,0.462263
59568641079,-1.62406,-1.32531,0.462508
59568662143,-1.62362,-1.32516,0.462263
59568684665,-1.62406,-1.32531,0.462508
59568701030,-1.62405,-1.32508,0.462652
59568722148,-1.62449,-1.32524,0.462896
59568744668,-1.62472,-1.32525,0.46222
59568761003,-1.62437,-1.32499,0.461099
59568789648,-1.62451,-1.3249,0.460583
59568804633,-1.62451,-1.3249,0.460583
59568828612,-1.62439,-1.3245,0.460522
59568842226,-1.62374,-1.32426,0.459725
59568864932,-1.62345,-1.32424,0.458823
59568881111,-1.62351,-1.32395,0.458101
59568902226,-1.62411,-1.32374,0.457971
59568924734,-1.62409,-1.32257,0.457835
59568941084,-1.62383,-1.32234,0.457442
59568962187,-1.62355,-1.32164,0.457339
59568984944,-1.62364,-1.32113,0.457125
59569003507,-1.62364,-1.32113,0.457125
59569022443,-1.62529,-1.32059,0.458444
59569044639,-1.62529,-1.32059,0.458444
59569062546,-1.62527,-1.32037,0.458587
59569082365,-1.62571,-1.32052,0.458827
59569104831,-1.62571,-1.32052,0.458827
59569122543,-1.62571,-1.32052,0.458827
59569142402,-1.62638,-1.32002,0.459181
59569164861,-1.62708,-1.31947,0.459528
59569182694,-1.62707,-1.31974,0.459392
59569202162,-1.62707,-1.31974,0.459392
59569232331,-1.62708,-1.31947,0.459528
59569242552,-1.62705,-1.31951,0.459534
59569262318,-1.62705,-1.31951,0.459534
59569284681,-1.62705,-1.31951,0.459534
