timestamp,x,y,z
84059320876,-2.875,1.125,0.5
84059343399,-3.875,0.8125,0.375
84059364434,-3.0625,0.5625,0.1875
84059380883,-1.875,0.5,0.0625
84059410903,-1.6875,0.375,-0.125
84059424456,-1.6875,0.1875,-0.1875
84059440839,-1.25,0.1875,-0.3125
84059463504,-0.4375,0.25,-0.5
84059484618,0.0625,0.25,-0.5
84059500906,0.5,0.25,-0.25
84059523395,0.75,-0.125,0.0625
84059544454,1.625,-0.8125,0.9375
84059568417,1.75,-1.875,2.25
84059583402,3,-2.3125,3.25
84059604450,5.0625,-3.125,4.25
84059620889,6.25,-4.5,6.75
84059643412,3.375,-6.25,9.6875
84059664402,2.5625,-8.6875,14.5625
84059680197,4.125,-10.8125,22.9375
84059703377,3.0625,-15.8125,35.1875
84059725901,5.0625,-22.4375,47.9375
84059748401,9.25,-29.75,62.375
84059763301,10.0625,-38.5,81.75
84059785892,10.875,-45.625,104.625
84059800266,20.0625,-53.75,128.688
84059823429,27.8125,-60.9375,151.562
84059845921,19.75,-69.1875,176.812
84059860292,15.6875,-75.5,201.688
84059883412,21.1875,-78.6875,225.25
84059905891,35.4375,-84.125,240.938
84059928366,42.125,-89.375,254.438
84059943483,42.4375,-89.8125,265.438
84059965904,40.6875,-89.8125,270.375
84059987169,39.875,-89,274.375
84060003405,32.4375,-90.9375,266.062
84060025928,26.8125,-90.0625,252.188
84060046988,21.9375,-86,236.375
84060063450,22.8125,-83.125,219.062
84060085920,28.8125,-78.125,192.5
84060106925,34.5625,-74.5,156.062
84060113752,30.3125,-69.9375,122.312
84060128913,23.75,-65.0625,79.9375
84060151532,11.4375,-61.5,45.125
84060174011,6.125,-52.1875,8.5625
84060188902,6.0625,-39.125,-26.5625
84060211468,14.5625,-28.5625,-59.75
84060233745,11.8125,-25,-111
84060248884,-19.125,-19.125,-155.688
84060271579,-44.0625,-9.9375,-168.625
84060293732,-60.9375,0.3125,-143.75
84060308957,-81.4375,-0.125,9.875
84060331554,87.4375,41.3125,82.625
84060354009,-16.75,0.3125,42.0625
84060368814,15.0625,-26.5,74.625
84060391362,44.25,-19.3125,106.375
84060413720,3.5625,-26.3125,102.188
84060428826,35.875,-21.5,101.875
84060451536,33,-18.875,94.625
84060473726,16.5625,-14.1875,77.6875
84060488981,14.125,-7.4375,59.8125
84060511499,11.625,-3.4375,34.75
84060533921,5.4375,0.6875,9.0625
84060548841,3.5,4.875,-15.625
84060571447,1.8125,9.75,-51.125
84060593760,3.875,13.9375,-90.3125
84060608908,-6.1875,15.8125,-139.25
84060631579,-32,15.8125,-175.875
84060653748,-51.5,14.8125,-179.438
84060668876,-85.875,5.125,-144.75
84060691359,-43.625,7.8125,44.0625
84060713848,86.0625,31.6875,90.8125
84060728891,-31.25,-1.625,5.375
84060758771,-5.625,-16.3125,16.0625
84060773766,41.25,-7.8125,33.8125
84060788795,-4.0625,-18.0625,15.125
84060811261,0.375,-12.0625,-5.625
84060833852,22.25,-3,-17.125
84060848858,15.5,6.25,-37.5625
84060871350,-3.5625,18.0625,-59
84060893949,-11,29.75,-78
84060908778,-6.75,39.4375,-91
84060931448,-5.0625,47.0625,-106.375
84060953772,-8.875,53.8125,-125.188
84060968775,-16.375,61.625,-148.25
84060991316,-24.875,69.5,-171.5
84061013721,-28.6875,72.9375,-191
84061028815,-29.625,76.125,-207.312
84061051324,-23.8125,79.3125,-226.375
84061074052,-33.3125,85.8125,-242.125
84061088892,-53.8125,90.875,-246.25
84061111508,-79.0625,90.8125,-239.938
84061129256,-100.312,91,-241.812
84061148748,-116.625,90.75,-246.875
84061171332,-130.312,97.5,-240.875
84061189330,-100.188,113.125,-221.875
84061210330,-49.5625,115.875,-201.375
84061231346,-18.5625,103.688,-194.25
84061249247,-20.6875,86.25,-175.125
84061270213,-31.0625,72.8125,-149.562
84061291400,-41.375,62.9375,-117.375
84061309280,-44.625,51.25,-87.375
84061330281,-41,39.25,-62.5
84061352765,-28.4375,26.5,-42.75
84061369276,-15.4375,15.3125,-24.1875
84061391923,-13.375,5,-10
84061411402,-12.125,-3.4375,-0.1875
84061429214,-8.375,-9.3125,5.375
84061450240,-3.1875,-12.375,8.875
84061471354,0.3125,-11.875,11.125
84061489262,-6.25,-12.1875,14.5625
84061510250,-17.6875,-14.25,17.0625
84061531528,-20.3125,-14.875,18.625
84061549315,-17.4375,-15,20.3125
84061571784,-17.25,-15.625,19.75
84061591398,-13.125,-16.0625,16.875
84061609170,0.3125,-15.625,13.8125
84061631713,9.25,-14.25,9.5
84061651457,16.125,-9.25,0.875
84061673931,16.75,-2.6875,-5.5625
84061691725,10.75,3.4375,-7.4375
84061711294,0.4375,6.3125,-5.375
84061729232,-10.1875,5.25,-0.4375
84061751706,-15.1875,2.75,3.5625
84061771466,-9.5,0.6875,5.75
84061789300,0.5,-0.25,6.375
84061811694,8.125,-0.375,5.8125
84061831246,11.3125,-0.375,5
84061849146,9.9375,-0.875,4
84061871715,7.3125,-1.4375,2.8125
