timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82579439283,3,-1,0,-1,-2,-1,-1,0
82579439283,0,-3,-2,-1,0,0,-1,-3
82579440063,-1,14,0,-1,0,-1,-1,-5
82579440063,-8,-4,-5,-3,-1,-2,-2,1
82579441844,-14,-8,-4,-2,-2,-1,-1,3
82579441844,1,0,0,0,-1,-1,-1,-1
82579443491,2,-2,-2,-1,-3,-3,-4,0
82579443491,1,4,1,0,0,-1,-2,-4
82579449215,-2,-2,-1,0,-1,-2,-1,-3
82579449215,-3,4,-2,-1,0,0,0,0
82579457075,14,-7,-2,-1,-1,-1,-1,1
82579457075,-3,1,2,0,0,0,-1,0
82579470572,-5,-6,-3,-1,-1,-1,-1,-2
82579470572,-4,-30,-5,-2,-2,-2,0,-1
82579482028,3,4,3,1,1,0,0,-3
82579482028,-6,12,-2,-3,-3,-1,0,1
82579485598,23,-1,3,3,0,0,0,2
82579485598,-3,0,0,-2,-2,-3,-2,0
82579510257,-9,6,0,-2,-1,0,1,0
82579510257,9,3,-2,-1,-1,-2,-1,-3
82579511132,-24,1,-4,-3,3,-1,-2,-5
82579511132,8,7,-2,-2,-2,-1,-4,-1
82579556355,1,-2,-3,1,0,-1,-1,0
82579556355,0,-1,-1,0,0,-2,-1,1
82579557166,0,-7,-1,-2,-2,-1,0,0
82579557166,0,-3,-2,-1,-1,-3,-1,-3
82579557990,-1,-1,-2,-4,0,-2,-1,0
82579557990,1,2,2,4,-1,-1,0,-1
82579561081,-2,5,-4,-5,-4,-2,-1,-1
82579561081,0,1,-2,-1,-3,-3,-2,-1
82579567909,-1,-1,0,-2,0,3,-1,-1
82579567909,0,-7,0,2,-1,6,0,-1
82579576138,0,3,2,0,1,-7,-5,0
82579576138,1,0,0,1,-1,-2,-3,0
82579582909,-1,-1,0,-1,-1,-9,1,-2
82579582909,0,32,-1,-3,-1,4,0,-3
82579598610,0,-6,0,0,-2,-1,0,-1
82579598610,1,0,1,0,0,2,2,0
82579605386,-2,-4,-3,-4,-3,1,0,-2
82579605386,1,-1,-1,-2,-1,-2,-1,1
82579629729,5,-1,0,1,0,-3,-2,-1
82579629729,-7,-2,-1,0,-2,2,-5,-2
82579631377,1,2,1,10,2,-3,-3,1
