timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
59910616708,0,-1,-2,-3,-1,-1,-1,-3
59910616708,0,-1,-2,0,-3,0,-1,-2
59910618343,-3,-1,-1,0,-1,-2,-1,0
59910618343,-1,-2,-2,-2,-1,0,1,0
59910639238,0,0,-2,1,-2,-2,-1,-2
59910639238,-1,-1,-1,-1,-1,0,-1,-1
59910640850,-1,0,-1,-2,-1,-1,-2,-1
59910640850,-1,-2,-2,-1,-1,1,-1,-1
59910652836,-1,-1,0,-2,-1,0,-1,1
59910652836,-2,-1,-1,-1,-2,-1,0,0
59910661892,-2,-1,-2,-1,-1,-1,-1,0
59910661892,-2,1,-2,0,-1,-2,-1,-1
59910676764,-1,-3,-1,0,-2,-2,-2,-1
59910676764,0,-1,0,-1,-1,-2,-1,-2
59910678381,-1,0,-2,-1,-1,0,-1,-1
59910678381,-1,1,1,-1,0,-1,-2,-2
59910699276,0,-1,-1,-1,-1,0,-1,1
59910699276,5,0,-1,-1,-2,-1,-1,0
59910700879,-4,-3,-1,-1,-1,0,1,0
59910700879,1,0,-2,-1,-1,-1,0,-1
59910712881,-2,-1,-1,-1,-1,-1,-2,0
59910712881,-2,-2,-1,-1,1,-1,-1,-2
59910721867,-1,0,1,-1,-1,-3,0,-2
59910721867,-1,-1,-1,-3,-2,-2,0,-2
59910736746,-1,-1,0,-3,-1,0,-1,-3
59910736746,-4,0,-2,-2,-2,-2,-1,0
59910738371,1,-2,-2,0,-3,-2,-1,-1
59910738371,0,-1,-2,-1,0,0,0,-1
59910759216,0,-1,-2,-1,-1,-2,-2,-1
59910759216,-2,-1,-1,-1,-2,1,-2,0
59910760856,-1,0,-1,-2,-1,0,0,-2
59910760856,0,1,0,0,0,-1,-2,-2
59910772908,-1,-1,-3,-1,-1,-1,0,-2
59910772908,-3,1,0,-1,0,-2,0,-1
59910781902,-1,-1,-2,-1,-3,0,-2,-1
59910781902,0,-1,1,-1,-2,-2,-2,0
59910796750,-1,0,-3,-1,0,-1,-1,-1
59910796750,-1,-2,-2,0,-1,0,0,-1
59910798332,0,-2,-1,-1,0,0,-1,-2
59910798332,-2,-1,-1,-2,0,-1,-3,-2
59910819208,-1,0,1,-1,-2,-1,-1,-1
59910819208,-1,-1,0,-2,-1,-1,-1,-1
59910820844,-3,-1,-1,0,-1,-2,0,-1
59910820844,-1,-1,-1,-1,-2,-1,0,-2
59910832884,0,-1,0,-3,-1,-1,0,-3
59910832884,-2,-3,-1,-2,-2,-2,-1,0
59910841865,0,-1,-1,0,0,-1,-1,1
59910841865,-2,-2,-3,0,-2,0,-3,-1
59910856705,-1,-2,0,0,0,-1,-1,-2
59910856705,-1,0,-1,-1,-1,0,-2,-1
59910858343,-2,-1,0,-1,0,-1,-2,-1
59910858343,-1,-2,-2,0,0,-2,0,-1
59910879289,-1,-1,-1,-1,-2,-1,0,-1
59910879289,-1,-2,-2,-1,-1,-1,-1,0
59910880858,0,-3,-1,-1,1,-2,0,-3
59910880858,-1,-1,-1,-2,-2,-1,-1,-1
59910892918,-2,-1,0,-1,-3,-2,-1,0
59910892918,-2,-2,-2,0,-2,0,-2,-2
59910901905,0,-1,-1,-3,-3,0,-1,1
59910901905,0,-1,0,0,-1,-1,0,-1
59910916754,-1,0,0,-1,0,-2,-1,0
59910916754,0,0,-1,-2,1,-1,-1,-2
59910918369,-1,-1,-1,1,-1,0,-1,-1
59910918369,0,-2,-1,-2,-1,-1,0,-2
59910939233,-1,-1,-1,-2,-2,-1,-2,-2
59910939233,0,-1,-1,-1,0,-2,0,-1
59910940891,-1,0,-1,-1,-2,0,-1,-2
59910940891,-1,-3,1,-2,-1,-2,-1,-1
59910961762,-2,0,-3,-1,0,-1,-2,-1
59910961762,-3,0,0,-1,0,-3,0,-1
59910963364,-1,-1,-3,-2,-1,1,0,0
59910963364,-1,-1,-2,-1,0,0,-2,-1
59910976702,0,-1,-1,0,-2,0,0,-1
59910976702,-1,-1,-1,-1,0,-1,-1,-1
59910978401,-2,-2,0,-2,0,-1,-2,1
59910978401,-3,0,0,0,-1,-1,-2,-1
59910999257,0,-3,-2,-2,0,0,-1,-1
59910999257,0,-2,-2,-1,-1,-1,-1,0
59911000904,0,-1,-1,-1,-1,-3,-1,-1
59911000904,0,0,-1,-1,-1,-1,-3,-1
59911021724,-1,-2,-3,1,0,-1,-3,-1
59911021724,-1,-3,-2,-1,-2,-1,0,-3
59911023351,1,-3,-2,-1,0,-3,-1,0
59911023351,-2,-2,-1,-1,-2,-1,-1,-1
59911036757,0,0,0,0,-1,-2,-1,-1
59911036757,0,0,-1,1,-1,-1,-1,-2
59911038350,-1,-2,0,-1,-1,1,0,-1
59911038350,0,-1,-1,-2,-3,0,-1,0
