timestamp,x,y,z
82529903138,0.5,0.5625,0.75
82529927011,0.8125,0.3125,0.875
82529948795,0.8125,0.1875,1
82529963334,0.8125,-0.3125,1.375
82529986982,1.0625,-0.5,1.1875
82530002040,2.0625,-0.0625,1.125
82530023428,3.625,-0.3125,1.8125
82530079310,0.625,-2.5625,3.75
82530081394,-0.625,-5.3125,6.8125
82530082078,3.75,-7.0625,11.75
82530096404,10.125,-9.375,20.1875
82530115235,7.5625,-11.25,32.125
82530136494,-3.0625,-16.25,47.125
82530152849,-6.375,-22.8125,61.5625
82530198307,3.625,-28.125,72.4375
82530199108,17.3125,-32.125,87.0625
82530212074,25.6875,-33.6875,102.438
82530233138,13.5625,-40.0625,125.938
82530249607,0.1875,-49.0625,149.562
82530273766,6,-58.3125,168.75
82530293437,20,-64.75,186.125
82530311111,31.6875,-69.5625,199.875
82530333564,36.625,-72.9375,217.625
82530353106,31.5625,-78.375,233.312
82530371052,29,-86.25,246.875
82530393570,29,-86.8125,254.75
82530413155,32,-87,260.625
82530438729,35.6875,-86.8125,263.188
82530453815,39.6875,-92.5,264.25
82530473226,33.625,-96.8125,261.375
82530491245,39.9375,-97.4375,252.438
82530512949,45.125,-99.0625,236.375
82530533438,45.9375,-96.0625,214.312
82530551218,37.125,-91.9375,189.75
82530573783,30.125,-88.625,164.25
82530593311,28.9375,-81.25,132.75
82530611233,21.5,-70.3125,105.812
82530633555,13.3125,-57.125,77.75
82530653192,10.375,-43.625,43.8125
82530671310,5,-29,9.9375
82530692926,4.3125,-10.875,-13.625
82530713869,4.9375,2.1875,-42.9375
82530736331,5.25,9.25,-86.5625
82530754185,3.125,14.0625,-128.25
82530773840,1.8125,14.1875,-179.688
82530789710,-21.8125,5.875,-217.375
82530812876,-54.875,-6.25,-247.375
82530834069,-234.438,-36.5625,-171.062
82530849735,28.625,8,116.125
82530872857,5.875,8.125,80.4375
82530894070,-14,-25.8125,-36.75
82530909692,62.3125,-25.25,58.5625
82530932904,15,-35.9375,83.25
82530954131,-3.5,-43.0625,90.8125
82530969650,26,-34.1875,107.812
82530992893,33.125,-28,115.125
82531013950,39.4375,-16.5,116
82531036542,35.6875,-11.5625,111.125
82531052884,24.75,-10.3125,97.375
82531074062,14.75,-9.625,77.625
82531089832,11.625,-5.8125,51.875
82531112883,9.4375,0.4375,28.25
82531133869,3.1875,6.75,6.0625
82531149662,-2.6875,13.3125,-27.125
82531186552,-13.125,17.875,-66.1875
82531195368,-16.5,19.5625,-104.438
82531217905,-0.625,26.75,-149.438
82531239037,0.4375,26.375,-202.25
82531255433,-28.625,29.375,-273.312
82531277887,-214.938,15.9375,-224.062
82531299089,-41.9375,24.5,94.1875
82531315306,55.1875,39.4375,143.062
82531337904,-92.375,10.6875,-27.25
82531358814,9.375,-6.0625,-10.625
82531375327,51.0625,6.1875,11.25
82531397800,-7.1875,-9.5,-13.875
82531418923,-7.6875,-0.5625,-29.375
82531434745,19.375,7.75,-35
82531457792,17.25,14,-47.4375
82531479071,7.4375,23.5625,-61.5
82531494624,2.25,29.375,-74.5
82531517773,-10.9375,33.625,-82.875
82531539053,-16.6875,41.25,-94.75
82531554641,-13.125,50.25,-113
82531577822,-9.625,61.125,-135
82531598880,-21.75,63.875,-156.812
82531614652,-39.875,65.1875,-170
82531637765,-47,70.375,-174.688
82531660338,-32.1875,78.25,-188
82531674649,-21.625,82.75,-201.25
82531697783,-26.9375,83.4375,-200.25
82531720511,-46.5,87.125,-194.562
82531734663,-59.9375,88.5,-189.125
82531757909,-69.6875,89.125,-184.438
82531780375,-62.5,85.75,-177
82531801613,-64.375,84.875,-167.25
82531826764,-73.0625,83.6875,-161.812
82531840358,-86.875,82.25,-155.938
82531861340,-73.625,82.25,-154
82531877962,-37.1875,77.6875,-146.562
82531900259,-13,74.1875,-139
82531921536,-20.375,67.625,-130.375
82531937837,-34.4375,59.25,-119.062
82531960368,-44.9375,54.375,-106.438
82531981360,-46.4375,48.25,-91.0625
82531997827,-41.5,40.25,-77.75
82532020324,-35.125,30.9375,-64.25
82532041572,-26.5,21.6875,-52.1875
82532057862,-16.375,14.6875,-40.1875
82532080329,-7.5,7.6875,-30.375
82532101386,-1.875,0.5,-20.1875
82532117836,2.3125,-5.4375,-11.1875
82532140415,5.3125,-11.9375,-2.75
82532161521,14.8125,-15.9375,4.375
82532177938,24.1875,-21.5,11.5
82532200300,30.1875,-25.25,17.875
82532221442,31.0625,-29,23.375
82532237870,26.3125,-32.1875,28
82532260384,20.6875,-31.375,29.1875
82532281368,24.1875,-24.25,26.3125
82532297194,25.5,-13.875,18.1875
82532320322,21.25,-0.6875,5.625
82532341564,15.1875,12.875,-9.9375
82532357820,-9.625,13.75,-11.5625
82532380324,-18.1875,7.5,-5.625
82532417617,-7.375,2.5,0.9375
