timestamp,x,y,z
86059450520,0.943848,-0.243652,0.0249023
86059465541,0.944824,-0.248535,0.0283203
86059487985,0.948242,-0.245117,0.0224609
86059510479,0.947754,-0.243164,0.027832
86059525423,0.945801,-0.243164,0.0356445
86059547945,0.94043,-0.248535,0.0229492
86059570436,0.941406,-0.24707,0.0263672
86059586926,0.945312,-0.248047,0.0249023
86059608017,0.937988,-0.244141,0.0244141
86059630532,0.942871,-0.239746,0.027832
86059646916,0.946777,-0.241211,0.0268555
86059668112,0.956543,-0.236816,0.0395508
86059690508,0.958008,-0.246582,0.0424805
86059706938,0.962402,-0.186523,0.0585938
86059728004,0.979004,-0.118164,0.0512695
86059750551,1.01709,-0.0820312,0.0708008
86059766957,1.03857,-0.173828,0.0712891
86059788674,1.00195,-0.313965,0.0478516
86059818651,1.04443,-0.467285,0.00683594
86059826921,1.08301,-0.518555,-0.0488281
86059848006,1.01074,-0.628906,-0.0571289
86059870720,0.979492,-0.673828,-0.0966797
86059888450,0.903809,-0.868652,-0.140137
86059908016,0.799805,-0.999512,-0.156738
86059930749,0.666504,-1.00879,-0.193359
86059948461,0.539062,-1.01514,-0.23584
86059975767,0.47168,-1.02246,-0.218262
86059990620,0.388184,-1.08105,-0.221191
86060008389,0.274902,-1.05322,-0.212402
86060028108,0.159668,-1.00879,-0.195312
86060050474,0.0297852,-1.03076,-0.202637
86060068479,-0.0751953,-1.01904,-0.174316
86060087979,-0.177734,-1.00439,-0.157227
86060110706,-0.267578,-0.961426,-0.173828
86060128422,-0.271973,-0.942871,-0.18457
86060147986,-0.212891,-0.9375,-0.168945
86060170462,-0.208008,-0.88623,-0.203613
86060188403,-0.21582,-0.82666,-0.182129
86060207975,-0.219238,-0.813477,-0.171875
86060230473,-0.182617,-0.790527,-0.180176
86060248357,-0.172852,-0.787598,-0.169922
86060267990,-0.155273,-0.733398,-0.157227
86060290502,-0.148926,-0.728027,-0.146484
86060308385,-0.14209,-0.720703,-0.152832
86060335507,-0.107422,-0.70166,-0.116211
86060350460,-0.128906,-0.619629,-0.129395
86060368385,-0.0844727,-0.680664,-0.115723
