timestamp,x,y,z
83242012843,0.6875,0,0
83242032525,0.4375,0,0
83242054916,0.125,-0.25,0.125
83242072830,0,-0.375,0.3125
83242092399,0.75,-0.375,0.3125
83242114903,1.4375,-0.3125,0.25
83242132790,1.4375,-0.1875,0.375
83242152411,0.625,-0.25,0.375
83242175117,0.1875,-0.375,0.6875
83242192793,0.25,-0.4375,0.75
83242212454,0.0625,-0.5625,0.625
83242234924,0.6875,-0.25,0.1875
83242252967,1,-0.0625,0.125
83242272442,1.8125,-0.125,0.125
83242294857,1.8125,-1.4375,1.375
83242320327,-3.5,-3.375,5.625
83242335326,-21.0625,-3.875,15.375
83242354903,-35.4375,-7.6875,36
83242377398,-42.1875,-18.125,57.5
83242392443,-45,-29.875,87.625
83242417856,-45.4375,-43.375,114.125
83242437438,-29.8125,-56.5,142.875
83242452408,-10.0625,-59.0625,168.312
83242474947,6.6875,-65.8125,196.875
83242500329,14.875,-77.9375,225
83242512444,9.6875,-94.0625,246.938
83242535047,26.6875,-105,269.438
83242565629,45.125,-110.438,291.5
83242581433,48.6875,-115.625,306.688
83242594997,65,-117.25,314.812
83242617608,79.875,-121.438,323.438
83242633943,50.625,-152.25,342.438
83242655211,26.5,-180.125,343.75
83242677492,32.75,-185.438,322.688
83242693997,18.25,-185.875,300.438
83242715003,31.6875,-183.188,289.938
83242737721,58.25,-177.812,267.875
83242753916,84.1875,-166.438,253.438
83242777930,85.375,-149.438,230.375
83242800435,53.5625,-132.062,193.625
83242813895,32.9375,-124.75,156.5
83242835073,30.125,-113.938,118.438
83242857523,21.9375,-98,76.0625
83242875435,8.1875,-80.25,42.375
83242895145,-17.8125,-62.9375,11.25
83242917508,-37.1875,-47.0625,-17.875
83242935374,-55.75,-36.1875,-43.6875
83242955259,-65.8125,-25.9375,-61.75
83242977697,-77.4375,-13.125,-80.5
83242995410,-94.4375,5.625,-103.625
83243014878,-147.875,22.625,-114.625
83243037609,-144.5,63.8125,-120.688
83243055463,-120.938,98.6875,-111.312
83243075141,-107.875,132.062,-127.375
83243097633,-114.625,145.688,-128.375
83243115418,-100.938,174.438,-137.062
83243135070,-86.75,186.5,-142.812
83243157620,-67.375,190.625,-141.375
83243175417,-54.5625,191.312,-148.188
83243195159,-7.6875,187.438,-146.938
83243217679,9.3125,192,-160.938
83243235404,22.9375,177.125,-178.688
83243254902,24.25,155.375,-183.625
83243278960,51.9375,131.375,-173.438
83243295374,60.1875,119,-178.5
83243315029,-1.8125,111.25,-187.625
83243332893,-45.25,96.9375,-140.625
83243355423,-7.4375,83.625,-74.0625
83243375132,32.125,80.9375,-38.4375
83243397696,59.9375,68.875,-38.25
83243415446,40.8125,40.125,-15.375
83243435136,17.5,10,17.625
83243452865,23.375,-12.375,40.6875
83243482934,28.75,-35.625,49.625
83243497845,31.375,-63.125,68.125
83243512836,48.375,-90.5625,87.75
83243535429,55.1875,-117.812,97.3125
83243556410,56.625,-141.875,104.125
83243577533,57.8125,-160.875,111.375
83243595408,60.625,-180.938,115.375
83243615675,64,-200.188,115.062
83243638381,64.4375,-219.25,115.562
83243654556,74.875,-227.312,116.062
83243675793,88,-227.812,110.688
83243698118,96.625,-222.75,107.562
83243714495,100,-219.75,106.875
83243735641,97.6875,-213.75,100.875
83243751400,102.375,-200.5,94.375
83243774593,104.062,-191.188,82.25
83243795428,103.938,-181,77.0625
83243811470,87.25,-160.25,76.75
83243834603,64.625,-130.25,71.0625
83243857106,35.5625,-101.625,66.1875
83243878207,12.125,-76.375,67
83243894633,-3.6875,-50.6875,65.25
83243917114,-20.5625,-18.6875,57.75
83243938302,-34,9.3125,47.9375
83243954560,-27,29.875,31.5
83243977124,-33.6875,50.6875,11.8125
83243999625,-45.6875,96,-10.5
83244014601,-46.0625,160.938,-23.625
83244037095,-20.6875,182.438,-16.5625
83244058239,-2.1875,193.688,-26.25
83244074590,-7.8125,215.562,-32.4375
83244097022,3.3125,242.5,-37.5
83244111426,14.1875,275.188,-42.3125
83244134591,27.3125,293.312,-38
83244163163,60.125,319.75,-55.375
83244178325,68,327.125,-45.9375
83244202126,96.3125,322.25,-47.875
83244217077,103.312,335.5,-49.9375
83244238199,101.75,344.75,-42.1875
83244254601,116.5,335.312,-27.9375
83244277089,129.812,326.188,-16.6875
83244298134,117.938,306.625,-8.4375
83244314593,99.9375,274.312,0.5625
83244337045,87.125,236.688,8
83244358273,55.875,188.438,13.6875
83244374580,17.1875,133.625,16.75
83244397068,-16.3125,81.75,13.25
83244418244,-43.1875,36.25,2.4375
83244434559,-59.125,-3.6875,-10.3125
83244457112,-77.0625,-37.4375,-28.1875
83244478200,-87.6875,-62.125,-59.3125
83244494569,-96.8125,-79.375,-108.062
83244524494,-113.438,-91.875,-149.688
83244538077,-114.125,-92.5,-172.188
83244554517,-91.0625,-82.25,-193.938
83244577107,-48,-63.0625,-223.812
83244598142,-11,-60.8125,-228
83244614537,1.5625,-66.6875,-223.25
83244637051,12.625,-73.5,-239.438
83244658275,4.1875,-72.1875,-255.625
83244673957,4.75,-64.375,-268.5
83244697122,37.875,-62.625,-257.625
83244719449,95.4375,-60.6875,-223.375
83244733856,107,-46.625,-215.188
83244757120,61.4375,-16.375,-229.812
83244779543,22.5625,16.8125,-229.688
83244793866,2.125,35.8125,-206.688
83244817015,-12.6875,42.75,-191.375
83244840927,-14.375,46.9375,-185.562
83244853893,-11.5,50.5,-171.5
83244877034,-12.875,51.5,-156.125
83244899543,-20.4375,47,-138.75
83244913900,-28.0625,36.75,-117.875
83244937068,-33.0625,23.9375,-94.0625
83244959534,-36.8125,9.3125,-66.1875
83244973941,-24.625,-1.0625,-39.5
83244997028,3.5625,-11.3125,-15.4375
83245027026,51.125,-21.0625,-2.375
83245040571,90.0625,-25.1875,11.375
83245057022,92.25,-25.5625,22.3125
83245079614,77.125,-23.5,25.125
83245100578,50.875,-18.6875,28.125
83245117252,20.3125,-12.875,24.9375
83245139537,2.1875,-9.8125,21.5
83245160721,-3.5625,-8.6875,18.5
83245177038,1.25,-6.4375,14.1875
83245199632,9.0625,-3.3125,9.3125
83245228134,13.9375,-0.9375,3.0625
83245244524,9.625,-1.875,-1
83245259575,9.25,-4.4375,-2.9375
83245273889,11.8125,-5.6875,-3.25
83245297061,6.75,-5.6875,-2.5625
83245319599,-0.0625,-5.0625,-2.1875
83245340547,-0.4375,-3.125,-1.0625
83245357001,-1.4375,-1.3125,0.1875
83245379583,-3.0625,-0.5,1.0625
83245400568,-4.3125,-0.25,1.6875
83245417109,-4,-0.25,1
83245439496,0,-0.1875,0.8125
83245468080,4.5,0.0625,1.0625
83245477593,6.75,-0.3125,0.8125
83245499504,8.5,-1.25,-0.3125
83245520551,8.5,-1.375,-1.25
83245536942,7.4375,-1.1875,-1.8125
83245559585,5.9375,-1.0625,-2.4375
83245580681,4.125,-1.3125,-2
83245597065,4.875,-1.1875,-1.8125
83245619673,5.1875,-1.3125,-1
83245640786,5,-1.375,-0.625
