timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83317590046,0,0,-2,0,-2,-1,-1,0
83317590046,-2,-1,0,-3,-1,0,0,-2
83317602036,0,-1,-1,-1,-1,-2,0,1
83317602036,-11,-1,-3,-2,-2,-2,-1,2
83317611298,0,1,0,-1,-1,-1,-1,-1
83317611298,-1,-2,-1,-1,-3,0,-2,0
83317625963,-2,-1,-3,-1,-1,-2,-1,1
83317625963,2,0,-1,-1,0,-2,0,-3
83317627509,-1,-3,-2,-1,-2,-1,0,-3
83317627509,-2,-1,-2,0,1,-2,0,0
83317648393,-2,-1,-2,-2,-1,-1,-1,-6
83317648393,2,-1,-1,-1,0,-1,-2,0
83317649999,-2,-1,0,-1,-2,-1,-2,-1
83317649999,1,0,-1,0,-2,-2,-1,-2
83317662053,0,-1,0,0,-1,-1,-1,0
83317662053,1,-1,-1,0,-1,0,-1,-3
83317671022,-1,0,-1,-1,-1,-2,-1,0
83317671022,-1,-2,0,0,-1,-1,-1,1
83317685902,-3,-1,0,0,-1,-2,-1,1
83317685902,-2,0,-2,-1,-3,0,1,0
83317687466,0,0,-1,-1,-1,-3,-2,-1
83317687466,0,-1,-2,-2,-2,-1,-1,-2
83317708406,-2,-1,-1,-3,-2,1,-1,0
83317708406,1,-1,-1,-1,0,-2,-1,-1
83317710010,-1,-1,-2,-2,-1,-1,-1,-3
83317710010,0,-2,0,-1,0,-1,0,-2
83317730224,-1,-1,-1,0,0,-1,-2,2
83317730224,-1,-2,-1,-1,-1,0,-1,-1
83317730928,-3,0,-2,-1,-1,-1,-2,0
83317730928,-1,-1,-1,0,0,-2,-3,-4
83317745162,-1,1,-1,-1,-1,-1,0,0
83317745162,0,0,-1,-1,-1,-1,-2,0
83317745999,7,0,0,1,0,0,-2,-4
83317745999,-4,-2,-1,-2,-2,-1,2,7
83317767747,-2,-2,-1,-1,-2,-1,0,-4
83317767747,-1,1,-1,-1,-2,-2,0,-1
83317768442,-1,-3,-1,-2,-1,0,-1,1
83317768442,0,1,-1,-1,0,-2,-3,-2
83317790165,2,0,-1,-1,-1,-2,-1,0
83317790165,-3,-1,-1,-2,-1,-1,0,-1
83317790957,-2,-1,-1,-1,-2,-1,-1,0
83317790957,-1,-1,0,0,0,-2,-1,0
83317805212,-4,-2,-1,-1,-1,-1,-1,0
83317805212,4,-1,-2,-1,-1,-1,-2,-3
83317805999,-2,-2,-1,-2,-2,-1,-2,-1
83317805999,-1,-1,-3,0,-1,-1,-1,1
83317827737,0,0,-1,0,-1,-2,-1,-3
83317827737,0,0,-1,-3,0,0,-2,-1
83317828447,-2,-1,0,-2,1,0,-1,2
83317828447,-1,1,2,-1,-2,0,-1,-1
83317850151,-2,-2,0,-1,-2,-1,-3,-2
83317850151,0,-1,-1,-1,-2,-2,-3,-1
83317850974,-3,-1,-3,-2,-1,-3,1,-2
83317850974,-1,-3,-2,-2,-2,-1,-1,-4
83317865179,1,0,-2,-2,0,-1,-1,-1
83317865179,-2,0,-1,-1,-1,0,-1,0
83317865966,0,0,-1,-1,-1,-1,-2,1
83317865966,-1,-1,-2,-2,0,0,1,-1
83317887742,-3,-3,-1,-2,-2,-2,-2,-4
83317887742,-2,-1,-1,-2,0,0,1,-2
83317888407,-2,-2,-1,0,-2,-2,-2,0
83317888407,-3,0,-1,0,-1,0,0,-2
83317910216,-1,-4,0,0,-1,-1,0,-4
83317910216,-1,-2,0,0,-1,-1,-1,-2
83317911030,-1,-1,0,-2,0,-1,0,-1
83317911030,0,-1,-2,-1,0,-1,-2,2
83317925138,3,0,-2,-2,-1,0,1,1
83317925138,-1,-3,-2,-2,-2,0,-1,-1
83317925919,-3,-1,-1,-1,1,1,0,3
83317925919,1,0,-1,0,1,0,-1,-3
83317947734,-2,1,0,-1,1,0,-2,-1
83317947734,-2,0,-1,0,-1,-2,-1,1
83317948499,0,-1,-1,-1,-1,-1,0,-6
83317948499,1,-1,-1,0,-2,-1,-1,-2
83317970536,-2,-2,-1,0,-1,-2,-1,0
83317970536,-1,-2,-1,-2,-1,-1,-1,-4
83317971151,-1,-2,-1,-1,-2,-6,-3,-1
83317971151,-2,-1,-2,-1,2,13,0,-3
83317985461,0,0,-1,-2,-1,-7,-4,1
83317985461,-2,-2,-2,1,-2,-3,3,2
83317986035,-1,0,1,1,5,4,0,2
83317986035,-1,-3,0,24,-2,-3,-1,1
83318007723,-3,0,-2,-8,-4,4,1,-3
83318007723,3,1,-2,-36,-5,-3,-2,-3
83318008495,-4,0,0,-7,-4,-6,-4,-1
83318008495,5,-9,1,16,-2,-1,-1,-5
83318030222,-16,2,6,54,6,3,0,1
83318030222,-15,-8,-11,-27,-11,-4,-3,-3
83318031014,-3,-6,0,18,2,0,-2,0
83318031014,-12,14,-1,-42,-8,-3,-1,-3
83318044700,3,11,6,66,12,-7,-2,-1
83318044700,1,-9,-7,-44,-21,3,-2,-30
83318052829,28,13,9,69,12,6,-3,13
83318052829,-7,9,-19,-48,-13,-12,-6,-58
83318067863,13,-18,-1,-1,-1,2,-1,5
83318067863,-1,1,8,14,13,4,3,-6
83318068493,1,16,-7,-29,-12,3,0,0
83318068493,14,-1,5,30,2,-11,-4,-34
83318090440,1,-7,-8,-51,-17,-30,-1,38
83318090440,5,11,6,39,12,21,-1,4
83318091061,22,33,2,-5,2,-9,-5,-14
83318091061,-6,-9,3,-3,6,13,-7,11
83318104829,-8,3,-4,-21,-2,12,7,-21
83318104829,1,-5,0,22,-1,-13,0,42
83318112966,-11,-2,-2,-15,1,-3,0,24
83318112966,-1,-1,-2,-8,-2,-3,4,-5
83318127955,0,-11,0,-9,-2,7,-5,2
83318127955,3,7,-1,4,-4,-9,-6,-18
83318128565,-18,-23,-7,-17,-9,-15,-12,-15
83318128565,14,2,1,6,6,22,2,16
83318150433,2,-1,-1,-9,2,-14,2,-2
83318150433,-6,-4,-3,3,3,-1,-5,-48
83318151029,-1,-10,-4,-8,-10,2,1,52
83318151029,-14,-35,-3,8,0,-3,-17,-15
83318164785,24,24,0,-7,3,23,20,5
83318164785,9,-17,-4,0,-5,-23,3,47
83318172802,-15,-14,0,-1,1,1,3,0
83318172802,1,16,4,4,1,-14,1,8
83318187848,-21,-4,-2,-8,2,8,1,-63
83318187848,3,-2,-4,0,-6,-11,-16,40
83318188590,-2,-7,-3,-3,-1,9,2,-36
83318188590,15,1,-1,-2,-5,-4,6,35
83318210424,-15,-9,0,-6,-5,-14,-23,-27
83318210424,-1,13,4,12,8,-5,18,-40
83318211048,-6,-5,-5,-3,7,17,7,36
83318211048,-26,-10,-2,-9,-3,-7,2,11
83318224687,13,3,0,-1,-1,20,-21,26
83318224687,-18,4,-3,-4,-10,6,13,-24
83318232802,9,-37,-1,2,3,-33,-2,-9
83318232802,-15,3,0,1,3,-8,-8,-64
83318247974,16,4,0,-4,-10,-9,-2,92
83318247974,-15,-10,-5,-1,5,16,-15,1
83318248555,-8,10,3,-4,5,27,7,-34
83318248555,18,-1,0,8,-1,-7,11,26
83318270298,-21,0,-3,0,6,12,-2,-50
83318270298,32,28,8,-2,6,-8,0,21
83318271095,12,36,-2,3,-20,-48,-5,2
83318271095,-4,-5,-1,1,-1,21,-7,-7
83318284652,0,0,-4,-4,-1,25,15,-2
83318284652,11,-14,-2,2,15,-19,-4,1
83318292738,-12,11,5,-2,7,26,-7,24
83318292738,18,11,-3,-5,-19,-19,-2,50
83318307811,4,4,2,7,1,-8,3,-20
83318307811,-25,-8,0,-5,-12,-5,-5,-2
83318308508,23,-8,0,-6,-11,-1,2,-25
83318308508,-16,0,-5,-3,8,9,6,-13
83318338526,-7,-12,-3,-4,-3,-17,-4,42
83318338526,4,-22,5,5,0,29,1,-3
83318339220,-16,-5,-8,-5,3,-24,-14,-48
83318339220,5,1,-4,0,1,15,1,45
83318344606,8,4,0,-3,-2,-5,-6,32
83318344606,-5,-4,-1,2,5,-17,22,-6
83318352736,9,2,9,4,2,25,10,6
83318352736,-1,-4,4,-2,-7,-37,-9,-31
83318367855,-9,-8,-10,-7,12,33,0,13
83318367855,7,7,0,7,-3,1,-3,22
83318368535,-13,-5,-3,-8,2,-9,-32,17
83318368535,-4,1,3,7,-1,-9,30,3
83318390270,10,5,4,3,2,-7,-3,-13
83318390270,-10,16,-5,-16,-16,-14,-11,-1
83318391004,-7,-11,-1,9,10,12,10,-15
83318391004,3,-6,-14,-7,-6,9,-10,-10
83318413587,0,-1,1,-4,-19,-40,9,11
83318413587,7,3,4,10,-8,-10,-26,-18
83318414196,6,-2,-1,-6,5,15,22,-8
83318414196,-5,-1,11,20,12,-7,-18,7
83318428006,-18,-15,-15,-13,-2,18,20,-5
83318428006,6,4,4,7,13,-4,-17,-63
83318428591,-31,-3,2,14,-8,-5,0,73
83318428591,-5,-4,5,-1,5,5,-7,6
83318450467,-5,14,0,13,-5,-30,-7,-25
83318450467,-3,-8,-4,-14,-6,10,11,0
83318451009,3,-3,-4,-20,4,65,1,29
83318451009,2,2,-10,-9,2,-58,18,-5
83318464778,-7,5,2,13,4,1,-23,-11
83318464778,-8,-5,-6,-3,-10,1,2,8
83318472997,10,-6,1,18,10,15,-2,-20
83318472997,-7,-2,-6,-28,-24,-6,-15,6
83318487947,4,-3,-1,-12,8,2,-15,-14
83318487947,-2,-4,-4,25,13,22,20,23
83318488546,-4,-5,-8,-14,-20,-18,-7,-43
83318488546,2,-1,1,37,-4,8,-2,-8
83318510416,8,-13,11,-23,-14,-37,-15,-25
83318510416,-18,5,-5,-10,13,16,6,10
83318511019,-8,-1,-15,1,-4,3,-3,-22
83318511019,4,-1,-1,-10,4,-22,-4,9
83318524688,28,-3,1,34,0,17,3,7
83318524688,0,-2,-6,-59,-10,-13,3,3
83318532989,8,8,2,29,-1,-2,6,3
83318532989,-6,-7,0,-14,7,29,-1,-11
83318547954,-12,-5,-6,19,-23,-16,-6,-7
83318547954,2,1,4,-3,-3,-15,-5,1
83318548517,-4,0,2,-27,8,-23,-9,-7
83318548517,11,3,9,41,16,28,11,10
83318570389,-15,12,0,-43,-1,3,0,-5
83318570389,44,-2,-5,39,-7,2,-2,-3
83318570991,-7,-13,-4,-17,-15,-34,-10,31
83318570991,8,5,0,29,8,28,10,12
83318594931,4,2,-1,1,23,8,7,-10
83318594931,-10,-4,-10,-27,-10,-2,-1,9
83318595681,9,-1,-2,19,-4,-10,4,-3
83318595681,-7,-2,-6,6,-8,-16,-12,-12
83318607942,-8,0,-10,29,9,15,-5,-35
83318607942,18,-14,-3,-9,6,6,-6,-74
