timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
86005841977,-2,-4,2,-1,-1,1,0,-2
86005841977,4,-22,-3,-1,-1,-2,-1,2
86005842820,7,-11,-2,-2,-4,-1,-3,0
86005842820,8,2,-1,0,-2,-2,-3,1
86005864982,-4,-3,-3,-2,-1,0,-1,-2
86005864982,-1,0,0,-2,0,-1,-1,-1
86005865762,5,16,-4,-3,-2,-1,0,-1
86005865762,-13,-2,0,0,-3,0,-2,-5
86005878802,3,1,-2,-2,0,-1,-2,-1
86005878802,-16,6,0,-2,-2,-3,-3,10
86005879525,5,5,-1,1,0,1,3,-15
86005879525,1,3,-1,1,-2,-1,-3,1
86005901982,0,0,0,0,0,-1,0,5
86005901982,-3,0,2,3,-2,-1,-1,-2
86005902784,-13,-12,0,-3,-2,-2,-3,3
86005902784,1,-2,2,1,0,-1,1,0
86005924462,-4,-3,-6,-4,-2,-1,-2,-8
86005924462,6,-14,-5,-2,-3,-1,-2,-2
86005925235,-3,0,2,-1,-1,-1,1,1
86005925235,2,2,0,2,-2,0,-3,-9
86005938779,0,0,-1,-3,-2,-2,0,12
86005938779,-2,3,0,-1,0,0,1,-2
86005939584,-3,-14,-6,-2,0,0,0,-3
86005939584,-12,-1,-2,-4,-1,-1,1,0
86005961976,9,4,-2,1,0,-2,-2,-3
86005961976,-6,-4,2,-1,-1,0,-1,-5
86005962818,0,4,2,-2,-1,0,0,3
86005962818,-15,0,-3,0,-1,-2,-2,-2
86005984452,4,-7,-1,-1,-2,-1,-4,-11
86005984452,-10,-2,-5,-4,0,0,1,11
86005985272,-12,-2,-1,-1,-1,-3,-4,-3
86005985272,3,-4,-1,0,0,-2,-1,0
86005998801,-4,1,2,-1,-2,-2,-2,-1
86005998801,5,5,-3,0,-1,-1,-1,-5
86005999606,-3,-3,-2,-2,-2,-1,-1,0
86005999606,3,-2,-1,-2,-1,0,-1,3
86006022058,-5,-2,0,2,0,0,-3,-1
86006022058,2,1,2,-2,-1,-2,0,-1
86006023768,0,-2,0,2,0,0,-1,3
86006023768,2,0,0,-1,0,-2,0,-1
86006044505,-2,0,0,-1,-2,-1,1,-1
86006044505,-2,2,-1,0,-1,0,-1,-5
86006045258,2,3,-1,0,-1,-2,-2,1
86006045258,1,-3,-3,-1,0,-1,0,1
86006058817,-2,-1,-1,-3,-2,-2,-1,-2
86006058817,1,0,2,0,-2,-1,-1,-3
86006059578,-1,-1,-2,-2,-1,-1,0,0
86006059578,0,-1,1,-3,-1,1,-1,-1
86006082031,2,-3,-3,-3,0,-1,0,0
86006082031,-7,-4,-2,1,-1,0,-3,-5
86006082877,6,12,0,0,-1,-1,-1,1
86006082877,6,1,-1,1,-1,0,-2,-1
86006104489,-1,-1,-1,0,1,0,0,-1
86006104489,1,-2,1,-2,-2,-2,-2,-1
86006105289,1,-4,-3,-2,-3,0,-1,0
86006105289,-14,3,2,0,-1,0,-1,-2
86006118825,-2,1,-1,-2,-4,0,0,0
86006118825,4,5,0,0,-1,-1,-1,0
86006119614,-1,-4,1,0,-1,-1,-2,0
86006119614,4,-1,-3,-2,-1,-1,-1,-1
86006141990,-2,-4,-1,-1,-3,-2,-2,-1
86006141990,-8,0,-1,-2,-2,0,-4,-3
86006142773,-2,-3,1,-1,0,-1,-2,-1
86006142773,0,-5,-1,-1,-2,-2,-2,-2
86006164500,1,-1,-2,1,-1,-3,-3,-2
86006164500,0,-1,-8,-3,-1,0,-1,-2
86006165288,-3,-2,0,-1,-1,0,0,-3
86006165288,2,2,1,-1,-1,-1,0,0
86006178839,-2,-3,-1,0,-1,-2,0,-1
86006178839,2,2,2,0,-1,-3,0,-2
86006179606,-3,-2,-3,-3,-1,-1,-3,-1
86006179606,-8,-3,2,6,-2,-6,-1,-1
86006209478,-3,-6,-2,-6,1,-1,0,-2
86006209478,0,-4,-4,-2,2,3,-3,0
86006210278,-4,-18,-4,3,-1,-1,-1,-1
86006210278,4,0,2,-1,0,-1,1,-1
86006224508,1,1,4,4,-2,-2,-3,-1
86006224508,-1,-1,-1,-2,-2,-4,-3,-1
86006226146,-1,3,1,-4,0,-2,-2,-1
86006226146,1,-1,-3,-1,-3,-1,-1,1
86006238788,0,-3,2,1,0,-1,-2,0
86006238788,-4,-1,2,1,-3,-2,0,-1
86006239549,-1,0,-6,-2,-2,-1,0,-2
86006239549,-1,-1,0,-1,1,2,-1,-2
86006261980,1,5,-2,-2,2,3,4,3
86006261980,1,2,-1,2,1,-5,0,-1
86006263595,-3,-1,-1,-5,-4,-5,-3,-3
86006263595,0,-3,-2,-6,-4,4,3,0
86006284485,-3,-1,-1,2,-1,-2,-7,-4
86006284485,1,1,2,0,3,-1,1,0
86006286130,2,1,6,7,1,4,3,0
86006286130,-4,-4,-13,-11,-2,-11,-5,-2
86006298137,-2,-4,-4,-1,-8,18,2,-2
86006298137,0,-2,1,3,0,-13,-3,0
86006307150,-1,3,0,-3,5,-3,1,1
86006307150,3,0,6,11,2,0,-1,2
86006321997,-3,-2,-10,-14,-4,-2,-10,-5
86006321997,-3,-6,-5,-6,-10,-11,4,-2
86006323595,1,1,-2,1,2,10,-1,-2
86006323595,-1,-1,1,-2,3,9,3,-2
86006344517,-2,-3,2,4,-4,-17,-2,-2
86006344517,-1,1,4,3,4,10,4,-1
86006346085,-1,-2,-1,-2,-4,-8,-8,2
86006346085,2,-3,-2,-3,-10,-5,-11,-2
86006358105,3,3,-3,-5,3,-9,16,0
86006358105,1,-1,1,4,-2,8,-7,9
86006367176,0,2,4,3,0,-7,9,-5
86006367176,1,-2,-7,-4,9,29,-4,6
86006382028,-2,10,1,-1,-7,-6,-2,6
86006382028,14,-4,-4,-11,-6,-23,5,4
86006383632,-8,-2,0,3,0,5,-15,-17
86006383632,-7,-12,2,3,-4,-17,10,16
86006404484,-10,0,-1,-1,3,10,3,-10
86006404484,4,4,2,4,10,13,-11,-2
86006406097,3,-1,-2,-2,-16,12,-2,-15
86006406097,15,4,-2,0,10,-32,-8,16
86006418120,1,-7,-4,-8,-5,1,3,10
86006418120,-5,0,4,1,-3,15,1,-3
86006427108,1,-6,-8,-6,-12,-35,5,6
86006427108,-16,2,4,10,14,28,1,-34
86006441936,-4,-9,-1,0,0,-8,-10,16
86006441936,-2,1,-4,-2,-3,16,-6,-17
86006443570,4,0,-3,-3,-8,-32,8,14
86006443570,10,1,-3,-1,-4,14,9,13
86006464482,-2,1,2,8,6,8,-6,-26
86006464482,-7,0,-4,-5,-5,-8,-6,-12
86006466098,-14,8,-1,-4,-10,-20,-7,19
86006466098,-24,-1,1,2,10,-1,15,-14
86006478162,23,4,3,2,-1,15,1,0
86006478162,3,-4,-1,0,-10,-7,6,-15
86006487129,-27,-4,-6,-4,-8,-6,-22,-2
86006487129,5,1,-1,-3,11,28,6,12
86006501988,7,3,0,7,-4,-19,-8,-35
86006501988,18,0,-10,-11,4,2,-1,29
86006503612,22,1,2,-1,8,23,14,10
86006503612,-5,-2,3,0,-17,-23,-24,-18
86006524532,-57,-7,-3,-10,-20,-15,0,-15
86006524532,0,-11,-6,3,20,27,-15,-5
86006526199,-7,-14,-1,-2,8,-3,0,12
86006526199,-1,2,-4,-2,-8,-6,-7,-28
86006538141,35,7,2,2,-11,-44,14,37
86006538141,-8,1,-1,-2,0,17,3,-8
86006547141,0,-2,-1,-8,6,20,12,-32
86006547141,4,-2,-7,3,-5,19,-11,3
86006561982,-8,-7,-1,-2,1,-24,-3,2
86006561982,-15,1,5,5,6,19,-1,3
86006563602,42,7,7,9,10,-27,-11,8
86006563602,-28,-6,-8,-9,-7,33,11,22
86006584501,19,6,1,-7,-7,-31,1,21
86006584501,-21,2,4,7,-1,-11,3,5
86006586185,-8,5,2,5,6,11,-11,-11
86006586185,9,-7,-6,-10,-20,-19,1,12
86006598126,1,0,0,2,7,28,2,-4
86006598126,20,2,3,4,6,-31,-20,13
86006607141,-15,-5,-2,-2,-7,31,28,10
86006607141,-8,2,-3,-3,1,-38,-16,-2
86006621319,-3,-7,-1,0,4,44,4,-6
86006621319,-13,0,-3,-4,-6,-34,-3,-10
86006628178,0,14,2,3,-11,-28,-22,-3
86006628178,14,-7,4,-4,0,38,15,54
86006644505,9,0,-5,4,11,14,-11,-18
86006644505,-3,-1,2,3,15,-3,11,16
86006646103,-6,-6,-9,-23,-30,1,2,7
86006646103,5,0,5,15,23,1,4,-24
86006658152,-6,-1,0,-4,-13,-12,-20,-12
86006658152,2,3,-7,8,14,4,-2,-9
86006667168,-15,-18,-4,2,16,17,3,-24
86006667168,27,11,0,-4,-10,-30,5,22
86006681250,-25,-4,5,10,7,25,9,-28
86006681250,16,-1,-2,-11,-16,-12,-2,19
86006688163,8,10,5,6,13,8,7,-5
86006688163,-7,-2,-6,-6,-19,-9,-8,-14
86006704453,1,0,-3,-5,2,-13,-8,5
86006704453,-1,4,-5,-5,-11,4,2,-4
86006706052,14,6,5,3,-2,6,14,62
86006706052,-25,-5,4,0,3,-18,-22,-84
86006718152,-41,-9,-13,-7,-1,-2,-7,13
86006718152,11,1,3,-4,-18,2,8,-6
86006727169,0,-6,-3,6,11,-2,-6,-10
86006727169,-12,-1,0,-2,3,-10,-4,-6
86006741359,8,3,-6,-12,-5,8,3,14
86006741359,-1,-6,2,4,-3,-4,2,-8
86006748128,-11,1,-4,-4,1,-2,-9,-9
86006748128,6,-2,1,-1,-4,-7,1,13
86006764510,6,-2,-11,-1,-1,-2,0,-8
86006764510,-4,-5,0,-14,-7,4,1,3
86006766062,5,-2,-5,-5,-8,-4,2,9
86006766062,0,3,-2,0,2,-5,-7,-16
86006786969,8,-2,3,-12,-16,1,2,0
86006786969,0,-5,-2,1,-1,-5,0,-1
86006788598,-2,-1,10,8,1,1,-5,-16
86006788598,-16,5,-8,-8,0,0,8,22
86006801324,8,-5,2,8,8,3,1,53
86006801324,-37,12,3,3,1,3,-5,-33
86006808141,-15,4,-9,-10,-10,-4,-3,21
86006808141,7,4,1,1,7,0,2,-2
86006824477,12,1,6,17,15,1,1,-4
86006824477,-2,7,-5,-16,-19,1,0,6
86006826127,8,0,6,11,10,-2,-3,7
86006826127,-12,-1,-9,-17,-9,-1,0,-11
86006846986,0,1,0,2,7,4,-1,4
86006846986,16,-13,8,4,-1,-9,-6,-4
86006848622,-33,-14,-3,4,5,4,1,-84
86006848622,43,-1,4,0,-11,2,16,92
86006861297,20,3,-1,-2,-2,-6,-9,-50
86006861297,-9,1,-2,3,5,0,5,11
86006868154,9,-1,-3,-8,-4,-3,-10,-2
86006868154,11,-6,4,5,2,-3,-3,-16
86006884569,-31,0,-6,-3,-2,-3,-2,-29
86006884569,6,-7,-6,-1,0,1,5,17
86006886139,6,-4,-6,-5,-4,-3,-8,-8
86006886139,-7,0,-8,-5,-3,-5,-6,-60
86006906976,-1,0,0,-2,-5,5,17,105
86006906976,-2,2,-2,3,5,-8,-17,-45
86006908616,-26,0,-3,-3,3,3,6,1
86006908616,22,-2,4,5,6,7,2,-7
86006921318,-8,-1,2,-5,1,1,5,-32
86006921318,-10,-5,-4,1,-8,5,-5,2
86006928092,-16,-4,-5,-5,-17,-51,-25,-1
86006928092,-9,3,4,-2,-4,4,11,-30
86006944506,14,3,6,15,30,37,4,6
86006944506,4,0,1,2,-1,-4,-28,9
86006946110,2,2,6,6,25,90,78,-3
86006946110,-12,-7,-7,-1,-18,-77,-50,-26
86006966995,10,3,2,-6,5,-22,-13,23
86006966995,-18,-8,-5,-1,-2,-15,43,35
86006968617,-9,-2,-1,-4,-12,9,-52,-96
86006968617,2,1,4,7,2,15,71,83
86006980644,23,3,9,9,-3,2,-10,-7
86006980644,-2,-6,-15,-22,3,2,-37,-22
86006989601,9,4,0,-3,-13,-11,3,26
86006989601,-5,-9,-6,3,7,19,-3,0
86007004511,-17,-4,-2,-18,-31,-23,-29,-28
86007004511,7,-2,-2,4,10,9,18,-5
86007006109,13,2,7,7,-5,-10,6,34
86007006109,-6,0,-5,-6,6,6,-23,-19
86007027015,-6,-5,-5,4,2,-6,5,-11
86007027015,-5,-1,4,1,-2,2,3,-15
86007028630,11,-1,-2,-1,14,9,6,23
86007028630,-2,0,0,-2,-8,9,-6,30
86007040726,-8,-9,-14,-4,-13,-19,-2,-52
86007040726,28,5,2,4,0,10,22,50
86007049599,-39,-2,7,0,0,-20,-27,-53
86007049599,-2,-6,0,-2,4,9,-2,-4
86007064486,21,4,4,3,2,8,1,24
86007064486,-27,-4,-2,-1,-7,-9,5,-46
86007066112,10,-10,-15,-8,-2,-6,2,13
86007066112,2,2,1,1,-1,-1,-3,-14
86007087013,-3,-1,0,-1,2,-1,-1,-2
86007087013,-4,-6,-11,-15,-9,-4,-11,-19
86007088625,12,-1,-1,2,3,1,5,19
86007088625,-8,2,9,0,-2,-6,-3,-3
86007100638,-2,-6,-9,-6,4,10,3,2
86007100638,1,0,5,9,0,1,1,10
86007109695,0,-13,-6,-4,-3,-4,2,6
86007109695,12,-2,-4,0,11,-7,-6,16
86007124534,-8,5,1,-3,-29,-4,5,-7
86007124534,2,-10,-2,-7,2,1,-6,3
86007126114,16,8,12,15,4,-1,11,68
86007126114,-10,-4,-7,-3,1,-3,-4,6
86007146973,-16,-12,-6,-5,-1,-2,-8,-63
86007146973,6,5,5,3,-1,1,-1,7
86007148572,7,-2,-8,-9,-5,-7,-7,10
86007148572,-3,-1,-3,4,1,1,-7,-3
86007160635,-14,1,-1,0,3,4,8,-10
86007160635,0,3,-3,-2,-4,-1,-4,15
86007169696,-3,0,-1,-4,4,-1,-6,-17
86007169696,-2,1,-1,-4,-5,2,-3,-5
86007184517,5,1,1,0,2,1,2,12
86007184517,1,4,0,1,-4,-5,-5,-16
86007186137,0,5,2,0,-8,-8,-1,4
86007186137,-1,1,-11,-9,-1,1,0,-15
86007206978,-1,-9,8,6,3,7,6,22
86007206978,-5,-6,-1,-1,14,3,-1,-13
86007208640,2,2,-2,-3,-7,-3,-4,2
86007208640,0,-9,9,5,-9,-7,-3,-10
86007220652,-2,10,0,-3,0,-6,-3,1
86007220652,1,-3,-10,-4,4,5,5,4
86007229656,-2,-15,9,9,-2,4,4,-7
86007229656,-7,3,-1,0,4,0,-3,-11
86007244458,-1,-1,-1,0,-1,-5,-6,3
86007244458,2,0,1,1,-5,2,5,5
86007246106,2,3,-5,-6,-1,-6,-5,-9
86007246106,-2,-9,-7,-13,-3,0,3,-1
86007266984,2,0,1,-1,2,-1,-1,9
86007266984,10,12,2,3,-4,-2,-6,-1
86007268596,-30,-6,-12,-12,-3,-6,5,16
86007268596,19,2,4,6,2,6,-7,-18
86007280651,-28,-14,-7,-1,-6,-11,0,-35
86007280651,6,-5,-8,-9,-1,1,2,43
86007289649,11,8,-4,3,-1,-1,-1,-8
86007289649,-6,8,2,-9,-11,-10,-21,-29
86007304500,-7,1,1,4,16,22,16,38
86007304500,8,-11,0,2,-10,-17,-66,2
86007306093,-48,-9,-2,-1,-5,0,48,37
86007306093,10,4,0,5,-1,-38,-33,-47
86007327022,7,7,0,-5,-1,25,48,-25
86007327022,4,-6,-2,3,-19,-23,67,41
86007328627,6,0,-15,5,33,74,-36,19
86007328627,-18,-5,2,-6,0,57,54,29
86007340595,6,0,-5,-3,4,-73,-38,39
86007340595,-16,-2,-3,-5,-31,-36,-32,-72
86007349591,28,10,17,3,19,9,28,-23
86007349591,8,3,3,3,-2,-7,19,28
86007364457,-1,-1,-3,-2,0,28,-33,-22
86007364457,-8,3,-1,-2,9,14,17,5
86007366125,2,-4,-6,-5,-28,-45,-42,-28
86007366125,2,0,-3,-7,-1,15,-6,6
86007387022,-1,-2,-1,-8,-8,-7,4,-6
86007387022,5,1,0,1,5,-2,-6,-13
86007388624,3,-2,-1,2,0,5,14,-6
86007388624,-7,-4,4,12,5,-3,-12,1
86007400633,8,-2,-3,-5,-8,-7,7,12
86007400633,-8,1,6,5,9,10,4,-4
86007409706,8,1,0,-2,-3,-3,-17,-9
86007409706,-10,-3,-10,-10,-6,-9,6,3
86007424515,0,0,4,4,0,-9,-14,-5
86007424515,1,2,5,2,8,23,-2,-1
86007426102,0,1,0,-10,-10,-13,-5,-10
86007426102,-3,-1,-1,1,-4,-8,-8,-6
86007446955,-2,0,-1,-1,3,13,11,3
86007446955,-3,6,1,1,5,4,-7,-6
86007448594,5,-2,-10,-9,-7,-11,-2,-1
86007448594,-5,-1,-3,3,-5,-6,-4,1
86007460645,2,-1,-1,-1,4,5,-8,-3
86007460645,-4,-2,-2,1,-1,-1,5,-1
86007469699,2,0,3,3,-3,-10,-10,-5
86007469699,-2,-2,-2,3,1,6,-2,0
86007491980,0,1,-4,-5,-4,1,0,-3
86007491980,-3,-4,-2,1,0,-1,-3,-7
86007493589,-1,-2,-2,-11,-8,0,2,-2
86007493589,-2,-2,0,3,4,2,-8,0
86007506991,5,-1,0,-4,-3,5,3,6
86007506991,-5,-2,-2,6,-5,-15,-2,-9
86007508606,3,0,4,11,3,-16,-2,-3
86007508606,0,-1,-4,-23,-7,4,7,0
86007529501,-8,-12,-1,6,1,6,-2,3
86007529501,3,1,1,-9,4,25,3,-2
86007531172,-3,0,-4,1,-2,-13,-9,-4
86007531172,-4,-3,-1,3,-3,-19,-5,-2
86007543812,-4,0,-5,-2,-5,5,2,-2
86007543812,0,-1,0,2,2,10,2,0
86007550592,-3,-2,-3,-12,-3,-9,-3,-3
86007550592,0,1,-1,-1,1,2,-1,-2
86007566990,0,1,2,19,4,-3,-4,-1
86007566990,-2,-2,-1,-19,-7,-7,1,-2
86007568644,2,0,-5,9,0,3,-5,-3
86007568644,-2,-1,3,13,11,7,0,3
86007580663,3,0,-6,-11,-8,-2,1,-2
86007580663,1,-2,-4,10,1,-10,-3,1
86007589632,-2,-2,1,48,4,15,-5,-10
86007589632,-3,-2,2,9,-3,-15,0,0
86007603800,-1,1,5,-28,0,-10,0,0
86007603800,-1,1,-3,-62,0,1,4,1
86007610664,0,-1,-2,-46,-2,7,-1,3
86007610664,-3,-3,-7,70,-3,5,-3,-4
86007626961,-1,-1,-7,54,3,-3,0,-2
86007626961,-3,-1,2,18,-7,-3,-3,-4
86007628593,-1,-1,3,-18,-3,0,7,6
86007628593,1,3,6,-25,5,5,-5,-3
86007640631,-2,-10,2,5,-1,-10,-7,0
86007640631,-1,-1,-5,46,3,2,0,5
86007649715,-1,1,3,74,4,1,4,-2
86007649715,-2,1,-7,-27,-1,0,3,1
86007663819,2,2,-4,-21,-7,-2,-3,-2
86007663819,-3,0,7,54,6,-8,-6,0
86007670644,0,-3,-7,-7,-4,7,2,-2
86007670644,-1,-3,-4,11,3,-7,2,-1
86007686953,-4,-1,-5,-51,-9,1,-2,-5
86007686953,6,3,7,-3,0,-1,0,-2
86007688618,0,0,1,-36,0,5,-1,-1
86007688618,-3,-2,1,67,3,-8,0,-2
86007700624,-1,1,-4,-52,0,-13,-3,1
86007700624,-4,-2,-4,-2,-10,-2,0,-2
86007709633,-2,-2,3,2,10,10,-1,2
86007709633,4,-1,-1,6,1,3,0,-1
86007723814,-3,-1,1,-35,-6,2,0,0
86007723814,-4,0,-1,5,0,2,-3,-3
86007730764,-1,-4,-6,-3,-6,-12,-3,-1
86007730764,-3,0,-1,-38,-5,3,0,0
86007746929,-2,-2,0,52,0,-5,1,-1
86007746929,0,-1,-2,-10,6,7,-5,0
86007748574,-4,-1,-2,25,-2,-8,-2,-2
86007748574,-3,-4,0,-15,-3,1,-1,-1
86007769477,0,0,2,15,3,3,-1,-2
86007769477,1,-1,-4,-24,-6,0,2,-2
86007771072,7,-1,6,31,1,0,-3,0
86007771072,-4,0,-18,-106,-21,-10,-9,-3
86007783783,1,-1,1,34,5,1,3,0
86007783783,-2,-3,1,14,3,10,1,-2
86007790612,-3,0,-5,-72,-8,-13,0,-3
86007790612,-17,-5,3,19,2,-6,-1,-5
86007806981,16,7,9,52,0,0,-2,-1
86007806981,-7,-7,-12,-60,-7,-4,-5,-3
86007808561,-1,-1,-1,-26,-2,-1,1,2
86007808561,-2,0,-1,-2,3,12,0,-1
86007829516,-6,-3,-6,-29,-4,-8,-1,-2
86007829516,0,2,6,-26,1,5,1,-1
86007831143,-1,1,-8,7,1,-2,1,-1
86007831143,5,2,-6,-78,-11,-6,-3,-1
86007843845,-2,0,3,8,5,7,0,0
86007843845,3,1,-1,17,-3,-9,-3,-1
86007850678,-2,-3,6,6,0,-2,0,-3
86007850678,3,-3,-4,-7,-5,-2,-1,0
86007866984,-4,1,2,0,2,3,-1,-1
86007866984,-3,-1,0,34,-1,-5,-1,-2
86007868586,-2,0,0,28,0,1,-2,1
86007868586,4,1,0,6,-6,0,0,2
86007889428,0,-1,1,33,1,3,-1,-2
86007889428,0,-2,-3,21,5,-4,0,1
86007891094,0,-2,3,28,-3,-1,-4,-2
86007891094,-1,-3,4,25,3,0,0,-2
86007903125,-4,-4,-2,-14,-4,1,-1,-1
86007903125,-8,-6,-4,-49,-6,-4,-1,-3
86007912154,6,0,-7,-36,-7,-7,-2,0
86007912154,-23,-7,-2,1,4,4,-3,-4
86007927020,-1,1,1,3,1,1,0,1
86007927020,3,7,4,13,1,-5,-1,-1
86007928611,-4,-19,-6,24,-4,2,-2,-1
86007928611,25,11,-6,-37,-4,0,1,1
86007949472,-7,-11,1,22,4,2,0,-3
86007949472,0,0,2,1,-1,-2,-2,-2
86007951090,-7,0,-6,-90,-10,-2,-1,-1
86007951090,7,1,8,101,7,3,0,0
86007963131,-7,3,-1,-18,0,-1,0,1
86007963131,17,3,2,35,5,1,0,1
86007972119,17,4,-1,-20,-5,-2,-1,-3
86007972119,-15,-5,4,27,4,1,-1,2
86007987024,-12,5,-5,-1,-5,-2,-1,-3
86007987024,0,-3,-5,-44,-7,-3,-1,0
86007988638,4,7,-1,20,2,0,0,1
86007988638,-7,-4,2,35,3,-3,-1,-3
