timestamp,x,y,z
83441076170,-1.1875,0.375,0.0625
83441090465,-0.375,0.25,0.25
83441113689,-0.5,0,0.25
83441136120,-0.1875,0.125,-0.0625
83441150482,-0.375,0.25,-0.0625
83441173706,-0.6875,0,-0.1875
83441196121,0.125,0.0625,0.0625
83441210465,0.875,0.0625,0.125
83441233648,-0.125,-0.0625,0.3125
83441256167,-1.125,-0.1875,0.25
83441270459,-0.6875,-0.1875,0
83441293672,0.3125,0,-0.125
83441316188,1.1875,0.0625,-0.1875
83441330504,0.375,-0.1875,-0.125
83441353637,-0.25,0,-0.5625
83441376154,0.75,0.125,-0.5625
83441390474,0.8125,0.0625,-0.1875
83441421099,0.9375,-0.0625,-0.1875
83441436076,0.375,-0.1875,-0.25
83441457215,-0.375,-0.125,-0.375
83441473716,-0.4375,-0.125,-0.125
83441496206,0,-0.125,0.125
83441517464,0.375,-0.0625,0.25
83441533675,0.9375,0,0.0625
83441556236,-0.4375,0.125,0.4375
83441577312,-0.9375,0.375,0.125
83441593789,-0.5,0.375,0.3125
83441616184,0,0.4375,0.375
83441637459,0.3125,-0.0625,0.6875
83441653696,0.6875,-0.8125,1.125
83441676182,-0.4375,-2,1.9375
83441697447,-2,-2.8125,3.4375
83441713800,-2.9375,-2.625,7.375
83441743743,-12.875,-2.625,14.25
83441757180,-23.125,-4.625,25.6875
83441773059,-33.75,-8.125,43.1875
83441796199,-35,-13.8125,66.25
83441818671,-32.75,-15.125,91.4375
83441832995,-41.1875,-17.6875,121.562
83441856201,-39.5,-24.1875,153
83441878715,-14.9375,-27.9375,191.75
83441893025,-10.3125,-30.375,224.688
83441916173,-14.3125,-37.625,249.125
83441938755,-2.4375,-49.0625,273.562
83441953110,18.125,-53.1875,299
83441976206,35.1875,-53.8125,321.75
83441998809,30.9375,-60.125,333.812
83442013835,30.0625,-70.75,340.062
83442036242,27,-79.0625,344.75
83442058666,30.1875,-85,349.188
83442073004,30.6875,-92.0625,339
83442096185,12.75,-104.812,328.875
83442118811,13.75,-113.688,314.062
83442139950,13.25,-113.812,294.625
83442157656,15.125,-118.125,263.062
83442178779,17.4375,-117.938,235.062
83442199949,4.6875,-114,202.062
83442216187,-8.375,-103.688,170
83442238693,-8.125,-96.875,124.375
83442259835,-6.125,-82.9375,82.875
83442276131,-3.375,-54.3125,46.375
83442298628,8.625,-21.6875,12.125
83442319664,24.0625,16.875,-21.0625
83442336117,46.375,65.125,-64.125
83442358631,81.8125,109.375,-105.688
83442379811,110.625,137.25,-156.562
83442403779,119.5,153.25,-225.375
83442418925,97.625,161.188,-300.375
83442447285,36.6875,164.562,-405.5
83442456219,-59,115.688,-416.875
83442478797,-106.625,64.6875,-284.438
83442499973,-13.75,36.3125,-32.9375
83442516244,16.9375,-4.8125,37.9375
83442538696,39.625,-46.0625,169
83442559942,32.3125,-60.875,208.062
83442576720,24.8125,-73.5,200.375
83442598719,26.375,-80.6875,187.375
83442619897,31.3125,-80.625,168.125
83442626743,16.75,-89.375,162.312
83442643048,4.9375,-91.9375,161.062
83442664236,5.4375,-88.25,155.875
83442686670,4.1875,-86.375,149.625
83442703051,5.6875,-80.75,143.25
83442724080,9.375,-72.1875,135.312
83442746603,5.625,-67.4375,123.438
83442770547,-7.25,-55.5,100.438
83442784235,-15.375,-41.4375,66.6875
83442806559,-31.6875,-23.75,20.8125
83442822928,-27.75,15.125,-12.5
83442844298,18.3125,59.3125,-58.0625
83442866559,57.0625,103.188,-125.125
83442883033,74.375,137,-211
83442904090,37.1875,163.625,-308.25
83442926543,-19.8125,180.375,-386.062
83442943017,-63.1875,162.938,-401.188
83442966926,-110.188,104,-382.938
83442986663,-1.8125,61.6875,-224.688
83443003027,43.5625,18.6875,-23.6875
83443024244,55.875,-16.3125,14.125
83443046773,19.625,-54.375,147.75
83443063057,14.5,-65.375,155.562
83443084097,22.75,-66,135.75
83443106541,52.4375,-61.0625,104.625
83443123026,71.4375,-49.9375,72.375
83443144360,62.9375,-44.75,38.5625
83443166542,41.75,-43.5625,-1.1875
83443182990,5.9375,-44.375,-38.5
83443204278,-25.5625,-43.5,-72
83443226706,-35.1875,-39.375,-97.6875
83443241625,-25.1875,-30.5,-109.875
83443264289,-9.9375,-26.5,-120.625
83443295556,-4.1875,-30.375,-135.375
83443301515,-4.1875,-29.8125,-147.125
83443324205,-5.625,-24.8125,-155.25
83443346631,-12.4375,-22.75,-170.375
83443364488,-15.5625,-22.5625,-192.75
83443384203,-27.8125,-22.6875,-210.875
83443406557,-37.5,-12.4375,-214.188
83443422976,-34.8125,0.0625,-215.062
83443444104,-37.0625,3.25,-218.562
83443466583,-49.3125,1.3125,-221.25
83443483045,-65.625,3.5,-217.438
83443504089,-72.4375,13.25,-209.188
83443526791,-57.125,16.1875,-199.875
83443542968,-43.625,17.625,-192.812
83443564102,-34.3125,18.5,-188.75
83443586585,-21.5,19.5625,-186
83443603016,-15.5,21.5625,-181.062
83443624118,-10.6875,21.8125,-176.375
83443646644,-16.5625,21.8125,-170.5
83443663018,-25.875,24.3125,-163.938
83443687041,-24.4375,24.8125,-156.062
83443706524,-18.6875,24.4375,-146.625
83443724553,-16.5625,22.75,-134.875
83443744187,-20.5625,18.6875,-117.812
83443766576,-26.625,15.8125,-99.1875
83443784509,-30.9375,6.25,-77.625
83443804071,-30.6875,-3.6875,-54.5
83443826536,-41.1875,-3.8125,-20.9375
83443844500,-58.9375,-6.3125,3.8125
83443864098,-73.9375,-17.8125,24.25
83443886675,-71.9375,-23.875,29.375
83443904454,-24.625,-13.4375,26.25
83443924081,-4.1875,-0.75,11.9375
83443946526,-1.25,6.6875,-0.25
83443964450,-0.9375,9,-6.9375
83443991808,11.375,6.5,-7.3125
83444006584,25.9375,-0.9375,-4.6875
83444024451,34.375,-7.4375,0.25
83444044046,34.4375,-9.9375,3.75
83444066558,24.9375,-8.0625,4.75
83444090464,9.4375,-3.8125,4.4375
83444103983,-6.4375,0.25,3.375
83444126726,-16.625,2.0625,3.875
83444144409,-17.5,1.625,4.4375
83444164025,-9.9375,1.0625,4.625
83444186522,-3,0.4375,4
83444204407,-0.1875,-0.3125,3.125
83444225534,-1,-1.0625,2.8125
83444246511,-2.6875,-1.8125,1.625
83444264526,-2.5,-2.125,1.25
83444284029,0.125,-1.5625,0.875
83444306499,3.8125,-1.0625,0.875
83444325012,4.125,-0.6875,1.3125
83444344060,0.0625,-0.625,1.125
83444366516,-4.6875,-0.625,1.4375
83444390460,-5.0625,-0.75,1.5
83444405490,-2.75,-0.6875,2.0625
83444421913,-0.125,-1.4375,2.1875
83444444463,0.125,-1.8125,2.3125
83444465470,-1.3125,-2,1.4375
83444482064,-2.875,-1.25,1.0625
83444504400,-2.5,-0.4375,0.8125
83444533004,-0.9375,-0.3125,0.375
83444541878,-0.125,-0.375,0.9375
83444564484,1.1875,-0.625,0.75
83444585450,1.6875,-1,1.3125
83444601944,1.9375,-1.0625,1.625
83444624496,2.8125,-1.25,1.3125
83444645428,1.9375,-1.25,1.25
83444661913,0.75,-1.5625,1.5625
83444684414,-1.375,-1.3125,1.4375
83444712923,-1.875,-0.8125,0.8125
83444721912,-1.25,-0.625,0.8125
83444744378,0.375,-0.75,0.4375
83444766949,0,-1.25,0.5625
83444781924,-0.375,-1.5,0.375
83444804403,0.0625,-0.875,0.125
83444826894,0.5,-0.1875,-0.625
83444841982,-0.1875,0.5625,-0.125
83444864623,-1.25,0.1875,-0.125
83444886110,-1.375,-0.4375,0.1875
83444908720,-0.3125,-0.75,0.3125
83444923707,0.625,-0.75,0.0625
83444946148,1.125,-0.4375,-0.3125
83444967150,1.5625,-0.3125,-0.375
83444983748,1.3125,-0.3125,-0.125
83445006081,0.9375,-0.625,0.375
83445020488,0.4375,-0.625,0.8125
83445043663,0.375,-0.5,0.75
83445066049,-0.0625,-0.3125,0.6875
83445080573,-0.6875,-0.375,0.25
83445111106,-1.125,-0.4375,0.5
83445126114,-0.8125,-0.4375,0.9375
83445140435,-0.5,-0.5,1.25
83445163698,-0.8125,-0.1875,1.6875
83445186111,-0.8125,0,1.9375
83445200536,-0.5625,-0.125,2
83445223605,-0.0625,0,1.875
83445246138,-0.6875,0,2
83445267348,-0.3125,-0.0625,1.5
83445283717,0.4375,0.0625,0.8125
83445306201,1.875,0.0625,0.3125
83445327245,2.875,-0.125,0.0625
83445343654,3.375,0.25,-0.125
83445366102,3.0625,0.3125,-0.375
83445387375,2.5625,0.4375,-0.5
83445403668,2.375,0.5,-0.75
83445433723,1.9375,0.25,-0.8125
83445447128,1.5625,0.3125,-0.625
83445463740,1.75,0.0625,-0.625
83445486198,2.1875,-0.25,-0.375
83445507182,1.9375,-0.5625,-0.375
83445523649,1.625,-0.5,-0.5
83445546211,0.9375,-0.25,-0.75
83445567246,1.3125,0.125,-1.25
83445583683,3.3125,0.1875,-2.4375
83445606171,3.125,0.3125,-2.3125
83445628642,2.5,0.1875,-1.6875
83445643650,-1.0625,-0.125,-0.25
