timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83406305506,-1,0,-1,-1,-1,-2,-2,0
83406305506,-2,-1,0,-2,-2,0,-1,-1
83406307089,-1,-1,-1,0,0,1,1,-2
83406307089,0,-1,-2,-1,-2,-2,-1,-1
83406328021,0,-1,-2,0,-2,1,-2,-2
83406328021,1,-1,-3,-1,-2,0,-1,0
83406329696,-2,-1,0,-2,-1,-1,0,-1
83406329696,-1,-3,0,-2,-2,0,0,-1
83406343032,-2,-1,-2,0,0,-1,-1,0
83406343032,-2,-2,-1,1,0,0,-1,-2
83406344614,-2,-1,-1,-1,-1,-2,-2,0
83406344614,-1,0,-2,-1,-2,-1,-1,-2
83406356720,0,-1,-1,-2,-2,0,-1,-1
83406356720,-2,-2,-1,-2,0,0,-1,-1
83406365632,0,-2,-1,-1,-1,1,0,0
83406365632,0,0,0,-1,0,0,-1,-1
83406380490,-1,-3,-2,-2,0,-2,0,-3
83406380490,-2,-1,-1,-1,-2,-1,-1,-2
83406382075,-1,-2,-2,-1,-2,0,0,-1
83406382075,-1,-1,-2,-1,-1,-2,-1,0
83406402953,1,-2,-2,0,-1,0,0,-1
83406402953,0,0,0,-1,-1,-1,1,-1
83406404562,-2,-1,0,-3,-1,-4,-2,-1
83406404562,-1,-2,-2,0,-1,-2,-1,-2
83406416706,-2,0,0,-2,-1,-1,-2,0
83406416706,0,-2,-1,0,0,-2,-1,1
83406425628,-2,-1,-2,0,1,0,-2,-1
83406425628,0,-2,0,-2,0,-1,1,-2
83406440443,-2,0,-1,-1,-1,-1,-2,-1
83406440443,-2,0,0,0,-2,-1,-2,-1
83406442081,-3,-1,-1,-1,-1,-1,-1,-1
83406442081,-2,-2,-1,0,-1,-2,-2,0
83406463203,-1,-1,-2,-2,-1,0,-1,-1
83406463203,0,-1,-3,-2,0,0,0,-2
83406464649,-1,-1,-2,-1,-3,-1,-2,0
83406464649,-1,0,-3,-2,-3,-2,-1,0
83406476629,-1,-1,0,-2,-1,-2,0,-2
83406476629,-1,-2,-1,-1,-1,0,-1,-2
83406485641,0,0,0,0,-2,0,0,-1
83406485641,-1,1,-1,-1,0,0,0,-3
83406500467,-1,0,0,1,-3,-2,-1,0
83406500467,0,-3,-2,-2,-2,-2,-3,-1
83406502108,-2,-1,-2,-2,-1,0,0,0
83406502108,-1,0,-2,-1,-2,1,-2,-1
83406523017,-1,-1,-3,0,-1,-1,-1,-2
83406523017,-2,0,0,-2,0,-2,-3,-1
83406524732,-2,-1,0,-2,-2,-1,0,0
83406524732,-3,0,-2,0,-1,0,-1,0
83406536710,-1,-1,-1,-1,-1,-1,0,-2
83406536710,-1,0,-3,-1,0,-1,1,0
83406545695,0,-1,-2,-3,0,-1,0,-2
83406545695,-2,-1,0,-1,-1,-2,-1,-2
83406560652,0,-1,-2,-2,0,-2,0,-1
83406560652,0,-2,-1,-1,-1,-3,-2,-1
83406562126,-1,0,0,-1,0,-1,-2,-1
83406562126,0,-1,0,0,-1,-1,0,0
83406582966,-1,-1,-2,-1,1,0,-3,-2
83406582966,-1,-1,-1,-3,-1,-2,-2,-2
83406584592,-2,-1,-2,-1,-1,-2,0,1
83406584592,-2,-1,-2,-3,-1,-1,-1,-1
83406596591,-2,-1,-2,-2,-1,-1,-2,-1
83406596591,-2,0,0,-2,-1,-1,-1,-1
83406605686,-1,-2,-1,0,-1,-1,0,-2
83406605686,-1,-1,-1,0,-2,-2,-2,1
83406620497,-2,-1,0,0,-2,-1,-2,-1
83406620497,1,-1,0,-2,-2,-1,-1,-3
83406622153,0,0,0,-2,-2,-1,1,-3
83406622153,-2,-1,-2,-2,-1,-1,1,-1
83406642988,0,-2,-1,0,-1,0,-1,-1
83406642988,-1,-1,-2,-1,-2,0,-1,0
83406644596,-3,-2,-2,-1,0,0,-2,-2
83406644596,-1,0,-1,1,-1,0,-1,-2
83406656624,-2,0,-1,-3,-1,0,0,-1
83406656624,-2,0,-2,-1,0,-2,-1,-1
83406665564,-1,-1,-1,-1,-1,-1,-3,0
83406665564,0,-1,0,-1,1,-1,-2,-1
83406680474,-1,-2,0,-2,-1,-1,0,0
83406680474,0,0,-2,0,-2,1,1,-1
83406682079,0,0,0,-2,-1,-1,-2,-1
83406682079,0,-3,-1,-2,-1,-2,-1,-2
83406703078,-2,-2,-2,-3,-1,-1,-1,-2
83406703078,-1,-1,-2,-2,0,-1,1,-1
83406704670,1,-2,-2,0,-1,0,-1,0
83406704670,-1,-2,0,-2,-1,1,-1,-2
83406716821,-2,-1,-1,0,-1,-2,-1,-1
83406716821,0,-1,-2,-1,-1,-1,-2,0
83406725666,-1,0,-1,-1,-1,-3,-1,-1
83406725666,-1,-2,-1,-2,-1,-2,-3,1
83406740715,0,-2,0,-1,-2,0,-1,-1
83406740715,-1,-2,0,-1,-1,0,-1,0
83406742146,-3,-2,-1,1,-1,-2,-1,0
83406742146,0,-1,0,0,-2,-1,-3,-1
83406763244,-1,0,-1,-1,0,-2,-1,-2
83406763244,-1,-1,-2,-2,-1,-2,-1,0
83406764723,0,-1,-3,-2,0,-1,0,-1
83406764723,-1,-1,-2,0,-2,-3,0,-2
83406776580,-1,-1,-2,-4,-1,-2,-2,-3
83406776580,-2,-1,-1,-1,0,-1,-3,-1
83406785623,1,0,0,-1,-3,0,-1,-3
83406785623,0,-1,-2,-1,-1,0,-1,-1
83406800485,0,0,1,2,0,-1,-1,0
83406800485,-1,0,-2,-1,0,-1,-2,-2
83406802166,-2,-1,-4,-6,-2,-2,-1,-1
83406802166,-1,-1,-2,0,1,-1,-1,0
83406823082,-1,-1,0,-1,-1,-1,-1,-1
83406823082,0,0,1,1,-2,0,0,-1
83406824669,0,0,2,2,-2,-1,-1,-2
83406824669,-1,-1,0,-3,1,0,0,0
83406845543,0,-3,-5,-2,-5,-1,-3,0
83406845543,-2,-2,-1,-5,-2,-4,-2,0
83406847183,-3,-1,0,3,1,3,-2,-2
