timestamp,x,y,z
86219987973,-0.125,0.3125,0
86220004471,0.625,0.3125,0.1875
86220026969,0,0.4375,0.125
86220048011,-0.375,0.3125,-0.375
86220064427,-0.6875,0.5625,-0.375
86220086994,-0.5625,0.5,-0.3125
86220109429,-1.1875,0.4375,-0.1875
86220130497,-0.625,0.5625,-0.4375
86220146937,0,0.5625,-0.1875
86220176951,-0.5,0.6875,-0.0625
86220184447,-1.6875,0.75,-0.0625
86220206985,-2.8125,0.5625,-0.1875
86220229492,-2.125,0.5625,-0.25
86220243870,-0.9375,0.5625,0.3125
86220266940,-0.9375,0.5,0.4375
86220289464,-1.375,0.4375,0.375
86220303765,-2.3125,0.1875,0.4375
86220326907,-1.3125,0.3125,0.125
86220349480,-0.75,0.375,0.25
86220363824,-0.6875,0.25,0.1875
86220386996,-0.8125,0.125,0.4375
86220409483,-0.6875,-0.0625,0.25
86220423843,-0.375,-0.125,0.1875
86220446974,-0.1875,-0.125,0.25
86220469466,0,-0.125,0.25
86220483854,0.1875,-0.3125,0.5
86220506894,0.3125,-0.25,0.4375
86220529584,-0.1875,-0.3125,0.4375
86220550757,-0.125,-0.4375,0.125
86220566982,0.375,-0.5625,0.125
86220589549,1.0625,-0.5625,0.1875
86220610568,1.1875,-0.5,0.375
86220626972,1.3125,-0.5625,0.4375
86220649585,1.625,-0.625,0.0625
86220670759,1.5625,-0.5625,0.0625
86220694493,1.5,-0.5,0
86220709505,1.5625,-0.4375,0.1875
86220732460,2.4375,-0.5,0.3125
86220746998,3.625,-0.4375,0.5
86220769493,3.625,-0.625,0.9375
86220790625,3.5625,-1.75,3
86220806950,5.0625,-4.1875,7.5
86220837010,-6.3125,-5.5625,19.375
86220850574,-24,-7.875,38.6875
86220866348,-40.5625,-7.5625,64.5625
86220889470,-45.125,-8.125,86
86220910529,-35.25,-6.5625,117.25
86220926306,-17.75,-1,153.312
86220949411,-0.6875,5.875,195.562
86220970442,12.75,13.25,234.75
86220986314,25.75,25.5625,271.625
86221009499,28,40.75,307.625
86221031912,35.625,53.25,333.625
86221046374,55.5,62.125,350
86221069556,67.5,71.25,361.438
86221091976,73.6875,81.625,369
86221106328,81.375,93.25,367.875
86221129471,83.4375,98,355.812
86221151944,74.6875,97.6875,342.188
86221172988,67.9375,95.75,325.062
86221189441,63.8125,95.375,301.562
86221211988,61.25,92.9375,277.75
86221232986,48.1875,86.375,251.375
86221249472,21.9375,75.75,218.875
86221271944,5.0625,63.9375,186.812
86221293002,-5.8125,52.3125,150.5
86221309477,-20.0625,40.5625,110.375
86221331934,-38.875,34.1875,70.5
86221353010,-64.6875,21.875,33.125
86221370749,-102.5,11.8125,-4.3125
86221391912,-133.812,2.75,-43.1875
86221413028,-143.812,-9.4375,-83.1875
86221429481,-146.125,-25.5625,-130.5
86221451956,-136.562,-71.1875,-184.375
86221472988,-118.062,-105.375,-254.188
86221489494,-91.9375,-170.938,-308.125
86221511931,-76.75,-225.562,-382.062
86221532987,-77.1875,-282.875,-452.062
86221549432,-100.875,-324.312,-509.875
86221571993,-37.25,-316.75,-526.875
86221593092,229.375,-268,-425.625
86221609450,432.75,-246.062,-188.875
86221631934,368.625,-204.812,-25.5
86221653015,87.1875,-169.688,61.0625
86221669504,-136.562,-142.625,146.562
86221691927,-98.8125,-103.188,184.625
86221713016,44.8125,-83,203.688
86221728819,157.5,-53.75,213.375
86221751960,212.688,-19.125,238.375
86221773018,219.875,4.875,254.062
86221788749,184.562,18.5,258.312
86221811940,156.5,24.875,249.625
86221832995,165.375,36.25,234.688
