timestamp,x,y,z
83603863818,0.950195,-0.238281,-0.0180664
83603886217,0.940918,-0.233398,-0.0151367
83603905812,0.938477,-0.234863,-0.0161133
83603923705,0.954102,-0.243164,-0.0234375
83603946216,0.95166,-0.233887,-0.0200195
83603965757,0.943848,-0.233398,-0.0170898
83603983794,0.945312,-0.230957,-0.0161133
83604006202,0.944336,-0.230469,-0.0131836
83604033449,0.947754,-0.222656,-0.00927734
83604043764,0.941895,-0.228027,-0.0180664
83604066194,0.945801,-0.226562,-0.0175781
83604085827,0.953125,-0.23584,-0.0209961
83604103734,0.942871,-0.230469,-0.0166016
83604126233,0.939941,-0.233887,-0.0195312
83604145782,0.946289,-0.23291,-0.00927734
83604163705,0.943848,-0.231445,-0.0136719
83604186204,0.950684,-0.227539,-0.0112305
83604205788,0.944336,-0.231445,-0.00927734
83604223755,0.940918,-0.229492,-0.00683594
83604246255,0.94873,-0.227539,-0.0200195
83604265832,0.946289,-0.238281,-0.0200195
83604283706,0.947754,-0.23584,-0.019043
83604306246,0.938965,-0.237793,-0.0180664
83604325877,0.941406,-0.23584,-0.0180664
83604343735,0.947266,-0.22998,-0.0200195
83604366184,0.94873,-0.22998,-0.0175781
83604385819,0.949707,-0.241699,-0.0107422
83604403717,0.94873,-0.249512,-0.012207
83604426207,0.945312,-0.256836,0.0078125
83604445772,0.941406,-0.259277,0.0371094
83604463691,0.964355,-0.305176,0.0610352
83604486213,0.988281,-0.303223,0.0737305
83604505770,0.984863,-0.298828,0.0834961
83604523772,0.994629,-0.37793,0.0976562
83604552997,1.01562,-0.538574,0.0947266
83604566688,1.00732,-0.685059,0.0361328
83604589154,1.00195,-0.834473,-0.0371094
83604605455,0.997559,-0.918945,-0.103027
83604626658,0.912109,-0.956055,-0.163574
83604649058,0.839355,-1.0957,-0.214355
83604665504,0.725098,-1.27881,-0.211914
83604686485,0.601562,-1.4707,-0.231445
83604710425,0.490234,-1.55273,-0.201172
83604725457,0.32666,-1.56201,-0.131348
83604756903,0.226074,-1.57715,-0.124023
83604762379,0.137207,-1.56396,-0.111816
83604785366,0.109375,-1.5708,-0.0922852
83604806681,0.130859,-1.50586,-0.0932617
83604822341,0.132812,-1.41699,-0.0678711
83604845523,0.163086,-1.27393,-0.0654297
83604866595,0.267578,-1.09082,-0.0605469
83604882295,0.362305,-0.959473,-0.0654297
83604905394,0.405273,-0.823242,-0.0551758
83604927956,0.460938,-0.641602,-0.0205078
83604942377,0.49707,-0.538574,0.034668
83604965388,0.53125,-0.441895,0.0839844
83604987964,0.568359,-0.276367,0.118652
83605002297,0.581543,-0.193848,0.138184
83605026970,0.560059,-0.177734,0.144043
83605047898,0.521973,-0.229492,0.151855
83605069043,0.456055,-0.327148,0.138672
83605085390,0.374023,-0.430176,0.109375
83605108025,0.284668,-0.510254,0.0585938
83605129044,0.211914,-0.640137,0.0371094
83605145366,0.144043,-0.794922,0.00927734
83605167998,0.0302734,-0.955078,0.0297852
83605189216,-0.124023,-1.21729,0.105469
83605205490,-0.408691,-1.52783,0.0249023
83605227942,-0.789551,-1.88721,0.337891
83605249236,-0.291504,-1.9209,0.196777
83605273017,0.199219,-2.23779,-0.100098
83605289443,1.23975,-2.32617,-0.467285
83605309184,0.874023,-2.40527,-0.500488
83605325360,-0.00244141,-2.02051,-0.182617
83605347960,-0.435547,-1.6958,0.166992
83605369226,-0.547363,-1.77979,0.505371
83605385501,-0.369629,-1.80469,0.617676
83605408023,-0.0849609,-1.61865,0.568848
83605429208,0.034668,-1.37988,0.481934
83605445138,0.0820312,-1.14404,0.390625
83605467988,0.0332031,-0.879395,0.317383
83605489204,-0.0766602,-0.776855,0.260742
83605505388,-0.128418,-0.762207,0.229492
83605527904,-0.157227,-0.70752,0.168945
83605548951,-0.220215,-0.544922,0.140625
83605565445,-0.274902,-0.384277,0.0615234
83605587956,-0.336426,-0.291992,-0.0771484
83605609014,-0.379883,-0.299805,-0.224121
83605624840,-0.464844,-0.250488,-0.36084
83605647917,-0.583984,-0.16748,-0.484375
83605669001,-0.61084,-0.144043,-0.54248
83605684778,-0.491699,-0.237793,-0.546875
83605707939,-0.391113,-0.432129,-0.537598
83605729237,-0.419434,-0.419434,-0.53125
83605744842,-0.42334,-0.336426,-0.577637
83605767951,-0.354004,-0.417969,-0.56543
83605790481,-0.269531,-0.543945,-0.474609
83605804761,-0.25,-0.708008,-0.353027
83605827894,-0.335449,-0.90332,-0.189453
83605850472,-0.306641,-1.1084,-0.134277
83605864782,-0.145508,-1.23193,-0.145508
83605887981,0.019043,-1.39111,-0.129883
83605910499,0.0458984,-1.49268,-0.210938
83605924822,0.112305,-1.4458,-0.297852
83605947884,0.642578,-1.19775,-0.402832
83605970528,1.06836,-0.759766,-0.205078
83605991709,1.43262,-0.434082,0.504883
83606007904,1.50781,-0.65625,1.12842
83606030418,1.23486,-1.37695,1.29199
83606051642,1.08252,-2.09326,0.896484
83606067921,0.721191,-1.69775,0.476562
83606090473,0.630371,-1.0874,0.214844
83606111522,0.35498,-0.956055,0.16748
83606127883,0.316895,-0.956055,0.125
83606150437,0.282715,-0.872559,-0.0078125
83606171453,0.213379,-0.834961,-0.0947266
83606187921,0.179199,-0.852539,-0.165039
83606210364,0.191406,-0.802246,-0.23584
83606231501,0.210938,-0.740723,-0.238281
83606247929,0.244629,-0.691406,-0.234863
83606270394,0.28418,-0.65332,-0.233887
83606291474,0.328125,-0.660645,-0.222168
83606307941,0.334473,-0.705566,-0.200195
83606337883,0.333496,-0.748047,-0.166992
83606351450,0.358887,-0.76709,-0.133789
83606367885,0.379395,-0.793945,-0.0986328
83606390414,0.388672,-0.837891,-0.0664062
83606411462,0.389648,-0.885742,-0.0615234
83606427880,0.409668,-0.88623,-0.0688477
83606450423,0.444336,-0.902344,-0.0927734
83606471467,0.482422,-0.893555,-0.0869141
83606495360,0.549805,-0.82666,-0.078125
83606510373,0.607422,-0.809082,-0.0786133
83606531530,0.640625,-0.85791,-0.0620117
83606547270,0.674316,-0.893066,-0.0527344
83606570366,0.715332,-0.899902,-0.0776367
83606591436,0.742676,-0.887695,-0.111328
83606607239,0.758301,-0.789062,-0.104492
83606630355,0.765137,-0.734375,-0.122559
83606651467,0.792969,-0.674805,-0.117676
83606667268,0.837402,-0.647949,-0.0913086
83606697903,0.857422,-0.627441,-0.0854492
83606711455,0.871094,-0.598633,-0.10498
83606734096,0.882324,-0.575195,-0.102539
83606750376,0.881836,-0.5625,-0.131836
83606772912,0.902832,-0.462891,-0.0712891
83606787240,0.941895,-0.479004,-0.0786133
83606810431,0.966797,-0.464844,-0.0517578
83606832920,0.953613,-0.388184,-0.0107422
83606847248,0.973145,-0.331055,-0.0322266
83606870427,0.984863,-0.276367,-0.0371094
83606892913,0.956055,-0.271484,-0.00830078
83606913984,0.925781,-0.282715,-0.0185547
83606930410,0.933105,-0.292969,0.00146484
83606952928,0.930176,-0.304688,-0.0136719
83606973970,0.930664,-0.270996,-0.0180664
83606990369,0.924316,-0.246582,-0.0258789
83607020432,0.933594,-0.268066,-0.00634766
83607033934,0.95752,-0.27002,0.00146484
83607050411,0.993652,-0.263184,0.0356445
83607072906,0.985352,-0.302734,0.0341797
83607093986,0.991699,-0.336914,0.074707
83607110403,0.992676,-0.281738,0.0478516
83607132892,0.947754,-0.196289,0.0444336
83607153930,0.923828,-0.20459,0.00146484
83607170380,0.938965,-0.216797,-0.027832
83607192915,0.91748,-0.217773,-0.0327148
83607213901,0.917969,-0.208008,-0.0439453
83607230394,0.943848,-0.194336,-0.0410156
83607252903,0.936035,-0.172852,-0.0273438
83607274031,0.943848,-0.164062,-0.0361328
83607290422,0.969238,-0.172852,-0.0327148
83607312880,0.955566,-0.197754,-0.0126953
83607333966,0.956543,-0.223633,-0.00292969
83607350400,0.964844,-0.221191,0.0117188
83607372943,0.960938,-0.226074,0.0141602
83607393919,0.942871,-0.223145,0.00488281
83607410398,0.925781,-0.234863,-0.00537109
83607432894,0.919434,-0.249512,-0.00976562
83607453911,0.941895,-0.254395,-0.0209961
83607470387,0.959473,-0.249023,-0.0239258
83607492909,0.95166,-0.25,-0.0322266
83607513934,0.938477,-0.237305,-0.0332031
83607530403,0.931641,-0.221191,-0.019043
83607552911,0.928223,-0.22168,-0.0151367
83607573989,0.937988,-0.231445,-0.00390625
83607590376,0.94873,-0.239746,-0.00537109
83607619024,0.960449,-0.242188,-0.0078125
83607635427,0.970703,-0.231934,-0.00390625
83607650377,0.970215,-0.219238,-0.00830078
83607672844,0.95459,-0.219727,-0.00830078
83607693904,0.943359,-0.239258,-0.0126953
83607710405,0.938965,-0.248047,-0.0209961
83607732884,0.931641,-0.248535,-0.0205078
83607762929,0.928711,-0.240723,-0.0253906
83607770398,0.942383,-0.242676,-0.0219727
83607792899,0.947754,-0.25293,-0.0151367
83607815370,0.951172,-0.263672,-0.0146484
83607830401,0.955078,-0.247559,-0.0131836
83607852855,0.953613,-0.242676,-0.00537109
83607875438,0.949219,-0.235352,-0.00244141
83607889710,0.948242,-0.239746,-0.00683594
83607912862,0.953125,-0.231445,-0.0180664
83607935419,0.952148,-0.238281,-0.0170898
83607949762,0.938965,-0.225098,-0.0239258
83607972881,0.939941,-0.228027,-0.0253906
83607995402,0.94873,-0.237305,-0.0283203
83608009677,0.946777,-0.246582,-0.0273438
83608032951,0.947754,-0.248535,-0.0239258
83608055411,0.939941,-0.22998,-0.0102539
83608077888,0.94043,-0.225586,-0.00878906
83608092864,0.940918,-0.240234,-0.00732422
83608115427,0.944824,-0.23877,-0.0224609
83608129737,0.942383,-0.237305,-0.0209961
83608152891,0.95166,-0.245605,-0.0244141
83608175867,0.950195,-0.238281,-0.0170898
83608189733,0.943359,-0.221191,-0.0258789
83608212879,0.947266,-0.23291,-0.0239258
83608242959,0.940918,-0.236816,-0.0209961
83608256477,0.948242,-0.243164,-0.0195312
83608272911,0.951172,-0.250488,-0.0166016
83608295350,0.940918,-0.242676,-0.0229492
83608316384,0.944336,-0.23584,-0.0136719
83608332959,0.937012,-0.248535,-0.012207
83608355387,0.941895,-0.244141,-0.0136719
83608376425,0.94873,-0.233887,-0.0175781
83608393372,0.941895,-0.23877,-0.0170898
83608415442,0.942871,-0.243652,-0.012207
