timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83603862104,4,4,1,-1,0,-2,0,7
83603862104,-2,1,-1,-2,-1,-1,-1,3
83603862963,0,-19,-5,-4,-1,-2,-2,-13
83603862963,-7,13,3,1,1,-1,-1,4
83603884587,2,0,0,-1,-1,0,-1,1
83603884587,-2,-5,0,-1,-2,-1,-3,1
83603885377,2,0,0,-1,-1,-1,0,0
83603885377,-3,-9,-5,-1,-2,-1,-2,-4
83603898955,-13,-5,-2,0,0,-1,0,-5
83603898955,10,-11,-5,-10,-3,-2,-1,21
83603899721,-10,-1,-1,-1,0,1,0,-2
83603899721,-9,-12,-2,1,-1,-1,-2,-5
83603922108,3,6,3,-1,-1,1,-1,3
83603922108,-3,-1,0,2,0,-1,0,-7
83603922878,0,3,3,2,-2,0,-1,2
83603922878,-4,-1,-6,-4,-2,-1,0,-1
83603944578,8,-1,0,-4,-2,-2,-1,0
83603944578,-4,7,0,0,0,-1,-1,-2
83603945383,3,-3,-1,2,0,-1,0,-2
83603945383,-3,4,0,1,0,-1,0,5
83603958942,0,-10,-4,-4,-2,1,-1,-6
83603958942,-4,-3,1,2,0,-1,1,0
83603959719,-3,-3,-4,2,0,-1,-2,-6
83603959719,1,1,-2,-1,-2,-2,-4,4
83603982125,-1,7,5,3,0,-1,-1,-3
83603982125,-14,-29,-9,-10,-2,0,-3,-23
83603982856,11,1,1,6,0,-1,-1,13
83603982856,-2,-3,-1,-6,-1,0,1,-4
83604004605,-2,1,-1,2,-1,-1,0,1
83604004605,1,9,-1,-2,-2,0,-1,1
83604005360,-3,2,5,0,0,-3,-1,-1
83604005360,-8,3,0,-3,-1,-2,-2,-2
83604018860,-1,22,0,-1,-1,-2,-2,1
83604018860,6,-2,0,-1,-1,-1,0,2
83604019697,-1,2,-4,-5,-2,-1,-2,0
83604019697,3,3,1,2,0,-2,-1,1
83604042098,10,0,-4,-6,-2,-1,0,1
83604042098,-26,-9,-4,-1,-2,-2,-1,-8
83604042883,-3,-3,-5,-1,-2,-2,-2,-19
83604042883,7,-11,2,2,-1,0,-3,-1
83604064620,-13,0,-3,-4,0,0,-2,-2
83604064620,9,-28,-1,4,-1,-2,0,5
83604065338,-2,5,0,-3,0,-1,-2,7
83604065338,6,-5,0,0,-2,0,0,-4
83604078918,-6,-7,-3,-3,-2,-2,-2,-4
83604078918,0,14,-2,6,-2,0,-2,2
83604079754,-1,6,-2,-6,-2,0,0,-2
83604079754,-9,-3,-1,2,-2,-2,-1,5
83604102104,3,-4,-1,-6,-1,-2,-1,11
83604102104,6,11,1,0,0,0,-3,-9
83604102931,0,-7,-3,-2,-3,0,0,6
83604102931,0,4,-1,-1,-2,-1,-2,-9
83604124582,-2,-4,0,-1,-2,0,-3,-18
83604124582,-10,8,-1,-10,-2,-1,1,-1
83604125387,-1,-3,-2,5,-1,1,1,-1
83604125387,-5,-3,4,0,1,-1,0,-7
83604138930,8,9,0,-2,-4,-3,-2,7
83604138930,8,-6,1,-1,0,-1,-3,0
83604139689,-16,1,-4,-5,-3,0,-3,-2
83604139689,-9,-7,-5,-3,-1,-2,-2,-2
83604162044,-9,-9,-3,2,0,-2,-3,5
83604162044,-5,0,1,2,0,-1,-1,-4
83604162864,2,-7,-3,-6,-2,-2,0,11
83604162864,4,8,0,2,-1,0,-2,-3
83604184568,-10,3,-2,-1,0,-2,0,-6
83604184568,-23,-12,-8,-2,-3,-3,-2,-17
83604185354,17,17,7,6,2,-1,-1,-4
83604185354,-1,1,-4,-7,0,1,1,-1
83604198979,1,-2,0,3,-1,-2,-2,-4
83604198979,0,7,2,1,0,-1,0,4
83604199714,-1,-1,-1,0,0,-2,-1,0
83604199714,-5,-5,-1,0,-1,-1,-1,-10
83604222122,5,-6,-1,-3,-1,0,0,5
83604222122,-3,5,-2,-1,1,0,0,-3
83604222955,7,-6,-4,-2,-2,-2,-3,-4
83604222955,6,23,-1,-1,0,-3,-1,3
83604244625,-1,-1,1,3,-2,-1,1,1
83604244625,7,5,1,0,-2,1,-1,3
83604245387,-8,-6,-1,-2,-1,-1,0,-6
83604245387,0,1,0,1,-1,-2,-1,1
83604258944,2,0,-3,0,-2,-1,0,1
83604258944,-2,-2,-1,-3,0,-2,-2,-16
83604259732,-6,-7,-1,0,-3,-2,-1,4
83604259732,1,-2,-2,0,-3,-2,-1,0
83604282141,-2,-3,-2,-2,-1,0,-1,-1
83604282141,14,0,0,0,0,-1,2,8
83604282834,-8,2,-7,-9,-1,-1,-1,-9
83604282834,10,1,3,2,-2,0,1,14
83604304646,-23,-4,-2,-3,-2,-1,-1,0
83604304646,10,9,5,8,0,-1,-1,3
83604305414,6,3,1,0,-1,0,0,-1
83604305414,0,-8,-6,-9,-2,0,-2,-3
83604318916,5,2,-1,8,2,0,1,-2
83604318916,-2,-2,-4,-5,-3,-2,-1,7
83604319706,-3,10,0,0,-1,-1,1,2
83604319706,-6,-20,-3,-2,-2,-2,-2,-18
83604342149,5,-5,0,-4,-3,-3,-3,1
83604342149,-4,8,0,0,-2,1,-1,-9
83604342958,-1,-6,-3,-1,-1,0,-2,0
83604342958,-10,-3,-2,-1,-3,-3,-4,0
83604364585,4,0,-3,-1,0,0,0,-2
83604364585,-3,-5,0,1,1,-1,-1,2
83604365361,-5,-2,7,-3,-1,0,-2,1
83604365361,3,-4,0,20,0,0,0,2
83604378901,-12,-1,1,-4,0,-3,0,0
83604378901,3,-1,-6,-11,-1,-1,-3,4
83604379711,-1,-7,-5,6,2,-1,0,0
83604379711,-3,-1,11,6,1,-1,-1,0
83604402186,7,2,1,13,3,0,0,-3
83604402186,2,-3,-11,-1,-5,-5,1,2
83604402864,2,-7,-5,7,2,-1,-3,1
83604402864,-9,-1,11,21,-2,-1,1,-2
83604424581,-2,5,1,-48,-11,-1,-4,-2
83604424581,-3,-4,-5,-4,-1,-1,-4,1
83604425405,1,1,1,16,3,-2,1,-3
83604425405,12,2,-5,-1,-2,-2,1,7
83604438950,8,-2,0,10,5,2,-1,-1
83604438950,-7,0,6,4,7,7,3,3
83604439715,-4,-5,-4,-17,-16,-4,0,-5
83604439715,4,2,5,9,0,-3,-5,-6
83604462094,-11,2,-11,-18,-5,-12,-3,-2
83604462094,11,-11,4,14,10,0,2,-1
83604462849,5,-4,2,35,17,2,-5,-12
83604462849,-10,-4,1,-46,-9,10,9,0
83604484609,41,-1,-3,13,-2,-1,11,8
83604484609,-91,-12,-12,-39,6,-8,-20,-31
83604485391,7,0,1,-9,-10,-8,2,-1
83604485391,27,8,4,17,16,-3,-8,-2
83604498902,25,7,0,0,4,24,11,17
83604498902,51,-10,12,-3,-22,-14,-1,14
83604499726,-70,-10,-16,0,-9,-4,-1,-19
83604499726,-13,0,0,-20,-2,-8,-3,-4
83604522317,2,-1,13,14,7,-2,6,9
83604522317,24,5,-6,21,4,-4,-4,14
83604522918,6,2,7,-8,5,5,-3,-10
83604522918,11,-3,6,16,-13,-7,16,19
83604552267,-24,-5,-16,10,-12,3,-8,-18
83604552267,9,10,13,-3,7,16,11,14
83604553750,-1,-3,-3,-54,-2,-8,3,5
83604553750,-1,-10,-14,37,12,1,-12,9
83604558480,-7,-7,3,-37,0,-9,-4,-6
83604558480,-13,1,-12,-35,-30,-12,0,2
83604567376,7,0,-1,2,-3,-11,4,2
83604567376,-23,-1,-18,-23,-1,12,-5,-40
83604580790,67,14,2,-13,3,-23,-11,5
83604580790,-89,-4,7,34,10,1,8,-42
83604589762,14,-8,16,19,9,46,-7,63
83604589762,47,5,-21,-25,-2,-26,13,55
83604604683,-36,-26,-1,9,-20,7,-14,-34
83604604683,7,5,-9,-14,-6,-19,-20,-13
83604606236,19,3,-3,4,-2,-2,25,-10
83604606236,-37,1,3,-20,1,0,-4,-60
83604618387,30,5,-4,20,8,37,1,23
83604618387,47,0,0,2,4,22,-7,14
83604627249,10,3,-3,-19,-19,-46,-19,-7
83604627249,-3,-4,1,-1,-15,38,-4,1
83604640733,-52,-8,-5,29,-12,-102,-35,-19
83604640733,12,-1,4,-4,-4,48,18,-42
83604649715,-16,5,0,6,14,29,12,13
83604649715,-23,-1,1,6,20,-11,-10,-17
83604664873,15,-5,0,-6,-32,18,18,80
83604664873,19,1,-5,6,3,-22,-29,-52
83604666271,-22,-6,-6,-7,9,14,14,39
83604666271,25,2,4,-13,-27,-22,-25,-16
83604678339,-54,-15,-10,-3,15,53,45,9
83604678339,33,17,-3,-2,3,34,-1,-21
83604687303,6,-27,-12,-9,-19,-89,-31,-30
83604687303,-6,-4,-1,7,-13,-57,-5,6
83604709730,-3,1,3,-25,-13,1,-10,-29
83604709730,-1,7,9,21,8,30,16,-7
83604711235,12,15,8,16,25,60,0,-12
83604711235,-51,-27,-2,-1,-8,52,-12,12
83604724617,13,-1,-2,1,14,-30,30,5
83604724617,19,3,2,6,15,-31,10,40
83604726219,7,0,-4,-8,-4,-20,-13,-12
83604726219,16,10,5,4,-3,0,0,0
83604756134,-7,6,-5,-14,8,24,-21,-15
83604756134,-28,-10,-7,-25,-27,-30,24,42
83604757708,30,-14,-4,29,5,-16,-13,-6
83604757708,15,16,8,5,34,60,7,20
83604761543,-8,-15,1,-10,-33,-46,-24,18
83604761543,7,2,10,73,61,-35,-8,13
83604768215,-36,-18,-6,-44,-32,18,0,-33
83604768215,-6,0,-3,-7,-22,-24,14,42
83604784538,-5,11,7,-8,9,23,-6,-38
83604784538,19,-2,-3,-25,-13,13,6,35
83604786330,7,12,7,42,25,1,2,-18
83604786330,17,-1,-6,-13,-10,0,2,8
83604798436,52,-1,-8,5,10,1,0,19
83604798436,-57,-14,-9,-19,-16,-41,-10,0
83604807285,8,6,-2,2,11,33,-5,-4
83604807285,-1,-4,-8,-22,-5,4,8,0
83604821618,7,6,-5,20,-7,-36,-8,-10
83604821618,10,2,-2,-8,-12,24,-4,-2
83604828477,-20,4,-3,-13,-16,-10,-1,6
83604828477,9,4,2,-37,13,-9,-6,-8
83604844773,-26,-9,3,57,26,15,-4,-55
83604844773,-11,-2,-1,15,-2,10,7,16
83604846268,-34,-5,-1,-5,-14,-18,-14,-47
83604846268,32,26,1,-9,9,-3,1,-21
83604858477,-31,3,2,-17,-14,21,3,-11
83604858477,-28,-29,4,3,-8,-10,-11,-29
83604867297,17,10,1,-14,-8,-10,-11,-20
83604867297,16,-2,-3,19,4,1,24,29
83604881673,-1,-4,6,22,5,-4,-11,7
83604881673,34,23,-8,-19,0,-1,11,16
83604888479,4,-2,3,-3,2,5,12,1
83604888479,-42,-13,-8,-14,-3,-2,-9,-37
83604904563,42,9,-3,29,10,-3,-7,-1
83604904563,-74,-15,-12,-49,-25,-7,-8,-15
83604906184,15,24,7,-2,-4,5,-1,8
83604906184,4,-2,-2,-8,-4,-12,-10,-36
83604927254,1,-3,-15,-9,7,5,9,27
83604927254,24,-2,8,0,6,2,-10,-5
83604928817,-5,6,-1,10,-16,1,3,13
83604928817,-29,-12,3,-2,-11,-9,-12,-69
83604941764,4,3,-8,15,5,1,6,23
83604941764,2,-4,-2,-8,-2,4,-1,-19
83604948332,3,-8,-2,-3,16,-1,8,102
83604948332,0,2,-3,-6,-15,-4,-6,-16
83604964593,-13,-15,-9,-79,-18,-2,-6,-33
83604964593,6,1,3,45,8,-2,5,21
83604966186,31,10,3,1,1,-1,-1,-50
83604966186,-14,-5,-4,21,8,5,-7,15
83604987112,70,14,0,-30,1,2,11,15
83604987112,-83,-2,11,-18,-9,-3,1,-13
83604988785,-1,-27,-8,-11,-5,-2,1,-20
83604988785,25,-3,-9,21,2,-5,1,13
83605001501,-14,-7,-2,10,23,3,-1,22
83605001501,33,3,14,16,-15,-4,-6,-49
83605008277,7,11,-9,-7,0,-2,-5,1
83605008277,0,-2,5,14,13,-2,12,24
83605026037,-24,-1,11,35,-14,-3,-3,-14
83605026037,27,0,-11,-1,21,3,1,11
83605027733,-23,-11,-10,-17,-20,-5,-5,-12
83605027733,1,-2,3,-10,-3,-4,1,8
83605047197,-12,2,-4,19,7,1,2,-5
83605047197,-9,3,-1,-15,7,-2,-15,-41
83605048797,0,0,-11,-4,2,3,4,1
83605048797,31,0,6,-6,0,0,9,20
83605060789,-14,-4,5,1,7,1,-2,-21
83605060789,-21,24,-9,14,-11,-4,-11,-13
83605069760,7,-10,2,-5,9,-2,6,57
83605069760,-24,-26,-8,-11,-5,-4,-4,7
83605084568,-11,11,24,-32,-7,-1,-4,23
83605084568,59,-2,-5,30,-28,-7,1,28
83605086191,-48,-5,8,23,26,0,-4,-21
83605086191,-9,5,2,45,0,-1,-1,-2
83605107252,15,6,-2,-59,-17,-2,2,28
83605107252,-16,-5,-7,-11,0,0,6,-17
83605108798,6,-8,10,8,-3,-2,-9,-80
83605108798,56,4,0,18,16,2,10,53
83605120915,-59,-41,-8,8,-7,0,-5,-44
83605120915,72,23,-4,-8,6,3,14,127
83605129774,-69,5,-3,-23,-22,-6,-19,-100
83605129774,-3,-11,11,-5,-5,1,15,42
83605144614,50,9,-22,11,6,1,-10,-29
83605144614,-44,-24,-12,-30,5,3,8,33
83605146184,53,2,1,12,1,-3,-1,24
83605146184,18,-2,0,-4,4,0,-6,-22
83605167143,23,45,-21,-17,-19,-5,5,92
83605167143,-64,-67,23,-1,-2,-13,-32,-26
83605168738,20,-19,-16,8,7,10,27,94
