timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
115716627169,-1,-1,-2,0,0,1,-1,0
115716627169,1,-1,-1,0,0,-1,-4,1
115716629234,0,0,-2,-3,-1,-1,-2,-1
115716629234,0,-1,-4,-2,0,0,0,-2
115716629931,-1,0,-1,-1,-1,-2,0,-2
115716629931,-4,-3,-2,0,-1,0,0,-1
115716631438,2,1,2,1,0,0,-1,-1
115716631438,-1,-2,1,0,-1,0,-1,-2
115716639217,-1,-2,-2,-1,-1,0,-1,0
115716639217,-2,0,0,0,-1,1,1,-2
115716646204,0,-3,-1,-1,-1,-2,-3,-1
115716646204,1,-2,-2,-2,-1,-1,0,0
115716657725,0,-1,0,0,-2,-1,-1,-1
115716657725,0,-1,-2,-1,0,-1,-1,-1
115716669835,-2,-2,-2,-2,-1,-3,-1,-2
115716669835,0,0,-1,0,-2,-1,-1,-1
115716676211,-2,0,-1,-1,-1,-2,-2,-3
115716676211,-2,-5,-1,-3,-2,-2,-1,-1
115716685161,0,2,-2,-3,0,1,-1,-1
115716685161,-3,-2,0,-3,-2,-1,0,-1
115716699963,0,-2,0,-1,-2,-1,-1,-1
115716699963,0,-1,0,-4,-1,-3,-2,2
115716706432,-1,-1,-1,0,-1,-1,-1,-2
115716706432,-1,0,-2,0,-2,-1,-1,-1
115716745070,1,1,-1,-1,0,-2,-1,-1
115716745070,-11,-14,-5,-1,2,-3,-3,-3
115716753071,6,1,0,0,-1,0,-1,0
115716753071,-1,0,-1,-1,-2,-1,-1,0
115716753882,-1,-1,-2,-2,-2,-1,0,-1
115716753882,2,1,0,-2,-1,0,0,-1
115716755532,-3,-2,-1,-1,0,-1,-2,-2
115716755532,-4,-5,-1,-1,0,1,0,-2
115716766016,2,4,-1,0,-2,0,0,-1
115716766016,1,0,-1,2,1,0,-1,0
115716775074,-2,-3,-1,0,0,0,-1,-1
115716775074,2,1,-1,-1,0,-1,-1,-1
115716781063,-4,-3,-1,-2,-1,-2,-2,-1
115716781063,0,2,-1,-1,0,0,-1,-3
115716796065,-3,0,-3,-2,-1,1,0,-1
115716796065,0,-3,-1,-2,-1,-1,-2,0
115716803552,-2,-3,-2,-2,0,0,-1,-1
115716803552,2,4,1,-1,-3,-2,-2,-1
115716812602,-10,-7,0,-1,-2,-2,-1,0
115716812602,5,2,0,1,0,-2,-1,0
115716826120,-2,-2,2,1,-2,1,-1,-1
115716826120,0,3,-1,-2,-3,0,-1,1
115716835064,-5,-3,-2,-1,0,-2,0,-1
115716835064,-2,3,-3,3,-2,-3,0,-3
115716841261,-1,0,-2,-3,0,-1,0,-2
115716841261,-3,-3,-2,0,-1,-3,-1,-1
115716856310,1,0,-1,-2,-1,2,-2,0
115716856310,-4,-4,-2,-2,-2,0,2,0
115716863682,2,0,-1,0,-1,-3,0,-1
115716863682,-2,0,0,-2,-2,-1,-2,-1
115716872586,1,-2,-2,-1,-1,-3,-1,-2
115716872586,1,1,0,2,-2,0,-4,0
115716886137,-3,-3,0,0,-1,-1,-1,-1
115716886137,1,-1,-1,0,0,-1,0,1
115716895333,1,2,0,-1,-1,-3,0,-2
115716895333,1,4,-2,-1,-1,-3,-1,-2
115716901291,-3,-10,-2,-2,-1,-2,0,-3
115716901291,0,-6,-2,-4,-2,-2,0,-1
115716916340,-1,-1,2,1,-2,2,-1,2
115716916340,0,2,1,-2,-1,2,-1,-2
115716923675,-3,0,0,0,-1,1,-2,-1
115716923675,-1,-3,-2,-1,-3,-1,0,0
115716932635,-3,-4,-4,3,-1,-1,1,-1
115716932635,-8,-6,-2,-4,-1,-2,-3,-2
115716946342,3,2,1,0,-2,-1,0,1
115716946342,-2,0,0,0,-1,-1,-1,-1
115716955110,2,2,-1,-1,-1,-3,-1,-1
115716955110,-4,-3,-1,1,-2,-2,-2,-2
115716961109,0,-2,-3,1,-2,-2,-2,0
115716961109,-2,0,-2,-2,0,-2,-1,-2
115716976171,-1,0,-2,-1,0,0,0,0
115716976171,-3,-6,-1,-1,1,0,0,0
115716983553,-2,-4,0,-2,-2,0,-2,0
115716983553,0,1,-3,-1,-1,0,-1,0
115716992598,0,1,0,-1,-1,-2,-4,0
115716992598,-2,-5,-2,-3,-3,0,0,0
115717006118,1,2,0,-1,-1,-1,-2,-3
115717006118,-3,-2,-1,-3,0,-2,-1,-3
115717015019,0,-1,-3,-2,0,0,0,-1
115717015019,1,3,0,-1,0,-1,1,0
115717021074,-2,-1,-2,-2,2,-3,0,1
115717021074,0,-2,-2,-2,-1,1,-1,0
115717036096,0,-1,-1,1,-1,-3,-1,-4
115717036096,-8,-4,-1,-1,-3,0,-1,-2
115717043674,8,3,-1,-1,1,-2,-1,0
115717043674,-3,-3,-1,0,1,-2,0,-2
115717052653,-4,-3,-2,-3,-2,-2,-1,-2
115717052653,0,1,0,-2,-2,-2,0,-1
115717066375,-5,-1,-2,5,-1,-3,-3,-2
115717066375,0,2,-1,-1,-2,-1,-3,-2
115717075082,-3,-1,-1,-3,-1,1,-1,-2
115717075082,1,1,-2,-3,-1,-2,0,0
