timestamp,x,y,z
81769507219,-0.0625,0.75,-0.125
81769529613,-0.1875,0.4375,-0.1875
81769552094,0.0625,0.375,0
81769566482,0.125,0.375,-0.1875
81769589591,0.125,1.125,-0.5
81769612156,1.5,0.75,-0.3125
81769626517,2.0625,0.75,-0.25
81769649775,1.5,0.625,-0.1875
81769672258,-0.375,-0.125,0.0625
81769686551,-1.875,-0.5,-0.125
81769709764,-0.3125,-0.1875,-0.25
81769732216,2.125,0.25,-0.375
81769746491,3.1875,0.375,-0.375
81769769713,1.9375,-0.125,0
81769792168,0.5,-0.375,-0.25
81769806511,0.75,-0.0625,-0.4375
81769829597,2.375,-0.125,-0.4375
81769852131,3.625,0.0625,-0.5
81769866508,2.9375,-0.125,-0.3125
81769889689,1.875,-0.5625,-0.0625
81769912253,1.25,-0.625,0.1875
81769933434,1.3125,-0.6875,0.125
81769949720,1.9375,-0.375,-0.125
81769979769,2.75,-0.25,-0.125
81770000765,2.75,-0.0625,-0.0625
81770009626,1.9375,-0.25,-0.125
81770033050,1.25,-0.625,-0.125
81770053177,2.1875,-0.5625,-0.3125
81770069723,3.8125,-0.4375,-0.625
81770092207,3.8125,-0.25,-0.9375
81770113392,2.375,-0.1875,-1.1875
81770129703,-2.375,-1.1875,-0.75
81770152223,-8.5625,-0.3125,-0.125
81770173432,-9.875,3.5625,2.5
81770188996,-19.8125,11.0625,5
81770212160,-37.6875,17.5625,11.5
81770233487,-42.875,21.8125,20.8125
81770249027,-36.3125,24.9375,33.75
81770272213,-23.125,28.5625,58.25
81770293225,-11.0625,26.375,84.9375
81770309012,-18.125,21.25,124.938
81770332136,-33,12.875,173.312
81770362298,-39.125,-1.3125,221.125
81770369064,-26.625,-14.5625,267.375
81770392208,0.0625,-27.4375,307.125
81770414799,28.1875,-37.125,340.312
81770429074,47.75,-45.4375,370.25
81770452240,61.125,-55.25,394.375
81770474694,66.4375,-60.375,419.188
81770495802,78.0625,-61.125,430.75
81770512177,91.875,-66.4375,437.125
81770534674,100.062,-70.25,432.625
81770555657,105.188,-71.9375,422.438
81770572106,112.312,-68.125,413.125
81770594641,106.562,-60.5625,400.688
81770616072,91.1875,-58.1875,385.312
81770632147,80.1875,-56.875,358.125
81770654604,86.625,-58.3125,329.062
81770675442,91.375,-50.1875,297.938
81770692145,84.75,-44.5,264.812
81770714601,67,-50.125,228.938
81770735784,41.9375,-65.5,173.562
81770752156,10.0625,-65.0625,140.875
81770774690,17.9375,-59.1875,114.75
81770795786,26.1875,-36.875,89.6875
81770812083,19.8125,-40.3125,53.625
81770834684,6.8125,-32.375,33.8125
81770855968,4.6875,-14.1875,22.375
81770872152,7.125,-6.4375,6.8125
81770894796,2.375,-3.4375,-5.1875
81770915740,-3.75,-1.75,-4.8125
81770932153,-7,-0.4375,-0.25
81770960785,-8,1,2
81770975540,-4.8125,2.3125,5.75
81770992230,-2.8125,3.6875,10
81771014740,-7.0625,8.3125,4.375
81771035711,-4.375,19.3125,-10.5
81771053043,13.125,46.875,-41.5625
81771078767,52.8125,85.8125,-96.1875
81771095734,68.625,102.5,-188.875
81771111481,21.3125,105.625,-303
81771134739,-50,92.75,-407.25
81771155714,-125.312,52.875,-403
81771178230,-86.375,27.375,-260.75
81771194627,12.9375,-18.875,-55.375
81771215733,54.3125,-33.75,54.5625
81771231476,73.25,-27.375,149.188
81771255085,32.625,-23.6875,176.5
81771283425,-10.0625,-21.5,128.25
81771291504,0.1875,-14.8125,105.438
81771314626,17.3125,-9.875,88.8125
81771337191,4.9375,-8.6875,67.8125
81771351482,-38,-14.5625,43.0625
81771374632,-83.875,-23.5,37.3125
81771397114,-76.25,-26.125,58.5625
81771418326,-32.5,-29.625,67.5
81771434702,-8.0625,-31.6875,73.875
81771457180,0.5,-26.0625,84.8125
81771478188,-0.5,-23.125,85.5625
81771494792,-9.25,-25.5625,75.375
81771517121,-21.25,-24.3125,53.0625
81771538260,-26.1875,-19.3125,22.375
81771554589,-36.5,-18.375,-8.9375
81771577237,-60.5625,-16.0625,-44.75
81771598186,-79.5625,-8.6875,-83.5625
81771622159,-89.3125,0.5,-120.375
81771637238,-95.6875,8.3125,-154.125
81771658182,-102.812,11.125,-187.75
81771674699,-114.188,10.125,-223.25
81771697127,-128.625,17.125,-255.438
81771718406,-133.062,33.5,-280.75
81771734688,-115.5,48,-291.188
81771757157,-104.875,42.1875,-304.188
81771778274,-112.938,31.875,-302.688
81771794721,-113.438,40.375,-293.438
81771817200,-87.5,58.875,-291.625
81771838149,-63.0625,60.125,-293.188
81771854694,-65.1875,48.9375,-293.688
81771877132,-69.8125,41.875,-294.125
81771898170,-69.875,46.1875,-289.875
81771914615,-64.6875,50.3125,-285.125
81771937160,-66.8125,49.4375,-282
81771958188,-64.75,49.3125,-283.125
81771974010,-56.875,47.875,-276.25
81771997165,-48.3125,48.125,-264.125
81772018203,-37.25,43.8125,-252.688
81772033992,-30.125,41.0625,-257.625
81772057109,-14.125,40.5625,-248.375
81772078156,14.1875,42.6875,-227.5
81772094001,25,41.125,-199.5
81772117195,-16.5,38.125,-172.938
81772138424,-70.6875,37.9375,-148.188
81772154027,-92.75,42.0625,-127.375
81772177140,-81.5625,43,-108.625
81772198205,-58.6875,38.6875,-92.375
81772214071,-45.125,31.8125,-76
81772237150,-41.875,24.625,-60.3125
81772259685,-40,17.5625,-45.0625
81772274052,-36.5625,10.8125,-31.5625
81772297160,-25.5625,4.625,-19.8125
81772319693,-11.5625,-1.3125,-9.4375
81772340800,-1.8125,-7.5,-0.5
81772357268,5.1875,-13.25,5.6875
81772379762,10.4375,-16.9375,9.5
81772400738,16.5625,-17.8125,10.4375
81772417193,18.875,-17.75,11.9375
81772439940,14.9375,-18.5625,14.625
81772460810,9.75,-18.6875,15.1875
81772477157,3.0625,-13.25,11.1875
81772499765,0,-1.1875,3.8125
81772520803,-1.9375,12,-4.5
81772537136,-3.6875,14.625,-10.25
81772559607,-7.9375,8.625,-7.25
