timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
84014342788,19,3,-2,-1,0,-2,-4,-32
84014342788,12,0,-5,0,1,0,1,-25
84014344422,6,9,4,1,0,1,3,37
84014344422,-30,-12,-1,2,-2,0,0,0
84014365250,7,10,1,-5,-3,1,0,0
84014365250,-14,-12,0,-4,0,-2,-3,-14
84014366848,-2,-12,-3,-4,-2,-3,-2,-11
84014366848,6,-9,-5,-5,-1,0,-3,-6
84014378929,10,2,9,10,1,2,2,8
84014378929,2,0,-3,-4,-3,-3,-1,17
84014387962,-3,-10,-5,-4,-2,-2,-1,11
84014387962,-9,1,-1,-2,0,-1,2,0
84014402753,-1,-1,1,-3,1,-1,-4,6
84014402753,1,-36,-3,-2,-1,0,1,10
84014404398,9,5,2,2,-1,0,-2,-4
84014404398,-7,3,1,0,-3,0,0,-11
84014425260,9,-3,-5,-5,-2,-1,-1,6
84014425260,-4,11,0,-3,-2,-1,1,21
84014426893,-10,-11,-5,3,1,-1,-3,19
84014426893,-15,-12,-3,-4,-5,-5,-8,-12
84014438932,-5,-1,-2,-1,0,-1,2,8
84014438932,-2,5,-1,0,-2,-1,-1,2
84014455653,-5,28,0,-4,-4,-2,-7,-20
84014455653,-12,-8,-1,-1,-1,-2,0,2
84014462825,15,-5,-5,-1,-2,-1,-2,2
84014462825,-13,5,2,8,1,-2,-5,-21
84014464353,4,-26,-5,-9,-2,1,0,-1
84014464353,2,27,-2,2,-4,-1,1,1
84014485466,-5,9,2,0,2,-1,-3,-5
84014485466,-44,-15,-3,-4,-1,-1,-4,-8
84014486908,-4,2,-4,1,1,-1,0,-7
84014486908,10,4,1,-1,1,1,2,7
84014499639,-7,-9,-3,2,-4,-3,-1,23
84014499639,1,10,-1,-1,-1,-3,0,-1
84014506410,-6,-2,-1,-4,-1,-2,-1,-12
84014506410,-9,-9,-5,-2,-1,0,0,12
84014522722,-12,-6,-3,-5,-3,-2,0,-13
84014522722,20,-1,-1,2,0,0,-3,-1
84014524326,-9,-8,0,-2,0,1,-1,-8
84014524326,3,-1,1,-2,-2,-1,-4,-26
84014545485,-1,-4,0,-5,-1,-1,1,6
84014545485,-3,-1,-2,-4,1,-2,-5,-50
84014547032,25,-16,1,8,-1,-4,2,-17
84014547032,4,17,4,5,4,0,1,6
84014559005,-6,19,1,-9,-2,-1,-2,-1
84014559005,5,3,0,4,-3,-2,2,10
84014567991,12,9,-1,-4,-1,0,-2,-12
84014567991,-6,2,-1,-3,-2,-1,-1,-10
84014582883,-2,-2,3,3,-1,-1,4,39
84014582883,5,0,-1,-5,0,0,1,2
84014584458,-8,3,-1,-6,-2,-1,-1,3
84014584458,8,19,-1,5,-1,0,0,5
84014605322,-8,-12,-2,0,1,-2,-1,-9
84014605322,4,12,0,3,-3,0,2,13
84014606913,-15,12,-2,-6,-2,-2,-2,7
84014606913,-10,-12,-4,-1,-1,-3,-7,-12
84014619631,16,2,0,6,2,2,0,-16
84014619631,-8,-3,1,-3,3,1,2,18
84014626462,-19,-13,-5,4,-1,-2,-6,-10
84014626462,8,1,5,-2,0,2,-1,-7
84014642492,2,5,-5,0,-2,-3,-2,69
84014642492,-3,-11,-4,3,0,-1,-3,14
84014648887,7,7,2,-2,-2,2,3,1
84014648887,0,-11,-1,-4,-2,-1,1,17
84014665268,-23,-11,-6,1,-2,-3,-4,-18
84014665268,4,23,1,-3,-2,-1,-1,-2
84014666882,-3,-5,-1,5,1,-2,0,10
84014666882,-1,-6,-1,-8,0,-1,0,-7
84014679632,-3,1,-2,-2,-2,-1,-2,-24
84014679632,-23,-28,-6,3,-3,-2,-4,-11
84014686355,-3,-1,-4,-12,-3,-2,-1,-12
84014686355,-2,-5,-1,1,-1,-2,-1,7
84014702763,-3,-3,-1,-1,0,-1,1,-12
84014702763,-8,8,5,-5,-1,0,-1,11
84014704390,-3,-6,3,12,2,-1,0,11
84014704390,2,1,1,-1,-1,-1,1,-1
84014725376,1,6,-3,-11,-1,-2,0,-8
84014725376,13,-4,-3,-1,-2,-2,-1,-3
84014726901,-9,-5,-3,-12,-5,-1,-1,-10
84014726901,0,3,0,12,-1,-2,-1,1
84014738959,2,-6,-1,-15,-1,1,-2,-13
84014738959,1,-9,0,20,0,-4,-1,-2
84014748054,10,12,2,-3,2,0,-1,3
84014748054,2,-5,0,-8,-1,1,1,3
84014762977,2,-8,-8,9,-3,-1,-3,-5
84014762977,0,1,-2,-7,6,4,2,1
84014764399,-6,-3,6,13,-4,-7,-2,0
84014764399,-2,0,-4,2,-1,0,0,-2
84014785364,2,-2,3,-20,2,-5,-1,-10
84014785364,17,3,2,-6,-5,1,-1,-2
84014786943,-4,-2,-2,16,3,0,-3,-5
84014786943,-3,-11,-6,-10,2,0,1,0
84014799138,-3,-9,-4,7,-12,0,-2,-5
84014799138,-1,-3,-2,2,2,-4,0,1
84014807987,5,-6,3,12,0,-1,-3,0
84014807987,-3,-1,-5,-8,-4,-3,-6,-3
84014830305,-9,-1,-1,11,7,1,0,-2
84014830305,-5,-5,0,-26,-9,3,-2,-7
84014831963,0,1,-1,-4,-4,-2,-7,-2
84014831963,1,-3,-1,12,3,2,6,5
84014845503,0,-3,0,-5,2,-3,0,-10
84014845503,6,-16,-4,6,-2,-5,-4,4
84014846913,-8,3,-1,-18,0,10,3,-2
84014846913,-9,-4,-2,11,-6,-14,-1,-11
84014859060,-24,-17,4,5,-1,-3,-10,-14
84014859060,4,10,0,5,2,-3,3,16
84014868012,9,-7,-8,-38,1,0,0,-8
84014868012,9,-1,0,-6,-5,4,-4,5
84014890292,1,6,1,-5,-3,-1,3,0
84014890292,-6,-1,2,5,-2,6,-2,-12
84014891882,-6,-5,-3,5,5,0,-9,3
84014891882,-3,11,-1,-7,-4,4,8,3
84014905250,8,2,-4,-12,-3,-16,-5,4
84014905250,-1,-1,0,24,-3,4,0,-5
84014906855,1,-1,0,11,1,10,8,7
84014906855,-2,17,2,7,6,-3,-9,-7
84014918922,15,4,7,-7,-4,3,-8,-19
84014918922,-22,-15,-15,-17,-5,-13,0,3
84014927878,-3,10,-1,-6,2,-3,-4,-10
84014927878,-2,-6,-3,0,2,-8,3,8
84014942140,-1,-2,1,0,-2,8,6,1
84014942140,3,4,3,-9,-4,-1,-5,0
84014948915,1,0,-6,10,0,4,5,-6
84014948915,4,-8,-2,-15,-13,-8,-8,-1
84014972762,-2,0,0,24,18,6,1,9
84014972762,-7,5,-1,10,-10,0,2,2
84014974379,-4,-1,-1,10,7,3,2,10
84014974379,-12,-6,-1,-9,-1,-3,-2,-6
84014978908,1,-1,-2,-6,-9,10,1,4
84014978908,-11,1,-2,1,9,-2,-14,-9
84014995415,0,-1,-8,-8,-9,-31,10,-57
