timestamp,roll,pitch,yaw
82473848451,-1.61864,-1.34174,2.47344
82473863592,-1.61864,-1.34174,2.47344
82473888492,-1.61839,-1.34155,2.47315
82473908594,-1.6174,-1.34128,2.47275
82473923567,-1.61639,-1.34113,2.47234
82473947297,-1.6164,-1.3415,2.47219
82473968765,-1.6164,-1.3415,2.47219
82474013652,-1.61541,-1.34123,2.47179
82474024269,-1.61443,-1.34097,2.4714
82474030227,-1.61443,-1.34097,2.4714
82474045097,-1.61441,-1.34108,2.47139
82474070275,-1.61416,-1.34089,2.4711
82474099297,-1.61416,-1.34089,2.4711
82474125902,-1.61365,-1.34111,2.47081
82474143509,-1.61268,-1.34073,2.47043
82474150522,-1.61268,-1.34109,2.47027
82474164043,-1.61268,-1.34109,2.47027
82474186551,-1.61244,-1.3409,2.46999
82474210501,-1.61242,-1.34066,2.47013
82474224859,-1.61093,-1.34048,2.46901
82474248207,-1.60918,-1.34023,2.4676
82474270592,-1.6079,-1.33975,2.46661
82474285096,-1.60686,-1.33921,2.46605
82474308097,-1.6034,-1.338,2.46358
82474330778,-1.59729,-1.33675,2.45923
82474344959,-1.59191,-1.33443,2.45508
82474368137,-1.58917,-1.32981,2.45283
82474398147,-1.58944,-1.32337,2.45301
82474411575,-1.58887,-1.31252,2.45343
82474428013,-1.58796,-1.2996,2.45563
82474450535,-1.59076,-1.28332,2.46322
82474471559,-1.59946,-1.26331,2.47787
82474488004,-1.61262,-1.23891,2.49786
82474510539,-1.62928,-1.2108,2.52153
82474531749,-1.65011,-1.17816,2.54972
82474548057,-1.67123,-1.14077,2.58
82474570764,-1.68839,-1.09982,2.60857
82474591804,-1.70358,-1.05427,2.63665
82474608101,-1.71765,-1.00419,2.66389
82474630810,-1.72923,-0.950283,2.69017
82474659163,-1.73946,-0.893109,2.71626
82474668189,-1.74634,-0.832957,2.74148
82474690770,-1.74928,-0.770128,2.76716
82474711704,-1.74905,-0.704118,2.79311
82474727635,-1.74784,-0.634532,2.81884
82474750571,-1.7462,-0.562733,2.84523
82474771774,-1.74371,-0.489708,2.87247
