timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82176881995,7,-3,-4,2,-2,-2,-2,4
82176881995,-2,4,-3,-5,-2,-1,-4,6
82176883758,13,-2,-2,0,-1,0,-2,-18
82176883758,-1,2,1,0,0,-1,0,2
82176904536,-1,-11,-2,-3,-2,1,-1,1
82176904536,0,9,1,-5,-1,-1,-1,1
82176906172,-8,6,-2,2,-2,-1,-2,2
82176906172,-3,-8,-3,1,1,0,-2,-4
82176918913,0,0,1,-2,-2,-1,1,-3
82176918913,-6,-7,-1,-1,-2,-2,-1,-5
82176925742,-1,-5,-1,-7,-2,-3,-2,6
82176925742,0,2,0,0,-2,-1,0,-3
82176942012,1,1,-3,1,1,-2,-3,2
82176942012,-1,-8,-6,2,-2,-3,-2,-4
82176943714,-1,-9,1,9,2,0,0,2
82176943714,0,-1,-3,-12,-3,-3,0,0
82176964577,-4,-5,0,0,-1,-2,-1,-2
82176964577,-17,-11,-8,-18,-4,-3,-2,-4
82176966177,1,-3,1,8,-1,1,0,2
82176966177,-4,-1,-1,-1,-2,0,-2,-2
82176978893,6,4,-1,0,-2,-1,-1,-3
82176978893,-8,-34,-3,0,-3,0,-1,-2
82176985762,-4,-6,-1,-3,0,-1,0,2
82176985762,1,2,-2,-7,-2,0,-2,-1
82177009536,-5,-5,-1,-2,-2,-2,-1,-1
82177009536,1,9,2,3,0,-1,0,-1
82177011144,1,-4,-3,-1,0,-1,-1,0
82177011144,-4,-8,0,4,-1,0,-3,-2
82177024718,1,-6,-6,-3,-1,-2,-3,-2
82177024718,6,10,5,4,1,0,0,0
82177026345,2,-3,-2,-7,-1,-4,1,0
82177026345,-4,2,-4,4,-1,-1,-1,-1
82177038816,-2,-2,-1,-5,-3,-1,0,0
82177038816,-2,-2,0,2,-1,0,-1,1
82177045694,-5,-4,-3,-2,-4,-2,-3,-3
82177045694,1,-25,-5,2,1,0,-2,-1
82177062075,-3,0,1,-2,0,0,-2,-1
82177062075,0,2,-1,-2,0,-1,1,-1
82177063721,-3,-1,0,1,-1,-2,0,-1
82177063721,-1,4,0,-1,0,-1,0,-1
82177084473,1,4,-1,-2,-2,-1,-1,1
82177084473,-6,-16,-3,2,-1,-1,-1,-4
82177086131,-4,-5,-7,-8,-4,-3,1,0
82177086131,0,6,2,-2,-2,-2,-1,0
82177099063,-1,0,-3,7,-1,-1,0,-3
82177099063,3,10,0,-2,-1,-1,-1,1
82177105824,-1,-3,-1,1,0,0,-2,-3
82177105824,-3,-2,-2,-8,-2,-1,-2,0
82177122091,11,6,2,-1,-2,0,-1,1
82177122091,-25,-14,-7,-1,-1,-3,-4,-4
82177123760,-3,-5,0,-2,0,0,-1,0
82177123760,5,11,2,5,1,-2,-1,-2
82177144523,0,3,2,0,-1,-1,-2,-1
82177144523,6,6,-5,-3,-4,-1,-1,-2
82177146119,1,0,1,-2,-1,-1,-1,0
82177146119,-5,-4,-4,-7,-2,-2,0,0
82177158870,-5,-6,-2,-2,-1,-1,0,0
82177158870,12,18,4,5,-1,-1,1,1
82177165721,-3,-1,-1,-1,-3,-1,-3,0
82177165721,9,3,0,1,-1,-1,-2,-1
82177182006,-2,-5,-2,-2,-2,-2,-1,0
82177182006,3,4,0,-2,0,-1,0,1
82177183682,4,16,0,0,-1,0,0,-1
82177183682,-5,-9,1,-1,-1,-1,-1,-4
82177204552,-2,0,-2,0,0,1,-2,0
82177204552,-3,0,-1,-3,-2,1,-2,1
82177206161,-4,-1,-2,-2,-1,-1,0,-2
82177206161,-4,-3,-2,-1,0,-3,-1,1
82177218881,-4,-3,-1,-2,-1,-3,-1,-3
82177218881,3,-2,1,0,0,-1,-1,-1
82177225620,0,-6,-1,0,-1,-4,0,2
82177225620,1,2,-3,-2,-1,-1,0,-2
82177242044,1,-4,-2,-2,-1,-1,-1,-2
82177242044,2,-1,0,1,-1,1,-2,-2
82177243586,0,-4,1,-4,-1,0,-1,-3
82177243586,-2,1,-1,0,-2,-1,-1,-1
82177264566,-4,2,-2,-2,-1,-2,-2,-1
82177264566,-1,-3,-1,-3,-2,0,0,1
82177266218,-2,-5,-2,1,-1,0,-2,-3
82177266218,-2,1,0,2,-1,0,-1,-1
82177279137,-1,-1,1,-11,1,-1,0,-2
82177279137,1,-1,-4,-8,-2,-1,-2,0
82177285919,0,-2,-1,8,0,0,0,1
82177285919,-3,-25,-3,-10,-5,-3,0,-1
82177302120,-2,-2,-2,5,-1,-2,-1,0
82177302120,-1,0,-1,1,-1,-1,0,-1
82177303771,1,0,-1,16,7,0,-2,-2
82177303771,-2,2,-5,-40,-20,-3,-3,-4
82177324840,-1,0,1,6,4,-2,0,0
82177324840,-2,-3,2,6,4,1,2,-1
82177326254,-1,-5,-6,-66,-11,-1,-2,-1
82177326254,-3,4,1,28,4,-3,-2,-2
82177338188,1,-1,3,13,6,0,-1,1
82177338188,0,5,-1,-19,-2,-2,-1,0
82177347232,-1,-1,3,37,-4,-3,0,1
82177347232,-1,3,0,22,9,0,0,1
82177362112,-3,-1,-5,-20,-12,4,-2,-3
82177362112,-27,-4,-5,2,4,-3,-4,-3
82177363819,-4,-3,-2,-4,2,0,1,-2
82177363819,3,3,-2,31,-3,-2,-3,0
82177384754,-4,2,-3,-29,-4,-2,-3,-2
82177384754,3,-4,0,5,0,-8,0,-3
82177386203,-4,-12,-8,-21,-8,5,-3,-2
82177386203,-5,5,3,28,6,-8,-5,-8
82177398319,4,1,7,32,16,5,7,9
82177398319,1,-11,-16,-89,-38,-7,-7,-4
82177407318,1,3,1,19,4,-4,0,2
82177407318,3,0,-4,-17,1,3,-3,-2
82177422135,-4,-4,-2,4,1,-3,-1,-5
82177422135,5,4,5,22,8,5,7,6
82177423730,0,2,0,-1,-5,-2,-2,0
82177423730,-5,-3,-1,-16,2,6,-2,-3
82177444758,5,4,-1,-13,-2,-1,3,2
82177444758,1,-1,1,46,-3,-9,-7,0
82177446209,-3,-3,-4,-1,2,4,6,4
82177446209,3,2,0,-5,1,5,-5,-7
82177458425,-3,-7,-4,-9,-11,-16,2,13
82177458425,4,-21,-1,16,3,-4,-8,-4
82177467234,2,4,2,-2,6,-6,-2,-2
82177467234,-9,-1,-3,-23,-6,-4,-4,-4
82177482271,-2,-2,-1,5,2,21,-1,-8
82177482271,3,3,0,16,13,10,4,-8
82177483698,2,3,0,13,-10,-16,-8,8
82177483698,-5,-7,-7,-41,-16,-9,11,5
82177504714,2,0,-1,29,9,0,-8,1
82177504714,-1,4,6,19,12,5,2,-2
82177506218,-1,-4,-5,-1,2,18,2,-1
82177506218,3,3,4,26,4,-17,-3,1
82177518474,-6,-6,-10,-33,-19,-10,-6,-5
82177518474,-2,4,-4,-32,-12,-9,-14,-23
82177527217,-6,-4,0,10,7,-2,-4,9
82177527217,3,0,-4,-16,0,11,6,11
82177542291,0,0,1,7,-2,-13,15,-7
82177542291,-2,5,0,3,6,25,0,4
82177543694,3,5,2,1,-4,-20,-3,-4
82177543694,2,0,2,14,2,8,-10,-9
82177564681,-3,-3,0,5,4,-6,-10,12
82177564681,-27,-1,-5,-44,-25,-13,-8,-7
82177566236,-5,-6,-2,10,7,0,10,-3
82177566236,1,-1,-1,-4,0,11,7,22
82177578182,-2,5,3,10,10,12,-3,-13
82177578182,6,1,0,0,3,-3,-2,1
82177587236,-6,-6,-2,20,4,20,7,-6
82177587236,1,7,-7,-52,-25,-35,-13,-15
82177601389,-2,-1,3,25,1,-16,2,-10
82177601389,6,12,-1,1,9,2,-3,14
82177608196,1,-4,1,10,1,0,-6,-11
82177608196,-1,3,-2,8,-3,-4,11,1
82177624547,0,-3,-1,-1,7,9,-6,5
82177624547,5,1,2,0,3,9,4,6
82177626133,-4,6,-3,-34,-3,10,4,-18
82177626133,-3,-7,0,14,7,3,0,6
82177638196,2,4,4,0,-20,-17,-18,-12
82177638196,-2,-7,-8,14,-3,-12,16,20
82177647193,3,-1,-1,-19,-5,3,-6,-6
82177647193,-2,-6,-4,13,3,8,-1,-3
82177661412,0,-4,-4,-10,5,9,7,9
82177661412,3,-1,3,4,-3,-11,-11,-5
82177668190,1,-1,-1,3,-1,-8,4,-7
82177668190,-2,2,-2,-10,-7,-9,-2,-9
82177684564,-30,-20,-5,-8,-2,-6,-1,3
82177684564,0,-3,-2,9,4,4,0,-10
82177686187,0,2,-1,-12,1,-5,-5,15
82177686187,-2,3,9,7,2,10,5,-9
82177698176,4,4,-2,-7,0,18,-8,-2
82177698176,-3,-7,-1,12,-3,-6,9,2
82177707189,-3,-5,-3,9,-3,-19,-9,-1
82177707189,-2,-3,-2,-3,2,-3,-4,1
82177721515,3,-2,-6,-13,-10,-7,-2,-5
82177721515,4,2,11,13,13,-1,5,15
82177728234,-2,3,-7,-8,-2,37,10,-22
82177728234,5,0,4,35,12,8,-5,3
82177744737,1,2,-8,-8,-10,-51,-14,-2
82177744737,1,2,-1,-8,-3,5,6,-9
82177746240,-1,1,2,4,4,4,-11,1
82177746240,-6,-23,1,-2,1,3,-2,-11
82177758275,2,-2,-3,-20,-18,10,8,3
82177758275,2,2,-2,18,10,0,8,-3
82177767261,0,-5,-1,6,-9,1,-1,21
82177767261,-3,1,-7,-10,-2,0,0,-6
82177781611,-1,2,5,3,8,-16,-26,-17
82177781611,-2,-5,0,3,-11,-4,-3,33
82177788459,1,-1,-2,-1,-3,7,13,-2
82177788459,1,5,7,9,6,3,-3,-2
82177804830,0,0,1,18,-5,13,14,6
82177804830,-1,-2,-7,-7,0,-2,-13,-11
82177806189,0,3,16,4,19,-33,-18,29
82177806189,1,2,1,-25,-37,-3,5,1
82177827159,-2,-2,-3,7,17,10,14,16
82177827159,-3,-2,-6,-26,-13,-2,-16,-25
82177828768,3,1,0,21,8,18,19,28
82177828768,0,-16,6,21,19,6,3,-8
82177841496,1,2,-5,-20,-7,14,7,-6
82177841496,3,0,1,5,3,-2,13,27
82177848386,-8,-4,3,-19,-11,-25,-22,-33
82177848386,-1,9,-5,-12,-2,-14,6,19
82177864536,-1,-3,-4,5,-2,8,-16,-20
82177864536,-6,-5,-8,-10,-4,14,3,-17
82177866220,1,0,1,-2,6,-38,13,-10
82177866220,4,5,-6,-33,-12,22,-9,25
82177887181,-5,-4,5,31,1,-16,-27,-26
82177887181,12,3,-5,-58,5,4,29,78
82177888762,-9,-8,-17,23,-14,10,-15,-31
82177888762,-2,-1,-6,-22,3,11,13,7
