timestamp,x,y,z
82656480111,0.948242,-0.23877,0.00585938
82656503939,0.941406,-0.243652,0.0102539
82656518908,0.947754,-0.242188,0.00390625
82656541487,0.946777,-0.239258,-0.000976562
82656562768,0.94873,-0.243164,-0.000488281
82656577774,0.944336,-0.248535,-0.00439453
82656601420,0.942383,-0.244629,-0.00195312
82656655567,0.94043,-0.244141,0
82656656315,0.949219,-0.245605,0.00341797
82656663691,0.944824,-0.240723,0.00683594
82656676461,0.944824,-0.239258,0.00390625
82656698466,0.950195,-0.243652,0.00292969
82656721392,0.944824,-0.243164,0.00292969
82656765095,0.931641,-0.234863,0.00439453
82656775211,0.943359,-0.242676,0.00146484
82656781529,0.955566,-0.255371,0.00244141
82656796543,0.945801,-0.253418,0
82656819043,0.941406,-0.249512,0.00732422
82656848205,0.937012,-0.24707,0.0141602
82656864659,0.940918,-0.266602,0.00878906
82656887430,0.933594,-0.267578,0.0239258
82656909855,0.944824,-0.296387,0.0224609
82656924687,0.954102,-0.284668,0.0253906
82656947248,0.956055,-0.274902,0.0351562
82656969930,0.947754,-0.297852,0.0273438
82656984136,0.953613,-0.354004,0.00146484
82657007253,0.951172,-0.433594,-0.0146484
82657029792,0.948242,-0.478027,-0.0561523
82657051005,0.938965,-0.508301,-0.0751953
82657067222,0.915039,-0.507812,-0.0776367
82657089933,0.913086,-0.554688,-0.14209
82657110964,0.881836,-0.632812,-0.145996
82657127241,0.850586,-0.746582,-0.1875
82657149776,0.850098,-0.823242,-0.217285
82657170917,0.784668,-0.860352,-0.256836
82657187298,0.712891,-0.914062,-0.272949
82657209716,0.674316,-0.935547,-0.291992
82657230975,0.565918,-0.966309,-0.282715
82657247031,0.49707,-0.961914,-0.276855
82657269811,0.441895,-0.983887,-0.28418
82657290963,0.341309,-0.940918,-0.257812
82657307375,0.266113,-0.959961,-0.240723
82657329844,0.198242,-0.94043,-0.212891
82657350842,0.172852,-0.895508,-0.192871
82657367233,0.125,-0.863281,-0.165527
82657389801,0.0844727,-0.800781,-0.121094
82657410969,0.0722656,-0.790527,-0.109863
82657427245,0.0224609,-0.750488,-0.090332
82657449940,-0.00390625,-0.728516,-0.0849609
82657470956,-0.03125,-0.716309,-0.0761719
82657486594,-0.0541992,-0.722656,-0.0649414
82657509810,-0.0825195,-0.754883,-0.0566406
82657530837,-0.165039,-0.783691,-0.0546875
82657547241,-0.231934,-0.74707,-0.0537109
82657569796,-0.145996,-0.802734,-0.0380859
82657590716,-0.16748,-0.975098,-0.0820312
82657606676,-0.102539,-0.852051,-0.197754
82657620337,0.186523,-1.76221,-0.454102
82657642599,0.0102539,-1.44141,-0.260254
82657657856,-0.669922,-1.10889,0.0219727
82657680147,-0.0356445,-1.36719,-0.228516
82657695108,0.0463867,-1.16943,-0.132812
82657717578,-0.290527,-0.937988,-0.220703
82657740039,-0.203613,-1.07568,-0.148438
82657757993,-0.248047,-1.08105,-0.114258
82657777546,-0.229492,-0.883301,-0.0869141
82657800333,-0.253418,-0.796875,-0.0800781
82657818152,-0.26416,-0.779297,-0.0751953
82657837603,-0.242188,-0.740234,-0.0854492
82657860223,-0.216309,-0.730957,-0.0913086
82657878114,-0.231934,-0.730469,-0.0761719
82657897587,-0.265625,-0.724609,-0.0849609
82657920192,-0.280273,-0.715332,-0.0761719
82657938002,-0.275391,-0.745117,-0.0576172
82657957639,-0.288086,-0.822266,-0.0263672
82657980323,-0.277344,-0.882324,-0.015625
82658002705,-0.224121,-0.91748,-0.0410156
82658017791,-0.0473633,-1.02295,-0.0859375
82658040107,0.027832,-1.70508,-0.302734
82658058075,0.508301,-1.76562,-0.195312
