timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
84069107510,-4,-2,-1,-1,-2,-1,0,-1
84069107510,-3,0,1,-2,-2,0,-1,-3
84069108286,-6,-2,-1,-3,-2,-2,-2,0
84069108286,-2,0,-1,-3,-2,-3,-1,0
84069121726,-1,0,0,-1,-1,-2,0,0
84069121726,-1,-1,-2,0,-1,-2,-1,-3
84069129389,-1,-1,-1,0,-2,0,-1,-2
84069129389,-1,0,0,-1,0,1,-2,0
84069145076,-1,-2,-2,-2,-2,-2,-2,-2
84069145076,0,0,0,-2,0,-1,-1,-2
84069145839,-1,-1,-1,-1,-1,-2,1,-1
84069145839,-1,-1,0,-2,-2,0,-1,0
84069167482,1,0,1,1,0,0,-1,-2
84069167482,-1,-2,-1,-1,-2,-1,-3,0
84069168257,0,-1,-1,-1,-2,0,-1,0
84069168257,0,0,0,0,0,-2,-1,0
84069189751,-1,-1,-2,-1,-1,-2,0,0
84069189751,-1,0,-4,1,-1,-2,-1,-1
84069190537,-3,-1,-2,-2,-1,1,-1,-1
84069190537,-2,-1,-1,0,-2,-2,-1,-3
84069204995,-2,-2,-2,-2,-2,-1,-3,-3
84069204995,0,-2,-2,-1,-2,-2,-2,-2
84069205739,-2,-2,0,-1,-2,-1,-1,1
84069205739,0,-1,0,-2,0,-1,-1,3
84069227770,1,1,0,-2,0,0,-1,-1
84069227770,0,0,-1,-1,-2,-2,-2,0
84069228548,1,-1,-3,0,0,0,-1,-3
84069228548,-1,-2,-3,0,0,0,2,-3
84069250165,-3,-1,-2,0,0,-1,1,-3
84069250165,-3,-1,-1,0,-1,-1,0,0
84069250857,-1,0,-1,-1,-1,-3,-1,-2
84069250857,-1,-1,-1,-1,0,0,-1,0
84069263811,-1,-1,-1,-1,0,-1,1,-2
84069263811,1,-2,-2,0,-2,0,0,-3
84069272767,-1,0,-2,-1,0,-2,-3,-1
84069272767,-1,1,-1,-1,-1,-2,-3,-2
84069287606,-1,2,-1,-1,-1,-3,-3,1
84069287606,-2,-1,-1,0,-1,0,-2,0
84069289187,0,-2,-1,-1,-2,0,-2,0
84069289187,-2,-2,0,0,-2,-1,-3,-2
84069310050,0,-2,-1,-1,0,-1,-1,0
84069310050,-1,-2,0,-2,1,-1,-1,0
84069311843,-2,-1,0,-2,-2,0,1,-1
84069311843,-2,-3,-2,-1,0,-2,1,-1
84069323688,0,-1,-1,0,-1,-1,-2,-3
84069323688,0,-3,-1,-2,-1,-1,-2,0
84069332760,-1,-1,-1,0,0,-1,-1,-1
84069332760,-1,0,0,-1,-1,-2,-1,-1
84069347733,-2,-2,-1,-1,0,-1,-2,-1
84069347733,-1,-2,-1,-1,-1,-1,-1,-1
84069349179,-2,-1,-1,0,-1,0,0,-3
84069349179,1,1,0,1,-2,-1,-1,0
84069370073,-1,-1,-2,0,-3,-1,-3,0
84069370073,0,0,-1,0,-1,0,0,0
84069371719,-1,-2,-1,-3,-3,-2,2,1
84069371719,-3,-1,-2,-2,-1,-1,-2,-3
84069383660,-1,-1,-3,-6,-4,-1,-1,-1
84069383660,0,0,1,-1,-2,-1,-1,-2
84069392707,0,1,-1,3,1,-1,-3,-2
84069392707,6,0,-1,-2,2,1,1,1
84069407545,1,-1,-1,6,4,0,0,-1
84069407545,-9,-1,0,0,-8,-3,-1,-5
84069409168,-1,-2,-2,-3,-4,-2,1,-1
84069409168,-4,-1,-1,-3,-1,-1,-2,-2
84069429991,3,0,-2,-2,-1,1,0,2
84069429991,1,-2,-2,-1,0,6,0,-2
84069431612,3,3,-2,-10,-5,-8,-3,2
84069431612,-3,-4,-2,6,-4,-11,-5,-2
84069444408,-4,-1,1,2,4,5,2,2
84069444408,6,1,1,7,5,4,1,1
84069451187,-4,-3,0,6,-1,6,1,2
84069451187,-1,0,-1,-13,2,0,-1,-5
84069467581,-9,-2,-1,-9,-13,-8,-7,-17
84069467581,3,-2,-3,3,1,-7,0,15
84069469157,7,-2,-1,9,0,2,3,29
84069469157,2,1,1,-2,-1,-5,1,3
84069490022,-11,-4,1,0,0,1,-2,9
84069490022,3,0,-2,-10,5,4,0,-15
84069491636,1,1,0,2,1,-11,-6,-23
84069491636,-4,-2,-2,-10,-7,6,3,13
84069503738,0,-13,-3,7,-4,-8,-1,-1
84069503738,-6,-4,-1,-9,-16,-18,-9,18
84069512710,9,3,-1,-17,-3,6,1,-7
84069512710,-13,-2,0,12,1,-1,-6,-54
84069527520,4,3,-5,3,10,6,-3,-1
84069527520,-11,-4,-3,9,0,6,-2,-31
