timestamp,x,y,z
84069109149,0.1875,0.4375,8.6875
84069130203,-0.375,0.25,7.625
84069146660,-0.9375,-0.0625,6.75
84069169083,-0.6875,-0.4375,5.6875
84069196271,0.25,-0.75,5
84069206632,0.6875,-1,4.5625
84069233836,0.625,-1.375,4.1875
84069251735,1,-1.4375,3.4375
84069272062,1.375,-1.25,2.875
84069288338,0.1875,-1.25,2.5625
84069310836,-1.6875,-1.4375,1.875
84069332014,-4.0625,-2.125,1
84069348350,-4.1875,-2.3125,-0.625
84069370878,-1.1875,-2.625,-2.8125
84069391852,3.375,-3.375,-3.875
84069408319,7.6875,-5.5,-2.625
84069430807,10.125,-7.5625,1.9375
84069445220,11.6875,-10.6875,10.5625
84069468362,9.6875,-15.1875,26.375
84069490868,6.9375,-21.375,45.875
84069511859,-2.5,-31.6875,75.75
84069528310,-7.75,-45,106.188
84069558327,-5.25,-60,137.062
84069571884,10.625,-70.4375,170.5
84069588324,35.3125,-76.875,201.5
84069610833,46.3125,-83.6875,232.125
84069631874,38.1875,-90.875,262.312
84069648345,30.5,-100.312,292
84069670879,25.875,-110.188,316.438
84069691911,40.625,-114.875,330.625
84069708370,50,-118.5,341.375
84069730834,53.3125,-116.875,345.812
84069751655,52.75,-117.375,338.688
84069768349,51.0625,-108,313.75
84069792255,51.8125,-99,284.75
84069811903,46.5,-87.6875,252.938
84069828329,38.1875,-77.3125,217.75
84069850850,29.5,-66.3125,182.75
84069871883,23.625,-55,136.188
84069888369,19.3125,-44.25,88.5
84069910802,13.0625,-30.875,39.5625
84069931921,11.4375,-14.6875,-6.9375
84069955839,19.5625,-5.8125,-48.6875
84069970831,26.6875,-4.75,-101.062
84069991841,12.4375,-10.3125,-164.812
84070007703,-18.25,-18.8125,-231.125
84070030881,-66,-32.5625,-271
84070051886,-130.125,-16,-226.75
84070067786,-61.8125,37.125,51
84070090944,81.9375,43.875,129.312
84070112101,-0.3125,-7.0625,17.25
84070127849,89.875,1.4375,115.688
84070150916,45.5,-10.6875,155.562
84070173449,-20.4375,-32.25,141.312
84070187754,25.8125,-17.75,141.438
84070210886,54.6875,-9.75,121.188
84070233373,46,-0.875,98.75
84070247805,26.1875,4.5,69.1875
84070270879,10.1875,4.1875,33.25
84070293350,5.75,5.6875,-4
84070314579,-8.8125,8.1875,-57.5625
84070330878,-30.0625,5.9375,-106.125
84070353364,-38,4.1875,-144.875
84070374573,-38,2.5,-181.062
84070390914,-46.8125,6.5625,-230.312
84070413536,-66.4375,5.25,-237.188
84070434446,-105.375,-7.25,-182.5
84070450868,-79.0625,16.8125,68.625
84070473858,99.3125,47.4375,137.188
84070494572,-36.9375,-2.8125,34.3125
84070510907,13.0625,-18.875,56.9375
84070533386,61.5625,-8.375,77.3125
84070554637,-12.3125,-23.3125,51.5
84070570959,-1.6875,-15.375,26.25
84070593451,31.125,-0.375,12.8125
84070614545,25.0625,7,-9.625
84070630848,11,15.5625,-46.6875
84070653376,1.125,20.4375,-78.25
84070674479,-6.1875,24.875,-101.625
84070690868,-13.1875,32.5,-123
84070713400,-13.75,42.75,-146.062
84070734637,-11.5625,51.4375,-171.688
84070750906,-1.3125,55.1875,-195.062
84070779650,7.3125,55.125,-217.875
84070794605,-0.375,55.6875,-234.562
84070810845,-3.625,62.5,-247
84070833414,-15.125,64.6875,-258.812
84070870971,-51.6875,61.25,-263.625
84070873228,-88,62.25,-256.125
84070893364,-100.438,73.8125,-250.312
84070914459,-63.9375,92.4375,-264.25
84070930217,-52.625,94.4375,-237.438
84070953306,-96.6875,96.3125,-232.938
84070974566,-178.375,100,-194.75
84070990193,-168.375,104,-172.562
84071013354,-146.188,105.188,-155.938
84071034586,-136.625,100.938,-137.5
84071050175,-60.0625,77.125,-117.125
84071073401,-62.125,64.0625,-93.75
84071095878,-50.125,37.5,-67.4375
84071110160,-7.375,16.5,-46.875
84071133448,25.875,2.0625,-28.8125
84071155871,47.375,-9.4375,-13.1875
84071170173,51.875,-16.5,-1.75
84071193344,43.75,-19.75,5.3125
84071215890,28.9375,-20.5,11.1875
84071237142,8,-20.5,15.8125
84071253348,-11,-21,17
84071275890,-18.9375,-19,16.125
84071304452,-13.5,-15.25,16.125
84071313318,-5.75,-10.125,14.625
84071335889,-3.375,-4.8125,12.125
84071357204,-6.375,0.4375,8.125
84071373368,-8.625,3.625,3.4375
84071395915,-5.625,3.625,1.875
84071410167,-0.8125,1.1875,2.1875
84071433786,8.25,-1.625,2.5625
84071455866,20,-3.625,3.0625
84071477131,28.4375,-3.4375,3.5
84071500897,29.75,-3.125,3.1875
84071515874,23.6875,-3,3.8125
84071536962,15,-1.9375,2.4375
84071553362,6.25,-1.25,1.0625
84071575922,0.375,0.3125,0.0625
84071597109,-1.1875,0.8125,-0.0625
84071613387,-1.4375,1.4375,0.125
84071635976,-3.25,2,1.1875
84071657147,-8.9375,1.375,2.375
84071673347,-11.75,0.4375,2.625
84071695887,-8.6875,0.375,1.6875
84071716911,-4.875,-0.0625,0.0625
84071733362,0.375,0.25,-1.9375
84071755805,5.5,-0.1875,-3.125
84071776836,8.1875,-0.1875,-4.125
84071793318,11.125,0.3125,-3.75
84071815858,21.1875,0,-2.3125
84071836899,18.625,-1.3125,-1.6875
84071852711,16.0625,-1.6875,-1.125
84071875843,15.1875,-1.8125,-0.4375
84071896852,14.6875,-1,0.5625
84071913348,12.125,-0.5625,1
84071935801,8.9375,-0.875,1.3125
84071956822,5.625,-1.1875,0.4375
84071973304,4.5625,-1.75,-0.4375
84071995868,5.0625,-1.3125,-0.6875
84072016953,5.5625,-0.8125,-0.6875
84072033373,6.375,-0.8125,-0.4375
84072055815,6.9375,-1.375,-0.375
84072078393,6.625,-2,-0.25
84072093361,6.375,-2.375,0.3125
84072115865,6.8125,-2.1875,0.9375
84072138345,7.6875,-2.75,1.625
84072153317,9.125,-3.125,1.625
84072175952,10.1875,-3.0625,1.75
84072198367,11.5625,-2.375,1.1875
84072220873,11,-1.875,0.125
84072235875,8.5625,-1.6875,-0.5
84072258301,6.4375,-1.5625,-0.8125
84072272722,5.875,-1.0625,-1.125
84072295766,5.0625,-1,-0.4375
84072318304,5,-1.125,0.4375
84072332805,5.5625,-1.125,1.0625
84072355891,4.5625,-1,1.125
84072378396,2.6875,-0.625,1.125
84072392753,1.6875,0.1875,0.625
84072415839,0.75,0.875,0.0625
84072438373,-0.1875,1.5625,-0.3125
84072452796,-2.3125,1.6875,-0.0625
84072475938,-3.0625,1.5,0.6875
84072498328,-3.625,1.5,0.3125
84072512621,-3.9375,1.8125,0.3125
84072535919,-3.9375,1.6875,0.5625
84072558320,-5.125,1.5,0.375
84072579368,-5.375,1.75,0.75
84072595803,-3.3125,1.875,0.125
84072618318,-2,1.5625,-0.375
84072639609,-2.6875,1.375,-0.25
84072655803,-3.8125,1.125,0.0625
84072678356,-4.375,1.125,0.6875
84072699361,-3.625,0.875,1.4375
84072715859,-2.9375,0.6875,1.5625
84072738400,-3.375,0.4375,1.6875
84072759442,-3.3125,0.25,1.3125
84072776292,-2.5,0.5,1.125
84072798385,-3.0625,0.4375,1.0625
