timestamp,x,y,z
82529903138,0.935547,-0.292969,-0.0410156
82529927011,0.926758,-0.296875,-0.0341797
82529948795,0.926758,-0.291504,-0.0385742
82529963334,0.925781,-0.291504,-0.0375977
82529986982,0.934082,-0.300781,-0.0351562
82530002040,0.937012,-0.305176,-0.0273438
82530023428,0.922852,-0.294922,-0.0249023
82530079310,0.928223,-0.292969,-0.0195312
82530081394,0.944824,-0.316406,-0.00732422
82530082078,0.950195,-0.361328,-0.0224609
82530096404,0.947754,-0.336426,-0.0307617
82530115235,0.949219,-0.325195,-0.0249023
82530136494,0.93457,-0.37207,-0.0302734
82530152849,0.92334,-0.463867,-0.0512695
82530198307,0.908691,-0.522949,-0.0678711
82530199108,0.92334,-0.546387,-0.0932617
82530212074,0.901855,-0.495605,-0.0810547
82530233138,0.943848,-0.517578,-0.108398
82530249607,0.889648,-0.63916,-0.151367
82530273766,0.81543,-0.771484,-0.20166
82530293437,0.808594,-0.86377,-0.222168
82530311111,0.782227,-0.870605,-0.22168
82530333564,0.733887,-0.89209,-0.266113
82530353106,0.619629,-0.950195,-0.275879
82530371052,0.537109,-1.02295,-0.275391
82530393570,0.484863,-1.03467,-0.283203
82530413155,0.402832,-1.07324,-0.269043
82530438729,0.34082,-1.06982,-0.228027
82530453815,0.219238,-1.03174,-0.20166
82530473226,0.162109,-1.01709,-0.178711
82530491245,0.097168,-0.969238,-0.119629
82530512949,0.0126953,-0.97168,-0.121582
82530533438,-0.0209961,-0.85498,-0.0986328
82530551218,-0.034668,-0.824707,-0.0898438
82530573783,-0.0639648,-0.821289,-0.0859375
82530593311,-0.108398,-0.755371,-0.0893555
82530611233,-0.109863,-0.685059,-0.0991211
82530633555,-0.145996,-0.680664,-0.104004
82530653192,-0.17627,-0.666016,-0.09375
82530671310,-0.175781,-0.632324,-0.0942383
82530692926,-0.181641,-0.662598,-0.0805664
82530713869,-0.255859,-0.655273,-0.0922852
82530736331,-0.306152,-0.674805,-0.043457
82530754185,-0.29541,-0.736328,-0.0107422
82530773840,-0.361328,-0.73584,0.059082
82530789710,-0.324707,-0.737793,0.0493164
82530812876,-0.226562,-0.794922,0.164551
82530834069,0.043457,-2.63916,-0.661133
82530849735,0.505859,-1.70703,-0.0380859
82530872857,-0.843262,-0.983887,0.206543
82530894070,-0.484375,-1.32373,-0.182617
82530909692,0.235352,-1.32764,0.0405273
82530932904,-0.319336,-1.03076,-0.0683594
82530954131,-0.20166,-1.16895,-0.0366211
82530969650,-0.260254,-1.12549,-0.00927734
82530992893,-0.254883,-1.02295,-0.00439453
82531013950,-0.304688,-0.910156,-0.00195312
82531036542,-0.314453,-0.80957,-0.0351562
82531052884,-0.300293,-0.743164,-0.0512695
82531074062,-0.291992,-0.714355,-0.0825195
82531089832,-0.284668,-0.70752,-0.109375
82531112883,-0.274902,-0.645996,-0.12207
82531133869,-0.257812,-0.610352,-0.10498
82531149662,-0.316895,-0.600098,-0.108398
82531186552,-0.346191,-0.614746,-0.0913086
82531195368,-0.351562,-0.653809,-0.0273438
82531217905,-0.375977,-0.705566,0.0507812
82531239037,-0.4375,-0.765625,0.0654297
82531255433,-0.491699,-0.645996,0.0239258
82531277887,-0.0371094,-2.64844,-0.851074
82531299089,0.914551,-2.31006,-0.120605
82531315306,-0.590332,-0.760254,0.0239258
82531337904,-0.808594,-0.958984,-0.137207
82531358814,0.47168,-1.29639,-0.0102539
82531375327,-0.101074,-0.961426,0.00976562
82531397800,-0.104004,-0.794434,-0.0703125
82531418923,-0.0283203,-0.969727,-0.0532227
82531434745,-0.0966797,-0.944824,-0.0751953
82531457792,-0.0996094,-0.827148,-0.090332
82531479071,-0.116699,-0.815918,-0.108398
82531494624,-0.0786133,-0.809082,-0.109375
82531517773,-0.00927734,-0.820801,-0.134277
82531539053,0.000976562,-0.880859,-0.141113
82531554641,0,-0.88916,-0.150879
82531577822,0.0356445,-0.862305,-0.154785
82531598880,0.10791,-0.803223,-0.141113
82531614652,0.231445,-0.82666,-0.107422
82531637765,0.32666,-0.943848,-0.117188
82531660338,0.351562,-0.991699,-0.13916
82531674649,0.430176,-0.905762,-0.131348
82531697783,0.580078,-0.826172,-0.123047
82531720511,0.679199,-0.836426,-0.141113
82531734663,0.713379,-0.862305,-0.164551
82531757909,0.771484,-0.848633,-0.180176
82531780375,0.82666,-0.812012,-0.149414
82531801613,0.862793,-0.748047,-0.144531
82531826764,0.848633,-0.667969,-0.130859
82531840358,0.894531,-0.649414,-0.161621
82531861340,0.916992,-0.693848,-0.116699
82531877962,0.937988,-0.611328,-0.108887
82531900259,0.953125,-0.450195,-0.0703125
82531921536,0.958008,-0.367676,-0.0415039
82531937837,0.964844,-0.294434,-0.0327148
82531960368,0.962402,-0.308594,-0.0302734
82531981360,0.950195,-0.31543,-0.0239258
82531997827,0.938477,-0.306641,-0.0332031
82532020324,0.943848,-0.311523,-0.046875
82532041572,0.954102,-0.324219,-0.0634766
82532057862,0.949707,-0.33252,-0.0712891
82532080329,0.944336,-0.344238,-0.0673828
82532101386,0.920898,-0.340332,-0.074707
82532117836,0.918457,-0.32666,-0.0683594
82532140415,0.915527,-0.333496,-0.0673828
82532161521,0.915527,-0.330566,-0.0512695
82532177938,0.911621,-0.330078,-0.0576172
82532200300,0.915039,-0.305176,-0.0566406
82532221442,0.921875,-0.283691,-0.059082
82532237870,0.928711,-0.287598,-0.0639648
82532260384,0.958984,-0.30127,-0.0561523
82532281368,0.987793,-0.295898,0.00585938
82532297194,1.01416,-0.281738,0.0698242
82532320322,0.999023,-0.25,0.120605
82532341564,0.988281,-0.169922,0.125
82532357820,0.933594,-0.101562,0.0629883
82532380324,0.943848,-0.128418,0.0415039
82532417617,0.959961,-0.195801,-0.0175781
82532420024,0.954102,-0.241699,-0.0166016
82532440356,0.949219,-0.231445,-0.0576172
82532461328,0.953613,-0.195312,-0.0683594
82532477317,0.937988,-0.181641,-0.0708008
82532500272,0.947754,-0.203125,-0.0595703
82532521267,0.931152,-0.225098,-0.0610352
82532537111,0.928711,-0.230957,-0.059082
82532560550,0.927734,-0.244629,-0.0449219
82532581486,0.925293,-0.254395,-0.0288086
82532597887,0.949219,-0.260742,-0.0161133
82532620404,0.953613,-0.260742,0.00195312
82532642824,0.952637,-0.257324,0.0146484
82532657742,0.956055,-0.256348,0.00292969
82532680325,0.95459,-0.274902,0.00683594
82532702826,0.957031,-0.277832,-0.00341797
82532717805,0.950684,-0.268066,-0.00146484
82532740295,0.94873,-0.250977,-0.0117188
82532762773,0.94043,-0.241699,-0.015625
82532777174,0.9375,-0.241211,-0.0185547
82532800362,0.934082,-0.244629,-0.015625
