timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117216556576,1,3,-2,-10,-5,-3,-4,-14
117216556576,3,-5,0,-1,-1,-1,-4,8
117216557412,-1,0,0,6,-1,0,-1,-2
117216557412,-7,1,0,2,0,-2,1,-3
117216558046,4,1,-1,-2,-1,-2,3,1
117216558046,-1,1,-1,-1,-2,-1,0,-3
117216558817,2,-2,1,2,-2,0,-2,2
117216558817,-3,-2,-1,-1,-2,0,-5,-2
117216569385,0,-1,0,5,1,0,-1,1
117216569385,-10,-2,-3,3,0,-3,0,-3
117216578346,2,-3,-4,-22,-4,-3,-1,-1
117216578346,-4,2,-2,0,-1,-3,1,-3
117216585944,-9,-7,-3,-7,-3,-2,-2,-1
117216585944,-16,12,2,6,1,1,-5,-23
117216600156,17,-4,2,5,0,0,0,16
117216600156,6,-1,-1,-6,-1,-1,-1,-1
117216608074,-4,-3,-1,3,0,1,1,7
117216608074,1,1,-1,0,-2,-2,2,-2
117216614500,-11,-1,-1,-3,-2,-3,1,-2
117216614500,-10,-9,-1,-2,0,-3,0,0
117216629464,-2,7,2,4,1,0,0,0
117216629464,8,-3,-2,-6,-2,-1,-4,3
117216638296,-15,-4,-4,-5,0,0,-3,-8
117216638296,5,5,-1,4,-1,0,-1,2
117216677753,1,-1,-3,0,2,1,1,-5
117216677753,0,-1,-1,-1,-5,1,-2,-2
117216678517,-1,-4,-2,-11,-2,1,-1,0
117216678517,-3,-7,-2,-16,-2,1,-2,-2
117216679350,-2,-2,-2,-3,-4,0,-1,-1
117216679350,-8,-6,-1,14,3,-2,0,-6
117216682479,2,1,0,-8,2,-1,1,-3
117216682479,-4,1,0,10,-1,-3,-2,-10
117216689260,-1,-1,1,4,0,-2,-1,7
117216689260,4,0,-2,2,0,-2,1,0
117216696720,-1,-3,1,9,1,-6,1,-6
117216696720,-1,-1,-1,0,-2,-6,-1,15
117216705657,-1,5,0,-5,-3,-2,-1,-1
117216705657,8,0,0,14,-2,-4,-2,1
117216719923,1,3,-1,-2,-1,2,1,2
117216719923,14,8,0,-1,-2,-1,3,-3
117216726751,-11,-2,1,6,-2,-1,-3,-4
117216726751,-8,-1,-3,-18,-3,-1,-3,-1
117216742422,-1,-2,0,-1,-3,-3,-1,-1
117216742422,1,5,-2,-5,-2,-1,2,-1
