timestamp,x,y,z
117313237229,6.375,-0.5,-2.5
117313251620,4.8125,-0.25,-2.6875
117313275316,3.8125,0.0625,-2.375
117313290269,3.5625,0.5625,-1.9375
117313311579,2.25,1.0625,-1.875
117313335272,-0.5,1.875,-1.875
117313381168,-3.875,2.375,-2.0625
117313383360,-7,2.375,-1.8125
117313395359,-7.6875,2.125,-1.0625
117313413134,-4.9375,1.75,0.0625
117313433048,-2.3125,1.6875,1.5
117313455299,-3.5625,1.25,2.75
117313498973,-6.125,1,2.5625
117313509072,-5.375,1.3125,2.375
117313515369,-3.75,0.875,3.5
117313530369,-4.75,-1.5625,4.9375
117313552879,-4.375,-5.75,11.75
117313573957,-2.75,-9.125,21.5625
117313590429,-2.6875,-14.5,33.75
117313613096,-4,-22.0625,48.875
117313633980,-14.25,-33.1875,69.25
117313650488,-17.3125,-41.4375,94.625
117313673050,-17.5625,-45.5625,120.812
117313694172,-1.875,-50.6875,143.312
117313710498,1.875,-61.4375,166.625
117313732935,-1.0625,-77.4375,185.25
117313755421,8.0625,-88.75,202.375
117313771937,31.3125,-94,220.188
117313792976,52.625,-99,237
117313815501,56.1875,-102.562,249.312
117313830525,46.625,-109.188,258
117313852952,27.25,-120.688,265.25
117313875435,19.4375,-133.375,272.188
117313890496,19.75,-144,272.25
117313913006,22.5,-150.25,270.125
117313951801,17.5,-154.125,261.875
117313952608,15.6875,-157.75,246.625
117313981299,9.9375,-160.312,233.375
117313996077,9.4375,-154.25,218.938
117314018477,9.625,-146.125,196.625
117314042400,10.75,-137.625,173.938
117314054614,14.25,-130.562,151.812
117314069597,15.375,-118.5,123.75
117314092199,8.1875,-107.688,96.1875
117314114584,-0.6875,-92.4375,68.6875
117314129636,-8.4375,-78.75,40.5625
117314152126,-13.375,-64.3125,16
117314174966,-20.75,-50.4375,-7.8125
117314189703,-24.4375,-36.6875,-27.3125
117314212355,-21.875,-18.6875,-38.6875
117314234666,-26.0625,1.0625,-57.3125
117314249864,-33.6875,17.5,-79.8125
117314272093,-37.5,29.4375,-97.5
117314294666,-68.5625,38.3125,-92.75
117314308966,-56.0625,78.75,-94.5625
117314332367,-37.8125,114.625,-103.562
117314354739,-26.375,124.25,-115.625
117314368965,-32.25,139.375,-131.375
117314392352,-35.75,143.25,-138.938
117314422814,-26.0625,144.562,-150.688
117314429034,-11.25,143.438,-161.25
117314452164,-7.8125,136.812,-164.25
117314474907,23.9375,132.562,-164.75
117314489085,56.125,123.5,-181.375
117314511691,63.5,110.75,-214.312
117314534694,17.375,94.5,-215.188
117314548982,8.75,92.1875,-187.25
117314571530,37.375,93.5625,-164.438
117314594816,52.25,92.8125,-176.812
117314610521,0.875,88.875,-180.75
117314631542,-24.875,81.4375,-115.625
117314654867,-12.5,67.1875,-53.9375
117314668962,-1.1875,54,-28.5625
117314700288,-5.125,18.25,-3.9375
117314714819,26.75,-6.6875,31.625
117314729220,21.875,-29.25,52.9375
117314751477,18,-52,68.1875
117314774834,20.3125,-73.6875,94.625
117314789011,27.4375,-96.5625,116.938
117314811678,32.5,-117.812,133.125
117314834058,44.5625,-139.375,147.938
117314849190,52,-160.188,158.875
117314880466,55.5,-181.625,162
117314894856,64.75,-196.438,162.562
117314908928,71.1875,-206.5,161.875
117314931707,77.875,-207.562,159.812
117314954640,82.5625,-196.75,156.312
117314976649,95.375,-175.938,146.375
117314999859,102.812,-154.062,125.938
117315023548,96.0625,-139.75,97.875
117315045468,77.9375,-133.312,70.375
117315076742,66.625,-132.375,54.125
117315077615,68.625,-125.5,50.25
117315106111,71,-109.188,48.8125
117315128610,66.0625,-89.375,43.5625
117315151124,47.8125,-66.5625,35.8125
117315151923,27.125,-42.5,33.375
117315173371,9.0625,-15.8125,32.1875
117315193985,-5.5,10,33.4375
117315209026,-8.0625,40.9375,28.1875
117315231537,-18.125,76.9375,17.5
117315255487,-22,98.875,9.8125
117315269002,-11.3125,125.688,5.1875
117315291670,-3.3125,159.562,0.8125
117315313973,-3.6875,186.062,-0.25
117315328925,-7,198.062,-2.25
117315351652,-10.875,205.438,-1.0625
117315374007,7.875,202.625,-2.25
117315388997,53.9375,209.375,-18.5
117315411700,52.25,210.25,-22.9375
117315433957,77.8125,231,-22
117315449195,91,251.812,-18.0625
117315488521,97.8125,263,-16.4375
117315496104,91.875,253.625,-5.875
117315512066,92.8125,246.312,5.3125
117315534429,99.6875,234.938,9.0625
117315554195,79.6875,210.375,15.125
117315568946,55.6875,176.562,16.0625
117315591665,36.75,138.5,15.8125
117315614080,12.125,98.25,5.75
117315629073,-14.625,56.6875,-5.0625
117315651547,-24.3125,20.9375,-17.5
117315674231,-40,-10.3125,-24.6875
117315689019,-48.3125,-29.1875,-29.3125
117315719667,-45.125,-34.4375,-31.3125
117315734090,-44.125,-34.1875,-32.75
117315758657,-46.875,-34.6875,-37.4375
117315771724,-44.125,-34.8125,-47.6875
117315794074,-37.0625,-33.1875,-65.6875
117315812150,-34.9375,-33.0625,-81.0625
117315831695,-31.1875,-29.625,-95.0625
117315853910,-21.75,-26.5625,-109.375
117315868941,-8.4375,-22.25,-124
117315891734,-2.0625,-18.75,-138.5
117315922936,4.0625,-13.6875,-149.5
117315928976,9.1875,-9.75,-159
117315951507,13.125,-6.4375,-167.25
117315973993,9.5625,-1.75,-183.125
117315990584,3.125,-1.375,-196.688
117316011628,-7.25,3.6875,-201.375
117316034080,1.5,12.6875,-206.875
117316050489,18.875,18.1875,-213.812
117316071712,30.3125,19.125,-218.938
117316094165,17.8125,14.1875,-223.5
117316110639,-10.125,16,-215.625
117316131751,-18.625,23.9375,-212.75
117316153905,-16.5,33.5625,-217.375
117316170386,-31.875,39.6875,-213.688
117316191549,-47,41.75,-195.062
117316215426,-48.125,44.375,-176.75
117316230380,-35.625,44.25,-163.562
117316251460,-28.5,38.625,-150
117316273904,-18.5,34.3125,-131.562
117316290357,-11.3125,29.875,-105.625
117316311391,-15.6875,20.9375,-80.875
117316333862,-27.75,8.375,-58.4375
117316350385,-36.6875,-4.25,-37.875
117316371424,-26.1875,-14.5,-18.75
117316393939,-8.0625,-22,-1.75
117316417842,11.4375,-24.875,8.375
117316431421,26.25,-23.5,16.125
117316453947,38.3125,-15.625,16.0625
117316476462,36.5625,-11.25,12.625
117316491392,23.8125,-8.25,8
117316513921,10.9375,-7.0625,1.5625
117316530367,6.875,-4.8125,-3.6875
117316551420,9.4375,-2.1875,-3.5
117316573926,14.375,-0.9375,-3.3125
117316590411,14.25,-1.4375,-1.5625
117316619539,10.0625,-2.875,-2.0625
117316633926,3.375,-4,-2.1875
117316650433,-0.5,-3.1875,-2.8125
117316671433,-1.4375,-1.3125,-3
117316693914,-0.6875,0.8125,-1.875
117316710366,0.3125,1.1875,-1.625
117316731368,0.75,-0.375,-1.5
117316762090,2.4375,-1.4375,-0.9375
117316770409,7,-2.0625,-1.25
117316791428,11.5625,-2.125,-1.1875
117316807899,14,-2.25,-1.5625
117316830399,15.4375,-2.4375,-2.875
117316851360,12.3125,-3.125,-3.4375
117316867903,9.4375,-2.9375,-4
117316890339,9.75,-2.6875,-4
117316921028,18.25,-3.25,-3.9375
117316933888,22.625,-4,-3.8125
117316950333,21.8125,-4.4375,-3.5
117316972819,17.3125,-4.9375,-3.625
117316993887,15.6875,-5.25,-3.5
117317010442,18.9375,-4.5,-4.5625
117317032870,19.1875,-5.25,-5
117317053896,21.4375,-5.3125,-5.4375
117317070355,23.125,-6.0625,-4.9375
117317092868,24.125,-6.5,-4.875
