timestamp,roll,pitch,yaw
117313237229,-1.73573,-1.35277,-2.85466
117313251620,-1.73728,-1.35453,-2.85184
117313275316,-1.73766,-1.35518,-2.84957
117313290269,-1.73811,-1.35671,-2.84831
117313311579,-1.73698,-1.35791,-2.84845
117313335272,-1.73484,-1.35934,-2.85105
117313381168,-1.73172,-1.36051,-2.85521
117313383360,-1.72985,-1.36178,-2.85982
117313395359,-1.72948,-1.36236,-2.86317
117313413134,-1.72798,-1.36214,-2.86615
117313433048,-1.72491,-1.36191,-2.87051
117313455299,-1.72304,-1.3609,-2.8733
117313498973,-1.72288,-1.35998,-2.87601
117313509072,-1.72029,-1.35848,-2.88038
117313515369,-1.71696,-1.35676,-2.88488
117313530369,-1.71472,-1.35482,-2.88865
117313552879,-1.71474,-1.35108,-2.88954
117313573957,-1.71803,-1.34328,-2.88664
117313590429,-1.72583,-1.33135,-2.87943
117313613096,-1.74112,-1.31341,-2.86463
117313633980,-1.76654,-1.28824,-2.84315
117313650488,-1.79347,-1.25314,-2.82097
117313673050,-1.81531,-1.20799,-2.80431
117313694172,-1.82706,-1.15463,-2.79232
117313710498,-1.83807,-1.09208,-2.77915
117313732935,-1.85382,-1.02119,-2.76169
117313755421,-1.86554,-0.943359,-2.74425
117313771937,-1.86622,-0.858984,-2.72938
117313792976,-1.8581,-0.768905,-2.71563
117313815501,-1.84825,-0.67451,-2.70156
117313830525,-1.84158,-0.577007,-2.68606
117313852952,-1.84189,-0.475753,-2.66746
117313875435,-1.84417,-0.371146,-2.64611
117313890496,-1.84508,-0.265558,-2.62221
117313913006,-1.84299,-0.160066,-2.59656
117313951801,-1.84042,-0.0573695,-2.56899
117313952608,-1.83581,0.0406416,-2.53872
117313981299,-1.83001,0.133992,-2.50571
117313996077,-1.82139,0.221231,-2.47245
117314018477,-1.80982,0.299687,-2.43871
117314042400,-1.79514,0.368981,-2.40417
117314054614,-1.77656,0.429183,-2.36831
117314069597,-1.75593,0.478162,-2.33275
117314092199,-1.73672,0.516183,-2.29751
117314114584,-1.72288,0.537676,-2.2663
117314129636,-1.71305,0.548245,-2.23817
117314152126,-1.70676,0.549813,-2.21417
117314174966,-1.7054,0.542424,-2.19445
117314189703,-1.70753,0.527718,-2.17919
117314212355,-1.71245,0.509201,-2.17066
117314234666,-1.72211,0.484054,-2.1686
117314249864,-1.73677,0.450549,-2.17146
117314272093,-1.75551,0.410517,-2.17766
117314294666,-1.78585,0.371036,-2.18623
117314308966,-1.81387,0.325516,-2.20723
117314332367,-1.83678,0.279699,-2.23854
117314354739,-1.85438,0.228787,-2.27033
117314368965,-1.87266,0.170781,-2.30443
117314392352,-1.88976,0.109642,-2.33762
117314422814,-1.90097,0.0443869,-2.36867
117314429034,-1.90462,-0.0238607,-2.39764
117314452164,-1.90536,-0.0923834,-2.42403
117314474907,-1.8928,-0.160176,-2.44963
117314489085,-1.86856,-0.231369,-2.47182
117314511691,-1.84134,-0.311689,-2.48881
117314534694,-1.83065,-0.390851,-2.50176
117314548982,-1.82038,-0.460499,-2.51815
117314571530,-1.79706,-0.521556,-2.53902
117314594816,-1.76716,-0.586333,-2.56112
117314610521,-1.75421,-0.652415,-2.58354
117314631542,-1.74645,-0.695431,-2.61012
117314654867,-1.7334,-0.709924,-2.63658
117314668962,-1.71963,-0.714565,-2.65869
117314700288,-1.71718,-0.708918,-2.66608
117314714819,-1.71048,-0.690992,-2.66383
117314729220,-1.7112,-0.664308,-2.65281
117314751477,-1.71839,-0.632818,-2.63294
117314774834,-1.72848,-0.588179,-2.60643
117314789011,-1.73666,-0.540125,-2.57432
117314811678,-1.74465,-0.484746,-2.53654
117314834058,-1.74848,-0.422636,-2.49305
117314849190,-1.74961,-0.355156,-2.44392
117314880466,-1.74835,-0.285409,-2.38857
117314894856,-1.74127,-0.215325,-2.32883
117314908928,-1.72869,-0.146049,-2.26587
117314931707,-1.7098,-0.0789189,-2.20201
117314954640,-1.6853,-0.0154381,-2.14074
117314976649,-1.6531,0.0411564,-2.08472
117314999859,-1.61569,0.0871681,-2.03391
117315023548,-1.57905,0.120772,-1.98594
117315045468,-1.54739,0.142373,-1.9392
117315076742,-1.51866,0.155977,-1.89196
117315077615,-1.48868,0.166363,-1.84675
117315106111,-1.45792,0.175084,-1.80667
117315128610,-1.43194,0.168993,-1.77389
