timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83230941267,-2,-6,-2,-1,-2,-2,-2,0
83230941267,1,-1,-2,-1,2,0,-3,-2
83230942933,-2,-7,1,2,-1,-1,-2,0
83230942933,0,0,0,0,0,-1,-2,0
83230955637,2,2,-2,-2,-2,-2,0,1
83230955637,1,-3,-3,-1,-2,-1,0,-1
83230962400,-1,-3,-3,4,0,0,-2,-2
83230962400,0,2,0,-2,-1,0,-2,3
83230978759,0,1,0,-1,0,-1,-1,-1
83230978759,-2,-1,-1,-1,-3,-1,0,-5
83230980441,-1,-5,-2,-4,-2,-2,-2,0
83230980441,2,2,-2,-1,-1,-1,-1,-2
83231001297,0,-2,-3,-1,-1,1,0,1
83231001297,-1,-1,-1,1,-2,-1,-2,-1
83231002945,-1,-2,-1,-9,-4,-1,-1,-1
83231002945,-2,0,-1,6,-2,-2,0,-2
83231015576,-2,-3,-2,-12,-1,-1,-3,0
83231015576,0,-1,-1,5,0,0,0,2
83231022421,-1,-1,-1,-5,1,1,1,1
83231022421,-8,-1,-1,-1,-1,-1,-3,-7
83231038760,-3,-2,2,6,0,-2,-1,-2
83231038760,0,-1,-4,3,-3,-1,-1,-2
83231040443,-3,-1,-2,-14,-1,-2,-1,-2
83231040443,-1,10,-2,-2,-3,1,0,-2
83231061244,-2,0,-2,-2,-1,-5,-3,1
83231061244,-2,-3,1,-3,1,-2,-3,-1
83231062876,1,-3,-1,7,1,0,-1,-3
83231062876,2,1,-1,-12,2,-1,1,2
83231074939,-1,-1,-1,0,-2,0,0,0
83231074939,1,-1,-2,-6,-5,-2,-1,1
83231083923,-1,1,-1,4,-2,-3,-2,-3
83231083923,-1,-3,-1,2,-1,0,-1,2
83231098754,-1,-1,1,5,1,-2,0,2
83231098754,-6,-3,-1,-8,3,-1,-1,-3
83231100322,3,-1,-1,0,-2,1,-1,3
83231100322,0,-5,-4,1,-4,-2,-3,-6
83231121285,2,-2,-4,-1,-1,-11,2,-3
83231121285,-12,-10,-2,-2,1,8,0,0
83231122874,-8,0,2,5,-1,-4,-2,2
83231122874,0,-2,-1,0,2,0,-2,-7
83231134966,-6,-13,-3,-7,-2,16,9,-3
83231134966,2,1,0,-2,-3,-14,-9,0
83231143915,2,-2,2,2,1,-3,-3,-6
83231143915,0,-7,-2,4,0,-2,-2,4
83231158797,-3,4,-2,-1,-2,-3,-1,-3
83231158797,5,7,0,-3,0,17,3,-3
83231160380,1,-4,-2,4,-2,-23,-4,2
83231160380,0,6,3,4,3,4,-1,1
83231181302,1,0,-4,-16,-8,-5,-4,-3
83231181302,-1,-2,-2,1,-2,4,4,-4
83231182902,-1,0,0,2,0,6,-1,8
83231182902,0,-3,-1,-1,0,1,1,5
83231194904,1,0,0,5,-1,-15,-6,-2
83231194904,-6,-26,-2,1,-3,7,-1,3
83231203997,0,-3,-3,-2,1,2,1,9
83231203997,-4,-2,-3,0,1,-9,-3,-10
83231218770,-4,2,2,-5,-1,4,-4,9
83231218770,9,10,0,1,-1,-10,2,-12
83231220407,10,4,-4,0,-4,11,-1,7
83231220407,-1,-7,-4,-2,-3,-1,11,9
83231241295,-8,-5,0,6,3,-1,-6,-7
83231241295,10,10,5,1,3,-7,-9,14
83231242910,-6,-5,-1,-2,1,1,-7,-9
83231242910,8,3,-1,-5,-6,3,17,-5
83231254896,3,1,1,-1,-3,1,-1,6
83231254896,-10,-14,-7,-4,1,21,7,-3
83231263950,5,-3,-3,-4,-3,-29,-5,19
83231263950,1,6,2,3,-1,-9,-13,-15
83231278781,0,-2,0,5,5,11,0,0
83231278781,-3,3,-2,-3,-5,-10,4,-10
83231280416,-8,0,-1,2,0,10,1,7
83231280416,-14,-4,0,-6,-1,-1,-5,-2
83231301268,7,3,-1,-1,2,5,0,0
83231301268,1,2,0,3,-2,-14,-13,-6
83231302842,-10,-1,2,-7,-12,-12,12,-13
83231302842,1,-12,-1,0,4,16,1,-8
83231314932,-6,-8,-1,3,3,15,-3,1
83231314932,-2,11,-3,-8,-12,-61,-17,-34
83231323927,1,-21,-1,-1,1,-7,4,48
83231323927,0,4,1,1,2,14,-5,6
83231338136,8,-12,-1,-2,-4,20,-4,-2
83231338136,0,-1,-3,6,6,10,13,0
83231344928,-4,8,2,-1,-4,-3,-6,-25
83231344928,-8,0,-5,-10,-6,4,-2,-42
83231361364,34,11,3,4,2,-10,14,19
83231361364,-17,1,6,-1,-10,7,0,6
83231362898,5,1,-6,-5,-3,-22,1,-23
