timestamp,roll,pitch,yaw
85897985715,-1.48325,-1.29872,-0.986288
85898000765,-1.48331,-1.29888,-0.985272
85898015016,-1.48338,-1.29905,-0.984258
85898038176,-1.48392,-1.29922,-0.982954
85898060716,-1.48402,-1.29937,-0.982886
85898075017,-1.48462,-1.2996,-0.98269
85898098125,-1.48462,-1.2996,-0.98269
85898128148,-1.48563,-1.29952,-0.981081
85898135005,-1.48665,-1.29914,-0.978909
85898158137,-1.48765,-1.29938,-0.977865
85898180758,-1.48802,-1.29932,-0.976857
85898195034,-1.4881,-1.29941,-0.976626
85898218305,-1.48809,-1.29972,-0.977189
85898240813,-1.48809,-1.29972,-0.977189
85898255024,-1.48809,-1.29972,-0.977189
85898278211,-1.48809,-1.29972,-0.977189
85898301239,-1.48809,-1.29972,-0.977189
85898321735,-1.4882,-1.29987,-0.97712
85898344214,-1.4882,-1.29987,-0.97712
85898360715,-1.48908,-1.29958,-0.975419
85898381731,-1.49009,-1.29982,-0.974374
85898398156,-1.49006,-1.29976,-0.974211
85898420756,-1.49006,-1.29976,-0.974211
85898441686,-1.49099,-1.29991,-0.973399
85898465736,-1.49099,-1.29991,-0.973399
85898480684,-1.49099,-1.29991,-0.973399
85898501838,-1.49099,-1.2996,-0.972837
85898518183,-1.4907,-1.2993,-0.972424
85898540797,-1.49065,-1.29905,-0.971475
85898561903,-1.4906,-1.29881,-0.970528
85898578284,-1.49154,-1.29865,-0.969161
85898600772,-1.49154,-1.29865,-0.969161
85898621940,-1.49201,-1.29855,-0.968252
85898638270,-1.49187,-1.29785,-0.966824
85898660704,-1.49176,-1.29759,-0.966283
85898681743,-1.49219,-1.29716,-0.965223
85898698164,-1.49138,-1.29654,-0.964957
85898728253,-1.49214,-1.29622,-0.964073
85898743190,-1.49334,-1.29505,-0.964674
85898758170,-1.49351,-1.29202,-0.96904
85898780747,-1.4938,-1.28812,-0.973343
85898803153,-1.4944,-1.28269,-0.973518
85898817547,-1.49698,-1.276,-0.971232
85898840722,-1.49933,-1.26547,-0.967658
85898863236,-1.50241,-1.25322,-0.962137
85898877539,-1.50775,-1.2401,-0.954702
85898900701,-1.5118,-1.22598,-0.949707
85898923243,-1.51539,-1.2104,-0.948558
85898951732,-1.52204,-1.19165,-0.947856
85898960689,-1.5303,-1.1692,-0.94931
85898983302,-1.54522,-1.13936,-0.94529
85899004253,-1.56566,-1.09698,-0.935989
85899020731,-1.5806,-1.04135,-0.931746
85899043229,-1.59325,-0.97021,-0.932953
85899064417,-1.60939,-0.883332,-0.933303
85899080710,-1.62318,-0.778656,-0.932544
85899103207,-1.61954,-0.659684,-0.934514
85899124457,-1.59761,-0.53631,-0.938313
85899148238,-1.57365,-0.410195,-0.943298
85899163261,-1.55161,-0.284689,-0.946787
85899184517,-1.53496,-0.164455,-0.947777
85899200756,-1.52289,-0.053087,-0.945648
85899223245,-1.51014,0.0530269,-0.94237
85899244467,-1.49075,0.152647,-0.939245
85899260697,-1.47307,0.247237,-0.932797
85899283251,-1.4557,0.335614,-0.920709
85899304300,-1.43977,0.417837,-0.905698
85899320793,-1.42298,0.492631,-0.8887
85899343295,-1.40728,0.559553,-0.872293
85899364334,-1.39286,0.620582,-0.856364
85899380713,-1.37884,0.675951,-0.840535
85899403163,-1.36673,0.726525,-0.82593
85899424257,-1.36022,0.771928,-0.813876
85899440011,-1.35605,0.811823,-0.802712
85899463251,-1.35343,0.84879,-0.79207
85899484225,-1.35702,0.879832,-0.788428
85899500757,-1.36413,0.904729,-0.788109
85899523209,-1.37143,0.923964,-0.788132
85899545008,-1.37553,0.937072,-0.787559
85899560041,-1.38124,0.941289,-0.789704
85899583262,-1.38886,0.930531,-0.797283
85899607110,-1.40382,0.91031,-0.824737
85899620024,-1.41944,0.865121,-0.861726
85899643264,-1.43639,0.801404,-0.909583
85899665790,-1.45461,0.715238,-0.957741
85899680039,-1.47409,0.600124,-1.00018
85899703266,-1.49654,0.479963,-1.01785
85899725761,-1.51888,0.416968,-1.01682
85899739974,-1.5245,0.41945,-1.00978
85899763124,-1.51606,0.4551,-0.997704
85899785707,-1.50671,0.511738,-0.982036
85899806830,-1.49925,0.568953,-0.958128
85899823268,-1.48395,0.620481,-0.932937
85899845817,-1.46361,0.667618,-0.911031
85899866796,-1.44778,0.712478,-0.888929
85899883193,-1.43811,0.751417,-0.865607
85899905724,-1.42758,0.785789,-0.841327
85899926996,-1.41589,0.812883,-0.820611
85899943192,-1.4069,0.83245,-0.804678
85899965758,-1.40279,0.845122,-0.793867
85899986799,-1.40265,0.851829,-0.786988
85900003181,-1.40606,0.852196,-0.786168
85900025701,-1.41072,0.848127,-0.794511
85900046829,-1.41989,0.835653,-0.81776
85900063236,-1.43951,0.804447,-0.857396
85900085800,-1.46222,0.756763,-0.902733
85900106813,-1.48721,0.688393,-0.950623
85900123146,-1.51196,0.596613,-1.00175
85900145573,-1.53029,0.486272,-1.04277
85900166828,-1.5456,0.377898,-1.06353
85900183261,-1.55098,0.337858,-1.06747
85900205734,-1.55267,0.314409,-1.06478
85900226889,-1.54723,0.337275,-1.05795
85900243217,-1.53997,0.379619,-1.04647
85900265780,-1.53502,0.41728,-1.03206
85900286803,-1.52425,0.449596,-1.01963
85900303142,-1.50873,0.473551,-1.01146
85900325782,-1.49663,0.487526,-1.00452
85900346960,-1.49669,0.488977,-0.99764
85900363202,-1.50915,0.477143,-0.991983
85900385746,-1.52149,0.454811,-0.990867
85900406752,-1.5262,0.424831,-0.993471
85900422499,-1.52394,0.389528,-0.997112
85900445724,-1.51974,0.350879,-0.999797
85900469607,-1.51352,0.312999,-1.00169
85900482508,-1.5045,0.271374,-1.00243
85900505745,-1.49116,0.222658,-1.00138
85900526736,-1.47565,0.166272,-0.998028
85900542534,-1.4615,0.102824,-0.993163
85900565728,-1.44775,0.0321399,-0.987964
85900586719,-1.43383,-0.0463519,-0.982379
85900602544,-1.4211,-0.130447,-0.97625
85900625710,-1.4068,-0.217169,-0.970752
85900648132,-1.38935,-0.307806,-0.965077
85900662465,-1.36766,-0.404204,-0.95876
85900693202,-1.34594,-0.504902,-0.952838
85900708244,-1.329,-0.606386,-0.950401
85900722539,-1.3122,-0.705144,-0.954079
85900745718,-1.30154,-0.799061,-0.961653
85900768208,-1.29604,-0.888547,-0.970057
85900789266,-1.28707,-0.97399,-0.98146
85900805695,-1.26474,-1.05397,-1.00261
85900828242,-1.22506,-1.12435,-1.04119
85900849309,-1.18174,-1.18523,-1.09524
85900865750,-1.14316,-1.23939,-1.16093
85900895830,-1.10774,-1.28467,-1.23848
85900910792,-1.07139,-1.31948,-1.32617
85900925720,-1.03669,-1.34614,-1.41459
85900948290,-1.01276,-1.36572,-1.48951
85900969344,-1.00292,-1.37792,-1.54158
85900991748,-1.01538,-1.38068,-1.56237
85901008161,-1.04185,-1.37936,-1.55526
85901036966,-1.07371,-1.37563,-1.53028
85901045760,-1.10721,-1.37031,-1.49476
85901075780,-1.1401,-1.36464,-1.45588
