timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
85909204148,-1,-3,-3,1,-2,-1,-1,-2
85909204148,1,-1,-2,-1,-2,-1,0,-1
85909204954,1,-1,-2,0,-2,0,-1,-1
85909204954,1,-1,0,-2,1,0,-2,3
85909226696,5,-2,-1,-3,1,-1,-1,-1
85909226696,11,7,2,3,1,0,-2,-2
85909227490,2,0,-1,-2,-4,-2,-3,2
85909227490,-3,-3,-3,-1,-1,-1,-1,-1
85909249791,3,2,-1,0,3,-3,0,0
85909249791,-1,-1,-1,-2,-2,-2,-2,-1
85909250567,8,-2,0,1,-1,-2,0,0
85909250567,-7,-7,-1,-3,-1,-3,-1,-2
85909272344,-4,-14,-1,-2,0,-2,-2,2
85909272344,-5,0,-1,1,1,0,1,0
85909273129,1,1,0,-1,-2,0,-1,-3
85909273129,2,0,-2,1,1,0,-1,-2
85909294832,-14,-3,-1,-1,-4,-2,0,-1
85909294832,-3,1,2,-2,-3,-3,-2,-4
85909295596,1,2,-1,-1,1,-3,-1,-1
85909295596,1,3,0,-1,-1,-1,-2,-3
85909309810,-5,-4,-2,-2,-2,-2,-2,0
85909309810,-4,-2,-3,-1,-2,0,-1,-1
85909310566,-4,0,-1,-2,-1,-2,-3,1
85909310566,10,-1,0,1,-2,-2,0,-1
85909324132,1,2,0,1,0,0,-1,-1
85909324132,1,-4,-2,0,-2,0,-3,3
85909324932,-1,-4,-2,-2,0,-4,-2,-1
85909324932,-8,-7,-4,-2,-2,-2,-2,0
85909346736,11,8,-2,0,-3,-1,0,-1
85909346736,7,11,2,1,1,1,0,-1
85909347472,2,2,0,-6,-3,-2,0,1
85909347472,-5,1,-2,1,-1,-3,-4,-2
85909369876,-5,-3,-2,1,-1,0,0,-1
85909369876,10,-1,0,0,2,-1,-1,-5
85909370618,-6,-3,-1,-1,-2,-2,0,-2
85909370618,7,6,-2,-1,0,-2,1,0
85909384077,0,3,1,-3,-1,-3,-3,0
85909384077,-3,-4,-3,-3,-3,-1,-1,-1
85909384893,-5,-9,-1,1,1,1,-2,-3
85909384893,-1,-2,-1,-2,-1,0,1,-2
85909406680,0,-6,-3,-4,-3,-2,0,-1
85909406680,-2,1,0,-1,-2,-1,-3,-3
85909407361,-5,-16,-2,-1,-3,-1,0,0
85909407361,-5,0,-1,-1,-2,1,-2,0
85909430010,-1,-2,-3,1,1,-1,0,-1
85909430010,-2,-5,-2,-3,-4,-2,-1,-1
85909430612,1,6,1,-2,-1,0,-1,-1
85909430612,2,-3,-3,1,0,1,-1,0
85909444372,1,-1,-1,-1,0,-1,-1,-2
85909444372,-2,-3,-2,-1,0,-3,1,-1
85909444980,9,3,1,-3,-3,0,0,-2
85909444980,-3,0,-1,-3,-1,1,-2,0
85909466623,-3,1,-2,1,-1,0,0,-1
85909466623,-6,-11,0,-1,-1,-2,0,0
85909467408,-1,2,-3,0,-3,0,-1,-1
85909467408,14,2,2,-1,-3,-2,-2,-1
85909497316,-6,1,0,-2,-2,0,-2,-3
85909497316,3,-2,-2,0,-1,-1,-3,-1
85909498125,-4,-2,-2,0,-1,-1,-1,-2
85909498125,-1,-2,-2,-1,-1,-1,0,-3
85909504129,-5,-1,-3,0,0,1,-1,-1
85909504129,4,10,0,1,1,-1,-2,-1
85909504908,-1,1,-1,-4,-1,-1,-2,2
85909504908,-9,-3,-2,-1,-2,-3,-2,-4
85909526712,3,0,1,-1,1,-1,1,-1
85909526712,-3,-1,-3,-3,-3,-1,-1,-1
85909527404,-4,-5,-2,1,-1,-2,0,-3
85909527404,5,-1,0,-1,-2,-1,-2,-1
85909549798,-2,-2,1,-4,-1,-1,0,0
85909549798,-11,-5,-2,-2,1,-2,-3,-2
85909550599,7,2,1,0,1,-1,0,0
85909550599,5,-1,-1,-1,-2,-2,1,-1
85909563898,-2,1,1,1,0,0,-1,0
85909563898,4,-12,-4,-4,-2,-1,2,0
85909571715,-5,2,-1,0,0,1,-2,1
85909571715,-14,-2,-2,0,-1,-1,1,-1
85909586674,-8,-5,-3,-2,-3,-2,-2,0
85909586674,0,2,1,0,1,-2,0,2
85909587479,-1,1,-2,1,1,-3,-1,-4
85909587479,7,0,-1,-3,-1,-1,1,1
85909609962,-5,1,-3,-1,-1,-1,-3,-2
85909609962,-8,-1,-1,0,-3,-2,1,0
85909610707,-3,0,-1,0,0,-2,-2,-2
85909610707,-4,0,-1,-6,-5,0,-1,0
85909624364,4,-2,1,3,2,0,1,-1
85909624364,2,2,-4,-3,-3,-2,-3,0
85909624949,-1,-1,-1,2,-1,-1,0,-1
85909624949,-2,-1,1,2,0,-3,-5,-2
