timestamp,x,y,z
116997150198,-1.75,-2.375,-2.1875
116997165278,-2.4375,-1.875,-2.6875
116997188922,-2.5625,-1.75,-2.9375
116997210223,-2.6875,-1.375,-2.4375
116997225279,-3.25,-1.375,-3.0625
116997247729,-3.5625,-1.5625,-2.6875
116997262832,-2.4375,-1.3125,-3.75
116997317861,-1.375,-0.6875,-3.3125
116997318665,-1.875,-0.625,-3.75
116997328151,-2.5625,-0.5,-2.6875
116997353439,-2.9375,-0.5625,-2.75
116997368367,-2.625,-0.5625,-2.5
116997394876,-1.625,-0.5,-2.3125
116997445063,-0.125,-0.25,-2.125
116997445867,0.0625,-0.25,-1.8125
116997447527,-0.5,-0.5,-1.375
116997465080,-1.25,-0.375,-1.0625
116997488244,-1.3125,0,-0.8125
116997504008,-0.9375,0.375,-0.625
116997525120,-1.0625,0.5,0.0625
116997547529,-1.5625,-0.125,0.875
116997564018,-0.5625,-0.625,1.75
116997585064,-4.3125,-1.75,3.3125
116997607502,-6.9375,-3.1875,6.1875
116997623995,-3.0625,-2.5625,11.25
116997647876,-4.5,-1.8125,19.25
116997667570,-11.5,-2.9375,30.6875
116997690070,-12.5625,-3.375,47.8125
116997705135,-5.75,-8.875,66.125
116997727613,1.0625,-11,83.8125
116997750053,3.4375,-10.25,105.375
116997765033,2.8125,-10,128.062
116997795038,0.0625,-12.0625,155.062
116997810028,-4.125,-15.125,184.75
116997825106,-10.5625,-18.8125,210.312
116997847500,-2.125,-23.3125,235.062
116997870010,10.8125,-25.1875,258.312
116997885014,29.25,-25.4375,278.938
116997907528,35.5625,-25.4375,296.25
116997930246,41.25,-24.8125,305.812
116997945138,40.5625,-23.0625,311.688
116997975150,38.375,-24.125,312.812
116997990307,35.5625,-28.75,309.938
116998005060,32.1875,-33.5625,309.188
116998027690,33.75,-36,306.375
116998050123,26.6875,-38.25,296.5
116998072788,16,-40.9375,290.625
116998087854,17.4375,-48.6875,284.125
116998110127,22.5625,-54.3125,261.625
116998125120,12,-56.3125,234.312
116998147760,15.625,-54,213.25
116998170158,11.375,-47.9375,181.188
116998185135,-4.4375,-44.375,151.688
116998207658,0.0625,-44.5625,116.312
116998230291,-14.9375,-35.625,76.5625
116998246550,-26.125,-16.75,26.25
116998275164,-9.1875,14.1875,-18.5
116998290057,25.6875,52.5,-64.75
116998306499,48.1875,76,-107.188
116998327521,32.125,89,-161.562
116998350017,0.9375,91.5,-231.188
116998366486,-58.1875,77.5,-260.812
116998387503,-112.562,69.9375,-213.125
116998410080,-77.5,15,-101.375
116998427173,5.1875,-34.125,80
116998449669,61.8125,-30.9375,158.938
116998471197,45.8125,-47.5,176.438
116998487183,-4.375,-88.5,170.062
116998509666,-15.3125,-89.4375,175.062
116998530738,-2.5,-75.1875,154.938
116998548575,-10.25,-72.25,127.25
116998569622,-15.125,-63.875,108.938
116998590665,-25.625,-53.375,84.8125
116998607167,-36.9375,-42.25,43.3125
116998629653,-33.375,-19.25,-0.9375
116998650723,-0.8125,19.875,-34.125
116998667149,31.5,58.0625,-70.75
116998689669,45.75,89.6875,-110.062
116998710706,50.875,116.375,-156.812
116998727191,35.75,129.312,-221.312
116998749679,-18.3125,119.812,-272.938
116998770739,-80.8125,89.9375,-256.5
116998787231,-67.3125,58.875,-170.75
116998809683,-16.4375,21,-22.9375
116998830723,42.1875,8.4375,49.5625
116998847161,58,-4.8125,92.5625
116998869633,24.3125,-25.8125,94.125
116998892187,2.5,-38,73.375
116998906501,2.625,-34.625,51.0625
116998931139,15,-31.0625,24.0625
116998950727,24.5,-31.75,-8.9375
116998966473,17.5,-33.625,-50.875
116998989667,-2.5,-36.25,-92.75
